date,value
2015-03-31,81148.0
2015-04-01,82277.0
2015-04-02,64405.0
2015-04-06,94392.0
2015-04-07,71306.0
2015-04-08,66080.0
2015-04-09,82984.0
2015-04-10,84077.0
2015-04-13,66142.0
2015-04-14,84263.0
2015-04-15,83455.0
2015-04-16,85347.0
2015-04-17,92136.0
2015-04-20,96449.0
2015-04-21,82277.0
2015-04-22,84706.0
2015-04-23,82648.0
2015-04-24,76731.0
2015-04-27,80291.0
2015-04-28,115279.0
2015-04-29,96212.0
2015-04-30,98257.0
2015-05-01,88782.0
2015-05-04,73891.0
2015-05-05,83458.0
2015-05-06,84038.0
2015-05-07,87846.0
2015-05-08,95016.0
2015-05-11,98257.0
2015-05-12,85839.0
2015-05-13,88845.0
2015-05-14,98168.0
2015-05-15,78051.0
2015-05-18,68344.0
2015-05-19,77866.0
2015-05-20,86814.0
2015-05-21,103775.0
2015-05-22,87184.0
2015-05-26,89478.0
2015-05-27,82065.0
2015-05-28,92267.0
2015-05-29,92359.0
2015-06-01,107123.0
2015-06-02,101802.0
2015-06-03,99428.0
2015-06-04,114413.0
2015-06-05,88295.0
2015-06-08,101888.0
2015-06-09,106437.0
2015-06-10,76654.0
2015-06-11,99691.0
2015-06-12,97692.0
2015-06-15,81060.0
2015-06-16,76914.0
2015-06-17,113885.0
2015-06-18,108195.0
2015-06-19,115660.0
2015-06-22,103406.0
2015-06-23,104268.0
2015-06-24,88813.0
2015-06-25,101810.0
2015-06-26,100752.0
2015-06-29,79693.0
2015-06-30,99517.0
2015-07-01,109026.0
2015-07-02,103600.0
2015-07-06,100389.0
2015-07-07,101572.0
2015-07-08,127392.0
2015-07-09,100082.0
2015-07-10,107978.0
2015-07-13,97992.0
2015-07-14,108956.0
2015-07-15,90051.0
2015-07-16,107372.0
2015-07-17,109114.0
2015-07-20,92658.0
2015-07-21,104948.0
2015-07-22,117211.0
2015-07-23,97611.0
2015-07-24,100269.0
2015-07-27,102599.0
2015-07-28,89681.0
2015-07-29,128391.0
2015-07-30,106019.0
2015-07-31,112338.0
2015-08-03,130000.0
2015-08-04,123769.0
2015-08-05,90354.0
2015-08-06,141769.0
2015-08-07,134642.0
2015-08-10,105708.0
2015-08-11,99227.0
2015-08-12,127238.0
2015-08-13,109950.0
2015-08-14,114538.0
2015-08-17,121593.0
2015-08-18,107991.0
2015-08-19,131253.0
2015-08-20,132920.0
2015-08-21,127001.0
2015-08-24,125843.0
2015-08-25,111151.0
2015-08-26,105532.0
2015-08-27,99846.0
2015-08-28,115201.0
2015-08-31,103243.0
2015-09-01,110005.0
2015-09-02,110297.0
2015-09-03,113085.0
2015-09-04,99989.0
2015-09-08,122729.0
2015-09-09,116541.0
2015-09-10,121182.0
2015-09-11,112738.0
2015-09-14,104358.0
2015-09-15,132118.0
2015-09-16,118452.0
2015-09-17,120123.0
2015-09-18,113315.0
2015-09-21,134411.0
2015-09-22,121942.0
2015-09-23,108360.0
2015-09-24,145467.0
2015-09-25,129811.0
2015-09-28,104589.0
2015-09-29,109548.0
2015-09-30,119856.0
2015-10-01,126799.0
2015-10-02,107299.0
2015-10-05,120461.0
2015-10-06,121090.0
2015-10-07,133675.0
2015-10-08,115574.0
2015-10-09,114433.0
2015-10-12,117935.0
2015-10-13,136306.0
2015-10-14,103880.0
2015-10-15,119349.0
2015-10-16,110229.0
2015-10-19,123779.0
2015-10-20,113104.0
2015-10-21,122206.0
2015-10-22,111620.0
2015-10-23,121169.0
2015-10-26,109770.0
2015-10-27,138744.0
2015-10-28,127696.0
2015-10-29,126029.0
2015-10-30,127310.0
2015-11-02,130298.0
2015-11-03,116339.0
2015-11-04,115179.0
2015-11-05,119172.0
2015-11-06,106740.0
2015-11-09,130375.0
2015-11-10,130392.0
2015-11-11,132691.0
2015-11-12,130872.0
2015-11-13,110247.0
2015-11-16,135849.0
2015-11-17,114934.0
2015-11-18,138502.0
2015-11-19,116873.0
2015-11-20,124091.0
2015-11-23,121883.0
2015-11-24,120486.0
2015-11-25,106900.0
2015-11-27,118963.0
2015-11-30,144989.0
2015-12-01,108821.0
2015-12-02,106898.0
2015-12-03,136020.0
2015-12-04,115921.0
2015-12-07,131701.0
2015-12-08,114100.0
2015-12-09,111738.0
2015-12-10,123204.0
2015-12-11,126017.0
2015-12-14,128237.0
2015-12-15,93493.0
2015-12-16,114284.0
2015-12-17,129529.0
2015-12-18,130585.0
2015-12-21,130775.0
2015-12-22,154453.0
2015-12-23,138953.0
2015-12-24,118505.0
2015-12-28,136112.0
2015-12-29,133504.0
2015-12-30,131644.0
2015-12-31,124764.0
2016-01-04,131426.0
2016-01-05,115388.0
2016-01-06,148414.0
2016-01-07,104536.0
2016-01-08,117059.0
2016-01-11,120734.0
2016-01-12,125849.0
2016-01-13,111513.0
2016-01-14,102319.0
2016-01-15,129293.0
2016-01-19,117904.0
2016-01-20,117430.0
2016-01-21,122190.0
2016-01-22,137176.0
2016-01-25,114946.0
2016-01-26,143258.0
2016-01-27,113670.0
2016-01-28,138186.0
2016-01-29,119263.0
2016-02-01,124606.0
2016-02-02,126554.0
2016-02-03,139445.0
2016-02-04,134869.0
2016-02-05,125808.0
2016-02-08,145112.0
2016-02-09,142962.0
2016-02-10,128391.0
2016-02-11,124145.0
2016-02-12,136144.0
2016-02-16,129267.0
2016-02-17,120119.0
2016-02-18,126033.0
2016-02-19,158926.0
2016-02-22,127926.0
2016-02-23,139323.0
2016-02-24,118017.0
2016-02-25,133998.0
2016-02-26,111527.0
2016-02-29,122239.0
2016-03-01,119899.0
2016-03-02,123981.0
2016-03-03,137177.0
2016-03-04,110264.0
2016-03-07,121496.0
2016-03-08,139254.0
2016-03-09,110051.0
2016-03-10,133605.0
2016-03-11,103784.0
2016-03-14,115507.0
2016-03-15,106685.0
2016-03-16,126619.0
2016-03-17,112748.0
2016-03-18,130529.0
2016-03-21,123674.0
2016-03-22,124675.0
2016-03-23,136220.0
2016-03-24,134745.0
2016-03-28,100836.0
2016-03-29,134647.0
2016-03-30,143077.0
