date,value
2015-03-31,59692.0
2015-04-01,75671.0
2015-04-02,84948.0
2015-04-06,68851.0
2015-04-07,85573.0
2015-04-08,77270.0
2015-04-09,83595.0
2015-04-10,62356.0
2015-04-13,62602.0
2015-04-14,69006.0
2015-04-15,82377.0
2015-04-16,68821.0
2015-04-17,68411.0
2015-04-20,84771.0
2015-04-21,83815.0
2015-04-22,57697.0
2015-04-23,81184.0
2015-04-24,89115.0
2015-04-27,68084.0
2015-04-28,84001.0
2015-04-29,80733.0
2015-04-30,68820.0
2015-05-01,69841.0
2015-05-04,65005.0
2015-05-05,75718.0
2015-05-06,78611.0
2015-05-07,79411.0
2015-05-08,79952.0
2015-05-11,85480.0
2015-05-12,70476.0
2015-05-13,94912.0
2015-05-14,90541.0
2015-05-15,77338.0
2015-05-18,76025.0
2015-05-19,68582.0
2015-05-20,56618.0
2015-05-21,72009.0
2015-05-22,74575.0
2015-05-26,87328.0
2015-05-27,73762.0
2015-05-28,85928.0
2015-05-29,84666.0
2015-06-01,82756.0
2015-06-02,68255.0
2015-06-03,88192.0
2015-06-04,80083.0
2015-06-05,80886.0
2015-06-08,85384.0
2015-06-09,79582.0
2015-06-10,74543.0
2015-06-11,91684.0
2015-06-12,70495.0
2015-06-15,68013.0
2015-06-16,83084.0
2015-06-17,80442.0
2015-06-18,74402.0
2015-06-19,79142.0
2015-06-22,92778.0
2015-06-23,76468.0
2015-06-24,80893.0
2015-06-25,85276.0
2015-06-26,84125.0
2015-06-29,73435.0
2015-06-30,90410.0
2015-07-01,83436.0
2015-07-02,80539.0
2015-07-06,79689.0
2015-07-07,80893.0
2015-07-08,82172.0
2015-07-09,88989.0
2015-07-10,92489.0
2015-07-13,81989.0
2015-07-14,81812.0
2015-07-15,71160.0
2015-07-16,64534.0
2015-07-17,63886.0
2015-07-20,79396.0
2015-07-21,67568.0
2015-07-22,93852.0
2015-07-23,73656.0
2015-07-24,89943.0
2015-07-27,90115.0
2015-07-28,80898.0
2015-07-29,66916.0
2015-07-30,71273.0
2015-07-31,70764.0
2015-08-03,66774.0
2015-08-04,95747.0
2015-08-05,69252.0
2015-08-06,80367.0
2015-08-07,90743.0
2015-08-10,66473.0
2015-08-11,81559.0
2015-08-12,80555.0
2015-08-13,83926.0
2015-08-14,77703.0
2015-08-17,78849.0
2015-08-18,80449.0
2015-08-19,79941.0
2015-08-20,85740.0
2015-08-21,91277.0
2015-08-24,91540.0
2015-08-25,95411.0
2015-08-26,88588.0
2015-08-27,78579.0
2015-08-28,97794.0
2015-08-31,83095.0
2015-09-01,74026.0
2015-09-02,83711.0
2015-09-03,79574.0
2015-09-04,80075.0
2015-09-08,88124.0
2015-09-09,81467.0
2015-09-10,98532.0
2015-09-11,76491.0
2015-09-14,71796.0
2015-09-15,77967.0
2015-09-16,89164.0
2015-09-17,87443.0
2015-09-18,83773.0
2015-09-21,81229.0
2015-09-22,81662.0
2015-09-23,85602.0
2015-09-24,87854.0
2015-09-25,88677.0
2015-09-28,69762.0
2015-09-29,80882.0
2015-09-30,75088.0
2015-10-01,73250.0
2015-10-02,87318.0
2015-10-05,71309.0
2015-10-06,72133.0
2015-10-07,82189.0
2015-10-08,81417.0
2015-10-09,86761.0
2015-10-12,97378.0
2015-10-13,85890.0
2015-10-14,87898.0
2015-10-15,87138.0
2015-10-16,83942.0
2015-10-19,71222.0
2015-10-20,89534.0
2015-10-21,79970.0
2015-10-22,66698.0
2015-10-23,79371.0
2015-10-26,78801.0
2015-10-27,79836.0
2015-10-28,85427.0
2015-10-29,85422.0
2015-10-30,82895.0
2015-11-02,87255.0
2015-11-03,81094.0
2015-11-04,79260.0
2015-11-05,80546.0
2015-11-06,75188.0
2015-11-09,66259.0
2015-11-10,79889.0
2015-11-11,74485.0
2015-11-12,97438.0
2015-11-13,76548.0
2015-11-16,80911.0
2015-11-17,83504.0
2015-11-18,72161.0
2015-11-19,91483.0
2015-11-20,67681.0
2015-11-23,80694.0
2015-11-24,90408.0
2015-11-25,84878.0
2015-11-27,78729.0
2015-11-30,80205.0
2015-12-01,88987.0
2015-12-02,85114.0
2015-12-03,77849.0
2015-12-04,82643.0
2015-12-07,88926.0
2015-12-08,91791.0
2015-12-09,76969.0
2015-12-10,76568.0
2015-12-11,70788.0
2015-12-14,68347.0
2015-12-15,81090.0
2015-12-16,75810.0
2015-12-17,76418.0
2015-12-18,84789.0
2015-12-21,77645.0
2015-12-22,85733.0
2015-12-23,80214.0
2015-12-24,82860.0
2015-12-28,82179.0
2015-12-29,74948.0
2015-12-30,72301.0
2015-12-31,76275.0
2016-01-04,74045.0
2016-01-05,84367.0
2016-01-06,78561.0
2016-01-07,78736.0
2016-01-08,68178.0
2016-01-11,69766.0
2016-01-12,72919.0
2016-01-13,78521.0
2016-01-14,79006.0
2016-01-15,98132.0
2016-01-19,70060.0
2016-01-20,76312.0
2016-01-21,76233.0
2016-01-22,71725.0
2016-01-25,76835.0
2016-01-26,71855.0
2016-01-27,63943.0
2016-01-28,76226.0
2016-01-29,83285.0
2016-02-01,87701.0
2016-02-02,74754.0
2016-02-03,75457.0
2016-02-04,84450.0
2016-02-05,70687.0
2016-02-08,82104.0
2016-02-09,81171.0
2016-02-10,76723.0
2016-02-11,84611.0
2016-02-12,76114.0
2016-02-16,87202.0
2016-02-17,79061.0
2016-02-18,71239.0
2016-02-19,76499.0
2016-02-22,79879.0
2016-02-23,72455.0
2016-02-24,63769.0
2016-02-25,69926.0
2016-02-26,69438.0
2016-02-29,68521.0
2016-03-01,65218.0
2016-03-02,81043.0
2016-03-03,90747.0
2016-03-04,71600.0
2016-03-07,81068.0
2016-03-08,67449.0
2016-03-09,72308.0
2016-03-10,84735.0
2016-03-11,76982.0
2016-03-14,84104.0
2016-03-15,69733.0
2016-03-16,67302.0
2016-03-17,67660.0
2016-03-18,79616.0
2016-03-21,75680.0
2016-03-22,79796.0
2016-03-23,64403.0
2016-03-24,65855.0
2016-03-28,80459.0
2016-03-29,86924.0
2016-03-30,86372.0
2016-03-31,77107.0
2016-04-01,64056.0
2016-04-04,81470.0
2016-04-05,76072.0
2016-04-06,78003.0
2016-04-07,75922.0
2016-04-08,67967.0
2016-04-11,80256.0
2016-04-12,67279.0
2016-04-13,75448.0
2016-04-14,79344.0
2016-04-15,64241.0
2016-04-18,71586.0
2016-04-19,63712.0
2016-04-20,66289.0
2016-04-21,83777.0
2016-04-22,72622.0
2016-04-25,59747.0
2016-04-26,71366.0
2016-04-27,74202.0
2016-04-28,79717.0
2016-04-29,84975.0
2016-05-02,70037.0
2016-05-03,63944.0
2016-05-04,54518.0
2016-05-05,80981.0
2016-05-06,75214.0
2016-05-09,69373.0
2016-05-10,79883.0
2016-05-11,82400.0
2016-05-12,73887.0
2016-05-13,66240.0
2016-05-16,87761.0
2016-05-17,81502.0
2016-05-18,89177.0
2016-05-19,71097.0
2016-05-20,72360.0
2016-05-23,66804.0
2016-05-24,80619.0
2016-05-25,80838.0
2016-05-26,72185.0
2016-05-27,64734.0
2016-05-31,75544.0
2016-06-01,73538.0
2016-06-02,70370.0
2016-06-03,71416.0
2016-06-06,86658.0
2016-06-07,76899.0
2016-06-08,76034.0
2016-06-09,90496.0
2016-06-10,66253.0
2016-06-13,81757.0
2016-06-14,84883.0
2016-06-15,79381.0
2016-06-16,78229.0
2016-06-17,80266.0
2016-06-20,81369.0
2016-06-21,74497.0
2016-06-22,89801.0
2016-06-23,71453.0
2016-06-24,69630.0
2016-06-27,79732.0
2016-06-28,78743.0
2016-06-29,72932.0
2016-06-30,65734.0
2016-07-01,81722.0
2016-07-05,78713.0
2016-07-06,73544.0
2016-07-07,76372.0
2016-07-08,78107.0
2016-07-11,69850.0
2016-07-12,75807.0
2016-07-13,79152.0
2016-07-14,76104.0
2016-07-15,72714.0
