date,value
2015-03-31,206585.0
2015-04-01,214549.0
2015-04-02,201403.0
2015-04-06,232997.0
2015-04-07,233269.0
2015-04-08,218456.0
2015-04-09,189788.0
2015-04-10,192987.0
2015-04-13,204808.0
2015-04-14,247793.0
2015-04-15,194811.0
2015-04-16,207195.0
2015-04-17,207434.0
2015-04-20,236540.0
2015-04-21,208185.0
2015-04-22,233076.0
2015-04-23,234952.0
2015-04-24,250270.0
2015-04-27,193054.0
2015-04-28,193921.0
2015-04-29,233117.0
2015-04-30,188156.0
2015-05-01,209695.0
2015-05-04,218591.0
2015-05-05,217713.0
2015-05-06,218563.0
2015-05-07,220750.0
2015-05-08,214266.0
2015-05-11,228891.0
2015-05-12,240738.0
2015-05-13,213915.0
2015-05-14,213228.0
2015-05-15,221707.0
2015-05-18,213501.0
2015-05-19,212899.0
2015-05-20,211797.0
2015-05-21,235575.0
2015-05-22,238622.0
2015-05-26,224112.0
2015-05-27,233301.0
2015-05-28,219568.0
2015-05-29,220049.0
2015-06-01,226687.0
2015-06-02,194466.0
2015-06-03,241581.0
2015-06-04,225543.0
2015-06-05,211609.0
2015-06-08,207565.0
2015-06-09,242164.0
2015-06-10,233971.0
2015-06-11,228639.0
2015-06-12,225072.0
2015-06-15,235202.0
2015-06-16,224858.0
2015-06-17,165272.0
2015-06-18,225370.0
2015-06-19,179276.0
2015-06-22,187699.0
2015-06-23,270672.0
2015-06-24,195765.0
2015-06-25,200626.0
2015-06-26,203028.0
2015-06-29,278439.0
2015-06-30,231941.0
2015-07-01,200648.0
2015-07-02,203848.0
2015-07-06,200953.0
2015-07-07,230012.0
2015-07-08,221831.0
2015-07-09,232938.0
2015-07-10,198208.0
2015-07-13,223805.0
2015-07-14,216973.0
2015-07-15,189809.0
2015-07-16,206872.0
2015-07-17,235004.0
2015-07-20,238322.0
2015-07-21,190477.0
2015-07-22,221287.0
2015-07-23,235618.0
2015-07-24,205654.0
2015-07-27,247606.0
2015-07-28,205382.0
2015-07-29,252499.0
2015-07-30,234950.0
2015-07-31,227231.0
