date,value
2015-03-31,259846.0
2015-04-01,246306.0
2015-04-02,289575.0
2015-04-06,276280.0
2015-04-07,283972.0
2015-04-08,235502.0
2015-04-09,269572.0
2015-04-10,274549.0
2015-04-13,283461.0
2015-04-14,247143.0
2015-04-15,289377.0
2015-04-16,290116.0
2015-04-17,262652.0
2015-04-20,278740.0
2015-04-21,273087.0
2015-04-22,244549.0
2015-04-23,254346.0
2015-04-24,274819.0
2015-04-27,232660.0
2015-04-28,230879.0
2015-04-29,280921.0
2015-04-30,249472.0
2015-05-01,299524.0
2015-05-04,289912.0
2015-05-05,262299.0
2015-05-06,293693.0
2015-05-07,280559.0
2015-05-08,234595.0
2015-05-11,292244.0
2015-05-12,267364.0
2015-05-13,253442.0
2015-05-14,258634.0
2015-05-15,270879.0
2015-05-18,233835.0
2015-05-19,223119.0
2015-05-20,232267.0
2015-05-21,277780.0
2015-05-22,280839.0
2015-05-26,227560.0
2015-05-27,289711.0
2015-05-28,261179.0
2015-05-29,252874.0
2015-06-01,263965.0
2015-06-02,271927.0
2015-06-03,273671.0
2015-06-04,259536.0
2015-06-05,302979.0
2015-06-08,297709.0
2015-06-09,229721.0
2015-06-10,257680.0
2015-06-11,219047.0
2015-06-12,280540.0
2015-06-15,281334.0
2015-06-16,287079.0
2015-06-17,299968.0
2015-06-18,320606.0
2015-06-19,243768.0
2015-06-22,291209.0
2015-06-23,241766.0
2015-06-24,293195.0
2015-06-25,279112.0
2015-06-26,274231.0
2015-06-29,280509.0
2015-06-30,270132.0
2015-07-01,272515.0
2015-07-02,298866.0
2015-07-06,301543.0
2015-07-07,276715.0
2015-07-08,251501.0
2015-07-09,295103.0
2015-07-10,231268.0
2015-07-13,277715.0
2015-07-14,269303.0
2015-07-15,290096.0
2015-07-16,263644.0
2015-07-17,323311.0
2015-07-20,287929.0
2015-07-21,299929.0
2015-07-22,232580.0
2015-07-23,260320.0
2015-07-24,234734.0
2015-07-27,274586.0
2015-07-28,269823.0
2015-07-29,217892.0
2015-07-30,249478.0
2015-07-31,276342.0
2015-08-03,249193.0
2015-08-04,251794.0
2015-08-05,259746.0
2015-08-06,237740.0
2015-08-07,258637.0
2015-08-10,281345.0
2015-08-11,251557.0
2015-08-12,269460.0
2015-08-13,280641.0
2015-08-14,271276.0
2015-08-17,253728.0
2015-08-18,266012.0
2015-08-19,254707.0
2015-08-20,306100.0
2015-08-21,319369.0
2015-08-24,306554.0
2015-08-25,236886.0
2015-08-26,286254.0
2015-08-27,280168.0
2015-08-28,294326.0
2015-08-31,258306.0
2015-09-01,294509.0
2015-09-02,279655.0
2015-09-03,276358.0
2015-09-04,279882.0
2015-09-08,254051.0
2015-09-09,308921.0
2015-09-10,318888.0
2015-09-11,236298.0
2015-09-14,246219.0
2015-09-15,285073.0
2015-09-16,308295.0
2015-09-17,315081.0
2015-09-18,227353.0
2015-09-21,281951.0
2015-09-22,290230.0
2015-09-23,295235.0
2015-09-24,257579.0
2015-09-25,307820.0
2015-09-28,259388.0
2015-09-29,298113.0
2015-09-30,283927.0
2015-10-01,260036.0
2015-10-02,261091.0
2015-10-05,298900.0
2015-10-06,259751.0
2015-10-07,232124.0
2015-10-08,251309.0
2015-10-09,285111.0
2015-10-12,267780.0
2015-10-13,317270.0
2015-10-14,291513.0
2015-10-15,307855.0
2015-10-16,268988.0
2015-10-19,316416.0
2015-10-20,267604.0
2015-10-21,314223.0
2015-10-22,257918.0
2015-10-23,253240.0
2015-10-26,297279.0
2015-10-27,311876.0
2015-10-28,278299.0
2015-10-29,295934.0
2015-10-30,336902.0
2015-11-02,294951.0
2015-11-03,277793.0
2015-11-04,220532.0
2015-11-05,292669.0
2015-11-06,269432.0
2015-11-09,289600.0
2015-11-10,297459.0
2015-11-11,334266.0
2015-11-12,302950.0
2015-11-13,275892.0
2015-11-16,279075.0
2015-11-17,307963.0
2015-11-18,276944.0
2015-11-19,302571.0
2015-11-20,251832.0
2015-11-23,255686.0
2015-11-24,270742.0
2015-11-25,302140.0
2015-11-27,312315.0
2015-11-30,284304.0
2015-12-01,274150.0
2015-12-02,277989.0
2015-12-03,261315.0
2015-12-04,257782.0
2015-12-07,307311.0
2015-12-08,323126.0
2015-12-09,242518.0
2015-12-10,302018.0
2015-12-11,305413.0
2015-12-14,319149.0
2015-12-15,305525.0
2015-12-16,304737.0
2015-12-17,231622.0
2015-12-18,237989.0
2015-12-21,305594.0
2015-12-22,242128.0
2015-12-23,257674.0
2015-12-24,324863.0
2015-12-28,272641.0
2015-12-29,293647.0
2015-12-30,312545.0
2015-12-31,305676.0
2016-01-04,300380.0
2016-01-05,264317.0
2016-01-06,286311.0
2016-01-07,265257.0
2016-01-08,286466.0
2016-01-11,257569.0
2016-01-12,256121.0
2016-01-13,269340.0
2016-01-14,282825.0
2016-01-15,335032.0
2016-01-19,257300.0
2016-01-20,301467.0
2016-01-21,265381.0
2016-01-22,262229.0
2016-01-25,308871.0
2016-01-26,262529.0
2016-01-27,278280.0
2016-01-28,279530.0
2016-01-29,283730.0
2016-02-01,282522.0
2016-02-02,256651.0
2016-02-03,248060.0
2016-02-04,223814.0
2016-02-05,270480.0
2016-02-08,309470.0
2016-02-09,260369.0
2016-02-10,300700.0
2016-02-11,244626.0
2016-02-12,273080.0
2016-02-16,322831.0
2016-02-17,249364.0
2016-02-18,262053.0
2016-02-19,239540.0
2016-02-22,344655.0
2016-02-23,248117.0
2016-02-24,274784.0
2016-02-25,233552.0
2016-02-26,300241.0
2016-02-29,266293.0
2016-03-01,270519.0
2016-03-02,296298.0
2016-03-03,210280.0
2016-03-04,204096.0
2016-03-07,240344.0
2016-03-08,274016.0
2016-03-09,240149.0
2016-03-10,260990.0
2016-03-11,274088.0
2016-03-14,240489.0
2016-03-15,253741.0
2016-03-16,319728.0
2016-03-17,238847.0
2016-03-18,294713.0
2016-03-21,238242.0
2016-03-22,250319.0
2016-03-23,264473.0
2016-03-24,297007.0
2016-03-28,307479.0
2016-03-29,223211.0
2016-03-30,261996.0
2016-03-31,267669.0
2016-04-01,242140.0
2016-04-04,256912.0
2016-04-05,312418.0
2016-04-06,294785.0
2016-04-07,225018.0
2016-04-08,274432.0
2016-04-11,249589.0
2016-04-12,273963.0
2016-04-13,220497.0
2016-04-14,219661.0
2016-04-15,268852.0
2016-04-18,259046.0
2016-04-19,278170.0
2016-04-20,284155.0
2016-04-21,259531.0
2016-04-22,263650.0
2016-04-25,231450.0
2016-04-26,293355.0
2016-04-27,261236.0
2016-04-28,315846.0
2016-04-29,327094.0
2016-05-02,301440.0
2016-05-03,307877.0
2016-05-04,279608.0
2016-05-05,255416.0
2016-05-06,271104.0
2016-05-09,211757.0
2016-05-10,225052.0
2016-05-11,251781.0
2016-05-12,242730.0
2016-05-13,219979.0
2016-05-16,301004.0
2016-05-17,298515.0
2016-05-18,315299.0
2016-05-19,242204.0
2016-05-20,287073.0
2016-05-23,275464.0
2016-05-24,285049.0
2016-05-25,284512.0
2016-05-26,260193.0
2016-05-27,297152.0
2016-05-31,254240.0
2016-06-01,227383.0
2016-06-02,305262.0
2016-06-03,233141.0
2016-06-06,274474.0
2016-06-07,254584.0
2016-06-08,263774.0
2016-06-09,293302.0
2016-06-10,276400.0
2016-06-13,265935.0
2016-06-14,281200.0
2016-06-15,273196.0
2016-06-16,271402.0
2016-06-17,317933.0
2016-06-20,262961.0
2016-06-21,242588.0
2016-06-22,260755.0
2016-06-23,249223.0
2016-06-24,242183.0
2016-06-27,281000.0
2016-06-28,324041.0
2016-06-29,253961.0
2016-06-30,245410.0
2016-07-01,221044.0
2016-07-05,327380.0
2016-07-06,298703.0
2016-07-07,285831.0
2016-07-08,299783.0
2016-07-11,314896.0
2016-07-12,290508.0
2016-07-13,239924.0
2016-07-14,269882.0
2016-07-15,237757.0
2016-07-18,330711.0
2016-07-19,285268.0
2016-07-20,238031.0
2016-07-21,290284.0
2016-07-22,269112.0
2016-07-25,291552.0
2016-07-26,292068.0
2016-07-27,269699.0
2016-07-28,314540.0
2016-07-29,304788.0
2016-08-01,321366.0
2016-08-02,326455.0
2016-08-03,293517.0
2016-08-04,248374.0
2016-08-05,294481.0
2016-08-08,322497.0
2016-08-09,246687.0
2016-08-10,264976.0
2016-08-11,269097.0
2016-08-12,292498.0
2016-08-15,287737.0
2016-08-16,273264.0
2016-08-17,268696.0
2016-08-18,282801.0
2016-08-19,250252.0
2016-08-22,309391.0
2016-08-23,243160.0
2016-08-24,321683.0
2016-08-25,200492.0
2016-08-26,294404.0
2016-08-29,268715.0
2016-08-30,315487.0
2016-08-31,258571.0
2016-09-01,261067.0
2016-09-02,243301.0
2016-09-06,278914.0
2016-09-07,319833.0
2016-09-08,268894.0
2016-09-09,327701.0
2016-09-12,285211.0
2016-09-13,285511.0
2016-09-14,276225.0
2016-09-15,318021.0
2016-09-16,348889.0
2016-09-19,260784.0
2016-09-20,252164.0
2016-09-21,296506.0
2016-09-22,297584.0
2016-09-23,319778.0
2016-09-26,289596.0
2016-09-27,330105.0
2016-09-28,269335.0
2016-09-29,283106.0
2016-09-30,285827.0
2016-10-03,295457.0
2016-10-04,260775.0
2016-10-05,267332.0
2016-10-06,266838.0
2016-10-07,268893.0
2016-10-10,279780.0
2016-10-11,262241.0
2016-10-12,274501.0
2016-10-13,290428.0
2016-10-14,274500.0
2016-10-17,292403.0
2016-10-18,274090.0
2016-10-19,322735.0
2016-10-20,318108.0
2016-10-21,357842.0
2016-10-24,232034.0
2016-10-25,261886.0
2016-10-26,308953.0
2016-10-27,274877.0
2016-10-28,255384.0
2016-10-31,298556.0
2016-11-01,244644.0
2016-11-02,267219.0
2016-11-03,253470.0
2016-11-04,350137.0
2016-11-07,249419.0
2016-11-08,278254.0
2016-11-09,304735.0
2016-11-10,285069.0
2016-11-11,276933.0
2016-11-14,280651.0
2016-11-15,284669.0
2016-11-16,280022.0
2016-11-17,333974.0
2016-11-18,289115.0
2016-11-21,248189.0
2016-11-22,271817.0
2016-11-23,295704.0
2016-11-25,299002.0
2016-11-28,277847.0
2016-11-29,263152.0
2016-11-30,312834.0
2016-12-01,328818.0
2016-12-02,281938.0
2016-12-05,297161.0
2016-12-06,214930.0
2016-12-07,261003.0
2016-12-08,294998.0
2016-12-09,295135.0
2016-12-12,269753.0
2016-12-13,274175.0
2016-12-14,277881.0
2016-12-15,303062.0
2016-12-16,319410.0
2016-12-19,285912.0
2016-12-20,244933.0
2016-12-21,260748.0
2016-12-22,306289.0
2016-12-23,289503.0
2016-12-27,304332.0
2016-12-28,317033.0
2016-12-29,261375.0
2016-12-30,307852.0
2017-01-03,279209.0
2017-01-04,293275.0
2017-01-05,270561.0
2017-01-06,259027.0
2017-01-09,248614.0
2017-01-10,242235.0
2017-01-11,270499.0
2017-01-12,237609.0
2017-01-13,210053.0
2017-01-17,289412.0
2017-01-18,256635.0
2017-01-19,235225.0
2017-01-20,272287.0
2017-01-23,301379.0
2017-01-24,255624.0
2017-01-25,301634.0
2017-01-26,310534.0
2017-01-27,310986.0
2017-01-30,301269.0
2017-01-31,245848.0
2017-02-01,278837.0
2017-02-02,312489.0
2017-02-03,309171.0
2017-02-06,294799.0
2017-02-07,281603.0
2017-02-08,296027.0
2017-02-09,252967.0
2017-02-10,281500.0
2017-02-13,311891.0
2017-02-14,269958.0
2017-02-15,285230.0
2017-02-16,255735.0
2017-02-17,259088.0
2017-02-21,237299.0
2017-02-22,246881.0
2017-02-23,314171.0
2017-02-24,300883.0
