date,value
2015-03-31,893247.0
2015-04-01,950820.0
2015-04-02,813226.0
2015-04-06,814724.0
2015-04-07,864505.0
2015-04-08,866226.0
2015-04-09,1005843.0
2015-04-10,747333.0
2015-04-13,877311.0
2015-04-14,857051.0
2015-04-15,729168.0
2015-04-16,873568.0
2015-04-17,966690.0
2015-04-20,916832.0
2015-04-21,901230.0
2015-04-22,733014.0
2015-04-23,995613.0
2015-04-24,934932.0
2015-04-27,756379.0
2015-04-28,899326.0
2015-04-29,833999.0
2015-04-30,810845.0
2015-05-01,882274.0
2015-05-04,835315.0
2015-05-05,865075.0
2015-05-06,1036040.0
2015-05-07,817880.0
2015-05-08,818111.0
2015-05-11,863046.0
2015-05-12,920363.0
2015-05-13,940745.0
2015-05-14,910920.0
2015-05-15,867987.0
2015-05-18,871700.0
2015-05-19,786684.0
2015-05-20,1018893.0
2015-05-21,1027266.0
2015-05-22,787633.0
2015-05-26,835519.0
2015-05-27,1041504.0
2015-05-28,712924.0
2015-05-29,850623.0
2015-06-01,805089.0
2015-06-02,840884.0
2015-06-03,998510.0
2015-06-04,986230.0
2015-06-05,718380.0
2015-06-08,951568.0
2015-06-09,779588.0
2015-06-10,805382.0
2015-06-11,1102281.0
2015-06-12,807917.0
2015-06-15,1053161.0
2015-06-16,948045.0
2015-06-17,745974.0
2015-06-18,819588.0
2015-06-19,751193.0
2015-06-22,967286.0
2015-06-23,858277.0
2015-06-24,910040.0
2015-06-25,929139.0
2015-06-26,840815.0
2015-06-29,865361.0
2015-06-30,865464.0
2015-07-01,931741.0
2015-07-02,862047.0
2015-07-06,913326.0
2015-07-07,1039443.0
2015-07-08,872619.0
2015-07-09,864920.0
2015-07-10,1010097.0
2015-07-13,946225.0
2015-07-14,978852.0
2015-07-15,953243.0
2015-07-16,955671.0
2015-07-17,973039.0
2015-07-20,1012541.0
2015-07-21,952506.0
2015-07-22,766811.0
2015-07-23,1033922.0
2015-07-24,927608.0
2015-07-27,907132.0
2015-07-28,999218.0
2015-07-29,927715.0
2015-07-30,1043970.0
2015-07-31,987940.0
2015-08-03,833753.0
2015-08-04,859279.0
2015-08-05,943214.0
2015-08-06,1127501.0
2015-08-07,900487.0
2015-08-10,892031.0
2015-08-11,1029535.0
2015-08-12,1093933.0
2015-08-13,943268.0
2015-08-14,1019690.0
2015-08-17,1152391.0
2015-08-18,749430.0
2015-08-19,996353.0
2015-08-20,956220.0
2015-08-21,947138.0
2015-08-24,1078527.0
2015-08-25,838650.0
2015-08-26,968786.0
2015-08-27,996823.0
2015-08-28,1067075.0
2015-08-31,1006073.0
2015-09-01,796467.0
2015-09-02,1066770.0
2015-09-03,816758.0
2015-09-04,796598.0
2015-09-08,848692.0
2015-09-09,907680.0
2015-09-10,1021056.0
2015-09-11,939625.0
2015-09-14,910959.0
2015-09-15,785555.0
2015-09-16,934959.0
2015-09-17,849509.0
2015-09-18,1027591.0
2015-09-21,815560.0
2015-09-22,818220.0
2015-09-23,871551.0
2015-09-24,965716.0
2015-09-25,916502.0
2015-09-28,921114.0
2015-09-29,979557.0
2015-09-30,900065.0
2015-10-01,989415.0
2015-10-02,828357.0
2015-10-05,914392.0
2015-10-06,650921.0
2015-10-07,865910.0
2015-10-08,1024474.0
2015-10-09,940103.0
2015-10-12,892202.0
2015-10-13,934742.0
2015-10-14,939676.0
2015-10-15,962911.0
2015-10-16,1016959.0
2015-10-19,903689.0
2015-10-20,961064.0
2015-10-21,1118793.0
2015-10-22,868046.0
2015-10-23,802835.0
2015-10-26,999297.0
2015-10-27,951639.0
2015-10-28,1093147.0
2015-10-29,1064268.0
2015-10-30,1120984.0
2015-11-02,808323.0
2015-11-03,1051276.0
2015-11-04,873524.0
2015-11-05,1064397.0
2015-11-06,1102530.0
2015-11-09,1020321.0
2015-11-10,1029349.0
2015-11-11,1050109.0
2015-11-12,1006574.0
2015-11-13,1107077.0
2015-11-16,1166487.0
2015-11-17,1018428.0
2015-11-18,1047400.0
2015-11-19,1116834.0
2015-11-20,1103815.0
2015-11-23,1048306.0
2015-11-24,1095713.0
2015-11-25,894947.0
2015-11-27,918735.0
2015-11-30,1169586.0
2015-12-01,1041011.0
2015-12-02,1018039.0
