date,value
2015-03-31,397376.0
2015-04-01,397736.0
2015-04-02,445622.0
2015-04-06,293621.0
2015-04-07,417649.0
2015-04-08,393099.0
2015-04-09,467805.0
2015-04-10,304140.0
2015-04-13,426571.0
2015-04-14,359361.0
2015-04-15,391810.0
2015-04-16,334897.0
2015-04-17,403327.0
2015-04-20,323325.0
2015-04-21,370302.0
2015-04-22,355371.0
2015-04-23,411161.0
2015-04-24,393603.0
2015-04-27,395618.0
2015-04-28,417731.0
2015-04-29,425729.0
2015-04-30,436203.0
2015-05-01,365530.0
2015-05-04,321316.0
2015-05-05,405065.0
2015-05-06,395678.0
2015-05-07,361773.0
2015-05-08,385806.0
2015-05-11,422413.0
2015-05-12,433852.0
2015-05-13,376395.0
2015-05-14,422976.0
2015-05-15,388676.0
2015-05-18,372328.0
2015-05-19,422975.0
2015-05-20,345308.0
2015-05-21,460231.0
2015-05-22,312028.0
2015-05-26,432765.0
2015-05-27,420637.0
2015-05-28,415348.0
2015-05-29,353131.0
2015-06-01,370505.0
2015-06-02,405354.0
2015-06-03,387235.0
2015-06-04,464342.0
2015-06-05,420345.0
2015-06-08,330476.0
2015-06-09,391257.0
2015-06-10,411780.0
2015-06-11,444749.0
2015-06-12,394981.0
2015-06-15,341908.0
2015-06-16,429273.0
2015-06-17,412888.0
2015-06-18,402859.0
2015-06-19,354240.0
2015-06-22,464000.0
2015-06-23,399970.0
2015-06-24,426345.0
2015-06-25,400188.0
2015-06-26,411239.0
2015-06-29,432603.0
2015-06-30,326259.0
2015-07-01,392702.0
2015-07-02,340084.0
2015-07-06,336515.0
2015-07-07,389526.0
2015-07-08,390818.0
2015-07-09,402755.0
2015-07-10,436098.0
2015-07-13,374919.0
2015-07-14,388484.0
2015-07-15,350226.0
2015-07-16,404817.0
2015-07-17,390236.0
2015-07-20,446328.0
2015-07-21,345200.0
2015-07-22,403304.0
2015-07-23,374049.0
2015-07-24,356695.0
2015-07-27,431726.0
2015-07-28,451965.0
2015-07-29,414257.0
2015-07-30,408453.0
2015-07-31,437965.0
2015-08-03,371929.0
2015-08-04,427187.0
2015-08-05,359823.0
2015-08-06,408372.0
2015-08-07,405658.0
2015-08-10,356310.0
2015-08-11,399496.0
2015-08-12,325182.0
2015-08-13,407279.0
2015-08-14,387075.0
2015-08-17,440895.0
2015-08-18,352892.0
2015-08-19,404941.0
2015-08-20,429500.0
2015-08-21,423682.0
2015-08-24,381289.0
2015-08-25,440072.0
2015-08-26,417341.0
2015-08-27,370328.0
2015-08-28,381452.0
2015-08-31,391743.0
2015-09-01,396766.0
2015-09-02,480016.0
2015-09-03,392070.0
2015-09-04,475436.0
2015-09-08,442207.0
2015-09-09,380014.0
2015-09-10,406403.0
2015-09-11,318031.0
2015-09-14,388251.0
2015-09-15,395135.0
2015-09-16,375853.0
2015-09-17,423218.0
2015-09-18,452951.0
2015-09-21,398991.0
2015-09-22,392274.0
2015-09-23,410625.0
2015-09-24,434734.0
2015-09-25,361520.0
2015-09-28,402904.0
2015-09-29,468980.0
2015-09-30,351761.0
2015-10-01,407978.0
2015-10-02,411899.0
2015-10-05,395183.0
2015-10-06,385593.0
2015-10-07,390590.0
2015-10-08,387897.0
2015-10-09,391847.0
2015-10-12,463705.0
2015-10-13,441876.0
2015-10-14,437906.0
2015-10-15,332294.0
2015-10-16,367727.0
2015-10-19,485534.0
2015-10-20,396279.0
2015-10-21,394200.0
2015-10-22,414955.0
2015-10-23,439889.0
2015-10-26,376792.0
2015-10-27,421663.0
2015-10-28,393612.0
2015-10-29,349620.0
2015-10-30,413962.0
2015-11-02,430852.0
2015-11-03,339801.0
2015-11-04,359570.0
2015-11-05,330116.0
2015-11-06,417412.0
2015-11-09,423482.0
2015-11-10,356953.0
2015-11-11,364151.0
2015-11-12,445791.0
2015-11-13,434390.0
2015-11-16,416228.0
2015-11-17,377143.0
2015-11-18,336398.0
2015-11-19,384336.0
2015-11-20,426902.0
2015-11-23,408314.0
2015-11-24,356155.0
2015-11-25,320468.0
2015-11-27,426549.0
2015-11-30,466499.0
2015-12-01,338631.0
2015-12-02,421238.0
2015-12-03,441487.0
2015-12-04,431601.0
2015-12-07,456305.0
2015-12-08,374585.0
