date,value
2015-03-31,1194214.0
2015-04-01,1045876.0
2015-04-02,1362223.0
2015-04-06,1401731.0
2015-04-07,1080852.0
2015-04-08,1340131.0
2015-04-09,1258605.0
2015-04-10,1403794.0
2015-04-13,1066455.0
2015-04-14,1213475.0
2015-04-15,1129348.0
2015-04-16,1498707.0
2015-04-17,1204537.0
2015-04-20,1322253.0
2015-04-21,1162087.0
2015-04-22,1494850.0
2015-04-23,1164482.0
2015-04-24,1322005.0
2015-04-27,1378605.0
2015-04-28,1083196.0
2015-04-29,1191954.0
2015-04-30,1357714.0
2015-05-01,1372250.0
2015-05-04,1265513.0
2015-05-05,1247596.0
2015-05-06,1431056.0
2015-05-07,1382587.0
2015-05-08,1300474.0
2015-05-11,1601268.0
2015-05-12,1337219.0
2015-05-13,1190710.0
2015-05-14,1223746.0
2015-05-15,1352610.0
2015-05-18,1437045.0
2015-05-19,1224140.0
2015-05-20,1248107.0
2015-05-21,1471706.0
2015-05-22,1423792.0
2015-05-26,1153956.0
2015-05-27,1622616.0
2015-05-28,1265359.0
2015-05-29,1688746.0
2015-06-01,1232299.0
2015-06-02,1244657.0
2015-06-03,1432492.0
2015-06-04,1134905.0
2015-06-05,1220097.0
2015-06-08,1419276.0
2015-06-09,1394107.0
2015-06-10,1408505.0
2015-06-11,1291233.0
2015-06-12,1367354.0
2015-06-15,1292729.0
2015-06-16,1327709.0
2015-06-17,1229695.0
2015-06-18,1253869.0
2015-06-19,1310513.0
2015-06-22,1183418.0
2015-06-23,1351952.0
2015-06-24,1399068.0
2015-06-25,1328594.0
2015-06-26,1456714.0
2015-06-29,1364481.0
2015-06-30,1352230.0
2015-07-01,1493579.0
2015-07-02,1431104.0
2015-07-06,1375791.0
2015-07-07,1278115.0
2015-07-08,1334602.0
2015-07-09,1460281.0
2015-07-10,1481435.0
2015-07-13,1407588.0
2015-07-14,1457142.0
2015-07-15,1342539.0
2015-07-16,1220316.0
2015-07-17,1384270.0
2015-07-20,1453368.0
2015-07-21,1413373.0
2015-07-22,1483071.0
2015-07-23,1331676.0
2015-07-24,1489908.0
2015-07-27,1217594.0
2015-07-28,1320607.0
2015-07-29,1301156.0
2015-07-30,1582233.0
2015-07-31,1348293.0
2015-08-03,1689307.0
2015-08-04,1167479.0
2015-08-05,1414398.0
2015-08-06,1210235.0
2015-08-07,1394267.0
2015-08-10,1438565.0
2015-08-11,1531405.0
2015-08-12,1432132.0
2015-08-13,1258571.0
2015-08-14,1529357.0
2015-08-17,1363583.0
2015-08-18,1391809.0
2015-08-19,1545338.0
2015-08-20,1412279.0
2015-08-21,1214694.0
