date,value
2015-03-31,107103.0
2015-04-01,129923.0
2015-04-02,131485.0
2015-04-06,135994.0
2015-04-07,146793.0
2015-04-08,131819.0
2015-04-09,128904.0
2015-04-10,146785.0
2015-04-13,126477.0
2015-04-14,113620.0
2015-04-15,119043.0
2015-04-16,142035.0
2015-04-17,127547.0
2015-04-20,104506.0
2015-04-21,143058.0
2015-04-22,109697.0
2015-04-23,96244.0
2015-04-24,129542.0
2015-04-27,121196.0
2015-04-28,110127.0
2015-04-29,128779.0
2015-04-30,141587.0
2015-05-01,124240.0
2015-05-04,109320.0
2015-05-05,154992.0
2015-05-06,105884.0
2015-05-07,161777.0
2015-05-08,135635.0
2015-05-11,110937.0
2015-05-12,134201.0
2015-05-13,130464.0
2015-05-14,126558.0
2015-05-15,123390.0
2015-05-18,140753.0
2015-05-19,115929.0
2015-05-20,142535.0
2015-05-21,102240.0
2015-05-22,119417.0
2015-05-26,126649.0
2015-05-27,142805.0
2015-05-28,131352.0
2015-05-29,126802.0
2015-06-01,145291.0
2015-06-02,125476.0
2015-06-03,132454.0
2015-06-04,125208.0
2015-06-05,134905.0
2015-06-08,112382.0
2015-06-09,109996.0
2015-06-10,120677.0
2015-06-11,135486.0
2015-06-12,124505.0
2015-06-15,157547.0
2015-06-16,95984.0
2015-06-17,149124.0
2015-06-18,135355.0
2015-06-19,105641.0
2015-06-22,137891.0
2015-06-23,145882.0
2015-06-24,160140.0
2015-06-25,127915.0
2015-06-26,139492.0
2015-06-29,143241.0
2015-06-30,140801.0
2015-07-01,127059.0
2015-07-02,139161.0
2015-07-06,160623.0
2015-07-07,133998.0
2015-07-08,129115.0
2015-07-09,139159.0
2015-07-10,128147.0
2015-07-13,143950.0
2015-07-14,172606.0
2015-07-15,130493.0
2015-07-16,170401.0
2015-07-17,133843.0
2015-07-20,145157.0
2015-07-21,122934.0
2015-07-22,161605.0
2015-07-23,137683.0
2015-07-24,150555.0
2015-07-27,144959.0
2015-07-28,137364.0
2015-07-29,165070.0
2015-07-30,141213.0
2015-07-31,167805.0
2015-08-03,148792.0
2015-08-04,135443.0
2015-08-05,147217.0
2015-08-06,134581.0
2015-08-07,156176.0
2015-08-10,140913.0
2015-08-11,139929.0
2015-08-12,142937.0
2015-08-13,118648.0
2015-08-14,156873.0
2015-08-17,160466.0
2015-08-18,141795.0
2015-08-19,127818.0
2015-08-20,136997.0
2015-08-21,152018.0
2015-08-24,134621.0
2015-08-25,124650.0
2015-08-26,150516.0
2015-08-27,140165.0
2015-08-28,125185.0
2015-08-31,155771.0
2015-09-01,152964.0
2015-09-02,147040.0
2015-09-03,153633.0
2015-09-04,143843.0
2015-09-08,142188.0
2015-09-09,143784.0
2015-09-10,140364.0
2015-09-11,132488.0
2015-09-14,132739.0
2015-09-15,150768.0
2015-09-16,161131.0
2015-09-17,122803.0
2015-09-18,160734.0
2015-09-21,150784.0
2015-09-22,126323.0
2015-09-23,124120.0
2015-09-24,164662.0
2015-09-25,150100.0
2015-09-28,114821.0
2015-09-29,168732.0
2015-09-30,164678.0
2015-10-01,133537.0
2015-10-02,141059.0
2015-10-05,159087.0
2015-10-06,130301.0
2015-10-07,146192.0
2015-10-08,151785.0
2015-10-09,152178.0
2015-10-12,133821.0
2015-10-13,136354.0
2015-10-14,159962.0
2015-10-15,135148.0
2015-10-16,132171.0
2015-10-19,136333.0
2015-10-20,114353.0
2015-10-21,134532.0
2015-10-22,128767.0
2015-10-23,124950.0
2015-10-26,137677.0
2015-10-27,142221.0
2015-10-28,154086.0
2015-10-29,156681.0
2015-10-30,131100.0
2015-11-02,158406.0
2015-11-03,153057.0
2015-11-04,137639.0
2015-11-05,127312.0
2015-11-06,153708.0
2015-11-09,157199.0
2015-11-10,141978.0
2015-11-11,131849.0
2015-11-12,129101.0
2015-11-13,144714.0
2015-11-16,147451.0
2015-11-17,142061.0
2015-11-18,141084.0
2015-11-19,128506.0
2015-11-20,122681.0
2015-11-23,141071.0
2015-11-24,143603.0
2015-11-25,137912.0
2015-11-27,136258.0
2015-11-30,147767.0
2015-12-01,123299.0
2015-12-02,130637.0
2015-12-03,128647.0
2015-12-04,143741.0
2015-12-07,134482.0
2015-12-08,152291.0
2015-12-09,127306.0
2015-12-10,137444.0
2015-12-11,144506.0
2015-12-14,130177.0
2015-12-15,125841.0
2015-12-16,134727.0
2015-12-17,117551.0
2015-12-18,150528.0
2015-12-21,138585.0
2015-12-22,156983.0
2015-12-23,119851.0
2015-12-24,136272.0
2015-12-28,133115.0
2015-12-29,153495.0
2015-12-30,117230.0
2015-12-31,141620.0
2016-01-04,116745.0
2016-01-05,125867.0
2016-01-06,143905.0
2016-01-07,132500.0
2016-01-08,125566.0
2016-01-11,125863.0
2016-01-12,119910.0
2016-01-13,112878.0
2016-01-14,93999.0
2016-01-15,164458.0
2016-01-19,110107.0
2016-01-20,119279.0
2016-01-21,132517.0
2016-01-22,129151.0
2016-01-25,135524.0
2016-01-26,120894.0
2016-01-27,128124.0
2016-01-28,151019.0
2016-01-29,149872.0
2016-02-01,132705.0
2016-02-02,154594.0
2016-02-03,111887.0
2016-02-04,134597.0
2016-02-05,126621.0
2016-02-08,124540.0
2016-02-09,108042.0
2016-02-10,131926.0
2016-02-11,125717.0
2016-02-12,112911.0
2016-02-16,145994.0
2016-02-17,131858.0
2016-02-18,113257.0
2016-02-19,120008.0
2016-02-22,131140.0
2016-02-23,133650.0
2016-02-24,101947.0
2016-02-25,119349.0
2016-02-26,139588.0
2016-02-29,116057.0
2016-03-01,131334.0
2016-03-02,113138.0
2016-03-03,133626.0
2016-03-04,124425.0
