date,value
2015-03-31,288980.0
2015-04-01,298748.0
2015-04-02,274428.0
2015-04-06,300465.0
2015-04-07,260132.0
2015-04-08,289624.0
2015-04-09,290077.0
2015-04-10,352182.0
2015-04-13,331676.0
2015-04-14,346308.0
2015-04-15,308407.0
2015-04-16,307334.0
2015-04-17,289989.0
2015-04-20,272514.0
2015-04-21,248866.0
2015-04-22,293541.0
2015-04-23,284821.0
2015-04-24,261280.0
2015-04-27,345903.0
2015-04-28,318663.0
2015-04-29,313733.0
2015-04-30,341006.0
2015-05-01,311152.0
2015-05-04,290367.0
2015-05-05,324508.0
2015-05-06,325843.0
2015-05-07,343726.0
2015-05-08,303513.0
2015-05-11,296869.0
2015-05-12,310849.0
2015-05-13,308399.0
2015-05-14,320392.0
2015-05-15,322784.0
2015-05-18,335843.0
2015-05-19,345739.0
2015-05-20,241292.0
2015-05-21,301140.0
2015-05-22,294582.0
2015-05-26,349355.0
2015-05-27,345188.0
2015-05-28,289987.0
2015-05-29,369397.0
2015-06-01,349261.0
2015-06-02,285364.0
2015-06-03,357337.0
2015-06-04,258841.0
2015-06-05,306170.0
2015-06-08,305527.0
2015-06-09,280148.0
2015-06-10,319063.0
2015-06-11,325051.0
2015-06-12,295625.0
2015-06-15,315491.0
2015-06-16,318368.0
2015-06-17,268409.0
2015-06-18,294545.0
2015-06-19,287519.0
2015-06-22,339033.0
2015-06-23,329487.0
2015-06-24,295862.0
2015-06-25,327551.0
2015-06-26,335795.0
2015-06-29,281892.0
2015-06-30,303068.0
2015-07-01,283848.0
2015-07-02,301410.0
2015-07-06,310561.0
2015-07-07,366910.0
2015-07-08,330487.0
2015-07-09,292024.0
2015-07-10,286723.0
2015-07-13,293388.0
2015-07-14,251586.0
2015-07-15,346862.0
2015-07-16,326493.0
2015-07-17,278181.0
2015-07-20,358869.0
2015-07-21,293173.0
2015-07-22,286522.0
2015-07-23,341267.0
2015-07-24,373858.0
2015-07-27,285501.0
2015-07-28,255320.0
2015-07-29,256458.0
2015-07-30,313249.0
2015-07-31,362414.0
2015-08-03,295881.0
2015-08-04,344853.0
2015-08-05,325753.0
2015-08-06,333300.0
2015-08-07,363138.0
2015-08-10,269836.0
2015-08-11,303097.0
2015-08-12,342454.0
2015-08-13,342118.0
2015-08-14,316437.0
2015-08-17,392072.0
2015-08-18,353596.0
2015-08-19,320704.0
2015-08-20,288129.0
2015-08-21,300333.0
2015-08-24,302977.0
2015-08-25,316956.0
2015-08-26,303782.0
2015-08-27,360856.0
2015-08-28,381783.0
2015-08-31,311351.0
2015-09-01,278502.0
2015-09-02,351996.0
2015-09-03,288638.0
2015-09-04,346599.0
2015-09-08,327865.0
2015-09-09,371003.0
2015-09-10,358970.0
2015-09-11,309376.0
2015-09-14,220214.0
2015-09-15,312186.0
2015-09-16,316443.0
2015-09-17,323736.0
2015-09-18,292855.0
2015-09-21,372637.0
2015-09-22,376023.0
2015-09-23,300940.0
2015-09-24,349397.0
2015-09-25,349211.0
2015-09-28,320736.0
2015-09-29,328150.0
2015-09-30,268912.0
2015-10-01,296916.0
2015-10-02,387005.0
2015-10-05,336688.0
2015-10-06,357000.0
2015-10-07,361419.0
2015-10-08,331914.0
2015-10-09,339388.0
2015-10-12,324062.0
2015-10-13,344467.0
2015-10-14,319656.0
2015-10-15,363373.0
2015-10-16,388881.0
2015-10-19,267159.0
2015-10-20,307913.0
2015-10-21,326120.0
2015-10-22,349844.0
2015-10-23,315379.0
2015-10-26,268626.0
2015-10-27,262000.0
2015-10-28,357711.0
2015-10-29,298859.0
2015-10-30,347604.0
2015-11-02,330177.0
2015-11-03,315262.0
2015-11-04,359460.0
2015-11-05,334075.0
2015-11-06,306172.0
2015-11-09,339349.0
