date,value
2015-03-31,194563.0
2015-04-01,205384.0
2015-04-02,161253.0
2015-04-06,189642.0
2015-04-07,175868.0
2015-04-08,196915.0
2015-04-09,171085.0
2015-04-10,146907.0
2015-04-13,139463.0
2015-04-14,127381.0
2015-04-15,154399.0
2015-04-16,148601.0
2015-04-17,161905.0
2015-04-20,122049.0
2015-04-21,169371.0
2015-04-22,147983.0
2015-04-23,110168.0
2015-04-24,152628.0
2015-04-27,130029.0
2015-04-28,148821.0
2015-04-29,147040.0
2015-04-30,137715.0
2015-05-01,143313.0
2015-05-04,136521.0
2015-05-05,119151.0
2015-05-06,109115.0
2015-05-07,141124.0
2015-05-08,122425.0
2015-05-11,118162.0
2015-05-12,120375.0
2015-05-13,140464.0
2015-05-14,108515.0
2015-05-15,100671.0
2015-05-18,109358.0
2015-05-19,102178.0
2015-05-20,125170.0
2015-05-21,113050.0
2015-05-22,112898.0
2015-05-26,90658.0
2015-05-27,87119.0
2015-05-28,108048.0
2015-05-29,99408.0
2015-06-01,79983.0
2015-06-02,99025.0
2015-06-03,85995.0
2015-06-04,93195.0
2015-06-05,77327.0
2015-06-08,83087.0
2015-06-09,72857.0
2015-06-10,63606.0
2015-06-11,65854.0
2015-06-12,85734.0
2015-06-15,57867.0
2015-06-16,67780.0
2015-06-17,64086.0
2015-06-18,60310.0
2015-06-19,65824.0
2015-06-22,48933.0
2015-06-23,54255.0
2015-06-24,50819.0
2015-06-25,55260.0
2015-06-26,54025.0
2015-06-29,41061.0
2015-06-30,43666.0
2015-07-01,45118.0
2015-07-02,43936.0
2015-07-06,41442.0
2015-07-07,45211.0
2015-07-08,48009.0
2015-07-09,40412.0
2015-07-10,44337.0
2015-07-13,52885.0
2015-07-14,44116.0
2015-07-15,36772.0
2015-07-16,41272.0
2015-07-17,44606.0
2015-07-20,54723.0
2015-07-21,49818.0
2015-07-22,49511.0
2015-07-23,44336.0
2015-07-24,49768.0
2015-07-27,49809.0
2015-07-28,47008.0
2015-07-29,47273.0
2015-07-30,49584.0
2015-07-31,55488.0
2015-08-03,53348.0
2015-08-04,40364.0
2015-08-05,47231.0
2015-08-06,52636.0
2015-08-07,52325.0
2015-08-10,51129.0
2015-08-11,49711.0
2015-08-12,56189.0
2015-08-13,50923.0
2015-08-14,54510.0
2015-08-17,56863.0
2015-08-18,59757.0
2015-08-19,52482.0
2015-08-20,65554.0
2015-08-21,58384.0
2015-08-24,50935.0
2015-08-25,57055.0
2015-08-26,48490.0
2015-08-27,55656.0
2015-08-28,58171.0
2015-08-31,55482.0
2015-09-01,65767.0
2015-09-02,51829.0
2015-09-03,57699.0
2015-09-04,51400.0
2015-09-08,53793.0
2015-09-09,65143.0
2015-09-10,50758.0
2015-09-11,47397.0
2015-09-14,59337.0
2015-09-15,64488.0
2015-09-16,54982.0
2015-09-17,62986.0
2015-09-18,58341.0
2015-09-21,53371.0
2015-09-22,46100.0
2015-09-23,66465.0
2015-09-24,48958.0
2015-09-25,53678.0
2015-09-28,51876.0
2015-09-29,48219.0
2015-09-30,52874.0
2015-10-01,63421.0
2015-10-02,64287.0
2015-10-05,53916.0
2015-10-06,60356.0
2015-10-07,50558.0
2015-10-08,66201.0
2015-10-09,56955.0
2015-10-12,63636.0
2015-10-13,62945.0
2015-10-14,62446.0
2015-10-15,72476.0
2015-10-16,77202.0
2015-10-19,64083.0
2015-10-20,66370.0
2015-10-21,60402.0
2015-10-22,65092.0
2015-10-23,74793.0
2015-10-26,57059.0
2015-10-27,65158.0
2015-10-28,68923.0
2015-10-29,70819.0
2015-10-30,63869.0
2015-11-02,69097.0
2015-11-03,63138.0
2015-11-04,78480.0
2015-11-05,59300.0
2015-11-06,63423.0
2015-11-09,69233.0
2015-11-10,62480.0
2015-11-11,69305.0
2015-11-12,74391.0
2015-11-13,73970.0
2015-11-16,77449.0
2015-11-17,75425.0
2015-11-18,75166.0
2015-11-19,75580.0
2015-11-20,69917.0
2015-11-23,65884.0
2015-11-24,65802.0
2015-11-25,69499.0
2015-11-27,63615.0
2015-11-30,68211.0
2015-12-01,71126.0
2015-12-02,70185.0
