date,value
2015-03-31,76727.0
2015-04-01,92504.0
2015-04-02,75903.0
2015-04-06,78007.0
2015-04-07,95818.0
2015-04-08,83449.0
2015-04-09,78550.0
2015-04-10,91998.0
2015-04-13,85705.0
2015-04-14,95576.0
2015-04-15,86214.0
2015-04-16,77019.0
2015-04-17,75145.0
2015-04-20,104609.0
2015-04-21,86916.0
2015-04-22,81801.0
2015-04-23,84531.0
2015-04-24,75273.0
2015-04-27,101663.0
2015-04-28,95008.0
2015-04-29,90572.0
2015-04-30,91651.0
2015-05-01,75270.0
2015-05-04,82179.0
2015-05-05,80024.0
2015-05-06,101743.0
2015-05-07,77286.0
2015-05-08,85664.0
2015-05-11,87270.0
2015-05-12,76726.0
2015-05-13,74365.0
2015-05-14,94842.0
2015-05-15,81104.0
2015-05-18,90501.0
2015-05-19,83031.0
2015-05-20,101856.0
2015-05-21,96489.0
2015-05-22,84018.0
2015-05-26,81285.0
2015-05-27,105150.0
2015-05-28,81157.0
2015-05-29,97568.0
2015-06-01,95054.0
2015-06-02,89161.0
2015-06-03,76846.0
2015-06-04,91397.0
2015-06-05,94537.0
2015-06-08,82020.0
2015-06-09,90589.0
2015-06-10,83188.0
2015-06-11,83333.0
2015-06-12,80726.0
2015-06-15,93638.0
2015-06-16,94390.0
2015-06-17,89328.0
2015-06-18,98442.0
2015-06-19,103021.0
2015-06-22,75744.0
2015-06-23,99320.0
2015-06-24,77828.0
2015-06-25,81572.0
2015-06-26,83872.0
2015-06-29,99589.0
2015-06-30,87215.0
2015-07-01,85274.0
2015-07-02,101876.0
2015-07-06,91757.0
2015-07-07,91113.0
2015-07-08,86245.0
2015-07-09,87291.0
2015-07-10,75719.0
2015-07-13,115292.0
2015-07-14,102307.0
2015-07-15,80109.0
2015-07-16,102648.0
2015-07-17,107747.0
2015-07-20,104044.0
2015-07-21,94702.0
2015-07-22,96692.0
2015-07-23,114180.0
2015-07-24,100885.0
2015-07-27,102048.0
2015-07-28,99359.0
2015-07-29,110363.0
2015-07-30,104642.0
2015-07-31,100203.0
2015-08-03,117435.0
2015-08-04,94042.0
2015-08-05,102759.0
2015-08-06,91739.0
2015-08-07,119062.0
2015-08-10,124212.0
2015-08-11,104062.0
2015-08-12,113102.0
2015-08-13,113827.0
2015-08-14,130022.0
2015-08-17,112043.0
2015-08-18,123491.0
2015-08-19,97304.0
2015-08-20,104651.0
2015-08-21,111124.0
2015-08-24,125194.0
2015-08-25,122454.0
2015-08-26,126694.0
2015-08-27,127930.0
2015-08-28,135494.0
2015-08-31,125701.0
2015-09-01,111597.0
2015-09-02,121623.0
2015-09-03,112877.0
2015-09-04,111045.0
2015-09-08,110233.0
2015-09-09,121260.0
2015-09-10,126571.0
2015-09-11,122329.0
2015-09-14,143252.0
2015-09-15,102041.0
2015-09-16,132022.0
2015-09-17,120209.0
2015-09-18,117343.0
2015-09-21,118039.0
2015-09-22,147857.0
2015-09-23,112467.0
2015-09-24,124108.0
2015-09-25,122520.0
2015-09-28,118472.0
