date,value
2015-03-31,1132867.0
2015-04-01,1080875.0
2015-04-02,1065517.0
2015-04-06,1019423.0
2015-04-07,1125605.0
2015-04-08,1111408.0
2015-04-09,1237832.0
2015-04-10,1359166.0
2015-04-13,1284866.0
2015-04-14,1218075.0
2015-04-15,1069472.0
2015-04-16,1308254.0
2015-04-17,1232848.0
2015-04-20,1044033.0
2015-04-21,1265798.0
2015-04-22,1047732.0
2015-04-23,1234762.0
2015-04-24,1147453.0
2015-04-27,1145196.0
2015-04-28,1203567.0
2015-04-29,1126853.0
2015-04-30,1151440.0
2015-05-01,1268932.0
2015-05-04,1076645.0
2015-05-05,1265683.0
2015-05-06,1349798.0
2015-05-07,1239300.0
2015-05-08,1157827.0
2015-05-11,885193.0
2015-05-12,1035884.0
2015-05-13,1166510.0
2015-05-14,1141759.0
2015-05-15,1217145.0
2015-05-18,1153156.0
2015-05-19,1058606.0
2015-05-20,1026049.0
2015-05-21,1012543.0
2015-05-22,1022939.0
2015-05-26,1195633.0
2015-05-27,1208164.0
2015-05-28,1303149.0
2015-05-29,1116789.0
2015-06-01,1170379.0
2015-06-02,1316566.0
2015-06-03,1379593.0
2015-06-04,1163162.0
2015-06-05,1265762.0
2015-06-08,960111.0
2015-06-09,1227186.0
2015-06-10,1121753.0
2015-06-11,1328824.0
2015-06-12,1324180.0
2015-06-15,1193792.0
2015-06-16,1303976.0
2015-06-17,1449534.0
2015-06-18,997522.0
2015-06-19,929033.0
2015-06-22,1252643.0
2015-06-23,1252362.0
2015-06-24,1207266.0
2015-06-25,1183441.0
2015-06-26,1337659.0
2015-06-29,1256552.0
2015-06-30,1181877.0
2015-07-01,1050656.0
2015-07-02,1244478.0
2015-07-06,1322141.0
2015-07-07,1093516.0
2015-07-08,1295023.0
2015-07-09,1099467.0
2015-07-10,1197644.0
2015-07-13,1154796.0
2015-07-14,1150848.0
2015-07-15,1098307.0
2015-07-16,1251219.0
2015-07-17,1357205.0
2015-07-20,1404736.0
2015-07-21,1298696.0
2015-07-22,899288.0
2015-07-23,1009375.0
2015-07-24,1089503.0
2015-07-27,1230897.0
2015-07-28,1400975.0
2015-07-29,1319634.0
2015-07-30,1013097.0
2015-07-31,1376300.0
2015-08-03,916870.0
2015-08-04,1309771.0
2015-08-05,1270405.0
2015-08-06,1422908.0
2015-08-07,1447485.0
2015-08-10,1309610.0
2015-08-11,1570025.0
2015-08-12,1205466.0
2015-08-13,1217385.0
2015-08-14,1419172.0
2015-08-17,1527379.0
2015-08-18,1150709.0
2015-08-19,1323404.0
2015-08-20,1446263.0
2015-08-21,1288728.0
2015-08-24,1328225.0
2015-08-25,1129647.0
2015-08-26,1386927.0
2015-08-27,1318809.0
2015-08-28,1170322.0
2015-08-31,1288069.0
2015-09-01,1249277.0
2015-09-02,1163125.0
2015-09-03,1491252.0
2015-09-04,1240485.0
2015-09-08,1355251.0
2015-09-09,1451689.0
2015-09-10,1362846.0
2015-09-11,1412566.0
2015-09-14,1283826.0
2015-09-15,1485713.0
2015-09-16,1255011.0
2015-09-17,1477313.0
2015-09-18,1445564.0
2015-09-21,1632205.0
2015-09-22,1375813.0
2015-09-23,1148067.0
2015-09-24,1322431.0
2015-09-25,1403501.0
2015-09-28,1392923.0
2015-09-29,1290216.0
2015-09-30,1263806.0
2015-10-01,1275655.0
2015-10-02,1477210.0
2015-10-05,1558289.0
2015-10-06,1441801.0
2015-10-07,1259389.0
2015-10-08,1327915.0
2015-10-09,1378839.0
2015-10-12,1365566.0
2015-10-13,1233339.0
2015-10-14,1505870.0
2015-10-15,1476126.0
2015-10-16,1324213.0
2015-10-19,1301659.0
2015-10-20,1373441.0
2015-10-21,1263394.0
2015-10-22,1345061.0
2015-10-23,1172618.0
2015-10-26,1673120.0
2015-10-27,1395941.0
2015-10-28,1346295.0
2015-10-29,1006460.0
2015-10-30,1328158.0
2015-11-02,1072548.0
2015-11-03,1209552.0
2015-11-04,1461430.0
2015-11-05,1690090.0
2015-11-06,1244697.0
2015-11-09,1497751.0
2015-11-10,1466050.0
2015-11-11,1535526.0
2015-11-12,1250336.0
2015-11-13,1357061.0
2015-11-16,1193747.0
2015-11-17,1031868.0
2015-11-18,1374976.0
2015-11-19,1349340.0
2015-11-20,1185575.0
2015-11-23,1252793.0
2015-11-24,1406577.0
2015-11-25,1348568.0
2015-11-27,1330822.0
2015-11-30,1434892.0
2015-12-01,1263827.0
2015-12-02,1208180.0
2015-12-03,1417752.0
2015-12-04,1436901.0
