date,value
2015-03-31,2160780.0
2015-04-01,2369175.0
2015-04-02,2272559.0
2015-04-06,2743069.0
2015-04-07,2606251.0
2015-04-08,2779527.0
2015-04-09,2411896.0
2015-04-10,2584380.0
2015-04-13,2546654.0
2015-04-14,2596322.0
2015-04-15,2453412.0
2015-04-16,2472407.0
2015-04-17,2715493.0
2015-04-20,2810632.0
2015-04-21,2148118.0
2015-04-22,2243259.0
2015-04-23,3057446.0
2015-04-24,2653732.0
2015-04-27,2913109.0
2015-04-28,2069193.0
2015-04-29,2382867.0
2015-04-30,2824372.0
2015-05-01,3229728.0
2015-05-04,2674095.0
2015-05-05,2350986.0
2015-05-06,2448580.0
2015-05-07,2496232.0
2015-05-08,2801355.0
2015-05-11,2915196.0
2015-05-12,2712853.0
2015-05-13,2677092.0
2015-05-14,2473414.0
2015-05-15,2702304.0
2015-05-18,2732953.0
2015-05-19,2822557.0
2015-05-20,2990172.0
2015-05-21,3103243.0
2015-05-22,2558333.0
2015-05-26,2789499.0
2015-05-27,2757789.0
2015-05-28,2409036.0
2015-05-29,2652086.0
2015-06-01,3072198.0
2015-06-02,3044171.0
2015-06-03,2539765.0
2015-06-04,2898030.0
2015-06-05,2650958.0
2015-06-08,2740734.0
2015-06-09,2685878.0
2015-06-10,3612619.0
2015-06-11,3110954.0
2015-06-12,3265112.0
2015-06-15,2261896.0
2015-06-16,2143165.0
2015-06-17,2764314.0
2015-06-18,3319295.0
2015-06-19,2968615.0
2015-06-22,2403365.0
2015-06-23,2397126.0
2015-06-24,2620825.0
2015-06-25,2965413.0
2015-06-26,3056137.0
2015-06-29,2596300.0
2015-06-30,3547601.0
2015-07-01,2784299.0
2015-07-02,2876455.0
2015-07-06,2830452.0
2015-07-07,2796122.0
2015-07-08,2912331.0
2015-07-09,3032142.0
2015-07-10,2606289.0
2015-07-13,2995310.0
2015-07-14,3003760.0
2015-07-15,2879442.0
2015-07-16,2455666.0
2015-07-17,2387578.0
2015-07-20,2716935.0
2015-07-21,2727983.0
2015-07-22,2979062.0
2015-07-23,2873762.0
2015-07-24,2925644.0
2015-07-27,2634089.0
2015-07-28,2675216.0
2015-07-29,2680732.0
2015-07-30,2519172.0
2015-07-31,2539769.0
2015-08-03,3280403.0
2015-08-04,2691425.0
2015-08-05,2668738.0
2015-08-06,1976889.0
2015-08-07,2846636.0
2015-08-10,2641379.0
2015-08-11,2768763.0
2015-08-12,3569871.0
2015-08-13,2793141.0
2015-08-14,3007233.0
2015-08-17,2367924.0
2015-08-18,3077244.0
2015-08-19,2778240.0
2015-08-20,2585912.0
2015-08-21,2876698.0
2015-08-24,3487379.0
2015-08-25,2788418.0
2015-08-26,2358911.0
2015-08-27,2778810.0
2015-08-28,3147338.0
2015-08-31,2661647.0
2015-09-01,3298089.0
2015-09-02,2469389.0
2015-09-03,2521145.0
2015-09-04,3155256.0
2015-09-08,2951421.0
2015-09-09,2676491.0
2015-09-10,2659172.0
2015-09-11,3010113.0
2015-09-14,2910368.0
2015-09-15,2773323.0
2015-09-16,2730992.0
2015-09-17,2975698.0
2015-09-18,3388556.0
2015-09-21,2403541.0
2015-09-22,3036438.0
2015-09-23,2801445.0
2015-09-24,2784496.0
2015-09-25,2790526.0
2015-09-28,2407652.0
2015-09-29,2935750.0
2015-09-30,2510046.0
2015-10-01,2854135.0
2015-10-02,2906470.0
2015-10-05,2322456.0
2015-10-06,2961126.0
2015-10-07,3117276.0
2015-10-08,2576018.0
2015-10-09,2362906.0
2015-10-12,2289540.0
2015-10-13,3030919.0
2015-10-14,2647895.0
2015-10-15,3117869.0
2015-10-16,2795553.0
2015-10-19,2733098.0
2015-10-20,2878199.0
2015-10-21,2659657.0
2015-10-22,2564783.0
2015-10-23,3018300.0
2015-10-26,3216052.0
2015-10-27,2174063.0
2015-10-28,2597352.0
2015-10-29,2828392.0
2015-10-30,2418771.0
2015-11-02,2837219.0
2015-11-03,3236830.0
2015-11-04,3281963.0
2015-11-05,2472001.0
2015-11-06,2781846.0
2015-11-09,2713171.0
2015-11-10,2867922.0
2015-11-11,2501475.0
2015-11-12,2389273.0
2015-11-13,2973123.0
2015-11-16,2805392.0
2015-11-17,2634896.0
2015-11-18,3153227.0
2015-11-19,3039855.0
2015-11-20,2781026.0
2015-11-23,2409280.0
2015-11-24,3103274.0
2015-11-25,2892845.0
2015-11-27,3089786.0
2015-11-30,3515246.0
2015-12-01,3026681.0
2015-12-02,2801897.0
2015-12-03,2851841.0
2015-12-04,2865020.0
2015-12-07,3187486.0
2015-12-08,2701489.0
2015-12-09,3052378.0
2015-12-10,3130271.0
2015-12-11,2612619.0
2015-12-14,2498364.0
2015-12-15,2924243.0
2015-12-16,2830795.0
2015-12-17,2878982.0
2015-12-18,2680647.0
2015-12-21,2657067.0
2015-12-22,2790264.0
2015-12-23,2815202.0
2015-12-24,2915969.0
2015-12-28,2197434.0
2015-12-29,2642315.0
2015-12-30,3076275.0
2015-12-31,2574334.0
2016-01-04,2913001.0
2016-01-05,2738565.0
2016-01-06,3295294.0
2016-01-07,2639973.0
2016-01-08,2754712.0
2016-01-11,2994707.0
2016-01-12,2547617.0
2016-01-13,2445323.0
2016-01-14,2516367.0
2016-01-15,2742572.0
2016-01-19,2592459.0
2016-01-20,2894859.0
2016-01-21,2700860.0
2016-01-22,3000456.0
2016-01-25,2589563.0
2016-01-26,3576589.0
2016-01-27,3201817.0
2016-01-28,3015000.0
2016-01-29,2975691.0
2016-02-01,2960446.0
2016-02-02,2621401.0
2016-02-03,3155353.0
2016-02-04,2594400.0
2016-02-05,3081130.0
2016-02-08,3132705.0
2016-02-09,2659176.0
2016-02-10,3163766.0
2016-02-11,3011178.0
2016-02-12,2489209.0
2016-02-16,2718966.0
2016-02-17,3258884.0
2016-02-18,3232657.0
2016-02-19,2725910.0
2016-02-22,2845343.0
2016-02-23,2592807.0
2016-02-24,2628305.0
2016-02-25,2472476.0
2016-02-26,2775049.0
2016-02-29,3097379.0
2016-03-01,2699728.0
2016-03-02,2899375.0
2016-03-03,2916294.0
2016-03-04,2184651.0
2016-03-07,2891841.0
2016-03-08,3312676.0
2016-03-09,2710871.0
2016-03-10,3146448.0
2016-03-11,2805931.0
2016-03-14,2582998.0
2016-03-15,2813188.0
2016-03-16,3181444.0
2016-03-17,2798489.0
2016-03-18,3185971.0
2016-03-21,2634664.0
2016-03-22,3525164.0
2016-03-23,3335733.0
2016-03-24,2996326.0
2016-03-28,3465902.0
2016-03-29,2681600.0
2016-03-30,3106777.0
2016-03-31,2334625.0
2016-04-01,2981799.0
2016-04-04,2763992.0
2016-04-05,3214258.0
2016-04-06,2857041.0
2016-04-07,2960571.0
2016-04-08,3325006.0
2016-04-11,2967544.0
2016-04-12,3136956.0
2016-04-13,3519217.0
2016-04-14,2886855.0
2016-04-15,3158438.0
2016-04-18,3481456.0
2016-04-19,2547335.0
2016-04-20,3074580.0
2016-04-21,2660278.0
2016-04-22,2648969.0
2016-04-25,2999706.0
2016-04-26,2890979.0
2016-04-27,2695493.0
2016-04-28,2582499.0
2016-04-29,3269798.0
2016-05-02,3218016.0
2016-05-03,2960753.0
2016-05-04,3109043.0
2016-05-05,3163478.0
2016-05-06,2860641.0
2016-05-09,2708779.0
2016-05-10,2679412.0
2016-05-11,3232527.0
2016-05-12,2957507.0
2016-05-13,2707329.0
2016-05-16,3003707.0
2016-05-17,2802759.0
2016-05-18,2733163.0
2016-05-19,3042598.0
2016-05-20,2558106.0
2016-05-23,2787741.0
2016-05-24,3038673.0
2016-05-25,3153122.0
2016-05-26,2841396.0
2016-05-27,2807089.0
2016-05-31,2815005.0
2016-06-01,3237891.0
2016-06-02,2521963.0
2016-06-03,2531320.0
2016-06-06,2785617.0
2016-06-07,2946379.0
2016-06-08,2666213.0
2016-06-09,3179477.0
2016-06-10,2232752.0
2016-06-13,2744584.0
2016-06-14,3374625.0
2016-06-15,2873903.0
2016-06-16,2905421.0
2016-06-17,2539514.0
2016-06-20,2581171.0
2016-06-21,3192332.0
2016-06-22,2114677.0
2016-06-23,2619820.0
2016-06-24,3006734.0
2016-06-27,3112732.0
2016-06-28,3032841.0
2016-06-29,2858013.0
2016-06-30,2630386.0
2016-07-01,2768172.0
2016-07-05,3543029.0
2016-07-06,2651454.0
2016-07-07,2779741.0
2016-07-08,2928674.0
2016-07-11,3025007.0
2016-07-12,2692514.0
2016-07-13,2450121.0
2016-07-14,2948167.0
2016-07-15,2657716.0
2016-07-18,3180958.0
2016-07-19,2767372.0
2016-07-20,2816748.0
2016-07-21,3082319.0
2016-07-22,2946845.0
2016-07-25,2706763.0
2016-07-26,3028953.0
2016-07-27,2983335.0
2016-07-28,2203607.0
2016-07-29,2627319.0
2016-08-01,2557231.0
2016-08-02,3013823.0
2016-08-03,3526525.0
2016-08-04,3007053.0
2016-08-05,2717085.0
2016-08-08,2678992.0
2016-08-09,3083939.0
2016-08-10,2390396.0
2016-08-11,2783354.0
2016-08-12,2615783.0
2016-08-15,2833032.0
2016-08-16,3435516.0
2016-08-17,3133116.0
2016-08-18,3096745.0
2016-08-19,2633684.0
2016-08-22,2976492.0
2016-08-23,2763620.0
2016-08-24,3295085.0
2016-08-25,3075532.0
2016-08-26,2344652.0
2016-08-29,2901476.0
2016-08-30,2492410.0
2016-08-31,2923851.0
2016-09-01,3036942.0
2016-09-02,2828877.0
2016-09-06,2678731.0
2016-09-07,3353200.0
2016-09-08,2667968.0
2016-09-09,2503847.0
2016-09-12,2694350.0
2016-09-13,2982066.0
2016-09-14,3383769.0
2016-09-15,2989659.0
2016-09-16,2857111.0
2016-09-19,3284557.0
2016-09-20,2921737.0
2016-09-21,2749165.0
2016-09-22,2992885.0
2016-09-23,3248598.0
2016-09-26,2921608.0
2016-09-27,2294890.0
2016-09-28,2738161.0
2016-09-29,3129607.0
2016-09-30,2641808.0
2016-10-03,2763400.0
2016-10-04,2562302.0
2016-10-05,2905067.0
2016-10-06,2876538.0
2016-10-07,2412386.0
2016-10-10,2991464.0
2016-10-11,2838591.0
2016-10-12,2424808.0
2016-10-13,3039416.0
2016-10-14,2274865.0
2016-10-17,3057245.0
2016-10-18,2606503.0
2016-10-19,2722737.0
2016-10-20,3195249.0
2016-10-21,3109280.0
2016-10-24,3027347.0
2016-10-25,2594702.0
2016-10-26,2662057.0
2016-10-27,2866986.0
2016-10-28,2651880.0
2016-10-31,3075830.0
2016-11-01,2632435.0
2016-11-02,2711905.0
2016-11-03,2626678.0
2016-11-04,2323233.0
2016-11-07,3042334.0
2016-11-08,2318695.0
