date,value
2015-03-31,1697563.0
2015-04-01,1536962.0
2015-04-02,1508205.0
2015-04-06,2080357.0
2015-04-07,1770249.0
2015-04-08,1938398.0
2015-04-09,1929194.0
2015-04-10,1864220.0
2015-04-13,1660028.0
2015-04-14,1948332.0
2015-04-15,1626132.0
2015-04-16,2029883.0
2015-04-17,1628256.0
2015-04-20,1502362.0
2015-04-21,1823176.0
2015-04-22,1573693.0
2015-04-23,1807566.0
2015-04-24,1565674.0
2015-04-27,1758812.0
2015-04-28,1938337.0
2015-04-29,2008397.0
2015-04-30,2007536.0
2015-05-01,1781534.0
2015-05-04,1763001.0
2015-05-05,1745842.0
2015-05-06,1736543.0
2015-05-07,1964257.0
2015-05-08,1737570.0
2015-05-11,1713280.0
2015-05-12,1783455.0
2015-05-13,1671539.0
2015-05-14,1856685.0
2015-05-15,1461472.0
2015-05-18,1668291.0
2015-05-19,1801705.0
2015-05-20,2001889.0
2015-05-21,1685628.0
2015-05-22,1689538.0
2015-05-26,1866613.0
2015-05-27,1783579.0
2015-05-28,1991210.0
2015-05-29,1565187.0
2015-06-01,1811183.0
2015-06-02,1770990.0
2015-06-03,1747699.0
2015-06-04,1688460.0
2015-06-05,1518501.0
2015-06-08,1904445.0
2015-06-09,1930717.0
2015-06-10,2019573.0
2015-06-11,1980935.0
2015-06-12,1595445.0
2015-06-15,1808827.0
2015-06-16,1684856.0
2015-06-17,1676534.0
2015-06-18,2076998.0
2015-06-19,1809713.0
2015-06-22,1925877.0
2015-06-23,1956508.0
2015-06-24,1775921.0
2015-06-25,1680318.0
2015-06-26,1748404.0
2015-06-29,1517569.0
2015-06-30,1894916.0
2015-07-01,1581824.0
2015-07-02,2138140.0
2015-07-06,1944507.0
2015-07-07,1767519.0
2015-07-08,1734179.0
2015-07-09,1309777.0
2015-07-10,1865547.0
2015-07-13,1893657.0
2015-07-14,1753198.0
2015-07-15,1736546.0
2015-07-16,1882219.0
2015-07-17,1692630.0
2015-07-20,2062723.0
2015-07-21,1994795.0
2015-07-22,1994203.0
2015-07-23,1894131.0
2015-07-24,1557127.0
2015-07-27,1838549.0
2015-07-28,1841002.0
2015-07-29,2013432.0
2015-07-30,1946233.0
2015-07-31,1540311.0
2015-08-03,1729817.0
2015-08-04,1748062.0
2015-08-05,1595316.0
2015-08-06,1800167.0
2015-08-07,2006575.0
2015-08-10,1875864.0
2015-08-11,1476804.0
2015-08-12,1747887.0
2015-08-13,1489459.0
2015-08-14,1742185.0
2015-08-17,1732429.0
2015-08-18,1886318.0
2015-08-19,1693863.0
2015-08-20,1511306.0
2015-08-21,1768287.0
2015-08-24,1623758.0
2015-08-25,1948503.0
2015-08-26,1856606.0
2015-08-27,1745920.0
2015-08-28,1837158.0
2015-08-31,1584696.0
2015-09-01,2143419.0
2015-09-02,1990325.0
2015-09-03,2170069.0
2015-09-04,1839649.0
2015-09-08,1775869.0
2015-09-09,1829950.0
2015-09-10,1857153.0
2015-09-11,2064166.0
2015-09-14,1713293.0
2015-09-15,1683377.0
2015-09-16,2085195.0
2015-09-17,2180495.0
2015-09-18,1905508.0
2015-09-21,1578193.0
2015-09-22,1532907.0
2015-09-23,1679537.0
2015-09-24,1913075.0
2015-09-25,2134271.0
2015-09-28,1841759.0
2015-09-29,2220927.0
2015-09-30,2323868.0
2015-10-01,2303968.0
2015-10-02,1978430.0
2015-10-05,1818903.0
2015-10-06,1983917.0
2015-10-07,1809337.0
2015-10-08,1902664.0
2015-10-09,1978762.0
2015-10-12,1951892.0
2015-10-13,2005525.0
2015-10-14,1823504.0
2015-10-15,2018193.0
2015-10-16,1795043.0
2015-10-19,2005973.0
2015-10-20,2044531.0
2015-10-21,2009715.0
2015-10-22,1788883.0
2015-10-23,1995578.0
2015-10-26,1902554.0
2015-10-27,1848449.0
2015-10-28,2325062.0
2015-10-29,1628134.0
2015-10-30,2255083.0
2015-11-02,2120680.0
2015-11-03,2312797.0
2015-11-04,1684780.0
2015-11-05,1843226.0
2015-11-06,1813475.0
2015-11-09,1817422.0
2015-11-10,2047058.0
2015-11-11,1795423.0
2015-11-12,1931467.0
2015-11-13,2001027.0
2015-11-16,2493809.0
2015-11-17,1968733.0
2015-11-18,1861533.0
2015-11-19,2139691.0
2015-11-20,1723340.0
2015-11-23,1662714.0
2015-11-24,2204046.0
2015-11-25,1842302.0
2015-11-27,1923436.0
2015-11-30,1824065.0
2015-12-01,1816438.0
2015-12-02,1953991.0
2015-12-03,1654492.0
2015-12-04,1908565.0
2015-12-07,2335182.0
2015-12-08,1816092.0
2015-12-09,1939162.0
2015-12-10,2190322.0
2015-12-11,1916672.0
2015-12-14,2219488.0
2015-12-15,2022495.0
2015-12-16,1635543.0
2015-12-17,1576700.0
2015-12-18,2015926.0
2015-12-21,2207016.0
2015-12-22,1905459.0
2015-12-23,1639471.0
2015-12-24,2192158.0
2015-12-28,1870035.0
