date,value
2015-03-31,137400.0
2015-04-01,128844.0
2015-04-02,124792.0
2015-04-06,142881.0
2015-04-07,163156.0
2015-04-08,151839.0
2015-04-09,133496.0
2015-04-10,155427.0
2015-04-13,106726.0
2015-04-14,145273.0
2015-04-15,128788.0
2015-04-16,135144.0
2015-04-17,119066.0
2015-04-20,142408.0
2015-04-21,121146.0
2015-04-22,113649.0
2015-04-23,155825.0
2015-04-24,110875.0
2015-04-27,129993.0
2015-04-28,124714.0
2015-04-29,146909.0
2015-04-30,146424.0
2015-05-01,118978.0
2015-05-04,158794.0
2015-05-05,145816.0
2015-05-06,142553.0
2015-05-07,143101.0
2015-05-08,140940.0
2015-05-11,142084.0
2015-05-12,160343.0
2015-05-13,131259.0
2015-05-14,153273.0
2015-05-15,175160.0
2015-05-18,148833.0
2015-05-19,144395.0
2015-05-20,131227.0
2015-05-21,158851.0
2015-05-22,168064.0
2015-05-26,152557.0
2015-05-27,152425.0
2015-05-28,148311.0
2015-05-29,133868.0
2015-06-01,134459.0
2015-06-02,140712.0
2015-06-03,168268.0
2015-06-04,165199.0
2015-06-05,136788.0
2015-06-08,166575.0
2015-06-09,160276.0
2015-06-10,187235.0
2015-06-11,162756.0
2015-06-12,144999.0
2015-06-15,149560.0
2015-06-16,150024.0
2015-06-17,170550.0
2015-06-18,169098.0
2015-06-19,163152.0
2015-06-22,145169.0
2015-06-23,159601.0
2015-06-24,144002.0
2015-06-25,153998.0
2015-06-26,139489.0
2015-06-29,149250.0
2015-06-30,150624.0
2015-07-01,138409.0
2015-07-02,158630.0
2015-07-06,145312.0
2015-07-07,139298.0
2015-07-08,157985.0
2015-07-09,164196.0
2015-07-10,174896.0
2015-07-13,162185.0
2015-07-14,142874.0
2015-07-15,154637.0
2015-07-16,167411.0
2015-07-17,170967.0
2015-07-20,149267.0
2015-07-21,186978.0
2015-07-22,168198.0
2015-07-23,141748.0
2015-07-24,150006.0
2015-07-27,183194.0
2015-07-28,128034.0
2015-07-29,162749.0
2015-07-30,182096.0
2015-07-31,151588.0
2015-08-03,166798.0
2015-08-04,170439.0
2015-08-05,157018.0
2015-08-06,162898.0
2015-08-07,154914.0
2015-08-10,145116.0
2015-08-11,165873.0
2015-08-12,189119.0
2015-08-13,158014.0
2015-08-14,156932.0
2015-08-17,144726.0
2015-08-18,174056.0
2015-08-19,163884.0
2015-08-20,178643.0
2015-08-21,174568.0
2015-08-24,146848.0
2015-08-25,131160.0
2015-08-26,160441.0
2015-08-27,151155.0
2015-08-28,167239.0
2015-08-31,149241.0
2015-09-01,186194.0
2015-09-02,182189.0
2015-09-03,145546.0
2015-09-04,137720.0
2015-09-08,164363.0
2015-09-09,179464.0
2015-09-10,171155.0
2015-09-11,157087.0
2015-09-14,177044.0
2015-09-15,142080.0
2015-09-16,170460.0
2015-09-17,174588.0
2015-09-18,164917.0
2015-09-21,185681.0
2015-09-22,162741.0
2015-09-23,172538.0
2015-09-24,163250.0
2015-09-25,170700.0
2015-09-28,175816.0
2015-09-29,156784.0
2015-09-30,170864.0
2015-10-01,160249.0
2015-10-02,184540.0
2015-10-05,140020.0
2015-10-06,175697.0
2015-10-07,165300.0
2015-10-08,175573.0
2015-10-09,187720.0
2015-10-12,176174.0
2015-10-13,158281.0
2015-10-14,198791.0
2015-10-15,151582.0
2015-10-16,185798.0
2015-10-19,173077.0
2015-10-20,200881.0
2015-10-21,182950.0
2015-10-22,192637.0
2015-10-23,174575.0
2015-10-26,181775.0
2015-10-27,164884.0
2015-10-28,184909.0
2015-10-29,158010.0
2015-10-30,156969.0
2015-11-02,163433.0
2015-11-03,192010.0
2015-11-04,173531.0
2015-11-05,176095.0
2015-11-06,208247.0
2015-11-09,183349.0
2015-11-10,212733.0
2015-11-11,184245.0
2015-11-12,171639.0
2015-11-13,162799.0
2015-11-16,196798.0
2015-11-17,174705.0
2015-11-18,189197.0
2015-11-19,178428.0
2015-11-20,172779.0
2015-11-23,169435.0
2015-11-24,210971.0
2015-11-25,205913.0
2015-11-27,165023.0
2015-11-30,182373.0
2015-12-01,177185.0
2015-12-02,163397.0
2015-12-03,194048.0
2015-12-04,189776.0
2015-12-07,176998.0
2015-12-08,173132.0
2015-12-09,214489.0
2015-12-10,152511.0
2015-12-11,172789.0
2015-12-14,214420.0
2015-12-15,190182.0
2015-12-16,213329.0
2015-12-17,194429.0
2015-12-18,157923.0
2015-12-21,206234.0
2015-12-22,206372.0
2015-12-23,237491.0
2015-12-24,205860.0
2015-12-28,195913.0
2015-12-29,204335.0
2015-12-30,173118.0
2015-12-31,187612.0
2016-01-04,206421.0
2016-01-05,178441.0
2016-01-06,207264.0
2016-01-07,200493.0
2016-01-08,220737.0
2016-01-11,220403.0
2016-01-12,194135.0
2016-01-13,171846.0
2016-01-14,152852.0
2016-01-15,214319.0
2016-01-19,210997.0
2016-01-20,194529.0
2016-01-21,172276.0
2016-01-22,184517.0
2016-01-25,187265.0
2016-01-26,166622.0
2016-01-27,188399.0
2016-01-28,153871.0
2016-01-29,181810.0
2016-02-01,156560.0
2016-02-02,176504.0
2016-02-03,154736.0
2016-02-04,138889.0
2016-02-05,164662.0
2016-02-08,184179.0
2016-02-09,150071.0
2016-02-10,155204.0
2016-02-11,154994.0
2016-02-12,165282.0
2016-02-16,166207.0
2016-02-17,153879.0
2016-02-18,159455.0
2016-02-19,144021.0
2016-02-22,162375.0
2016-02-23,202367.0
2016-02-24,153323.0
2016-02-25,118406.0
2016-02-26,180636.0
2016-02-29,141857.0
2016-03-01,123610.0
2016-03-02,158042.0
2016-03-03,150193.0
2016-03-04,146791.0
2016-03-07,172010.0
2016-03-08,129243.0
2016-03-09,168612.0
2016-03-10,121681.0
2016-03-11,147752.0
2016-03-14,157499.0
2016-03-15,156996.0
2016-03-16,153435.0
2016-03-17,141420.0
2016-03-18,147242.0
2016-03-21,154399.0
2016-03-22,145242.0
2016-03-23,111426.0
2016-03-24,131357.0
2016-03-28,113533.0
2016-03-29,132530.0
2016-03-30,131237.0
2016-03-31,161849.0
2016-04-01,125111.0
2016-04-04,155901.0
2016-04-05,119415.0
2016-04-06,133803.0
2016-04-07,139559.0
2016-04-08,121757.0
2016-04-11,127291.0
2016-04-12,136367.0
2016-04-13,126074.0
2016-04-14,127014.0
2016-04-15,126792.0
2016-04-18,118815.0
2016-04-19,146769.0
2016-04-20,125236.0
2016-04-21,150882.0
2016-04-22,134361.0
2016-04-25,168502.0
2016-04-26,154834.0
2016-04-27,130495.0
2016-04-28,140972.0
2016-04-29,132381.0
2016-05-02,123793.0
2016-05-03,140754.0
2016-05-04,130416.0
2016-05-05,119941.0
2016-05-06,133181.0
2016-05-09,133587.0
2016-05-10,151462.0
2016-05-11,152102.0
2016-05-12,127268.0
2016-05-13,129134.0
2016-05-16,142647.0
2016-05-17,155256.0
2016-05-18,119165.0
2016-05-19,136104.0
2016-05-20,123086.0
2016-05-23,154997.0
2016-05-24,151966.0
2016-05-25,137645.0
2016-05-26,132447.0
2016-05-27,145383.0
2016-05-31,135788.0
2016-06-01,151382.0
2016-06-02,131165.0
2016-06-03,139735.0
2016-06-06,155601.0
2016-06-07,158693.0
2016-06-08,159216.0
2016-06-09,166625.0
2016-06-10,147924.0
2016-06-13,150207.0
2016-06-14,137779.0
2016-06-15,177963.0
2016-06-16,138158.0
2016-06-17,167931.0
2016-06-20,132076.0
2016-06-21,174822.0
2016-06-22,136939.0
2016-06-23,116790.0
2016-06-24,141525.0
2016-06-27,154865.0
2016-06-28,167883.0
2016-06-29,140182.0
2016-06-30,159380.0
2016-07-01,160247.0
2016-07-05,175763.0
2016-07-06,174426.0
2016-07-07,143464.0
2016-07-08,162979.0
2016-07-11,162297.0
2016-07-12,190860.0
2016-07-13,141028.0
2016-07-14,171564.0
2016-07-15,165731.0
2016-07-18,138888.0
2016-07-19,166306.0
2016-07-20,135479.0
2016-07-21,183645.0
2016-07-22,176461.0
2016-07-25,161479.0
2016-07-26,155457.0
2016-07-27,165516.0
2016-07-28,137164.0
2016-07-29,171621.0
2016-08-01,182244.0
2016-08-02,141243.0
2016-08-03,140818.0
2016-08-04,194524.0
2016-08-05,147077.0
2016-08-08,146897.0
2016-08-09,155735.0
2016-08-10,137698.0
2016-08-11,164505.0
2016-08-12,133813.0
2016-08-15,127335.0
2016-08-16,163733.0
2016-08-17,158617.0
2016-08-18,117071.0
2016-08-19,133481.0
2016-08-22,163450.0
2016-08-23,183020.0
2016-08-24,162536.0
2016-08-25,161636.0
2016-08-26,161054.0
2016-08-29,150765.0
2016-08-30,132306.0
2016-08-31,145208.0
2016-09-01,155971.0
2016-09-02,143690.0
2016-09-06,177264.0
2016-09-07,150188.0
2016-09-08,182609.0
2016-09-09,168577.0
2016-09-12,147248.0
2016-09-13,161453.0
2016-09-14,154094.0
2016-09-15,167086.0
2016-09-16,164278.0
2016-09-19,158097.0
2016-09-20,165685.0
2016-09-21,172340.0
2016-09-22,177169.0
2016-09-23,188672.0
2016-09-26,155163.0
2016-09-27,159335.0
2016-09-28,152034.0
2016-09-29,194451.0
2016-09-30,162203.0
2016-10-03,148451.0
2016-10-04,150231.0
2016-10-05,171711.0
2016-10-06,138958.0
2016-10-07,156932.0
2016-10-10,122228.0
2016-10-11,128303.0
2016-10-12,123749.0
2016-10-13,122724.0
2016-10-14,120662.0
2016-10-17,120707.0
2016-10-18,117651.0
2016-10-19,111044.0
2016-10-20,112668.0
2016-10-21,104373.0
2016-10-24,77518.0
2016-10-25,93907.0
2016-10-26,85195.0
2016-10-27,77534.0
2016-10-28,72618.0
2016-10-31,67680.0
2016-11-01,61906.0
2016-11-02,53037.0
2016-11-03,55276.0
2016-11-04,51842.0
2016-11-07,52793.0
2016-11-08,34887.0
2016-11-09,36205.0
2016-11-10,30545.0
2016-11-11,28296.0
2016-11-14,18857.0
2016-11-15,21078.0
2016-11-16,14592.0
2016-11-17,14343.0
2016-11-18,9378.0
2016-11-21,-753.0
2016-11-22,-3602.0
2016-11-23,-7652.0
2016-11-25,-12594.0
2016-11-28,-25124.0
2016-11-29,-24675.0
2016-11-30,-33190.0
2016-12-01,-35271.0
2016-12-02,-27201.0
2016-12-05,-40780.0
2016-12-06,-43611.0
2016-12-07,-58983.0
2016-12-08,-54468.0
2016-12-09,-62838.0
2016-12-12,-55538.0
2016-12-13,-81288.0
2016-12-14,-71408.0
2016-12-15,-69089.0
2016-12-16,-94146.0
2016-12-19,-102166.0
2016-12-20,-98862.0
2016-12-21,-101667.0
2016-12-22,-96927.0
2016-12-23,-96471.0
2016-12-27,-120530.0
2016-12-28,-93388.0
2016-12-29,-114465.0
2016-12-30,-152566.0
2017-01-03,-124111.0
2017-01-04,-122565.0
2017-01-05,-135431.0
2017-01-06,-137498.0
2017-01-09,-99891.0
2017-01-10,-114397.0
2017-01-11,-126279.0
2017-01-12,-124285.0
2017-01-13,-125189.0
