date,value
2015-03-31,14295.0
2015-04-01,16554.0
2015-04-02,15951.0
2015-04-06,16263.0
2015-04-07,14840.0
2015-04-08,15874.0
2015-04-09,18439.0
2015-04-10,15327.0
2015-04-13,15528.0
2015-04-14,16805.0
2015-04-15,17487.0
2015-04-16,14297.0
2015-04-17,18799.0
2015-04-20,16085.0
2015-04-21,16224.0
2015-04-22,15406.0
2015-04-23,16672.0
2015-04-24,16186.0
2015-04-27,18185.0
2015-04-28,17906.0
2015-04-29,15668.0
2015-04-30,16240.0
2015-05-01,15674.0
2015-05-04,17603.0
2015-05-05,20741.0
2015-05-06,16869.0
2015-05-07,18340.0
2015-05-08,17247.0
2015-05-11,15938.0
2015-05-12,15771.0
2015-05-13,19384.0
2015-05-14,18429.0
2015-05-15,16390.0
2015-05-18,19660.0
2015-05-19,17228.0
2015-05-20,17003.0
2015-05-21,18435.0
2015-05-22,16701.0
2015-05-26,15238.0
2015-05-27,17249.0
2015-05-28,17076.0
2015-05-29,20059.0
2015-06-01,15599.0
2015-06-02,16495.0
2015-06-03,20692.0
2015-06-04,14347.0
2015-06-05,16881.0
2015-06-08,18303.0
2015-06-09,17608.0
2015-06-10,15730.0
2015-06-11,16918.0
2015-06-12,16967.0
2015-06-15,15638.0
2015-06-16,17391.0
2015-06-17,15653.0
2015-06-18,17550.0
2015-06-19,18953.0
2015-06-22,18056.0
2015-06-23,14591.0
2015-06-24,20145.0
2015-06-25,17813.0
2015-06-26,18162.0
2015-06-29,14188.0
2015-06-30,18571.0
2015-07-01,15689.0
2015-07-02,16114.0
2015-07-06,18670.0
2015-07-07,17797.0
2015-07-08,16377.0
2015-07-09,19902.0
2015-07-10,17953.0
2015-07-13,13963.0
2015-07-14,15932.0
2015-07-15,17188.0
2015-07-16,17807.0
2015-07-17,18455.0
2015-07-20,18461.0
2015-07-21,13169.0
2015-07-22,16893.0
2015-07-23,17964.0
2015-07-24,18710.0
2015-07-27,14085.0
2015-07-28,14852.0
2015-07-29,16132.0
2015-07-30,20353.0
2015-07-31,18169.0
2015-08-03,18363.0
2015-08-04,15399.0
2015-08-05,17800.0
2015-08-06,20743.0
2015-08-07,14343.0
2015-08-10,16578.0
2015-08-11,19248.0
2015-08-12,20418.0
2015-08-13,16530.0
2015-08-14,14137.0
2015-08-17,21001.0
2015-08-18,17121.0
2015-08-19,17644.0
2015-08-20,19232.0
2015-08-21,13852.0
