date,value
2015-03-31,32290.0
2015-04-01,28006.0
2015-04-02,36387.0
2015-04-06,37347.0
2015-04-07,30556.0
2015-04-08,35372.0
2015-04-09,32507.0
2015-04-10,32893.0
2015-04-13,31333.0
2015-04-14,40107.0
2015-04-15,34381.0
2015-04-16,30711.0
2015-04-17,29691.0
2015-04-20,40393.0
2015-04-21,43471.0
2015-04-22,37475.0
2015-04-23,38471.0
2015-04-24,35574.0
2015-04-27,32020.0
2015-04-28,34567.0
2015-04-29,34138.0
2015-04-30,28983.0
2015-05-01,39099.0
2015-05-04,31433.0
2015-05-05,41153.0
2015-05-06,38515.0
2015-05-07,40776.0
2015-05-08,45389.0
2015-05-11,43947.0
2015-05-12,36732.0
2015-05-13,35345.0
2015-05-14,41160.0
2015-05-15,41240.0
2015-05-18,42678.0
2015-05-19,37861.0
2015-05-20,37310.0
2015-05-21,34978.0
2015-05-22,39793.0
2015-05-26,39162.0
2015-05-27,42362.0
2015-05-28,50997.0
2015-05-29,38087.0
2015-06-01,43904.0
2015-06-02,39833.0
2015-06-03,41814.0
2015-06-04,42328.0
2015-06-05,43006.0
2015-06-08,43130.0
2015-06-09,46047.0
2015-06-10,41355.0
2015-06-11,36162.0
2015-06-12,39023.0
2015-06-15,41784.0
2015-06-16,38972.0
2015-06-17,42055.0
2015-06-18,46881.0
2015-06-19,48284.0
2015-06-22,38935.0
2015-06-23,45330.0
2015-06-24,45588.0
2015-06-25,46458.0
2015-06-26,44385.0
2015-06-29,36290.0
2015-06-30,39507.0
2015-07-01,38130.0
2015-07-02,51775.0
2015-07-06,41814.0
2015-07-07,44684.0
2015-07-08,47708.0
2015-07-09,46094.0
2015-07-10,44055.0
2015-07-13,43526.0
2015-07-14,48331.0
2015-07-15,42453.0
2015-07-16,56390.0
2015-07-17,41796.0
2015-07-20,46787.0
2015-07-21,38115.0
2015-07-22,39484.0
2015-07-23,51463.0
2015-07-24,39355.0
2015-07-27,53537.0
2015-07-28,45490.0
2015-07-29,51091.0
2015-07-30,54679.0
2015-07-31,49211.0
2015-08-03,46765.0
2015-08-04,44180.0
2015-08-05,49546.0
2015-08-06,49351.0
2015-08-07,50821.0
2015-08-10,46528.0
2015-08-11,52435.0
2015-08-12,49755.0
2015-08-13,57244.0
2015-08-14,50929.0
2015-08-17,39510.0
2015-08-18,42395.0
2015-08-19,50146.0
2015-08-20,44610.0
2015-08-21,51696.0
2015-08-24,53673.0
2015-08-25,53817.0
2015-08-26,48602.0
2015-08-27,44249.0
2015-08-28,39557.0
2015-08-31,53720.0
2015-09-01,52807.0
2015-09-02,50498.0
2015-09-03,48946.0
2015-09-04,49346.0
2015-09-08,44722.0
2015-09-09,55660.0
2015-09-10,52523.0
2015-09-11,45962.0
2015-09-14,54224.0
2015-09-15,50639.0
2015-09-16,34169.0
2015-09-17,50595.0
2015-09-18,52405.0
2015-09-21,48903.0
2015-09-22,51023.0
2015-09-23,51875.0
2015-09-24,46039.0
2015-09-25,36976.0
2015-09-28,42863.0
2015-09-29,54058.0
2015-09-30,58734.0
2015-10-01,49271.0
2015-10-02,49537.0
2015-10-05,46836.0
2015-10-06,43951.0
2015-10-07,55092.0
2015-10-08,48551.0
2015-10-09,53045.0
2015-10-12,53031.0
2015-10-13,49452.0
2015-10-14,44372.0
2015-10-15,44212.0
2015-10-16,47790.0
2015-10-19,49913.0
2015-10-20,46829.0
2015-10-21,45151.0
2015-10-22,45666.0
2015-10-23,51679.0
2015-10-26,54711.0
2015-10-27,47606.0
2015-10-28,52244.0
2015-10-29,49355.0
2015-10-30,49717.0
2015-11-02,42391.0
2015-11-03,34455.0
2015-11-04,44432.0
2015-11-05,48873.0
2015-11-06,48045.0
2015-11-09,42394.0
2015-11-10,46755.0
2015-11-11,49117.0
2015-11-12,43322.0
2015-11-13,47669.0
2015-11-16,33644.0
2015-11-17,47860.0
2015-11-18,46616.0
2015-11-19,46289.0
2015-11-20,47528.0
2015-11-23,45115.0
2015-11-24,40791.0
2015-11-25,44129.0
2015-11-27,35442.0
2015-11-30,42559.0
2015-12-01,46582.0
2015-12-02,42200.0
2015-12-03,49591.0
2015-12-04,39207.0
2015-12-07,39372.0
2015-12-08,45949.0
2015-12-09,41994.0
2015-12-10,46179.0
2015-12-11,41242.0
2015-12-14,46904.0
2015-12-15,41908.0
2015-12-16,41489.0
2015-12-17,42855.0
2015-12-18,45224.0
2015-12-21,44351.0
2015-12-22,36103.0
2015-12-23,46525.0
2015-12-24,35700.0
2015-12-28,44290.0
2015-12-29,39834.0
2015-12-30,44256.0
2015-12-31,37598.0
2016-01-04,41700.0
2016-01-05,39509.0
2016-01-06,43486.0
2016-01-07,40067.0
2016-01-08,38921.0
2016-01-11,38570.0
2016-01-12,37833.0
2016-01-13,37692.0
2016-01-14,35315.0
2016-01-15,45190.0
2016-01-19,37279.0
2016-01-20,47598.0
2016-01-21,39845.0
2016-01-22,45676.0
2016-01-25,34680.0
2016-01-26,38818.0
2016-01-27,43398.0
2016-01-28,38505.0
2016-01-29,39156.0
2016-02-01,39634.0
2016-02-02,36350.0
2016-02-03,44325.0
2016-02-04,44194.0
2016-02-05,38280.0
2016-02-08,38554.0
2016-02-09,38871.0
2016-02-10,34792.0
2016-02-11,40472.0
2016-02-12,37264.0
2016-02-16,42810.0
2016-02-17,37661.0
2016-02-18,38613.0
2016-02-19,39343.0
2016-02-22,46713.0
2016-02-23,44764.0
2016-02-24,33267.0
2016-02-25,38867.0
2016-02-26,41233.0
2016-02-29,32243.0
2016-03-01,42912.0
2016-03-02,40030.0
2016-03-03,37952.0
2016-03-04,46178.0
2016-03-07,30300.0
2016-03-08,38483.0
2016-03-09,36702.0
2016-03-10,28908.0
2016-03-11,38878.0
2016-03-14,27521.0
2016-03-15,36932.0
2016-03-16,38263.0
2016-03-17,36987.0
2016-03-18,41558.0
2016-03-21,36003.0
2016-03-22,43608.0
2016-03-23,29664.0
2016-03-24,40849.0
2016-03-28,33523.0
2016-03-29,43941.0
2016-03-30,34636.0
2016-03-31,35426.0
2016-04-01,30047.0
2016-04-04,35624.0
2016-04-05,38514.0
2016-04-06,44945.0
2016-04-07,37269.0
2016-04-08,37041.0
2016-04-11,38917.0
2016-04-12,40144.0
2016-04-13,43628.0
2016-04-14,36593.0
2016-04-15,40412.0
2016-04-18,38011.0
2016-04-19,38466.0
2016-04-20,38395.0
2016-04-21,41322.0
2016-04-22,39131.0
2016-04-25,37865.0
2016-04-26,43314.0
2016-04-27,33212.0
2016-04-28,43631.0
2016-04-29,39378.0
2016-05-02,36530.0
2016-05-03,45857.0
2016-05-04,40899.0
2016-05-05,43447.0
2016-05-06,35404.0
2016-05-09,40472.0
2016-05-10,41251.0
2016-05-11,40165.0
2016-05-12,42333.0
2016-05-13,40081.0
2016-05-16,37822.0
2016-05-17,42566.0
2016-05-18,38088.0
2016-05-19,39971.0
2016-05-20,39840.0
2016-05-23,49110.0
2016-05-24,39307.0
2016-05-25,43644.0
2016-05-26,39802.0
2016-05-27,48676.0
2016-05-31,41258.0
2016-06-01,42208.0
2016-06-02,44390.0
2016-06-03,42810.0
2016-06-06,43423.0
2016-06-07,43558.0
2016-06-08,33835.0
2016-06-09,40716.0
2016-06-10,51567.0
2016-06-13,42188.0
2016-06-14,49714.0
2016-06-15,39738.0
2016-06-16,50182.0
2016-06-17,44539.0
2016-06-20,45114.0
2016-06-21,44978.0
2016-06-22,45835.0
2016-06-23,41395.0
2016-06-24,42797.0
2016-06-27,47732.0
2016-06-28,51870.0
2016-06-29,51960.0
2016-06-30,44602.0
2016-07-01,53131.0
2016-07-05,42208.0
2016-07-06,46317.0
2016-07-07,50636.0
2016-07-08,48208.0
2016-07-11,46520.0
2016-07-12,47830.0
2016-07-13,45095.0
2016-07-14,40204.0
2016-07-15,54642.0
2016-07-18,45162.0
2016-07-19,39965.0
2016-07-20,48082.0
2016-07-21,46909.0
2016-07-22,51240.0
2016-07-25,54072.0
2016-07-26,46269.0
2016-07-27,39895.0
2016-07-28,44046.0
2016-07-29,47920.0
2016-08-01,50485.0
2016-08-02,51888.0
2016-08-03,50381.0
2016-08-04,41332.0
2016-08-05,47153.0
2016-08-08,45954.0
2016-08-09,42865.0
2016-08-10,42256.0
2016-08-11,55745.0
2016-08-12,49430.0
2016-08-15,50105.0
2016-08-16,52492.0
2016-08-17,48292.0
2016-08-18,43086.0
2016-08-19,59071.0
2016-08-22,44259.0
2016-08-23,50737.0
2016-08-24,52636.0
2016-08-25,47323.0
2016-08-26,46350.0
2016-08-29,61975.0
2016-08-30,44059.0
2016-08-31,48798.0
2016-09-01,48001.0
2016-09-02,45481.0
2016-09-06,50682.0
2016-09-07,49324.0
2016-09-08,55106.0
2016-09-09,50277.0
2016-09-12,49440.0
2016-09-13,34887.0
2016-09-14,47511.0
2016-09-15,56596.0
2016-09-16,51994.0
2016-09-19,55059.0
2016-09-20,50321.0
2016-09-21,47116.0
2016-09-22,56691.0
2016-09-23,59861.0
2016-09-26,51983.0
2016-09-27,53975.0
2016-09-28,47276.0
2016-09-29,47716.0
2016-09-30,54233.0
2016-10-03,41809.0
2016-10-04,47557.0
2016-10-05,52417.0
2016-10-06,61290.0
2016-10-07,54035.0
2016-10-10,54343.0
2016-10-11,51910.0
2016-10-12,52164.0
2016-10-13,42103.0
2016-10-14,53682.0
2016-10-17,49861.0
2016-10-18,51256.0
2016-10-19,50848.0
2016-10-20,48369.0
2016-10-21,48012.0
2016-10-24,48538.0
2016-10-25,48269.0
2016-10-26,49650.0
2016-10-27,49568.0
2016-10-28,51595.0
2016-10-31,50228.0
2016-11-01,46948.0
2016-11-02,45722.0
2016-11-03,59971.0
2016-11-04,53237.0
2016-11-07,46122.0
2016-11-08,52941.0
2016-11-09,42339.0
2016-11-10,53336.0
2016-11-11,50580.0
2016-11-14,52355.0
2016-11-15,48807.0
2016-11-16,38404.0
2016-11-17,46495.0
2016-11-18,42197.0
2016-11-21,49789.0
2016-11-22,43375.0
2016-11-23,44498.0
2016-11-25,51532.0
2016-11-28,46692.0
2016-11-29,42409.0
2016-11-30,52181.0
2016-12-01,43020.0
2016-12-02,45940.0
2016-12-05,54765.0
2016-12-06,50488.0
2016-12-07,54276.0
2016-12-08,47359.0
2016-12-09,42628.0
2016-12-12,51034.0
2016-12-13,43858.0
2016-12-14,53020.0
2016-12-15,51957.0
2016-12-16,46045.0
2016-12-19,43966.0
2016-12-20,53092.0
2016-12-21,44307.0
2016-12-22,47319.0
2016-12-23,52029.0
2016-12-27,50108.0
2016-12-28,43656.0
2016-12-29,43337.0
2016-12-30,40230.0
2017-01-03,40995.0
2017-01-04,42297.0
2017-01-05,39662.0
2017-01-06,52925.0
2017-01-09,41403.0
2017-01-10,45159.0
2017-01-11,44260.0
2017-01-12,45787.0
2017-01-13,44145.0
2017-01-17,41298.0
2017-01-18,44051.0
2017-01-19,41333.0
2017-01-20,37773.0
2017-01-23,39554.0
2017-01-24,38465.0
2017-01-25,33047.0
2017-01-26,43923.0
2017-01-27,45334.0
2017-01-30,53908.0
2017-01-31,47242.0
2017-02-01,49433.0
2017-02-02,48603.0
2017-02-03,39211.0
2017-02-06,41426.0
2017-02-07,45119.0
2017-02-08,36108.0
2017-02-09,45161.0
2017-02-10,42741.0
2017-02-13,43448.0
2017-02-14,40718.0
2017-02-15,39170.0
2017-02-16,46680.0
