date,value
2015-03-31,46857.0
2015-04-01,60202.0
2015-04-02,60135.0
2015-04-06,58653.0
2015-04-07,57926.0
2015-04-08,60643.0
2015-04-09,60519.0
2015-04-10,51374.0
2015-04-13,54770.0
2015-04-14,62661.0
2015-04-15,62013.0
2015-04-16,54211.0
2015-04-17,52858.0
2015-04-20,51954.0
2015-04-21,61421.0
2015-04-22,54541.0
2015-04-23,53615.0
2015-04-24,60776.0
2015-04-27,55440.0
2015-04-28,70455.0
2015-04-29,64677.0
2015-04-30,61764.0
2015-05-01,55263.0
2015-05-04,71366.0
2015-05-05,56596.0
2015-05-06,59998.0
2015-05-07,60891.0
2015-05-08,74539.0
2015-05-11,50733.0
2015-05-12,63249.0
2015-05-13,59054.0
2015-05-14,61825.0
2015-05-15,60111.0
2015-05-18,52441.0
2015-05-19,68914.0
2015-05-20,54107.0
2015-05-21,62090.0
2015-05-22,53346.0
2015-05-26,64903.0
2015-05-27,67368.0
2015-05-28,51430.0
2015-05-29,67086.0
2015-06-01,64422.0
2015-06-02,62926.0
2015-06-03,61588.0
2015-06-04,54187.0
2015-06-05,59909.0
2015-06-08,65092.0
2015-06-09,72050.0
2015-06-10,57437.0
2015-06-11,65931.0
2015-06-12,66728.0
2015-06-15,69774.0
2015-06-16,49522.0
2015-06-17,59664.0
2015-06-18,59004.0
2015-06-19,70123.0
2015-06-22,56249.0
2015-06-23,56683.0
2015-06-24,63182.0
2015-06-25,70903.0
2015-06-26,68654.0
2015-06-29,64876.0
2015-06-30,62998.0
2015-07-01,75379.0
2015-07-02,64404.0
2015-07-06,72343.0
2015-07-07,61952.0
2015-07-08,71967.0
2015-07-09,51499.0
2015-07-10,67371.0
2015-07-13,69000.0
2015-07-14,54428.0
2015-07-15,55194.0
2015-07-16,52053.0
2015-07-17,65880.0
2015-07-20,69839.0
2015-07-21,66640.0
2015-07-22,67061.0
2015-07-23,57233.0
2015-07-24,65264.0
2015-07-27,68044.0
2015-07-28,62949.0
2015-07-29,65846.0
2015-07-30,67772.0
2015-07-31,56019.0
2015-08-03,82109.0
2015-08-04,67792.0
2015-08-05,71320.0
2015-08-06,47457.0
2015-08-07,64811.0
2015-08-10,51421.0
2015-08-11,67076.0
2015-08-12,67263.0
2015-08-13,66232.0
2015-08-14,70527.0
2015-08-17,65105.0
2015-08-18,68241.0
2015-08-19,67637.0
2015-08-20,59584.0
2015-08-21,65374.0
2015-08-24,63267.0
2015-08-25,74916.0
2015-08-26,54416.0
2015-08-27,60929.0
2015-08-28,64682.0
2015-08-31,55930.0
2015-09-01,60494.0
2015-09-02,64462.0
2015-09-03,74661.0
2015-09-04,64474.0
2015-09-08,62136.0
2015-09-09,64820.0
2015-09-10,54834.0
2015-09-11,55840.0
2015-09-14,66743.0
2015-09-15,61540.0
2015-09-16,55418.0
2015-09-17,73414.0
2015-09-18,58921.0
2015-09-21,68256.0
2015-09-22,62630.0
2015-09-23,67809.0
2015-09-24,63762.0
2015-09-25,57940.0
2015-09-28,58081.0
2015-09-29,69688.0
2015-09-30,61786.0
2015-10-01,67870.0
2015-10-02,66269.0
2015-10-05,62074.0
2015-10-06,59514.0
2015-10-07,70403.0
2015-10-08,68874.0
2015-10-09,45769.0
2015-10-12,67175.0
2015-10-13,67899.0
2015-10-14,69972.0
2015-10-15,61808.0
2015-10-16,73698.0
2015-10-19,66567.0
2015-10-20,69674.0
2015-10-21,62424.0
2015-10-22,68962.0
2015-10-23,62081.0
2015-10-26,59083.0
2015-10-27,62238.0
2015-10-28,55628.0
2015-10-29,60157.0
2015-10-30,66585.0
2015-11-02,57949.0
2015-11-03,63457.0
2015-11-04,74432.0
2015-11-05,63363.0
2015-11-06,57642.0
2015-11-09,62048.0
2015-11-10,59509.0
2015-11-11,65440.0
2015-11-12,65076.0
2015-11-13,64770.0
2015-11-16,62987.0
2015-11-17,62235.0
2015-11-18,64942.0
2015-11-19,63644.0
2015-11-20,57248.0
2015-11-23,70950.0
2015-11-24,60581.0
2015-11-25,74971.0
2015-11-27,59500.0
2015-11-30,62702.0
2015-12-01,73624.0
2015-12-02,66888.0
2015-12-03,67063.0
2015-12-04,54248.0
2015-12-07,72265.0
2015-12-08,72359.0
2015-12-09,64139.0
2015-12-10,63515.0
2015-12-11,72206.0
2015-12-14,61705.0
2015-12-15,53562.0
2015-12-16,63183.0
2015-12-17,74647.0
2015-12-18,56225.0
2015-12-21,67734.0
2015-12-22,68494.0
2015-12-23,67876.0
2015-12-24,61671.0
2015-12-28,60870.0
2015-12-29,64927.0
2015-12-30,57321.0
2015-12-31,67825.0
2016-01-04,63695.0
2016-01-05,62635.0
2016-01-06,57917.0
2016-01-07,66546.0
2016-01-08,71937.0
2016-01-11,49048.0
2016-01-12,67545.0
2016-01-13,76698.0
2016-01-14,79257.0
2016-01-15,66636.0
2016-01-19,68132.0
2016-01-20,68762.0
2016-01-21,62457.0
2016-01-22,56516.0
2016-01-25,69362.0
2016-01-26,61432.0
2016-01-27,71805.0
2016-01-28,72302.0
2016-01-29,55178.0
2016-02-01,70499.0
2016-02-02,55229.0
2016-02-03,59172.0
2016-02-04,74846.0
2016-02-05,63328.0
2016-02-08,59344.0
2016-02-09,65266.0
2016-02-10,55359.0
2016-02-11,66560.0
2016-02-12,55353.0
2016-02-16,69560.0
2016-02-17,73316.0
2016-02-18,67143.0
2016-02-19,67217.0
2016-02-22,69548.0
2016-02-23,72363.0
2016-02-24,66067.0
2016-02-25,68234.0
2016-02-26,81068.0
2016-02-29,59551.0
2016-03-01,67051.0
2016-03-02,60569.0
2016-03-03,57200.0
2016-03-04,68562.0
2016-03-07,66099.0
2016-03-08,69747.0
2016-03-09,59331.0
2016-03-10,62591.0
2016-03-11,64322.0
2016-03-14,68983.0
2016-03-15,71287.0
2016-03-16,71350.0
2016-03-17,57032.0
2016-03-18,66772.0
2016-03-21,61471.0
2016-03-22,64890.0
2016-03-23,60883.0
2016-03-24,71345.0
2016-03-28,62150.0
2016-03-29,66321.0
2016-03-30,61713.0
2016-03-31,67538.0
2016-04-01,54788.0
2016-04-04,71724.0
2016-04-05,59124.0
2016-04-06,64451.0
2016-04-07,69483.0
2016-04-08,53175.0
2016-04-11,55608.0
2016-04-12,58596.0
2016-04-13,73822.0
2016-04-14,61232.0
2016-04-15,64159.0
2016-04-18,61498.0
2016-04-19,54739.0
2016-04-20,66434.0
2016-04-21,59752.0
2016-04-22,50009.0
2016-04-25,63819.0
2016-04-26,65143.0
2016-04-27,55049.0
2016-04-28,59141.0
2016-04-29,60726.0
2016-05-02,67634.0
2016-05-03,66808.0
2016-05-04,63834.0
2016-05-05,66364.0
2016-05-06,63017.0
2016-05-09,63348.0
2016-05-10,68782.0
2016-05-11,63830.0
2016-05-12,56404.0
2016-05-13,66491.0
2016-05-16,65010.0
2016-05-17,59159.0
2016-05-18,65041.0
2016-05-19,55658.0
2016-05-20,66096.0
2016-05-23,61859.0
2016-05-24,67285.0
2016-05-25,57400.0
2016-05-26,56131.0
2016-05-27,62722.0
2016-05-31,62982.0
2016-06-01,52185.0
2016-06-02,55716.0
2016-06-03,68621.0
2016-06-06,67426.0
2016-06-07,54720.0
2016-06-08,61794.0
2016-06-09,66867.0
2016-06-10,57576.0
2016-06-13,76873.0
2016-06-14,71517.0
2016-06-15,53955.0
2016-06-16,64190.0
2016-06-17,57132.0
2016-06-20,59852.0
2016-06-21,65193.0
2016-06-22,47949.0
2016-06-23,67904.0
2016-06-24,73810.0
2016-06-27,56686.0
