date,value
2015-03-31,110850.0
2015-04-01,92294.0
2015-04-02,83137.0
2015-04-06,96691.0
2015-04-07,97183.0
2015-04-08,105836.0
2015-04-09,99675.0
2015-04-10,109010.0
2015-04-13,93379.0
2015-04-14,97003.0
2015-04-15,105764.0
2015-04-16,111300.0
2015-04-17,108756.0
2015-04-20,104135.0
2015-04-21,99580.0
2015-04-22,98838.0
2015-04-23,119783.0
2015-04-24,102875.0
2015-04-27,86725.0
2015-04-28,89031.0
2015-04-29,88576.0
2015-04-30,99529.0
2015-05-01,104572.0
2015-05-04,129155.0
2015-05-05,90102.0
2015-05-06,107426.0
2015-05-07,107522.0
2015-05-08,93931.0
2015-05-11,104894.0
2015-05-12,109720.0
2015-05-13,95479.0
2015-05-14,105823.0
2015-05-15,105430.0
2015-05-18,115144.0
2015-05-19,116853.0
2015-05-20,104908.0
2015-05-21,105746.0
2015-05-22,109687.0
2015-05-26,91230.0
2015-05-27,106602.0
2015-05-28,98590.0
2015-05-29,98483.0
2015-06-01,123435.0
2015-06-02,99751.0
2015-06-03,93915.0
2015-06-04,100646.0
2015-06-05,81953.0
2015-06-08,106552.0
2015-06-09,120394.0
2015-06-10,109305.0
2015-06-11,107659.0
2015-06-12,105816.0
2015-06-15,123983.0
2015-06-16,116693.0
2015-06-17,120476.0
2015-06-18,108674.0
2015-06-19,103841.0
2015-06-22,103775.0
2015-06-23,98349.0
2015-06-24,101779.0
2015-06-25,99565.0
2015-06-26,103361.0
2015-06-29,115672.0
2015-06-30,91576.0
2015-07-01,106228.0
2015-07-02,120323.0
2015-07-06,116772.0
2015-07-07,102244.0
2015-07-08,103372.0
2015-07-09,112998.0
2015-07-10,130368.0
2015-07-13,124600.0
2015-07-14,87314.0
2015-07-15,112810.0
2015-07-16,92433.0
2015-07-17,107198.0
2015-07-20,91668.0
2015-07-21,108414.0
2015-07-22,116598.0
2015-07-23,76379.0
2015-07-24,120256.0
2015-07-27,101818.0
2015-07-28,117483.0
2015-07-29,93674.0
2015-07-30,94931.0
2015-07-31,90598.0
2015-08-03,107600.0
2015-08-04,92177.0
2015-08-05,95609.0
2015-08-06,100689.0
2015-08-07,102086.0
2015-08-10,125708.0
2015-08-11,115417.0
2015-08-12,99245.0
2015-08-13,100453.0
2015-08-14,104703.0
2015-08-17,101331.0
2015-08-18,105304.0
2015-08-19,121665.0
2015-08-20,120935.0
2015-08-21,110119.0
2015-08-24,107018.0
2015-08-25,120338.0
2015-08-26,110387.0
2015-08-27,104354.0
2015-08-28,114001.0
2015-08-31,127459.0
2015-09-01,106205.0
2015-09-02,112712.0
2015-09-03,106714.0
2015-09-04,110650.0
2015-09-08,104570.0
2015-09-09,95474.0
2015-09-10,106802.0
2015-09-11,107088.0
2015-09-14,110030.0
2015-09-15,88550.0
2015-09-16,101238.0
2015-09-17,134244.0
2015-09-18,115135.0
2015-09-21,108223.0
2015-09-22,117889.0
2015-09-23,106597.0
2015-09-24,101046.0
2015-09-25,105879.0
2015-09-28,108848.0
2015-09-29,80750.0
2015-09-30,116674.0
2015-10-01,107099.0
2015-10-02,111206.0
2015-10-05,103931.0
2015-10-06,99053.0
2015-10-07,116579.0
2015-10-08,86479.0
2015-10-09,116953.0
2015-10-12,96879.0
2015-10-13,109370.0
2015-10-14,84861.0
2015-10-15,104756.0
2015-10-16,112465.0
2015-10-19,111460.0
2015-10-20,93825.0
2015-10-21,100349.0
2015-10-22,104585.0
2015-10-23,106662.0
2015-10-26,107705.0
2015-10-27,113482.0
2015-10-28,84014.0
2015-10-29,112279.0
2015-10-30,92475.0
2015-11-02,96621.0
2015-11-03,116927.0
2015-11-04,104030.0
2015-11-05,113176.0
2015-11-06,100763.0
2015-11-09,118534.0
2015-11-10,85708.0
