date,value
2015-03-31,131792.0
2015-04-01,123169.0
2015-04-02,139826.0
2015-04-06,137600.0
2015-04-07,120939.0
2015-04-08,142343.0
2015-04-09,101676.0
2015-04-10,134478.0
2015-04-13,139743.0
2015-04-14,147867.0
2015-04-15,142756.0
2015-04-16,125679.0
2015-04-17,121680.0
2015-04-20,140721.0
2015-04-21,138366.0
2015-04-22,102214.0
2015-04-23,148062.0
2015-04-24,148966.0
2015-04-27,100778.0
2015-04-28,145488.0
2015-04-29,136943.0
2015-04-30,105611.0
2015-05-01,151421.0
2015-05-04,132142.0
2015-05-05,130836.0
2015-05-06,122618.0
2015-05-07,123912.0
2015-05-08,89684.0
2015-05-11,112279.0
2015-05-12,139284.0
2015-05-13,135501.0
2015-05-14,143896.0
2015-05-15,125746.0
2015-05-18,123594.0
2015-05-19,122177.0
2015-05-20,135629.0
2015-05-21,122942.0
2015-05-22,147408.0
2015-05-26,129061.0
2015-05-27,136010.0
2015-05-28,167264.0
2015-05-29,129029.0
2015-06-01,130779.0
2015-06-02,138182.0
2015-06-03,109502.0
2015-06-04,136078.0
2015-06-05,119245.0
2015-06-08,120673.0
2015-06-09,123211.0
2015-06-10,130628.0
2015-06-11,133232.0
2015-06-12,143207.0
2015-06-15,127665.0
2015-06-16,121419.0
2015-06-17,117189.0
2015-06-18,141085.0
2015-06-19,100411.0
2015-06-22,115359.0
2015-06-23,128082.0
2015-06-24,136469.0
2015-06-25,130403.0
2015-06-26,130523.0
2015-06-29,118367.0
2015-06-30,139662.0
2015-07-01,111622.0
2015-07-02,105727.0
2015-07-06,154579.0
2015-07-07,121415.0
2015-07-08,131028.0
2015-07-09,121556.0
2015-07-10,133230.0
2015-07-13,125272.0
2015-07-14,147776.0
2015-07-15,137747.0
2015-07-16,122971.0
2015-07-17,140406.0
2015-07-20,140310.0
2015-07-21,114744.0
2015-07-22,134095.0
2015-07-23,125842.0
2015-07-24,134549.0
2015-07-27,108988.0
2015-07-28,129582.0
2015-07-29,123963.0
2015-07-30,144160.0
2015-07-31,129791.0
2015-08-03,134866.0
2015-08-04,133773.0
2015-08-05,111868.0
2015-08-06,148692.0
2015-08-07,170933.0
2015-08-10,114040.0
2015-08-11,121717.0
2015-08-12,158920.0
2015-08-13,109021.0
2015-08-14,139007.0
2015-08-17,135504.0
2015-08-18,131383.0
2015-08-19,122084.0
2015-08-20,145535.0
2015-08-21,129911.0
2015-08-24,132781.0
2015-08-25,136530.0
2015-08-26,108170.0
2015-08-27,133529.0
2015-08-28,149123.0
2015-08-31,116235.0
2015-09-01,129985.0
2015-09-02,139367.0
2015-09-03,135517.0
2015-09-04,153702.0
2015-09-08,141590.0
2015-09-09,117433.0
2015-09-10,131235.0
2015-09-11,141027.0
2015-09-14,147166.0
2015-09-15,142743.0
2015-09-16,113399.0
2015-09-17,120035.0
2015-09-18,138892.0
2015-09-21,167508.0
2015-09-22,121866.0
2015-09-23,152437.0
2015-09-24,155393.0
2015-09-25,116615.0
2015-09-28,135993.0
2015-09-29,109814.0
2015-09-30,136062.0
2015-10-01,133549.0
2015-10-02,147029.0
2015-10-05,123867.0
2015-10-06,155928.0
2015-10-07,125262.0
2015-10-08,144038.0
2015-10-09,138741.0
2015-10-12,144611.0
2015-10-13,130620.0
2015-10-14,111250.0
2015-10-15,152156.0
2015-10-16,130370.0
2015-10-19,121822.0
2015-10-20,124142.0
2015-10-21,133436.0
2015-10-22,122878.0
2015-10-23,105894.0
2015-10-26,140020.0
2015-10-27,133528.0
2015-10-28,149112.0
2015-10-29,123247.0
2015-10-30,127425.0
2015-11-02,132918.0
2015-11-03,130880.0
2015-11-04,144014.0
2015-11-05,112342.0
2015-11-06,125607.0
2015-11-09,152051.0
2015-11-10,122838.0
2015-11-11,118523.0
2015-11-12,150244.0
2015-11-13,165681.0
2015-11-16,146152.0
2015-11-17,123272.0
2015-11-18,138439.0
2015-11-19,146976.0
2015-11-20,186298.0
2015-11-23,161690.0
2015-11-24,154857.0
2015-11-25,137447.0
2015-11-27,126309.0
2015-11-30,138823.0
2015-12-01,131509.0
2015-12-02,135946.0
2015-12-03,125142.0
2015-12-04,117326.0
2015-12-07,157520.0
2015-12-08,138615.0
2015-12-09,142528.0
2015-12-10,152273.0
2015-12-11,152961.0
2015-12-14,148416.0
2015-12-15,153377.0
2015-12-16,140018.0
2015-12-17,115149.0
2015-12-18,105307.0
2015-12-21,126218.0
2015-12-22,140295.0
2015-12-23,147185.0
2015-12-24,119977.0
2015-12-28,147355.0
2015-12-29,143248.0
2015-12-30,173390.0
2015-12-31,108491.0
2016-01-04,165559.0
2016-01-05,142572.0
2016-01-06,133293.0
2016-01-07,122315.0
2016-01-08,140968.0
2016-01-11,146113.0
2016-01-12,141064.0
2016-01-13,167624.0
2016-01-14,143351.0
2016-01-15,118622.0
2016-01-19,158081.0
2016-01-20,115385.0
2016-01-21,120298.0
2016-01-22,151314.0
2016-01-25,118672.0
2016-01-26,139479.0
2016-01-27,135553.0
2016-01-28,144582.0
2016-01-29,123905.0
2016-02-01,138184.0
2016-02-02,100752.0
2016-02-03,101457.0
2016-02-04,135890.0
2016-02-05,133815.0
2016-02-08,136748.0
2016-02-09,144029.0
2016-02-10,152641.0
2016-02-11,154817.0
2016-02-12,145617.0
2016-02-16,109004.0
2016-02-17,137655.0
2016-02-18,127192.0
2016-02-19,146518.0
2016-02-22,135403.0
2016-02-23,146908.0
2016-02-24,136548.0
2016-02-25,127396.0
2016-02-26,149605.0
2016-02-29,119848.0
2016-03-01,150790.0
2016-03-02,149430.0
2016-03-03,144039.0
2016-03-04,118018.0
2016-03-07,145096.0
2016-03-08,133131.0
2016-03-09,126391.0
2016-03-10,121308.0
2016-03-11,137255.0
2016-03-14,122445.0
2016-03-15,131801.0
2016-03-16,141741.0
2016-03-17,146628.0
2016-03-18,144552.0
2016-03-21,137506.0
2016-03-22,125524.0
2016-03-23,130552.0
2016-03-24,139867.0
2016-03-28,151123.0
2016-03-29,123723.0
2016-03-30,122717.0
2016-03-31,135735.0
2016-04-01,106369.0
2016-04-04,115402.0
2016-04-05,123905.0
2016-04-06,120445.0
2016-04-07,144353.0
2016-04-08,151669.0
2016-04-11,155216.0
2016-04-12,125425.0
2016-04-13,129047.0
2016-04-14,132417.0
2016-04-15,140116.0
2016-04-18,119149.0
2016-04-19,156042.0
2016-04-20,124688.0
2016-04-21,114625.0
2016-04-22,143004.0
2016-04-25,152985.0
2016-04-26,147559.0
2016-04-27,113931.0
2016-04-28,132340.0
2016-04-29,124604.0
2016-05-02,107448.0
2016-05-03,137060.0
2016-05-04,128677.0
2016-05-05,137399.0
2016-05-06,128244.0
2016-05-09,136327.0
2016-05-10,117316.0
2016-05-11,145705.0
2016-05-12,136325.0
2016-05-13,142144.0
2016-05-16,132080.0
2016-05-17,142430.0
2016-05-18,132629.0
2016-05-19,156583.0
2016-05-20,118396.0
2016-05-23,152403.0
2016-05-24,150475.0
2016-05-25,149232.0
2016-05-26,151790.0
2016-05-27,119250.0
2016-05-31,115717.0
2016-06-01,114769.0
2016-06-02,111122.0
2016-06-03,132401.0
2016-06-06,127308.0
2016-06-07,145935.0
2016-06-08,154792.0
2016-06-09,137417.0
2016-06-10,112992.0
2016-06-13,119828.0
2016-06-14,126346.0
2016-06-15,138805.0
2016-06-16,154670.0
2016-06-17,124844.0
2016-06-20,138891.0
2016-06-21,140427.0
2016-06-22,133075.0
2016-06-23,160898.0
2016-06-24,140062.0
2016-06-27,165092.0
2016-06-28,110940.0
2016-06-29,137786.0
2016-06-30,143790.0
2016-07-01,124882.0
2016-07-05,141199.0
2016-07-06,125926.0
2016-07-07,151332.0
2016-07-08,153143.0
2016-07-11,123888.0
2016-07-12,129124.0
2016-07-13,132743.0
2016-07-14,151488.0
2016-07-15,159583.0
2016-07-18,132089.0
2016-07-19,162010.0
2016-07-20,156417.0
2016-07-21,150503.0
2016-07-22,158784.0
2016-07-25,142044.0
2016-07-26,147116.0
2016-07-27,116898.0
2016-07-28,130235.0
2016-07-29,119296.0
2016-08-01,141277.0
2016-08-02,142845.0
2016-08-03,155099.0
2016-08-04,105934.0
2016-08-05,114824.0
2016-08-08,160489.0
2016-08-09,138235.0
2016-08-10,144425.0
2016-08-11,143253.0
2016-08-12,121837.0
2016-08-15,145577.0
2016-08-16,106418.0
2016-08-17,124878.0
2016-08-18,125500.0
2016-08-19,154622.0
2016-08-22,134668.0
2016-08-23,158502.0
2016-08-24,122764.0
2016-08-25,120599.0
2016-08-26,138510.0
2016-08-29,139782.0
2016-08-30,160433.0
2016-08-31,128246.0
