date,value
2015-03-31,179816.0
2015-04-01,170957.0
2015-04-02,131364.0
2015-04-06,125603.0
2015-04-07,146298.0
2015-04-08,162504.0
2015-04-09,156120.0
2015-04-10,145572.0
2015-04-13,173281.0
2015-04-14,160995.0
2015-04-15,166762.0
2015-04-16,156100.0
2015-04-17,165090.0
2015-04-20,140739.0
2015-04-21,174145.0
2015-04-22,155748.0
2015-04-23,169341.0
2015-04-24,162440.0
2015-04-27,189346.0
2015-04-28,182101.0
2015-04-29,173394.0
2015-04-30,166251.0
2015-05-01,164049.0
2015-05-04,178827.0
2015-05-05,166685.0
2015-05-06,188424.0
2015-05-07,186775.0
2015-05-08,197405.0
2015-05-11,193793.0
2015-05-12,149407.0
2015-05-13,159118.0
2015-05-14,158350.0
2015-05-15,146595.0
2015-05-18,164666.0
2015-05-19,161258.0
2015-05-20,127631.0
2015-05-21,165929.0
2015-05-22,166575.0
2015-05-26,160460.0
2015-05-27,155523.0
2015-05-28,168159.0
2015-05-29,169657.0
2015-06-01,179974.0
2015-06-02,182239.0
2015-06-03,146484.0
2015-06-04,170697.0
2015-06-05,191608.0
2015-06-08,166383.0
2015-06-09,142761.0
2015-06-10,180680.0
2015-06-11,198886.0
2015-06-12,159776.0
2015-06-15,193033.0
2015-06-16,140208.0
2015-06-17,163636.0
2015-06-18,163406.0
2015-06-19,154041.0
2015-06-22,166952.0
2015-06-23,165386.0
2015-06-24,203009.0
2015-06-25,190879.0
2015-06-26,186051.0
2015-06-29,189687.0
2015-06-30,191623.0
2015-07-01,206810.0
2015-07-02,180788.0
2015-07-06,204792.0
2015-07-07,158490.0
2015-07-08,187613.0
2015-07-09,171381.0
2015-07-10,197025.0
2015-07-13,197768.0
2015-07-14,196933.0
2015-07-15,158107.0
2015-07-16,217428.0
2015-07-17,235245.0
2015-07-20,197114.0
2015-07-21,203319.0
2015-07-22,194144.0
2015-07-23,194561.0
2015-07-24,219094.0
2015-07-27,207086.0
2015-07-28,190818.0
2015-07-29,218592.0
2015-07-30,192859.0
2015-07-31,178728.0
2015-08-03,196772.0
2015-08-04,198984.0
2015-08-05,195012.0
2015-08-06,209608.0
2015-08-07,198360.0
2015-08-10,200850.0
2015-08-11,193770.0
2015-08-12,202956.0
2015-08-13,221174.0
2015-08-14,178946.0
2015-08-17,202051.0
2015-08-18,212311.0
2015-08-19,215673.0
2015-08-20,212132.0
2015-08-21,228823.0
2015-08-24,185398.0
2015-08-25,190456.0
2015-08-26,195322.0
2015-08-27,188542.0
2015-08-28,226330.0
2015-08-31,219174.0
2015-09-01,243230.0
2015-09-02,162294.0
2015-09-03,256617.0
2015-09-04,174344.0
2015-09-08,238413.0
2015-09-09,237201.0
2015-09-10,209051.0
2015-09-11,245014.0
2015-09-14,219675.0
2015-09-15,275814.0
2015-09-16,222863.0
2015-09-17,200826.0
2015-09-18,216401.0
2015-09-21,254504.0
2015-09-22,218664.0
2015-09-23,195791.0
2015-09-24,231949.0
2015-09-25,222349.0
2015-09-28,172474.0
2015-09-29,256128.0
2015-09-30,219237.0
2015-10-01,239518.0
2015-10-02,244822.0
2015-10-05,237447.0
2015-10-06,247025.0
2015-10-07,250527.0
2015-10-08,267843.0
2015-10-09,216954.0
2015-10-12,252320.0
2015-10-13,233602.0
2015-10-14,179555.0
2015-10-15,218881.0
2015-10-16,252161.0
2015-10-19,181073.0
2015-10-20,214762.0
2015-10-21,186900.0
2015-10-22,202996.0
2015-10-23,211853.0
2015-10-26,228533.0
2015-10-27,256539.0
2015-10-28,225121.0
2015-10-29,209946.0
2015-10-30,174441.0
2015-11-02,250124.0
2015-11-03,221083.0
2015-11-04,195262.0
2015-11-05,226202.0
2015-11-06,200439.0
2015-11-09,215756.0
2015-11-10,178074.0
2015-11-11,184508.0
2015-11-12,199355.0
2015-11-13,201785.0
2015-11-16,178493.0
2015-11-17,215961.0
2015-11-18,231994.0
2015-11-19,189842.0
2015-11-20,203928.0
2015-11-23,158867.0
2015-11-24,209254.0
2015-11-25,203089.0
2015-11-27,166752.0
2015-11-30,167778.0
2015-12-01,173251.0
2015-12-02,165664.0
2015-12-03,163206.0
2015-12-04,177379.0
2015-12-07,149103.0
2015-12-08,167474.0
2015-12-09,168745.0
2015-12-10,163361.0
2015-12-11,167016.0
2015-12-14,194406.0
2015-12-15,144087.0
2015-12-16,174592.0
2015-12-17,171251.0
2015-12-18,154274.0
2015-12-21,164507.0
2015-12-22,158513.0
2015-12-23,162502.0
2015-12-24,140074.0
2015-12-28,150368.0
2015-12-29,134641.0
2015-12-30,134087.0
2015-12-31,144842.0
2016-01-04,168561.0
2016-01-05,158674.0
2016-01-06,142426.0
2016-01-07,136568.0
2016-01-08,183459.0
2016-01-11,158006.0
2016-01-12,152061.0
2016-01-13,148121.0
2016-01-14,147715.0
2016-01-15,147115.0
2016-01-19,140029.0
2016-01-20,163045.0
2016-01-21,137133.0
2016-01-22,146724.0
2016-01-25,186990.0
2016-01-26,141451.0
2016-01-27,127198.0
2016-01-28,157887.0
2016-01-29,155326.0
2016-02-01,150371.0
2016-02-02,128104.0
2016-02-03,129211.0
2016-02-04,140985.0
2016-02-05,161713.0
2016-02-08,118148.0
2016-02-09,135058.0
2016-02-10,147555.0
2016-02-11,124298.0
2016-02-12,154270.0
2016-02-16,173315.0
2016-02-17,128698.0
2016-02-18,154823.0
2016-02-19,158275.0
2016-02-22,171071.0
2016-02-23,146839.0
2016-02-24,123194.0
2016-02-25,147274.0
2016-02-26,145226.0
2016-02-29,161893.0
2016-03-01,151162.0
2016-03-02,146908.0
2016-03-03,158808.0
2016-03-04,150450.0
2016-03-07,139098.0
2016-03-08,149402.0
2016-03-09,149333.0
2016-03-10,158293.0
2016-03-11,159123.0
2016-03-14,143836.0
2016-03-15,157240.0
2016-03-16,153946.0
2016-03-17,138176.0
2016-03-18,148626.0
2016-03-21,165375.0
2016-03-22,134114.0
2016-03-23,158519.0
2016-03-24,150522.0
2016-03-28,135185.0
2016-03-29,158945.0
2016-03-30,156807.0
2016-03-31,140823.0
2016-04-01,151531.0
2016-04-04,150817.0
2016-04-05,140785.0
2016-04-06,177834.0
2016-04-07,185142.0
2016-04-08,167289.0
2016-04-11,123992.0
2016-04-12,154156.0
2016-04-13,180676.0
2016-04-14,165194.0
2016-04-15,119551.0
2016-04-18,170089.0
2016-04-19,148270.0
2016-04-20,138758.0
2016-04-21,176342.0
2016-04-22,132785.0
2016-04-25,144005.0
2016-04-26,145343.0
2016-04-27,163666.0
2016-04-28,159831.0
2016-04-29,171685.0
2016-05-02,176600.0
2016-05-03,151127.0
2016-05-04,171794.0
2016-05-05,168891.0
2016-05-06,141577.0
2016-05-09,163088.0
2016-05-10,144113.0
2016-05-11,151895.0
2016-05-12,174844.0
2016-05-13,162569.0
2016-05-16,154600.0
2016-05-17,153508.0
2016-05-18,172689.0
2016-05-19,176313.0
2016-05-20,186533.0
2016-05-23,158430.0
2016-05-24,158058.0
2016-05-25,180194.0
2016-05-26,143750.0
2016-05-27,170026.0
2016-05-31,196108.0
2016-06-01,176012.0
2016-06-02,153087.0
2016-06-03,188619.0
2016-06-06,147860.0
2016-06-07,151053.0
2016-06-08,185174.0
2016-06-09,171537.0
2016-06-10,166702.0
2016-06-13,150639.0
2016-06-14,161583.0
2016-06-15,177528.0
2016-06-16,161354.0
2016-06-17,161938.0
2016-06-20,175718.0
2016-06-21,158072.0
2016-06-22,201053.0
2016-06-23,193331.0
2016-06-24,174234.0
2016-06-27,179198.0
2016-06-28,160206.0
2016-06-29,177200.0
2016-06-30,183239.0
2016-07-01,164574.0
2016-07-05,194355.0
2016-07-06,166552.0
2016-07-07,199973.0
2016-07-08,172192.0
2016-07-11,185710.0
2016-07-12,176462.0
2016-07-13,170965.0
2016-07-14,212593.0
2016-07-15,212096.0
2016-07-18,210190.0
2016-07-19,234903.0
2016-07-20,208032.0
2016-07-21,175077.0
2016-07-22,226907.0
2016-07-25,154827.0
2016-07-26,182257.0
2016-07-27,186401.0
2016-07-28,236039.0
2016-07-29,198631.0
2016-08-01,188404.0
2016-08-02,195000.0
2016-08-03,214303.0
2016-08-04,203966.0
2016-08-05,181750.0
2016-08-08,200430.0
2016-08-09,166030.0
2016-08-10,202899.0
2016-08-11,213332.0
2016-08-12,216775.0
2016-08-15,212298.0
2016-08-16,203211.0
2016-08-17,207463.0
2016-08-18,199769.0
2016-08-19,195956.0
2016-08-22,257478.0
2016-08-23,223647.0
2016-08-24,204450.0
2016-08-25,239305.0
2016-08-26,288415.0
2016-08-29,211986.0
2016-08-30,199256.0
2016-08-31,210041.0
2016-09-01,220164.0
2016-09-02,248069.0
2016-09-06,206259.0
2016-09-07,220054.0
2016-09-08,231171.0
2016-09-09,242717.0
2016-09-12,206244.0
2016-09-13,262857.0
2016-09-14,200231.0
2016-09-15,213232.0
2016-09-16,212828.0
2016-09-19,227756.0
2016-09-20,226692.0
2016-09-21,216751.0
2016-09-22,284744.0
2016-09-23,217920.0
2016-09-26,254278.0
2016-09-27,221933.0
2016-09-28,254624.0
2016-09-29,205786.0
2016-09-30,209389.0
2016-10-03,208403.0
2016-10-04,210020.0
2016-10-05,228168.0
2016-10-06,248367.0
2016-10-07,253381.0
2016-10-10,210351.0
2016-10-11,242671.0
2016-10-12,222565.0
2016-10-13,225175.0
2016-10-14,239913.0
2016-10-17,217494.0
2016-10-18,244927.0
2016-10-19,193247.0
2016-10-20,202011.0
2016-10-21,213080.0
2016-10-24,237795.0
2016-10-25,207890.0
2016-10-26,242708.0
2016-10-27,244223.0
2016-10-28,206902.0
2016-10-31,230582.0
2016-11-01,261741.0
2016-11-02,252360.0
2016-11-03,209540.0
2016-11-04,203655.0
2016-11-07,212451.0
2016-11-08,208070.0
2016-11-09,233691.0
2016-11-10,197123.0
2016-11-11,200785.0
2016-11-14,200772.0
2016-11-15,239179.0
2016-11-16,207068.0
2016-11-17,216784.0
2016-11-18,189315.0
2016-11-21,218790.0
2016-11-22,254665.0
2016-11-23,174307.0
2016-11-25,210659.0
2016-11-28,191932.0
2016-11-29,216714.0
2016-11-30,180353.0
2016-12-01,197716.0
2016-12-02,192020.0
2016-12-05,212588.0
2016-12-06,216186.0
2016-12-07,239884.0
2016-12-08,196466.0
2016-12-09,200372.0
2016-12-12,215019.0
2016-12-13,200952.0
2016-12-14,195763.0
2016-12-15,166665.0
2016-12-16,181658.0
2016-12-19,144792.0
2016-12-20,190045.0
2016-12-21,169496.0
2016-12-22,185380.0
2016-12-23,182458.0
2016-12-27,209572.0
2016-12-28,195317.0
2016-12-29,198436.0
2016-12-30,144333.0
2017-01-03,178250.0
2017-01-04,178662.0
2017-01-05,150972.0
2017-01-06,160508.0
2017-01-09,182012.0
2017-01-10,178173.0
2017-01-11,210508.0
2017-01-12,182739.0
2017-01-13,176620.0
2017-01-17,154289.0
2017-01-18,141967.0
2017-01-19,153668.0
2017-01-20,148713.0
2017-01-23,148330.0
2017-01-24,178184.0
2017-01-25,178992.0
2017-01-26,193323.0
2017-01-27,189781.0
2017-01-30,167953.0
2017-01-31,164627.0
2017-02-01,165124.0
2017-02-02,165751.0
2017-02-03,184886.0
2017-02-06,182126.0
2017-02-07,209175.0
2017-02-08,155457.0
2017-02-09,173626.0
2017-02-10,145638.0
2017-02-13,190580.0
2017-02-14,152066.0
2017-02-15,162339.0
2017-02-16,161357.0
2017-02-17,157389.0
2017-02-21,153112.0
2017-02-22,152670.0
2017-02-23,181273.0
2017-02-24,192130.0
2017-02-27,183904.0
2017-02-28,151345.0
2017-03-01,180561.0
2017-03-02,156870.0
2017-03-03,162146.0
2017-03-06,179473.0
2017-03-07,169255.0
2017-03-08,191634.0
2017-03-09,177501.0
2017-03-10,176299.0
2017-03-13,180889.0
2017-03-14,141685.0
2017-03-15,154605.0
2017-03-16,160629.0
2017-03-17,187465.0
2017-03-20,151435.0
2017-03-21,171652.0
2017-03-22,175397.0
2017-03-23,145256.0
2017-03-24,138768.0
2017-03-27,149626.0
2017-03-28,127928.0
2017-03-29,120080.0
2017-03-30,139419.0
2017-03-31,156002.0
2017-04-03,141088.0
2017-04-04,159843.0
2017-04-05,160395.0
2017-04-06,135436.0
2017-04-07,151586.0
2017-04-10,173317.0
2017-04-11,156786.0
2017-04-12,145987.0
2017-04-13,133246.0
2017-04-17,169602.0
2017-04-18,143190.0
2017-04-19,153710.0
2017-04-20,183219.0
2017-04-21,160495.0
2017-04-24,151829.0
2017-04-25,167344.0
2017-04-26,141658.0
2017-04-27,158172.0
2017-04-28,146948.0
2017-05-01,170502.0
2017-05-02,175898.0
2017-05-03,164583.0
2017-05-04,164277.0
2017-05-05,130686.0
2017-05-08,160609.0
2017-05-09,166742.0
2017-05-10,169815.0
2017-05-11,181414.0
2017-05-12,175255.0
2017-05-15,204430.0
2017-05-16,142832.0
2017-05-17,150126.0
2017-05-18,165787.0
2017-05-19,182670.0
2017-05-22,168850.0
2017-05-23,195491.0
2017-05-24,153455.0
2017-05-25,169811.0
2017-05-26,159242.0
2017-05-30,159384.0
2017-05-31,183056.0
2017-06-01,205710.0
2017-06-02,181728.0
2017-06-05,136384.0
2017-06-06,157735.0
2017-06-07,154689.0
2017-06-08,190697.0
2017-06-09,185061.0
2017-06-12,197392.0
2017-06-13,153631.0
2017-06-14,180087.0
2017-06-15,208439.0
2017-06-16,144117.0
2017-06-19,185996.0
2017-06-20,187563.0
2017-06-21,188469.0
2017-06-22,187131.0
2017-06-23,177827.0
2017-06-26,175010.0
2017-06-27,168649.0
2017-06-28,177405.0
2017-06-29,142539.0
2017-06-30,177526.0
2017-07-03,173319.0
2017-07-05,145678.0
2017-07-06,179941.0
2017-07-07,210676.0
2017-07-10,225904.0
2017-07-11,200253.0
2017-07-12,189591.0
2017-07-13,200128.0
2017-07-14,139813.0
2017-07-17,190675.0
2017-07-18,212416.0
2017-07-19,224339.0
2017-07-20,207801.0
2017-07-21,215561.0
2017-07-24,221666.0
2017-07-25,176621.0
2017-07-26,173430.0
2017-07-27,186201.0
2017-07-28,222006.0
2017-07-31,163777.0
2017-08-01,202298.0
2017-08-02,218423.0
2017-08-03,181797.0
2017-08-04,213265.0
2017-08-07,179698.0
2017-08-08,226471.0
2017-08-09,217692.0
2017-08-10,230680.0
2017-08-11,246122.0
2017-08-14,233760.0
2017-08-15,188416.0
2017-08-16,216885.0
2017-08-17,215590.0
2017-08-18,189988.0
2017-08-21,199066.0
2017-08-22,206787.0
2017-08-23,209124.0
