date,value
2015-03-31,32257.0
2015-04-01,31557.0
2015-04-02,23810.0
2015-04-06,23757.0
2015-04-07,23964.0
2015-04-08,30401.0
2015-04-09,31669.0
2015-04-10,26486.0
2015-04-13,29497.0
2015-04-14,28503.0
2015-04-15,32659.0
2015-04-16,29165.0
2015-04-17,29653.0
2015-04-20,29805.0
2015-04-21,29816.0
2015-04-22,33353.0
2015-04-23,30377.0
2015-04-24,31722.0
2015-04-27,31985.0
2015-04-28,30080.0
2015-04-29,31599.0
2015-04-30,32979.0
2015-05-01,26662.0
2015-05-04,33068.0
2015-05-05,28168.0
2015-05-06,28708.0
2015-05-07,32272.0
2015-05-08,30449.0
2015-05-11,32496.0
2015-05-12,25794.0
2015-05-13,25150.0
2015-05-14,31119.0
2015-05-15,30402.0
2015-05-18,32932.0
2015-05-19,32911.0
2015-05-20,31954.0
2015-05-21,30374.0
2015-05-22,27985.0
2015-05-26,32288.0
2015-05-27,29348.0
2015-05-28,33305.0
2015-05-29,32373.0
2015-06-01,38698.0
2015-06-02,34661.0
2015-06-03,37512.0
2015-06-04,29806.0
2015-06-05,31041.0
2015-06-08,39226.0
2015-06-09,34308.0
2015-06-10,31542.0
2015-06-11,36741.0
2015-06-12,29213.0
2015-06-15,34833.0
2015-06-16,37187.0
2015-06-17,33070.0
2015-06-18,31222.0
2015-06-19,27006.0
2015-06-22,34323.0
2015-06-23,31594.0
2015-06-24,37158.0
2015-06-25,35009.0
2015-06-26,32941.0
2015-06-29,29644.0
2015-06-30,30733.0
2015-07-01,34748.0
2015-07-02,37606.0
2015-07-06,32493.0
2015-07-07,39221.0
2015-07-08,24908.0
2015-07-09,40443.0
2015-07-10,33290.0
2015-07-13,37393.0
2015-07-14,33889.0
2015-07-15,35866.0
2015-07-16,35480.0
2015-07-17,36744.0
2015-07-20,34823.0
2015-07-21,30382.0
2015-07-22,31519.0
2015-07-23,35321.0
2015-07-24,36663.0
2015-07-27,24338.0
2015-07-28,39030.0
2015-07-29,31181.0
2015-07-30,29436.0
2015-07-31,34057.0
2015-08-03,38942.0
2015-08-04,34719.0
2015-08-05,31727.0
2015-08-06,32012.0
2015-08-07,32775.0
2015-08-10,33206.0
2015-08-11,31966.0
2015-08-12,26860.0
2015-08-13,29709.0
2015-08-14,32283.0
2015-08-17,37025.0
2015-08-18,35564.0
2015-08-19,33686.0
2015-08-20,35213.0
2015-08-21,31021.0
2015-08-24,38003.0
2015-08-25,33227.0
2015-08-26,34004.0
2015-08-27,29350.0
2015-08-28,32000.0
2015-08-31,32961.0
2015-09-01,26423.0
2015-09-02,29802.0
2015-09-03,35545.0
2015-09-04,32311.0
2015-09-08,36123.0
2015-09-09,32280.0
2015-09-10,28821.0
2015-09-11,32349.0
2015-09-14,32511.0
2015-09-15,30048.0
2015-09-16,30441.0
2015-09-17,30325.0
2015-09-18,28172.0
2015-09-21,28618.0
2015-09-22,34340.0
2015-09-23,36544.0
2015-09-24,30832.0
2015-09-25,31189.0
2015-09-28,25058.0
2015-09-29,34187.0
2015-09-30,28456.0
2015-10-01,30946.0
2015-10-02,34124.0
2015-10-05,28916.0
2015-10-06,30453.0
2015-10-07,36117.0
2015-10-08,32640.0
2015-10-09,31270.0
2015-10-12,26342.0
2015-10-13,32915.0
2015-10-14,38326.0
2015-10-15,33007.0
2015-10-16,36962.0
2015-10-19,32824.0
2015-10-20,29619.0
2015-10-21,37321.0
2015-10-22,24570.0
2015-10-23,32521.0
2015-10-26,32518.0
2015-10-27,31068.0
2015-10-28,38660.0
2015-10-29,37427.0
2015-10-30,30200.0
2015-11-02,35083.0
2015-11-03,31718.0
2015-11-04,29554.0
2015-11-05,27272.0
2015-11-06,39129.0
2015-11-09,37657.0
2015-11-10,35912.0
2015-11-11,35392.0
2015-11-12,33411.0
2015-11-13,32022.0
2015-11-16,40185.0
2015-11-17,35931.0
2015-11-18,35991.0
2015-11-19,37196.0
2015-11-20,36605.0
2015-11-23,34100.0
2015-11-24,33859.0
2015-11-25,41850.0
2015-11-27,36645.0
2015-11-30,29875.0
2015-12-01,38245.0
2015-12-02,36496.0
2015-12-03,33173.0
2015-12-04,39514.0
2015-12-07,40687.0
2015-12-08,32467.0
2015-12-09,32508.0
2015-12-10,37169.0
2015-12-11,33686.0
2015-12-14,41288.0
2015-12-15,35090.0
2015-12-16,33958.0
2015-12-17,38715.0
2015-12-18,41092.0
2015-12-21,40009.0
2015-12-22,30964.0
2015-12-23,37773.0
2015-12-24,37730.0
2015-12-28,33907.0
2015-12-29,38055.0
2015-12-30,36299.0
2015-12-31,39793.0
2016-01-04,42266.0
2016-01-05,37735.0
2016-01-06,38763.0
2016-01-07,39801.0
2016-01-08,36832.0
2016-01-11,35398.0
2016-01-12,39527.0
2016-01-13,36948.0
2016-01-14,40003.0
2016-01-15,39950.0
2016-01-19,37014.0
2016-01-20,40030.0
2016-01-21,37193.0
2016-01-22,37992.0
2016-01-25,31420.0
2016-01-26,33752.0
2016-01-27,35490.0
2016-01-28,26855.0
2016-01-29,36442.0
2016-02-01,36470.0
2016-02-02,33135.0
2016-02-03,37791.0
2016-02-04,35707.0
2016-02-05,31143.0
2016-02-08,37641.0
2016-02-09,30446.0
2016-02-10,27983.0
2016-02-11,34845.0
2016-02-12,34618.0
2016-02-16,32871.0
2016-02-17,34447.0
2016-02-18,33516.0
2016-02-19,34504.0
2016-02-22,35756.0
2016-02-23,31774.0
2016-02-24,28426.0
2016-02-25,36541.0
2016-02-26,35020.0
2016-02-29,35233.0
2016-03-01,32946.0
2016-03-02,32383.0
2016-03-03,33122.0
