date,value
2015-03-31,33470.0
2015-04-01,28766.0
2015-04-02,23755.0
2015-04-06,30385.0
2015-04-07,29171.0
2015-04-08,31295.0
2015-04-09,30222.0
2015-04-10,34582.0
2015-04-13,29184.0
2015-04-14,31990.0
2015-04-15,30676.0
2015-04-16,34807.0
2015-04-17,37764.0
2015-04-20,31164.0
2015-04-21,36774.0
2015-04-22,32958.0
2015-04-23,34733.0
2015-04-24,32846.0
2015-04-27,32494.0
2015-04-28,30631.0
2015-04-29,35471.0
2015-04-30,39136.0
2015-05-01,37140.0
2015-05-04,30842.0
2015-05-05,30700.0
2015-05-06,30002.0
2015-05-07,27514.0
2015-05-08,32759.0
2015-05-11,38411.0
2015-05-12,28281.0
2015-05-13,32814.0
2015-05-14,25895.0
2015-05-15,28921.0
2015-05-18,28919.0
2015-05-19,36616.0
2015-05-20,32779.0
2015-05-21,35909.0
2015-05-22,30472.0
2015-05-26,36383.0
2015-05-27,36575.0
2015-05-28,34309.0
2015-05-29,35645.0
2015-06-01,31079.0
2015-06-02,34420.0
2015-06-03,34798.0
2015-06-04,35862.0
2015-06-05,39284.0
2015-06-08,30225.0
2015-06-09,39046.0
2015-06-10,27992.0
2015-06-11,40578.0
2015-06-12,32150.0
2015-06-15,36287.0
2015-06-16,27687.0
2015-06-17,36729.0
2015-06-18,33562.0
2015-06-19,36717.0
2015-06-22,33200.0
2015-06-23,38654.0
2015-06-24,37314.0
2015-06-25,32831.0
2015-06-26,36013.0
2015-06-29,35637.0
2015-06-30,38449.0
2015-07-01,27090.0
2015-07-02,38639.0
2015-07-06,36245.0
2015-07-07,35137.0
2015-07-08,35150.0
2015-07-09,36416.0
2015-07-10,30887.0
2015-07-13,35573.0
2015-07-14,37267.0
2015-07-15,34078.0
2015-07-16,36750.0
2015-07-17,39194.0
2015-07-20,38018.0
2015-07-21,38570.0
2015-07-22,31841.0
2015-07-23,35293.0
2015-07-24,40340.0
2015-07-27,34393.0
2015-07-28,33430.0
2015-07-29,32204.0
2015-07-30,32764.0
2015-07-31,35113.0
2015-08-03,36273.0
2015-08-04,37226.0
2015-08-05,36036.0
2015-08-06,32604.0
2015-08-07,33973.0
2015-08-10,33039.0
2015-08-11,40391.0
2015-08-12,33626.0
2015-08-13,27525.0
2015-08-14,30835.0
2015-08-17,32946.0
2015-08-18,30565.0
2015-08-19,33084.0
2015-08-20,29268.0
2015-08-21,29661.0
2015-08-24,33991.0
2015-08-25,32357.0
2015-08-26,27613.0
2015-08-27,30244.0
2015-08-28,30360.0
2015-08-31,38853.0
2015-09-01,32992.0
2015-09-02,36233.0
2015-09-03,31253.0
2015-09-04,34908.0
2015-09-08,33557.0
2015-09-09,30468.0
2015-09-10,36367.0
2015-09-11,36686.0
2015-09-14,35856.0
2015-09-15,30354.0
2015-09-16,32405.0
2015-09-17,24237.0
2015-09-18,36814.0
2015-09-21,32158.0
2015-09-22,31929.0
2015-09-23,31294.0
2015-09-24,35222.0
2015-09-25,36861.0
2015-09-28,29475.0
2015-09-29,33936.0
2015-09-30,25062.0
2015-10-01,38895.0
2015-10-02,30835.0
2015-10-05,26207.0
2015-10-06,30301.0
2015-10-07,29848.0
2015-10-08,36909.0
2015-10-09,28669.0
2015-10-12,33212.0
2015-10-13,34169.0
2015-10-14,30972.0
2015-10-15,36770.0
2015-10-16,29658.0
2015-10-19,32438.0
2015-10-20,25655.0
2015-10-21,37694.0
2015-10-22,32394.0
2015-10-23,34846.0
2015-10-26,26768.0
2015-10-27,31778.0
2015-10-28,36471.0
2015-10-29,22978.0
2015-10-30,34543.0
2015-11-02,29581.0
2015-11-03,39658.0
2015-11-04,33897.0
2015-11-05,32649.0
2015-11-06,30883.0
2015-11-09,31003.0
2015-11-10,34663.0
2015-11-11,32825.0
2015-11-12,32594.0
2015-11-13,31551.0
2015-11-16,31576.0
2015-11-17,36826.0
2015-11-18,39594.0
2015-11-19,28909.0
2015-11-20,33777.0
2015-11-23,30351.0
2015-11-24,32263.0
2015-11-25,32922.0
2015-11-27,33596.0
2015-11-30,31318.0
2015-12-01,33478.0
2015-12-02,30290.0
2015-12-03,32004.0
2015-12-04,34255.0
2015-12-07,33777.0
2015-12-08,35372.0
2015-12-09,36803.0
2015-12-10,33069.0
2015-12-11,32555.0
2015-12-14,27500.0
2015-12-15,31305.0
2015-12-16,29876.0
2015-12-17,36858.0
2015-12-18,30549.0
2015-12-21,33445.0
2015-12-22,37298.0
2015-12-23,35386.0
2015-12-24,32983.0
2015-12-28,36776.0
2015-12-29,42129.0
2015-12-30,33554.0
2015-12-31,35899.0
2016-01-04,36711.0
2016-01-05,36343.0
2016-01-06,37013.0
2016-01-07,32791.0
2016-01-08,29639.0
2016-01-11,38259.0
2016-01-12,37715.0
2016-01-13,36663.0
2016-01-14,33164.0
2016-01-15,35690.0
2016-01-19,36787.0
2016-01-20,36304.0
2016-01-21,33036.0
2016-01-22,38795.0
2016-01-25,30840.0
2016-01-26,33262.0
2016-01-27,34634.0
2016-01-28,36604.0
2016-01-29,35307.0
2016-02-01,37846.0
2016-02-02,40391.0
2016-02-03,33782.0
2016-02-04,30984.0
2016-02-05,34176.0
2016-02-08,38823.0
2016-02-09,32528.0
2016-02-10,28176.0
2016-02-11,32174.0
2016-02-12,32526.0
2016-02-16,35287.0
2016-02-17,29145.0
2016-02-18,32751.0
2016-02-19,42261.0
2016-02-22,36210.0
2016-02-23,33490.0
2016-02-24,37614.0
2016-02-25,35124.0
2016-02-26,31978.0
2016-02-29,25980.0
2016-03-01,34706.0
2016-03-02,33234.0
2016-03-03,28898.0
2016-03-04,32569.0
2016-03-07,38155.0
2016-03-08,37861.0
2016-03-09,34059.0
2016-03-10,31853.0
2016-03-11,32617.0
2016-03-14,30982.0
2016-03-15,30542.0
2016-03-16,33458.0
2016-03-17,32337.0
2016-03-18,40129.0
2016-03-21,34167.0
2016-03-22,32865.0
2016-03-23,32905.0
2016-03-24,32533.0
2016-03-28,37073.0
2016-03-29,35844.0
2016-03-30,34387.0
2016-03-31,29062.0
2016-04-01,30304.0
2016-04-04,30954.0
2016-04-05,30345.0
2016-04-06,33586.0
2016-04-07,33592.0
2016-04-08,28726.0
2016-04-11,32902.0
2016-04-12,31985.0
2016-04-13,34808.0
2016-04-14,31965.0
2016-04-15,33253.0
2016-04-18,31249.0
2016-04-19,38724.0
2016-04-20,37482.0
2016-04-21,31670.0
2016-04-22,28118.0
2016-04-25,30250.0
2016-04-26,39824.0
2016-04-27,26919.0
2016-04-28,32385.0
2016-04-29,32513.0
2016-05-02,33031.0
2016-05-03,33720.0
2016-05-04,27323.0
2016-05-05,31299.0
2016-05-06,32594.0
2016-05-09,36373.0
2016-05-10,35303.0
2016-05-11,31963.0
2016-05-12,39060.0
2016-05-13,35884.0
2016-05-16,33523.0
2016-05-17,34515.0
2016-05-18,38244.0
2016-05-19,35498.0
2016-05-20,34469.0
2016-05-23,41279.0
2016-05-24,34306.0
2016-05-25,35207.0
2016-05-26,38967.0
2016-05-27,32111.0
2016-05-31,34068.0
2016-06-01,32290.0
2016-06-02,27299.0
2016-06-03,30775.0
2016-06-06,38427.0
2016-06-07,36900.0
2016-06-08,42981.0
2016-06-09,29753.0
2016-06-10,33200.0
2016-06-13,38614.0
2016-06-14,34568.0
2016-06-15,42933.0
2016-06-16,39339.0
2016-06-17,35719.0
2016-06-20,31954.0
2016-06-21,35658.0
2016-06-22,36710.0
2016-06-23,35224.0
2016-06-24,40423.0
2016-06-27,30947.0
2016-06-28,40772.0
2016-06-29,37635.0
2016-06-30,37904.0
2016-07-01,36715.0
2016-07-05,33517.0
2016-07-06,44450.0
2016-07-07,36791.0
2016-07-08,39611.0
2016-07-11,36196.0
2016-07-12,37255.0
2016-07-13,34901.0
2016-07-14,36548.0
2016-07-15,36866.0
2016-07-18,35901.0
2016-07-19,31605.0
2016-07-20,36878.0
2016-07-21,39228.0
2016-07-22,31429.0
2016-07-25,38770.0
