date,value
2015-03-31,1688613.0
2015-04-01,1533812.0
2015-04-02,1717814.0
2015-04-06,1877891.0
2015-04-07,1727463.0
2015-04-08,2049412.0
2015-04-09,1888331.0
2015-04-10,2008314.0
2015-04-13,1633728.0
2015-04-14,2053919.0
2015-04-15,2009922.0
2015-04-16,1721864.0
2015-04-17,1642786.0
2015-04-20,2178431.0
2015-04-21,1929336.0
2015-04-22,2085551.0
2015-04-23,1510047.0
2015-04-24,1702629.0
2015-04-27,1642136.0
2015-04-28,1791942.0
2015-04-29,1602077.0
2015-04-30,1995241.0
2015-05-01,1656804.0
2015-05-04,1836972.0
2015-05-05,1922898.0
2015-05-06,1850810.0
2015-05-07,1525250.0
2015-05-08,1873890.0
2015-05-11,1903873.0
2015-05-12,1835312.0
2015-05-13,1820865.0
2015-05-14,1979698.0
2015-05-15,1454158.0
2015-05-18,1773659.0
2015-05-19,2183257.0
2015-05-20,1879216.0
2015-05-21,2105347.0
2015-05-22,1973703.0
2015-05-26,2148325.0
2015-05-27,1568621.0
2015-05-28,1912277.0
2015-05-29,1653456.0
2015-06-01,1880060.0
2015-06-02,2072063.0
2015-06-03,2362254.0
2015-06-04,1899438.0
2015-06-05,1797864.0
2015-06-08,1516941.0
2015-06-09,1958298.0
2015-06-10,1981876.0
2015-06-11,2166415.0
2015-06-12,2139801.0
2015-06-15,2066943.0
2015-06-16,2032820.0
2015-06-17,1855669.0
2015-06-18,1970101.0
2015-06-19,1497147.0
2015-06-22,2053571.0
2015-06-23,1849062.0
2015-06-24,1826938.0
2015-06-25,1629650.0
2015-06-26,1886660.0
2015-06-29,2162751.0
2015-06-30,2067332.0
2015-07-01,1905259.0
2015-07-02,2112312.0
2015-07-06,2134336.0
2015-07-07,2283816.0
2015-07-08,2197536.0
2015-07-09,2205203.0
2015-07-10,1953793.0
2015-07-13,2120121.0
2015-07-14,1881679.0
2015-07-15,1804609.0
2015-07-16,1733962.0
2015-07-17,1595948.0
2015-07-20,2071724.0
2015-07-21,1724026.0
2015-07-22,1850103.0
2015-07-23,2251570.0
2015-07-24,2189574.0
2015-07-27,2127941.0
2015-07-28,1810963.0
2015-07-29,1584079.0
2015-07-30,1895111.0
2015-07-31,1851148.0
2015-08-03,1925964.0
2015-08-04,1625912.0
2015-08-05,1843018.0
2015-08-06,2198160.0
2015-08-07,2140077.0
2015-08-10,2142869.0
2015-08-11,1976453.0
2015-08-12,1949445.0
2015-08-13,1964764.0
2015-08-14,2016099.0
2015-08-17,2042196.0
2015-08-18,2212138.0
2015-08-19,1873919.0
2015-08-20,1908812.0
2015-08-21,1900554.0
2015-08-24,1953577.0
2015-08-25,1739367.0
2015-08-26,2046231.0
2015-08-27,2065019.0
2015-08-28,1822836.0
2015-08-31,2131467.0
2015-09-01,1809652.0
2015-09-02,2182824.0
2015-09-03,2054615.0
2015-09-04,2312975.0
2015-09-08,1909003.0
2015-09-09,2400498.0
2015-09-10,2187575.0
2015-09-11,2177946.0
2015-09-14,1783222.0
2015-09-15,2012596.0
2015-09-16,2285954.0
2015-09-17,1729245.0
2015-09-18,1958418.0
2015-09-21,2242771.0
2015-09-22,1819335.0
2015-09-23,2454065.0
2015-09-24,1960862.0
2015-09-25,2423012.0
2015-09-28,1788412.0
2015-09-29,1842316.0
2015-09-30,1511303.0
2015-10-01,2151389.0
2015-10-02,2195095.0
2015-10-05,2405013.0
2015-10-06,2195953.0
2015-10-07,2112587.0
2015-10-08,1719440.0
2015-10-09,2076080.0
2015-10-12,2039393.0
2015-10-13,1718116.0
2015-10-14,1655301.0
2015-10-15,2182902.0
2015-10-16,1939028.0
