date,value
2014-12-31,2064719.0
2015-01-02,2393977.0
2015-01-05,2579250.0
2015-01-06,2217414.0
2015-01-07,2289082.0
2015-01-08,2046239.0
2015-01-09,1939314.0
2015-01-12,2048678.0
2015-01-13,2392996.0
2015-01-14,1793241.0
2015-01-15,1713774.0
2015-01-16,2311562.0
2015-01-20,2052379.0
2015-01-21,1993485.0
2015-01-22,2226787.0
2015-01-23,1950425.0
2015-01-26,2059898.0
2015-01-27,1905706.0
2015-01-28,2050715.0
2015-01-29,1861107.0
2015-01-30,2551580.0
2015-02-02,1920596.0
2015-02-03,2024610.0
2015-02-04,2233431.0
2015-02-05,1823880.0
2015-02-06,2014284.0
2015-02-09,1980334.0
2015-02-10,2266626.0
2015-02-11,1826566.0
2015-02-12,2233888.0
2015-02-13,2136495.0
2015-02-17,2090908.0
2015-02-18,1743306.0
2015-02-19,2126508.0
2015-02-20,1845945.0
2015-02-23,1725020.0
2015-02-24,2315671.0
2015-02-25,2175459.0
2015-02-26,1807692.0
2015-02-27,2178523.0
2015-03-02,1910919.0
2015-03-03,2452744.0
2015-03-04,1541749.0
2015-03-05,2407596.0
2015-03-06,2283569.0
2015-03-09,2211459.0
2015-03-10,1930848.0
2015-03-11,2214906.0
2015-03-12,2008776.0
2015-03-13,2258124.0
2015-03-16,1791343.0
2015-03-17,1820380.0
2015-03-18,2282835.0
2015-03-19,1930837.0
2015-03-20,1944362.0
2015-03-23,2149004.0
2015-03-24,2326316.0
2015-03-25,2127079.0
2015-03-26,1984425.0
2015-03-27,2237554.0
2015-03-30,1704079.0
2015-03-31,2175061.0
2015-04-01,1750647.0
2015-04-02,1899291.0
2015-04-06,1566444.0
2015-04-07,2263877.0
2015-04-08,1705373.0
2015-04-09,1838399.0
2015-04-10,2031358.0
2015-04-13,2139823.0
2015-04-14,1803905.0
2015-04-15,1993158.0
2015-04-16,2011753.0
2015-04-17,2059712.0
2015-04-20,2091617.0
2015-04-21,1791154.0
2015-04-22,1935625.0
2015-04-23,2069958.0
2015-04-24,1946737.0
2015-04-27,1846894.0
2015-04-28,2357685.0
2015-04-29,2184891.0
2015-04-30,1957222.0
2015-05-01,2190770.0
2015-05-04,2056322.0
2015-05-05,1869341.0
2015-05-06,2271373.0
2015-05-07,1856664.0
2015-05-08,2516906.0
2015-05-11,2299218.0
2015-05-12,2173600.0
2015-05-13,2195635.0
2015-05-14,2076066.0
2015-05-15,2046969.0
2015-05-18,1666395.0
2015-05-19,1981070.0
2015-05-20,2189969.0
2015-05-21,1717053.0
2015-05-22,2371232.0
2015-05-26,2023862.0
2015-05-27,2232783.0
2015-05-28,2157050.0
2015-05-29,2157601.0
2015-06-01,1998227.0
2015-06-02,2443551.0
2015-06-03,2321504.0
2015-06-04,2072978.0
2015-06-05,1993257.0
2015-06-08,2003949.0
2015-06-09,1766341.0
2015-06-10,1831340.0
2015-06-11,2143995.0
2015-06-12,2570628.0
2015-06-15,1925314.0
2015-06-16,1965226.0
2015-06-17,1758918.0
2015-06-18,2176549.0
2015-06-19,2008276.0
2015-06-22,2000223.0
2015-06-23,2457301.0
2015-06-24,1985136.0
2015-06-25,2034595.0
2015-06-26,1856560.0
2015-06-29,2299040.0
2015-06-30,2025537.0
2015-07-01,1946887.0
2015-07-02,1821798.0
2015-07-06,1961675.0
2015-07-07,2000951.0
2015-07-08,2348090.0
2015-07-09,1970668.0
2015-07-10,1759660.0
2015-07-13,2139689.0
2015-07-14,2387543.0
2015-07-15,2291833.0
2015-07-16,1622243.0
2015-07-17,2203217.0
2015-07-20,1928621.0
2015-07-21,1952458.0
2015-07-22,1752729.0
2015-07-23,2103412.0
2015-07-24,1868630.0
2015-07-27,2104320.0
2015-07-28,2133026.0
2015-07-29,2279905.0
2015-07-30,2172234.0
2015-07-31,2201496.0
2015-08-03,1731973.0
2015-08-04,2198983.0
2015-08-05,3002617.0
2015-08-06,1965888.0
2015-08-07,2308069.0
2015-08-10,2423006.0
2015-08-11,2198013.0
2015-08-12,2064968.0
2015-08-13,2099731.0
2015-08-14,1842041.0
2015-08-17,2120396.0
2015-08-18,2230633.0
2015-08-19,1864018.0
2015-08-20,2077507.0
2015-08-21,1810439.0
2015-08-24,2064121.0
2015-08-25,2015413.0
2015-08-26,1909102.0
2015-08-27,1929715.0
2015-08-28,2065809.0
2015-08-31,2311400.0
2015-09-01,1678942.0
2015-09-02,2091518.0
2015-09-03,2281924.0
2015-09-04,1804869.0
2015-09-08,1844387.0
2015-09-09,1982117.0
2015-09-10,1849917.0
2015-09-11,2386947.0
2015-09-14,1769543.0
2015-09-15,2350045.0
2015-09-16,2447358.0
2015-09-17,2135541.0
2015-09-18,2123671.0
2015-09-21,2503557.0
2015-09-22,1808508.0
2015-09-23,2196616.0
2015-09-24,1984813.0
2015-09-25,2281449.0
2015-09-28,1907713.0
2015-09-29,2153177.0
2015-09-30,1872235.0
2015-10-01,2114540.0
2015-10-02,1839583.0
2015-10-05,2481157.0
2015-10-06,2010070.0
2015-10-07,1751702.0
2015-10-08,1840555.0
2015-10-09,2034530.0
2015-10-12,2074557.0
2015-10-13,2041160.0
2015-10-14,2312750.0
2015-10-15,2044282.0
2015-10-16,2064884.0
2015-10-19,2042652.0
2015-10-20,2139877.0
2015-10-21,2326887.0
2015-10-22,2158144.0
2015-10-23,1943467.0
2015-10-26,1911962.0
2015-10-27,2494089.0
2015-10-28,1927915.0
2015-10-29,2053453.0
2015-10-30,2219453.0
2015-11-02,2021953.0
2015-11-03,2234144.0
2015-11-04,1850905.0
2015-11-05,2570678.0
2015-11-06,1921402.0
2015-11-09,2074770.0
2015-11-10,2218188.0
2015-11-11,2338541.0
2015-11-12,2174529.0
2015-11-13,2189434.0
2015-11-16,2650495.0
2015-11-17,2204095.0
2015-11-18,2042392.0
2015-11-19,2277209.0
2015-11-20,2085995.0
2015-11-23,2536440.0
2015-11-24,2412651.0
2015-11-25,2182786.0
2015-11-27,2276344.0
2015-11-30,2414852.0
2015-12-01,2176734.0
2015-12-02,1999227.0
2015-12-03,1973724.0
2015-12-04,2062493.0
2015-12-07,2219742.0
2015-12-08,2508456.0
2015-12-09,1627575.0
2015-12-10,2153589.0
2015-12-11,2208479.0
2015-12-14,2152068.0
2015-12-15,1949906.0
2015-12-16,2219765.0
2015-12-17,2261966.0
2015-12-18,2030411.0
2015-12-21,2204819.0
2015-12-22,1940448.0
2015-12-23,2311945.0
2015-12-24,2372453.0
2015-12-28,2430732.0
2015-12-29,2025882.0
2015-12-30,2161393.0
2015-12-31,2519319.0
2016-01-04,2094178.0
2016-01-05,2196633.0
2016-01-06,1751914.0
2016-01-07,2217569.0
2016-01-08,1907686.0
2016-01-11,2155298.0
2016-01-12,2367700.0
2016-01-13,2278099.0
2016-01-14,1905302.0
2016-01-15,2442431.0
2016-01-19,2219401.0
2016-01-20,2132388.0
2016-01-21,2029245.0
2016-01-22,2062989.0
2016-01-25,2136232.0
2016-01-26,2432630.0
2016-01-27,2152519.0
2016-01-28,2445601.0
2016-01-29,2189741.0
2016-02-01,2152875.0
2016-02-02,1948646.0
2016-02-03,1763653.0
2016-02-04,1978240.0
2016-02-05,2116208.0
2016-02-08,2259109.0
2016-02-09,1682234.0
2016-02-10,2274381.0
2016-02-11,1646511.0
2016-02-12,2113820.0
2016-02-16,2093286.0
2016-02-17,2106723.0
2016-02-18,1809005.0
2016-02-19,1842866.0
2016-02-22,1537110.0
2016-02-23,2197743.0
2016-02-24,1865816.0
2016-02-25,2233983.0
2016-02-26,2130868.0
2016-02-29,2050957.0
2016-03-01,2324610.0
2016-03-02,2169754.0
2016-03-03,2142441.0
2016-03-04,2064364.0
2016-03-07,2085088.0
2016-03-08,2305449.0
2016-03-09,2039841.0
2016-03-10,2116750.0
2016-03-11,2227672.0
2016-03-14,1979413.0
2016-03-15,2403846.0
2016-03-16,2013551.0
2016-03-17,2363474.0
2016-03-18,2196462.0
2016-03-21,1946560.0
2016-03-22,2215040.0
2016-03-23,2099626.0
2016-03-24,2355682.0
2016-03-28,2063394.0
2016-03-29,2257129.0
2016-03-30,2093601.0
2016-03-31,2100216.0
2016-04-01,1804647.0
2016-04-04,2067278.0
2016-04-05,1987560.0
2016-04-06,1649880.0
2016-04-07,1852447.0
2016-04-08,2121859.0
2016-04-11,2136777.0
2016-04-12,2135104.0
2016-04-13,2161339.0
2016-04-14,2102303.0
2016-04-15,1899134.0
2016-04-18,2045757.0
2016-04-19,1932119.0
2016-04-20,2295688.0
2016-04-21,2758398.0
2016-04-22,2389809.0
2016-04-25,1852240.0
2016-04-26,2356670.0
2016-04-27,1901121.0
2016-04-28,2136387.0
2016-04-29,2130002.0
2016-05-02,1941185.0
2016-05-03,2324664.0
2016-05-04,2297656.0
