date,value
2015-03-31,306579.0
2015-04-01,274761.0
2015-04-02,250133.0
2015-04-06,375504.0
2015-04-07,361567.0
2015-04-08,335992.0
2015-04-09,334503.0
2015-04-10,333655.0
2015-04-13,327940.0
2015-04-14,261813.0
2015-04-15,331343.0
2015-04-16,323680.0
2015-04-17,285777.0
2015-04-20,299402.0
2015-04-21,358924.0
2015-04-22,335389.0
2015-04-23,336825.0
2015-04-24,262375.0
2015-04-27,350880.0
2015-04-28,307074.0
2015-04-29,301335.0
2015-04-30,346530.0
2015-05-01,366011.0
2015-05-04,314562.0
2015-05-05,309301.0
2015-05-06,338435.0
2015-05-07,289424.0
2015-05-08,359751.0
2015-05-11,299335.0
2015-05-12,301187.0
2015-05-13,268569.0
2015-05-14,411090.0
2015-05-15,313223.0
2015-05-18,270570.0
2015-05-19,320669.0
2015-05-20,283629.0
2015-05-21,345808.0
2015-05-22,284595.0
2015-05-26,335944.0
2015-05-27,379425.0
2015-05-28,315621.0
2015-05-29,336708.0
2015-06-01,327632.0
2015-06-02,341808.0
2015-06-03,337444.0
2015-06-04,330908.0
2015-06-05,357633.0
2015-06-08,302838.0
2015-06-09,337602.0
2015-06-10,300487.0
2015-06-11,315387.0
2015-06-12,368922.0
2015-06-15,360330.0
2015-06-16,333687.0
2015-06-17,316968.0
2015-06-18,367715.0
2015-06-19,266102.0
2015-06-22,289809.0
2015-06-23,271319.0
2015-06-24,327647.0
2015-06-25,336945.0
2015-06-26,281445.0
2015-06-29,290950.0
2015-06-30,333157.0
2015-07-01,220965.0
2015-07-02,381294.0
2015-07-06,329493.0
2015-07-07,350384.0
2015-07-08,361509.0
2015-07-09,356326.0
2015-07-10,354996.0
2015-07-13,372111.0
2015-07-14,298288.0
2015-07-15,314998.0
2015-07-16,378447.0
2015-07-17,342109.0
2015-07-20,346732.0
2015-07-21,387117.0
2015-07-22,415318.0
2015-07-23,327335.0
2015-07-24,275131.0
2015-07-27,321687.0
2015-07-28,303480.0
2015-07-29,342837.0
2015-07-30,329840.0
2015-07-31,278872.0
2015-08-03,313899.0
2015-08-04,322593.0
2015-08-05,313618.0
2015-08-06,306571.0
2015-08-07,352419.0
2015-08-10,315225.0
2015-08-11,337511.0
2015-08-12,329304.0
2015-08-13,314907.0
2015-08-14,336493.0
2015-08-17,330436.0
2015-08-18,379715.0
2015-08-19,405993.0
2015-08-20,324390.0
2015-08-21,356521.0
2015-08-24,319540.0
2015-08-25,275365.0
2015-08-26,299321.0
2015-08-27,363809.0
2015-08-28,325888.0
2015-08-31,342666.0
2015-09-01,310196.0
2015-09-02,313090.0
2015-09-03,295624.0
2015-09-04,357954.0
2015-09-08,417875.0
2015-09-09,378689.0
2015-09-10,340329.0
2015-09-11,375916.0
2015-09-14,351324.0
2015-09-15,346647.0
2015-09-16,362817.0
2015-09-17,379849.0
2015-09-18,350144.0
2015-09-21,429370.0
2015-09-22,380873.0
2015-09-23,382049.0
2015-09-24,344931.0
2015-09-25,322351.0
2015-09-28,352374.0
2015-09-29,403193.0
2015-09-30,390541.0
2015-10-01,361827.0
2015-10-02,307723.0
2015-10-05,315305.0
2015-10-06,343874.0
2015-10-07,348383.0
2015-10-08,296311.0
2015-10-09,363309.0
2015-10-12,388517.0
2015-10-13,314784.0
2015-10-14,319798.0
2015-10-15,370027.0
2015-10-16,369745.0
2015-10-19,321101.0
2015-10-20,389948.0
2015-10-21,390270.0
2015-10-22,250595.0
2015-10-23,368533.0
2015-10-26,304749.0
2015-10-27,348678.0
2015-10-28,340039.0
2015-10-29,311796.0
2015-10-30,293310.0
2015-11-02,276165.0
2015-11-03,288313.0
2015-11-04,384404.0
2015-11-05,270699.0
2015-11-06,308563.0
2015-11-09,308700.0
2015-11-10,307587.0
2015-11-11,337458.0
2015-11-12,308691.0
2015-11-13,324763.0
2015-11-16,314509.0
2015-11-17,325809.0
2015-11-18,311934.0
2015-11-19,301177.0
2015-11-20,301059.0
2015-11-23,308037.0
2015-11-24,320831.0
2015-11-25,266241.0
2015-11-27,308942.0
2015-11-30,314766.0
2015-12-01,317622.0
2015-12-02,280742.0
2015-12-03,308915.0
2015-12-04,232822.0
2015-12-07,292866.0
2015-12-08,344070.0
2015-12-09,260876.0
2015-12-10,292860.0
2015-12-11,295961.0
2015-12-14,297360.0
2015-12-15,350016.0
2015-12-16,314594.0
2015-12-17,312813.0
2015-12-18,319883.0
2015-12-21,273300.0
2015-12-22,334217.0
2015-12-23,289323.0
2015-12-24,285655.0
2015-12-28,327592.0
2015-12-29,251379.0
2015-12-30,280678.0
2015-12-31,311792.0
2016-01-04,246916.0
2016-01-05,311962.0
2016-01-06,237481.0
2016-01-07,253387.0
2016-01-08,255886.0
2016-01-11,261345.0
2016-01-12,289802.0
2016-01-13,252812.0
2016-01-14,290583.0
2016-01-15,240886.0
2016-01-19,254502.0
2016-01-20,235989.0
2016-01-21,263452.0
2016-01-22,241309.0
2016-01-25,242586.0
2016-01-26,233369.0
2016-01-27,243176.0
2016-01-28,215037.0
2016-01-29,268187.0
2016-02-01,269577.0
2016-02-02,267782.0
2016-02-03,253625.0
2016-02-04,291236.0
2016-02-05,281511.0
2016-02-08,278045.0
2016-02-09,295974.0
2016-02-10,229731.0
2016-02-11,239661.0
2016-02-12,215860.0
2016-02-16,248397.0
2016-02-17,259222.0
2016-02-18,235901.0
2016-02-19,204699.0
2016-02-22,252364.0
2016-02-23,193851.0
2016-02-24,193131.0
2016-02-25,216727.0
2016-02-26,236139.0
2016-02-29,225567.0
2016-03-01,240951.0
2016-03-02,250213.0
2016-03-03,213325.0
2016-03-04,241129.0
2016-03-07,174351.0
2016-03-08,216120.0
2016-03-09,246916.0
2016-03-10,202194.0
2016-03-11,239718.0
2016-03-14,209087.0
2016-03-15,246388.0
2016-03-16,236065.0
2016-03-17,214353.0
2016-03-18,225271.0
2016-03-21,238075.0
2016-03-22,201078.0
2016-03-23,183210.0
2016-03-24,177076.0
2016-03-28,196546.0
2016-03-29,208675.0
2016-03-30,214119.0
2016-03-31,191015.0
2016-04-01,166159.0
2016-04-04,216653.0
2016-04-05,231583.0
2016-04-06,213863.0
2016-04-07,198278.0
2016-04-08,201198.0
2016-04-11,169337.0
2016-04-12,235004.0
2016-04-13,223205.0
2016-04-14,155583.0
2016-04-15,254045.0
2016-04-18,221674.0
2016-04-19,198213.0
2016-04-20,222482.0
2016-04-21,224224.0
2016-04-22,225121.0
2016-04-25,220733.0
2016-04-26,151387.0
2016-04-27,186885.0
2016-04-28,230965.0
2016-04-29,210126.0
2016-05-02,196743.0
2016-05-03,224885.0
2016-05-04,213540.0
2016-05-05,212156.0
2016-05-06,246207.0
2016-05-09,215704.0
2016-05-10,213512.0
2016-05-11,239155.0
2016-05-12,229516.0
2016-05-13,228142.0
2016-05-16,240416.0
2016-05-17,234214.0
2016-05-18,232330.0
2016-05-19,228424.0
2016-05-20,196003.0
2016-05-23,236416.0
2016-05-24,196274.0
2016-05-25,215722.0
2016-05-26,235625.0
2016-05-27,230654.0
2016-05-31,191654.0
2016-06-01,219158.0
2016-06-02,262348.0
2016-06-03,224910.0
2016-06-06,200664.0
2016-06-07,220561.0
2016-06-08,244858.0
2016-06-09,298914.0
2016-06-10,263556.0
2016-06-13,245288.0
2016-06-14,222759.0
2016-06-15,269251.0
2016-06-16,219151.0
2016-06-17,211112.0
2016-06-20,243644.0
2016-06-21,253114.0
2016-06-22,262267.0
2016-06-23,254756.0
2016-06-24,241138.0
2016-06-27,234487.0
2016-06-28,288431.0
2016-06-29,260573.0
2016-06-30,261042.0
2016-07-01,243442.0
2016-07-05,296143.0
2016-07-06,261670.0
2016-07-07,269895.0
2016-07-08,305881.0
2016-07-11,286416.0
2016-07-12,246898.0
2016-07-13,297329.0
2016-07-14,287094.0
2016-07-15,264165.0
