date,value
2015-03-31,197963.0
2015-04-01,214562.0
2015-04-02,205537.0
2015-04-06,202276.0
2015-04-07,201557.0
2015-04-08,176807.0
2015-04-09,171386.0
2015-04-10,183088.0
2015-04-13,201896.0
2015-04-14,188206.0
2015-04-15,189111.0
2015-04-16,218249.0
2015-04-17,175530.0
2015-04-20,214116.0
2015-04-21,169727.0
2015-04-22,237232.0
2015-04-23,186114.0
2015-04-24,186064.0
2015-04-27,194657.0
2015-04-28,151128.0
2015-04-29,196161.0
2015-04-30,193219.0
2015-05-01,190296.0
2015-05-04,150875.0
2015-05-05,168337.0
2015-05-06,168796.0
2015-05-07,173650.0
2015-05-08,179158.0
2015-05-11,152563.0
2015-05-12,195165.0
2015-05-13,155849.0
2015-05-14,162689.0
2015-05-15,141970.0
2015-05-18,173880.0
2015-05-19,160474.0
2015-05-20,180127.0
2015-05-21,161238.0
2015-05-22,150752.0
2015-05-26,143021.0
2015-05-27,133468.0
2015-05-28,163809.0
2015-05-29,147767.0
2015-06-01,149278.0
2015-06-02,150182.0
2015-06-03,110542.0
2015-06-04,160176.0
2015-06-05,145852.0
2015-06-08,124988.0
2015-06-09,150061.0
2015-06-10,147455.0
2015-06-11,111356.0
2015-06-12,128495.0
2015-06-15,128403.0
2015-06-16,116106.0
2015-06-17,123207.0
2015-06-18,140435.0
2015-06-19,136506.0
2015-06-22,112558.0
2015-06-23,133797.0
2015-06-24,121335.0
2015-06-25,107429.0
2015-06-26,130691.0
2015-06-29,125963.0
2015-06-30,107805.0
2015-07-01,106745.0
2015-07-02,112900.0
2015-07-06,100131.0
2015-07-07,116007.0
2015-07-08,129391.0
2015-07-09,126987.0
2015-07-10,103523.0
2015-07-13,138532.0
2015-07-14,134570.0
2015-07-15,123857.0
2015-07-16,121272.0
2015-07-17,91190.0
2015-07-20,136391.0
2015-07-21,144701.0
2015-07-22,88114.0
2015-07-23,121262.0
2015-07-24,113528.0
2015-07-27,106906.0
2015-07-28,111783.0
2015-07-29,121528.0
2015-07-30,111157.0
2015-07-31,100946.0
2015-08-03,115626.0
2015-08-04,131333.0
2015-08-05,117861.0
2015-08-06,106943.0
2015-08-07,131791.0
2015-08-10,146201.0
2015-08-11,134290.0
2015-08-12,118740.0
2015-08-13,115335.0
2015-08-14,111114.0
2015-08-17,132081.0
2015-08-18,131300.0
2015-08-19,124019.0
2015-08-20,105202.0
2015-08-21,94829.0
2015-08-24,97359.0
2015-08-25,107456.0
2015-08-26,94238.0
2015-08-27,135676.0
2015-08-28,127799.0
2015-08-31,115002.0
2015-09-01,133086.0
2015-09-02,123277.0
2015-09-03,127424.0
2015-09-04,102564.0
2015-09-08,143409.0
2015-09-09,114981.0
2015-09-10,116271.0
2015-09-11,135542.0
2015-09-14,126615.0
2015-09-15,125706.0
2015-09-16,118945.0
2015-09-17,120964.0
2015-09-18,114203.0
2015-09-21,117766.0
2015-09-22,104024.0
2015-09-23,106797.0
2015-09-24,123834.0
2015-09-25,111550.0
2015-09-28,112212.0
2015-09-29,127746.0
2015-09-30,139414.0
2015-10-01,102590.0
2015-10-02,131344.0
2015-10-05,109626.0
2015-10-06,106171.0
2015-10-07,137426.0
2015-10-08,121901.0
2015-10-09,131111.0
2015-10-12,116385.0
2015-10-13,131572.0
2015-10-14,118534.0
2015-10-15,104297.0
2015-10-16,102122.0
2015-10-19,110028.0
2015-10-20,139243.0
2015-10-21,130560.0
2015-10-22,120690.0
2015-10-23,117279.0
2015-10-26,112993.0
2015-10-27,116567.0
2015-10-28,113309.0
2015-10-29,104988.0
2015-10-30,120910.0
2015-11-02,116380.0
2015-11-03,126597.0
2015-11-04,112836.0
2015-11-05,106877.0
2015-11-06,136262.0
2015-11-09,116781.0
2015-11-10,125886.0
2015-11-11,114260.0
2015-11-12,104143.0
2015-11-13,124784.0
2015-11-16,114391.0
2015-11-17,121416.0
2015-11-18,112742.0
2015-11-19,112046.0
2015-11-20,118733.0
2015-11-23,112698.0
2015-11-24,108002.0
2015-11-25,120209.0
2015-11-27,116235.0
2015-11-30,149495.0
2015-12-01,121657.0
2015-12-02,121599.0
2015-12-03,128898.0
2015-12-04,114566.0
2015-12-07,119416.0
2015-12-08,122422.0
2015-12-09,117041.0
2015-12-10,118864.0
2015-12-11,123793.0
2015-12-14,125471.0
2015-12-15,114275.0
2015-12-16,100291.0
2015-12-17,146300.0
2015-12-18,109398.0
2015-12-21,113731.0
2015-12-22,122004.0
2015-12-23,126337.0
2015-12-24,120733.0
2015-12-28,114996.0
2015-12-29,141380.0
2015-12-30,124040.0
2015-12-31,118953.0
2016-01-04,96457.0
2016-01-05,118508.0
2016-01-06,100974.0
2016-01-07,109128.0
2016-01-08,109206.0
2016-01-11,115103.0
2016-01-12,99371.0
2016-01-13,144503.0
2016-01-14,114914.0
2016-01-15,117883.0
2016-01-19,135081.0
2016-01-20,130333.0
2016-01-21,142873.0
2016-01-22,128457.0
2016-01-25,115092.0
2016-01-26,117267.0
2016-01-27,131593.0
2016-01-28,119385.0
2016-01-29,99410.0
2016-02-01,127520.0
2016-02-02,133068.0
2016-02-03,132305.0
2016-02-04,127220.0
2016-02-05,135568.0
