date,value
2015-03-31,9645.0
2015-04-01,10933.0
2015-04-02,10193.0
2015-04-06,8914.0
2015-04-07,10523.0
2015-04-08,9020.0
2015-04-09,9940.0
2015-04-10,8302.0
2015-04-13,9894.0
2015-04-14,10590.0
2015-04-15,8410.0
2015-04-16,9052.0
2015-04-17,10308.0
2015-04-20,9096.0
2015-04-21,10601.0
2015-04-22,7969.0
2015-04-23,7607.0
2015-04-24,9210.0
2015-04-27,9277.0
2015-04-28,10364.0
2015-04-29,10416.0
2015-04-30,9897.0
2015-05-01,9251.0
2015-05-04,10621.0
2015-05-05,9584.0
2015-05-06,7025.0
2015-05-07,10860.0
2015-05-08,10439.0
2015-05-11,11250.0
2015-05-12,9153.0
2015-05-13,10022.0
2015-05-14,10503.0
2015-05-15,9220.0
2015-05-18,8842.0
2015-05-19,11029.0
2015-05-20,12195.0
2015-05-21,11467.0
2015-05-22,10503.0
2015-05-26,7388.0
2015-05-27,9731.0
2015-05-28,8802.0
2015-05-29,9705.0
2015-06-01,10642.0
2015-06-02,10189.0
2015-06-03,9679.0
2015-06-04,9760.0
2015-06-05,8416.0
2015-06-08,9405.0
2015-06-09,10976.0
2015-06-10,9180.0
2015-06-11,10000.0
2015-06-12,9884.0
2015-06-15,10380.0
2015-06-16,8532.0
2015-06-17,11143.0
2015-06-18,11763.0
2015-06-19,11152.0
2015-06-22,8495.0
2015-06-23,9726.0
2015-06-24,10282.0
2015-06-25,10735.0
2015-06-26,9300.0
2015-06-29,10703.0
2015-06-30,10284.0
2015-07-01,9717.0
2015-07-02,11411.0
2015-07-06,10491.0
2015-07-07,11172.0
2015-07-08,9767.0
2015-07-09,10537.0
2015-07-10,11750.0
2015-07-13,7869.0
2015-07-14,10323.0
2015-07-15,10832.0
2015-07-16,9964.0
2015-07-17,11873.0
2015-07-20,9278.0
2015-07-21,8783.0
2015-07-22,8100.0
2015-07-23,10247.0
2015-07-24,8919.0
2015-07-27,9819.0
2015-07-28,12030.0
2015-07-29,9280.0
2015-07-30,9606.0
2015-07-31,8917.0
2015-08-03,10084.0
2015-08-04,11012.0
2015-08-05,10330.0
2015-08-06,9866.0
2015-08-07,11241.0
2015-08-10,11595.0
2015-08-11,10352.0
2015-08-12,10239.0
2015-08-13,10524.0
2015-08-14,9775.0
2015-08-17,11154.0
2015-08-18,10367.0
2015-08-19,9306.0
2015-08-20,9541.0
2015-08-21,10283.0
2015-08-24,10870.0
2015-08-25,10584.0
2015-08-26,10561.0
2015-08-27,9809.0
2015-08-28,10420.0
2015-08-31,8987.0
2015-09-01,9774.0
2015-09-02,11183.0
2015-09-03,8096.0
2015-09-04,8212.0
2015-09-08,10074.0
2015-09-09,10318.0
2015-09-10,9730.0
2015-09-11,10669.0
2015-09-14,10418.0
2015-09-15,9786.0
2015-09-16,10247.0
2015-09-17,10001.0
2015-09-18,10488.0
2015-09-21,10305.0
2015-09-22,8725.0
2015-09-23,9476.0
2015-09-24,10803.0
2015-09-25,9140.0
2015-09-28,9690.0
2015-09-29,10817.0
2015-09-30,9529.0
2015-10-01,9835.0
2015-10-02,9436.0
2015-10-05,9614.0
2015-10-06,11095.0
2015-10-07,8046.0
2015-10-08,9651.0
2015-10-09,10314.0
2015-10-12,10286.0
2015-10-13,9532.0
2015-10-14,9732.0
2015-10-15,10029.0
2015-10-16,9753.0
2015-10-19,11098.0
2015-10-20,9882.0
2015-10-21,10883.0
2015-10-22,9274.0
2015-10-23,9205.0
2015-10-26,8959.0
2015-10-27,11121.0
2015-10-28,10510.0
2015-10-29,9458.0
2015-10-30,10524.0
2015-11-02,9299.0
2015-11-03,8761.0
2015-11-04,9248.0
2015-11-05,10257.0
2015-11-06,12294.0
2015-11-09,10984.0
2015-11-10,11232.0
2015-11-11,10416.0
2015-11-12,10584.0
2015-11-13,11047.0
2015-11-16,9984.0
2015-11-17,11298.0
2015-11-18,10567.0
2015-11-19,10038.0
2015-11-20,9299.0
2015-11-23,10567.0
2015-11-24,12444.0
2015-11-25,9625.0
2015-11-27,9853.0
2015-11-30,10766.0
2015-12-01,12544.0
2015-12-02,11584.0
2015-12-03,9203.0
2015-12-04,10356.0
2015-12-07,10783.0
2015-12-08,10048.0
2015-12-09,10274.0
2015-12-10,9501.0
2015-12-11,10862.0
2015-12-14,9495.0
2015-12-15,9643.0
2015-12-16,12716.0
2015-12-17,8336.0
2015-12-18,9607.0
2015-12-21,9490.0
2015-12-22,11579.0
2015-12-23,10708.0
2015-12-24,9573.0
2015-12-28,10676.0
2015-12-29,8384.0
2015-12-30,10430.0
2015-12-31,12378.0
2016-01-04,9851.0
2016-01-05,10235.0
2016-01-06,9211.0
2016-01-07,11270.0
2016-01-08,10538.0
2016-01-11,11358.0
2016-01-12,11802.0
2016-01-13,10572.0
2016-01-14,11927.0
2016-01-15,9960.0
2016-01-19,8444.0
2016-01-20,11524.0
2016-01-21,10060.0
2016-01-22,9143.0
2016-01-25,11465.0
2016-01-26,8452.0
2016-01-27,9662.0
2016-01-28,11091.0
2016-01-29,10505.0
2016-02-01,8613.0
2016-02-02,9922.0
2016-02-03,10859.0
2016-02-04,9310.0
2016-02-05,10925.0
2016-02-08,10363.0
2016-02-09,9907.0
2016-02-10,9956.0
2016-02-11,9218.0
2016-02-12,9005.0
2016-02-16,8108.0
2016-02-17,10770.0
2016-02-18,9758.0
2016-02-19,9988.0
2016-02-22,9274.0
2016-02-23,13153.0
2016-02-24,10442.0
2016-02-25,10103.0
2016-02-26,9830.0
2016-02-29,8416.0
2016-03-01,9785.0
2016-03-02,11347.0
2016-03-03,9983.0
2016-03-04,10844.0
2016-03-07,10370.0
2016-03-08,8901.0
2016-03-09,9445.0
2016-03-10,9640.0
2016-03-11,10911.0
2016-03-14,9695.0
2016-03-15,10970.0
2016-03-16,11341.0
2016-03-17,9386.0
2016-03-18,8807.0
2016-03-21,11140.0
2016-03-22,11591.0
2016-03-23,11166.0
2016-03-24,11923.0
2016-03-28,9686.0
2016-03-29,10406.0
2016-03-30,10738.0
2016-03-31,9513.0
2016-04-01,11582.0
2016-04-04,11464.0
2016-04-05,9432.0
2016-04-06,10963.0
2016-04-07,10142.0
2016-04-08,11182.0
2016-04-11,12534.0
2016-04-12,9544.0
2016-04-13,9617.0
2016-04-14,9560.0
2016-04-15,9478.0
2016-04-18,10569.0
2016-04-19,12687.0
2016-04-20,11919.0
2016-04-21,9590.0
2016-04-22,10509.0
2016-04-25,8878.0
2016-04-26,9912.0
2016-04-27,11280.0
2016-04-28,9340.0
2016-04-29,10243.0
2016-05-02,11893.0
2016-05-03,11472.0
2016-05-04,9032.0
2016-05-05,12008.0
2016-05-06,10450.0
2016-05-09,11166.0
2016-05-10,9898.0
2016-05-11,8476.0
2016-05-12,10625.0
2016-05-13,10538.0
2016-05-16,9679.0
2016-05-17,10722.0
2016-05-18,9303.0
2016-05-19,10056.0
2016-05-20,10598.0
2016-05-23,12388.0
2016-05-24,11147.0
2016-05-25,10452.0
2016-05-26,12649.0
2016-05-27,8719.0
2016-05-31,9904.0
2016-06-01,10805.0
2016-06-02,8004.0
2016-06-03,10312.0
2016-06-06,10450.0
2016-06-07,8970.0
2016-06-08,10948.0
2016-06-09,9406.0
2016-06-10,8386.0
2016-06-13,9778.0
2016-06-14,11289.0
2016-06-15,12453.0
2016-06-16,8862.0
2016-06-17,9736.0
2016-06-20,9807.0
2016-06-21,11751.0
2016-06-22,9405.0
2016-06-23,9972.0
2016-06-24,11080.0
2016-06-27,10110.0
2016-06-28,9843.0
2016-06-29,8941.0
2016-06-30,10383.0
2016-07-01,10988.0
2016-07-05,9612.0
2016-07-06,8513.0
2016-07-07,9318.0
2016-07-08,9484.0
2016-07-11,10183.0
2016-07-12,10925.0
2016-07-13,10759.0
2016-07-14,10513.0
2016-07-15,9133.0
2016-07-18,10507.0
2016-07-19,10263.0
2016-07-20,8741.0
2016-07-21,10262.0
2016-07-22,10291.0
2016-07-25,8933.0
2016-07-26,8102.0
2016-07-27,10761.0
