date,value
2015-03-31,21834.0
2015-04-01,23127.0
2015-04-02,25032.0
2015-04-06,23919.0
2015-04-07,26047.0
2015-04-08,24487.0
2015-04-09,21367.0
2015-04-10,24095.0
2015-04-13,17599.0
2015-04-14,23698.0
2015-04-15,25253.0
2015-04-16,26571.0
2015-04-17,25865.0
2015-04-20,25409.0
2015-04-21,25631.0
2015-04-22,24456.0
2015-04-23,22703.0
2015-04-24,23835.0
2015-04-27,22956.0
2015-04-28,22269.0
2015-04-29,23720.0
2015-04-30,23982.0
2015-05-01,18966.0
2015-05-04,29570.0
2015-05-05,26368.0
2015-05-06,23106.0
2015-05-07,23292.0
2015-05-08,19781.0
2015-05-11,24619.0
2015-05-12,22466.0
2015-05-13,22415.0
2015-05-14,24528.0
2015-05-15,26076.0
2015-05-18,25721.0
2015-05-19,24285.0
2015-05-20,24561.0
2015-05-21,23803.0
2015-05-22,25534.0
2015-05-26,21178.0
2015-05-27,20140.0
2015-05-28,21810.0
2015-05-29,21815.0
2015-06-01,23269.0
2015-06-02,21332.0
2015-06-03,22300.0
2015-06-04,21808.0
2015-06-05,21518.0
2015-06-08,24859.0
2015-06-09,23947.0
2015-06-10,22300.0
2015-06-11,20576.0
2015-06-12,25274.0
2015-06-15,25713.0
2015-06-16,23176.0
2015-06-17,20915.0
2015-06-18,24782.0
2015-06-19,23412.0
2015-06-22,22443.0
2015-06-23,24268.0
2015-06-24,24198.0
2015-06-25,21870.0
2015-06-26,16982.0
2015-06-29,24197.0
2015-06-30,23641.0
2015-07-01,22359.0
2015-07-02,19002.0
2015-07-06,25964.0
2015-07-07,26623.0
2015-07-08,24369.0
2015-07-09,23882.0
2015-07-10,26249.0
2015-07-13,19988.0
2015-07-14,25425.0
2015-07-15,16866.0
2015-07-16,20284.0
2015-07-17,22375.0
2015-07-20,26114.0
2015-07-21,15490.0
2015-07-22,19763.0
2015-07-23,24524.0
2015-07-24,20283.0
2015-07-27,20837.0
2015-07-28,27238.0
2015-07-29,25253.0
2015-07-30,21655.0
2015-07-31,31945.0
2015-08-03,21334.0
2015-08-04,19002.0
2015-08-05,23515.0
2015-08-06,20757.0
2015-08-07,25693.0
2015-08-10,25023.0
2015-08-11,22704.0
2015-08-12,22466.0
2015-08-13,22940.0
2015-08-14,21245.0
2015-08-17,22358.0
2015-08-18,20547.0
2015-08-19,21211.0
2015-08-20,28658.0
2015-08-21,24535.0
2015-08-24,23080.0
2015-08-25,22468.0
2015-08-26,19607.0
2015-08-27,22245.0
2015-08-28,22003.0
2015-08-31,24747.0
2015-09-01,22809.0
2015-09-02,25005.0
2015-09-03,25353.0
2015-09-04,24164.0
2015-09-08,22992.0
2015-09-09,23373.0
2015-09-10,25117.0
2015-09-11,24075.0
2015-09-14,27987.0
2015-09-15,25059.0
2015-09-16,21953.0
2015-09-17,23701.0
2015-09-18,22842.0
2015-09-21,29712.0
2015-09-22,22757.0
2015-09-23,28034.0
2015-09-24,19457.0
2015-09-25,24275.0
2015-09-28,21116.0
2015-09-29,25486.0
2015-09-30,28367.0
2015-10-01,22150.0
2015-10-02,23454.0
2015-10-05,22324.0
2015-10-06,24153.0
2015-10-07,25894.0
2015-10-08,20219.0
2015-10-09,26622.0
2015-10-12,25962.0
2015-10-13,25141.0
2015-10-14,24943.0
2015-10-15,30007.0
2015-10-16,18858.0
2015-10-19,26027.0
2015-10-20,25222.0
2015-10-21,25501.0
2015-10-22,23339.0
2015-10-23,23509.0
2015-10-26,23035.0
2015-10-27,20356.0
2015-10-28,27030.0
2015-10-29,22579.0
2015-10-30,26861.0
2015-11-02,25622.0
2015-11-03,25136.0
2015-11-04,24656.0
2015-11-05,23747.0
2015-11-06,23318.0
2015-11-09,26455.0
2015-11-10,26948.0
2015-11-11,28399.0
2015-11-12,19868.0
2015-11-13,22258.0
2015-11-16,25188.0
2015-11-17,23720.0
2015-11-18,25014.0
2015-11-19,23624.0
2015-11-20,25181.0
2015-11-23,26835.0
2015-11-24,27311.0
2015-11-25,22222.0
2015-11-27,24009.0
2015-11-30,22422.0
2015-12-01,28139.0
2015-12-02,21738.0
2015-12-03,26602.0
2015-12-04,22906.0
2015-12-07,20468.0
2015-12-08,27661.0
2015-12-09,20746.0
2015-12-10,25337.0
2015-12-11,21296.0
2015-12-14,23451.0
2015-12-15,25414.0
2015-12-16,24362.0
2015-12-17,30220.0
2015-12-18,24428.0
2015-12-21,26393.0
2015-12-22,25180.0
2015-12-23,25644.0
2015-12-24,24579.0
2015-12-28,23506.0
2015-12-29,19977.0
2015-12-30,24053.0
2015-12-31,28816.0
2016-01-04,25716.0
2016-01-05,23568.0
2016-01-06,27032.0
2016-01-07,23936.0
2016-01-08,28115.0
2016-01-11,20370.0
2016-01-12,26032.0
2016-01-13,27046.0
2016-01-14,25678.0
2016-01-15,19867.0
2016-01-19,23042.0
2016-01-20,20707.0
2016-01-21,22807.0
2016-01-22,21822.0
2016-01-25,27678.0
2016-01-26,25829.0
2016-01-27,25775.0
2016-01-28,23672.0
2016-01-29,22358.0
2016-02-01,25243.0
2016-02-02,24568.0
2016-02-03,26836.0
2016-02-04,24878.0
2016-02-05,23430.0
2016-02-08,21553.0
2016-02-09,22068.0
2016-02-10,24328.0
2016-02-11,23247.0
2016-02-12,19677.0
2016-02-16,26897.0
2016-02-17,18504.0
