date,value
2015-03-31,263169.0
2015-04-01,195467.0
2015-04-02,246530.0
2015-04-06,248924.0
2015-04-07,209855.0
2015-04-08,232568.0
2015-04-09,220412.0
2015-04-10,215261.0
2015-04-13,216335.0
2015-04-14,215660.0
2015-04-15,218998.0
2015-04-16,208791.0
2015-04-17,227050.0
2015-04-20,286227.0
2015-04-21,208335.0
2015-04-22,219941.0
2015-04-23,225758.0
2015-04-24,166171.0
2015-04-27,238996.0
2015-04-28,210032.0
2015-04-29,235321.0
2015-04-30,228209.0
2015-05-01,241102.0
2015-05-04,261110.0
2015-05-05,210955.0
2015-05-06,214405.0
2015-05-07,184256.0
2015-05-08,235416.0
2015-05-11,209476.0
2015-05-12,241101.0
2015-05-13,198887.0
2015-05-14,198524.0
2015-05-15,229064.0
2015-05-18,236545.0
2015-05-19,222935.0
2015-05-20,227812.0
2015-05-21,195042.0
2015-05-22,230254.0
2015-05-26,217908.0
2015-05-27,186347.0
2015-05-28,240845.0
2015-05-29,231959.0
2015-06-01,220985.0
2015-06-02,255617.0
2015-06-03,167391.0
2015-06-04,238841.0
2015-06-05,226791.0
2015-06-08,250184.0
2015-06-09,247790.0
2015-06-10,238539.0
2015-06-11,226463.0
2015-06-12,271320.0
2015-06-15,226922.0
2015-06-16,275769.0
2015-06-17,243646.0
2015-06-18,164392.0
2015-06-19,214405.0
2015-06-22,242883.0
2015-06-23,226229.0
2015-06-24,216428.0
2015-06-25,214823.0
2015-06-26,238576.0
2015-06-29,235646.0
2015-06-30,228621.0
2015-07-01,209146.0
2015-07-02,236814.0
2015-07-06,230725.0
2015-07-07,243025.0
2015-07-08,238246.0
2015-07-09,216186.0
2015-07-10,258074.0
2015-07-13,247129.0
2015-07-14,206029.0
2015-07-15,268423.0
2015-07-16,259704.0
2015-07-17,242842.0
2015-07-20,258317.0
2015-07-21,241580.0
2015-07-22,215116.0
2015-07-23,232620.0
2015-07-24,246301.0
2015-07-27,220413.0
2015-07-28,295606.0
2015-07-29,220701.0
2015-07-30,219498.0
2015-07-31,210594.0
2015-08-03,224691.0
2015-08-04,236804.0
2015-08-05,249849.0
2015-08-06,237438.0
2015-08-07,202536.0
2015-08-10,179415.0
2015-08-11,233468.0
2015-08-12,205019.0
2015-08-13,201134.0
2015-08-14,250051.0
2015-08-17,241180.0
2015-08-18,249901.0
2015-08-19,185513.0
2015-08-20,231105.0
2015-08-21,202542.0
2015-08-24,179934.0
2015-08-25,202850.0
2015-08-26,209538.0
2015-08-27,157539.0
2015-08-28,222085.0
2015-08-31,225540.0
2015-09-01,267046.0
2015-09-02,253979.0
2015-09-03,213275.0
2015-09-04,229746.0
2015-09-08,208325.0
2015-09-09,203421.0
2015-09-10,228563.0
2015-09-11,230894.0
2015-09-14,238269.0
2015-09-15,235191.0
2015-09-16,211290.0
2015-09-17,224785.0
2015-09-18,201357.0
2015-09-21,181552.0
2015-09-22,211211.0
2015-09-23,219689.0
2015-09-24,218566.0
2015-09-25,195643.0
2015-09-28,191830.0
2015-09-29,220905.0
2015-09-30,230335.0
2015-10-01,235187.0
2015-10-02,227185.0
2015-10-05,217309.0
2015-10-06,201182.0
2015-10-07,192080.0
2015-10-08,234686.0
2015-10-09,191959.0
2015-10-12,236251.0
2015-10-13,241582.0
2015-10-14,214971.0
2015-10-15,179851.0
2015-10-16,222852.0
2015-10-19,223687.0
2015-10-20,194278.0
2015-10-21,187058.0
2015-10-22,201372.0
2015-10-23,213126.0
2015-10-26,223117.0
2015-10-27,198084.0
2015-10-28,234904.0
2015-10-29,263427.0
2015-10-30,186041.0
2015-11-02,235352.0
2015-11-03,208156.0
2015-11-04,230800.0
2015-11-05,189139.0
2015-11-06,207889.0
2015-11-09,238659.0
2015-11-10,225104.0
2015-11-11,254888.0
2015-11-12,224787.0
2015-11-13,219606.0
2015-11-16,246710.0
2015-11-17,241506.0
2015-11-18,241553.0
2015-11-19,223121.0
2015-11-20,255221.0
2015-11-23,216064.0
2015-11-24,217067.0
2015-11-25,210964.0
2015-11-27,230335.0
2015-11-30,206836.0
2015-12-01,213524.0
2015-12-02,253878.0
2015-12-03,228120.0
2015-12-04,229742.0
2015-12-07,268986.0
