date,open,close,low,high,volume
2010-01-04,193.94,191.7,190.63,195.51,968029
2010-01-05,191.02,188.17,186.99,192.42,1427075
2010-01-06,187.17,186.5,185.1,190.07,879014
2010-01-07,185.03,185.19,183.63,186.64,1003719
2010-01-08,184.67,187.02,182.78,187.27,804716
2010-01-11,187.06,183.71,182.54,188.23,1075111
2010-01-12,182.94,180.99,178.76,184.17,1319714
2010-01-13,182.07,187.75,182.02,188.53,1292362
2010-01-14,187.93,188.04,187.76,191.39,984144
2010-01-15,190.07,185.97,185.08,190.74,969203
2010-01-19,185.29,186.07,185.29,189.09,931629
2010-01-20,183.6,180.44,176.55,183.6,931142
2010-01-21,179.36,176.03,175.15,183.01,1759696
2010-01-22,174.3,170.1,169.99,177.45,1525319
2010-01-25,172.2,171.7,169.76,174.42,1003198
2010-01-26,171.08,171.74,169.63,175.21,873975
2010-01-27,170.25,171.63,168.19,173.19,1044419
2010-01-28,169.52,165.2,163.32,171.29,1651432
2010-01-29,166.61,162.0,160.83,168.39,1531129
2010-02-01,162.59,168.22,162.59,168.5,937901
2010-02-02,168.67,173.31,167.89,174.21,1480776
2010-02-03,172.3,173.31,171.3,174.09,959287
2010-02-04,171.54,166.8,166.52,172.72,1613362
2010-02-05,167.05,168.77,163.71,169.27,1861669
2010-02-08,170.24,170.35,168.56,173.42,1200608
2010-02-09,172.41,172.97,169.63,173.92,1106695
2010-02-10,172.18,171.45,170.17,173.35,759711
2010-02-11,171.7,176.11,170.3,176.61,1011541
2010-02-12,173.63,175.76,172.01,176.59,740474
2010-02-16,178.09,180.27,177.14,180.38,1320330
2010-02-17,178.64,177.43,175.33,178.7,2080952
2010-02-18,175.21,175.76,167.88,175.87,3271723
2010-02-19,174.03,173.04,171.43,176.19,1974064
2010-02-22,174.4,169.58,169.0,174.4,1197192
2010-02-23,168.28,165.46,163.91,169.05,1344232
2010-02-24,166.75,165.47,164.03,168.36,1700939
2010-02-25,163.08,166.74,162.24,167.58,1325278
2010-02-26,165.67,165.79,164.63,167.33,1042905
2010-03-01,167.81,174.41,166.98,174.74,1485000
2010-03-02,176.18,173.73,172.05,177.08,1457763
2010-03-03,175.13,175.02,173.59,179.33,1386184
2010-03-04,175.42,175.59,173.74,175.93,971930
2010-03-05,176.66,179.92,176.66,180.93,1191576
2010-03-08,181.07,182.03,181.07,184.15,962084
2010-03-09,180.08,181.76,179.86,183.49,903818
2010-03-10,181.23,185.48,181.23,186.21,1256150
2010-03-11,185.47,186.43,183.96,186.54,956743
2010-03-12,187.91,184.43,183.54,188.8,790539
2010-03-15,186.43,183.91,182.4,186.6,694215
2010-03-16,184.29,185.43,182.39,185.63,682833
2010-03-17,184.07,185.7,184.07,187.72,917323
2010-03-18,183.8,185.64,183.02,186.03,580625
2010-03-19,185.8,180.89,179.22,187.14,1698472
2010-03-22,180.0,184.14,180.0,185.43,670352
2010-03-23,184.3,183.07,181.34,184.41,905079
2010-03-24,181.55,185.29,181.27,185.91,878971
2010-03-25,186.82,182.46,182.4,187.43,975397
2010-03-26,186.0,184.14,182.73,186.28,1019603
2010-03-29,185.67,183.42,182.74,187.08,559601
2010-03-30,182.33,182.67,179.75,183.51,661520
2010-03-31,181.58,183.21,181.58,184.92,636778
2010-04-01,186.64,192.38,186.54,194.68,2361895
2010-04-05,192.93,195.4,192.14,196.19,840348
2010-04-06,193.99,195.4,192.48,195.68,729927
2010-04-07,195.25,197.49,194.85,200.14,1503960
2010-04-08,195.77,195.27,191.04,196.17,965039
2010-04-09,197.39,200.95,197.22,200.95,1145043
2010-04-12,199.23,198.04,196.74,201.39,965678
2010-04-13,197.81,197.75,196.95,199.69,682336
2010-04-14,200.8,205.85,200.22,206.48,938171
2010-04-15,204.86,204.29,204.06,206.18,883980
2010-04-16,205.58,202.81,202.01,208.24,1268719
2010-04-19,201.3,200.32,196.92,203.77,791312
2010-04-20,199.93,199.19,197.29,200.16,938051
2010-04-21,198.51,201.31,197.42,202.0,1013958
2010-04-22,198.53,201.55,196.54,202.41,623120
2010-04-23,200.36,205.77,199.97,206.39,934504
2010-04-26,206.47,204.64,204.07,208.06,750586
2010-04-27,203.97,199.68,198.19,205.69,921495
2010-04-28,201.13,203.07,199.01,203.24,1098674
2010-04-29,203.49,205.15,202.0,207.5,1201878
2010-04-30,205.62,198.02,197.85,205.62,694123
2010-05-03,198.35,199.1,198.07,200.52,849370
2010-05-04,196.12,194.06,189.67,196.75,1003429
2010-05-05,192.76,193.9,190.48,194.58,816131
2010-05-06,193.28,188.23,171.07,195.59,1296372
2010-05-07,186.71,179.41,175.88,187.85,1875758
2010-05-10,188.29,193.95,187.09,194.35,1576878
2010-05-11,191.43,190.35,189.5,193.88,1034343
2010-05-12,190.81,194.23,189.1,194.51,755155
2010-05-13,192.72,193.87,192.66,197.61,569330
2010-05-14,189.64,193.83,186.76,194.92,1437023
2010-05-17,194.84,195.53,191.56,197.2,1104188
2010-05-18,197.89,193.45,192.05,199.5,837830
2010-05-19,192.82,194.1,191.67,196.76,796296
2010-05-20,191.18,188.98,185.79,192.98,1297746
2010-05-21,183.73,189.62,183.65,190.43,1612555
2010-05-24,182.43,186.69,182.43,190.15,760603
2010-05-25,182.73,190.98,179.33,191.45,1464569
2010-05-26,192.54,188.47,187.6,197.94,1899438
2010-05-27,204.82,220.66,203.38,223.44,4526653
2010-05-28,216.94,217.35,214.64,222.36,2324366
2010-06-01,215.21,218.82,215.21,224.63,2224487
2010-06-02,218.2,226.16,216.9,226.33,1420763
2010-06-03,225.9,225.21,221.97,228.28,2035082
2010-06-04,222.85,220.35,218.9,229.19,1974754
2010-06-07,221.67,214.6,214.02,225.55,1847413
2010-06-08,214.93,217.19,211.04,218.06,1951608
2010-06-09,219.66,218.9,218.2,227.36,1543830
2010-06-10,223.01,225.41,221.19,226.81,1210390
2010-06-11,222.42,234.63,222.42,235.21,2128476
2010-06-14,238.08,235.36,233.65,240.73,1272207
2010-06-15,235.58,244.01,235.58,244.42,1620748
2010-06-16,239.94,240.82,239.29,243.05,1619673
2010-06-17,241.37,244.95,238.9,245.01,1330647
2010-06-18,245.59,242.3,242.28,245.94,1616580
2010-06-21,244.99,238.35,236.53,246.23,1250646
2010-06-22,240.53,235.26,234.43,241.95,929735
2010-06-23,234.39,236.34,232.21,238.16,936725
2010-06-24,233.82,232.24,230.65,236.46,1140039
2010-06-25,233.15,233.33,228.1,235.21,1173330
2010-06-28,234.42,233.48,230.9,237.24,612526
2010-06-29,231.91,224.98,223.09,232.39,1034132
2010-06-30,223.53,220.34,220.05,225.95,767574
2010-07-01,221.41,224.41,216.69,225.44,1579740
2010-07-02,224.78,218.77,216.12,224.78,880808
2010-07-06,222.33,219.26,216.54,223.57,888738
2010-07-07,220.11,233.68,218.69,234.04,1383541
2010-07-08,236.65,230.72,227.1,237.24,1328135
2010-07-09,226.83,230.15,226.83,231.46,829453
2010-07-12,231.03,231.92,227.7,235.02,830594
2010-07-13,232.87,234.47,230.2,235.89,805857
2010-07-14,234.5,238.28,233.97,242.01,979547
2010-07-15,238.38,240.69,237.38,241.39,1209824
2010-07-16,239.93,238.75,236.57,241.11,1321215
2010-07-19,238.91,240.79,235.56,241.67,926887
2010-07-20,236.5,243.68,233.97,243.69,904053
2010-07-21,239.88,233.09,232.33,239.94,1036240
2010-07-22,237.19,245.92,237.07,246.04,1121762
2010-07-23,245.04,253.88,244.92,254.23,1294996
2010-07-26,253.19,259.92,251.84,260.81,969312
2010-07-27,259.84,258.19,255.12,261.14,815766
2010-07-28,258.08,255.25,253.18,259.33,684506
2010-07-29,258.46,251.98,249.31,259.17,931447
2010-07-30,248.4,250.18,246.57,251.51,724870
2010-08-02,252.16,259.1,251.15,260.11,966086
2010-08-03,260.78,260.01,254.86,262.2,978973
2010-08-04,262.66,265.82,262.36,267.36,836133
2010-08-05,263.49,259.51,257.26,263.85,960877
2010-08-06,252.02,253.49,248.43,254.43,1003552
2010-08-09,255.26,252.67,251.49,256.44,707203
2010-08-10,251.53,244.67,239.85,251.88,1488803
2010-08-11,239.57,241.45,234.64,242.44,1388777
2010-08-12,227.66,220.96,217.78,234.01,3037319
2010-08-13,222.72,224.54,221.24,230.02,1786599
2010-08-16,223.46,228.3,222.45,230.98,993001
2010-08-17,229.22,227.22,226.86,231.98,1217375
2010-08-18,227.82,231.17,223.41,232.4,1829813
