date,open,close,low,high,volume
2013-11-18,140.33,136.74,133.96,141.04,226762
2013-11-19,138.15,129.16,127.75,138.18,571681
2013-11-20,130.04,126.28,124.41,130.1,382034
2013-11-21,125.7,123.7,121.58,127.54,244515
2013-11-22,124.09,124.35,122.25,124.66,314596
2013-11-25,125.67,125.39,124.03,129.47,267112
2013-11-26,127.25,122.16,121.71,127.25,293994
2013-11-27,123.05,122.18,120.09,123.05,422660
2013-11-29,120.06,121.43,120.06,123.15,318732
2013-12-02,123.41,121.28,116.72,125.77,1784029
2013-12-03,120.34,120.62,120.06,126.25,1134411
2013-12-04,118.93,117.25,116.75,119.42,884076
2013-12-05,118.38,114.93,113.76,118.38,1171289
2013-12-06,114.2,114.06,113.89,115.07,1696891
2013-12-09,114.23,115.58,112.94,115.83,1053028
2013-12-10,115.59,119.78,115.5,120.57,1191447
2013-12-11,118.52,118.92,117.63,120.47,1188872
2013-12-12,117.47,120.16,117.44,120.52,614816
2013-12-13,119.9,120.82,119.9,122.35,268080
2013-12-16,120.38,122.29,117.87,123.13,640688
2013-12-17,121.71,122.6,120.95,123.31,519927
2013-12-18,122.44,124.18,120.9,124.83,451572
2013-12-19,123.33,124.7,122.94,124.85,198865
2013-12-20,124.24,124.12,123.14,124.66,976689
2013-12-23,124.43,125.78,122.68,126.34,249980
2013-12-24,126.66,126.15,125.21,127.39,102036
2013-12-26,126.96,126.5,125.77,127.38,188948
2013-12-27,126.8,126.43,124.87,127.36,139459
2013-12-30,125.26,124.33,123.99,126.47,134447
2013-12-31,124.31,124.2,122.99,125.07,300866
2014-01-02,124.12,122.91,121.84,124.4,358868
2014-01-03,123.03,124.13,121.9,125.15,142512
2014-01-06,123.91,123.09,122.22,123.94,199172
2014-01-07,119.26,124.1,119.26,124.41,446577
2014-01-08,124.73,124.33,122.97,125.69,476666
2014-01-09,124.63,125.32,124.49,125.66,403033
2014-01-10,125.65,130.08,125.22,131.08,744218
2014-01-13,130.3,134.12,128.88,135.26,831685
