date,open,close,low,high,volume
2010-01-04,60.14,59.87,59.71,60.28,554644
2010-01-05,59.66,59.87,59.02,59.96,595162
2010-01-06,59.82,59.69,59.55,60.05,420554
2010-01-07,59.95,60.23,59.69,60.32,540804
2010-01-08,59.97,60.35,59.86,60.43,449842
2010-01-11,60.61,61.04,60.19,61.06,360747
2010-01-12,60.61,60.58,60.38,61.02,425944
2010-01-13,61.05,61.13,60.63,61.5,578196
2010-01-14,60.86,61.34,60.5,61.38,437996
2010-01-15,61.25,61.08,61.06,61.4,693339
2010-01-19,61.23,61.64,60.87,61.86,625625
2010-01-20,61.34,60.47,60.4,61.39,573291
2010-01-21,60.76,60.24,60.16,61.36,592394
2010-01-22,60.21,60.1,60.05,60.73,589369
2010-01-25,59.9,60.38,59.9,61.2,537009
2010-01-26,60.46,60.46,60.21,60.76,356916
2010-01-27,60.44,60.05,59.61,60.63,437361
2010-01-28,60.13,59.84,59.51,60.13,597954
2010-01-29,59.99,59.38,59.35,60.18,673268
2010-02-01,59.63,59.97,59.42,60.04,449730
2010-02-02,60.17,61.65,59.96,61.66,648352
2010-02-03,61.36,61.01,60.98,61.86,542382
2010-02-04,60.59,59.53,59.53,60.82,534677
2010-02-05,59.27,59.14,58.18,59.66,467388
2010-02-08,59.07,57.85,57.82,59.14,443110
2010-02-09,58.11,58.86,58.11,59.16,396680
2010-02-10,58.74,58.65,58.19,59.05,324389
2010-02-11,58.52,59.33,58.11,59.41,351287
2010-02-12,58.92,59.96,58.64,60.04,488793
2010-02-16,66.08,63.81,61.39,66.08,1499195
2010-02-17,63.65,63.65,63.37,64.28,645474
2010-02-18,63.35,63.52,62.87,63.57,481767
2010-02-19,63.13,64.05,62.96,64.12,507245
2010-02-22,64.2,63.53,63.25,64.2,333326
2010-02-23,63.23,62.03,61.94,63.53,599305
2010-02-24,62.38,62.96,62.37,62.97,414143
2010-02-25,62.37,62.76,61.91,62.89,547598
2010-02-26,63.07,63.04,62.54,63.25,351939
2010-03-01,62.88,63.39,62.38,63.64,370129
2010-03-02,63.73,63.61,63.11,63.83,541657
2010-03-03,63.16,62.45,62.37,63.27,371888
2010-03-04,62.72,62.38,61.96,63.0,444860
2010-03-05,62.69,62.58,62.13,62.83,429944
2010-03-08,63.04,62.94,62.58,63.25,330137
2010-03-09,62.76,62.89,62.61,63.12,273023
2010-03-10,62.69,62.82,62.57,63.08,333676
2010-03-11,62.64,63.12,62.25,63.15,389443
2010-03-12,63.25,62.99,62.48,63.25,317287
2010-03-15,62.99,62.52,62.31,63.16,405349
2010-03-16,62.45,63.19,62.37,63.2,381850
2010-03-17,63.47,63.86,63.35,64.12,360944
2010-03-18,63.93,63.99,63.53,64.33,387659
2010-03-19,64.38,64.38,63.96,64.67,721843
2010-03-22,66.59,66.27,66.1,67.44,942280
2010-03-23,66.7,66.61,65.91,66.7,531148
2010-03-24,66.24,65.35,65.15,66.28,395726
2010-03-25,65.91,65.25,65.17,65.94,408832
2010-03-26,65.4,64.49,64.34,65.45,375780
2010-03-29,64.62,64.73,64.38,64.92,357014
2010-03-30,64.89,65.69,64.86,65.77,472062
2010-03-31,65.17,64.94,64.88,65.49,445113
2010-04-01,65.16,65.62,65.03,65.93,458049
2010-04-05,65.49,66.08,65.32,66.18,304130
2010-04-06,65.57,65.74,65.36,65.89,397998
2010-04-07,65.83,65.98,65.6,66.49,391574
2010-04-08,66.08,66.19,65.71,66.28,375111
2010-04-09,66.18,66.56,65.95,66.81,380937
2010-04-12,66.91,66.65,66.49,67.06,409766
2010-04-13,66.83,66.87,66.43,66.94,588699
2010-04-14,66.71,68.58,66.49,68.82,1190718
2010-04-15,68.38,69.73,67.73,69.73,1284822
2010-04-16,69.86,65.87,65.74,69.94,1647088
2010-04-19,65.69,66.23,65.13,66.4,715391
2010-04-20,66.91,66.77,66.43,67.08,598432
2010-04-21,66.59,66.78,66.18,66.84,428248
2010-04-22,66.17,66.37,65.36,66.49,846919
2010-04-23,66.4,66.85,65.86,66.86,449956
2010-04-26,67.23,66.85,66.85,67.78,427726
2010-04-27,66.47,65.32,65.2,66.69,626613
2010-04-28,65.7,66.12,65.26,66.46,762537
2010-04-29,67.02,67.05,66.41,67.37,728195
2010-04-30,66.94,66.17,66.17,67.14,715974
2010-05-03,66.53,67.09,66.07,67.34,528895
2010-05-04,66.45,65.26,64.91,66.45,573399
2010-05-05,64.92,64.62,64.16,65.47,790560
2010-05-06,64.64,62.61,59.01,65.16,1293653
2010-05-07,62.3,61.41,60.56,62.64,1471331
2010-05-10,63.36,65.6,63.36,65.64,1010479
2010-05-11,64.72,65.47,64.72,66.27,940309
2010-05-12,66.02,66.12,65.25,66.18,533655
2010-05-13,65.89,64.75,64.59,65.95,414329
2010-05-14,64.36,63.72,63.11,64.86,701444
2010-05-17,63.76,63.82,62.59,64.1,549922
2010-05-18,64.2,63.17,62.9,64.62,569444
2010-05-19,62.96,62.95,61.87,63.26,709237
2010-05-20,61.26,60.64,60.55,61.95,876075
2010-05-21,59.33,60.4,59.16,61.15,2099781
2010-05-24,60.0,59.94,59.72,60.56,617336
2010-05-25,58.41,60.55,57.93,60.64,1235896
2010-05-26,61.02,60.73,60.38,61.78,835229
2010-05-27,61.57,62.17,61.14,62.17,458883
2010-05-28,62.2,61.7,61.33,62.35,676003
2010-06-01,60.96,60.58,60.56,62.2,574094
2010-06-02,61.0,62.29,60.35,62.29,438062
2010-06-03,62.03,61.59,60.74,62.68,863463
2010-06-04,60.37,59.95,59.74,60.77,946088
