date,open,close,low,high,volume
2010-01-04,124.31,122.72,121.42,124.31,465614
2010-01-05,123.19,123.37,121.2,123.37,338493
2010-01-06,123.72,125.72,123.72,126.91,505753
2010-01-07,126.38,124.35,123.22,126.38,503197
2010-01-08,123.45,122.38,121.54,124.01,303565
2010-01-11,124.02,121.89,120.77,124.09,428173
2010-01-12,120.78,121.64,120.5,122.43,352186
2010-01-13,121.96,123.41,120.65,123.46,297950
2010-01-14,123.18,123.13,121.77,123.64,197669
2010-01-15,123.46,119.92,119.55,123.79,481106
2010-01-19,119.84,121.31,118.77,121.57,305981
2010-01-20,120.38,119.7,118.6,120.4,338190
2010-01-21,119.6,113.68,113.61,119.6,642288
2010-01-22,113.29,111.03,110.79,114.92,686872
2010-01-25,111.86,109.86,108.64,112.05,704309
2010-01-26,108.78,109.81,107.79,111.19,459544
2010-01-27,108.95,108.09,105.59,108.95,611054
2010-01-28,108.92,105.92,104.82,108.92,418942
2010-01-29,105.95,103.15,102.78,107.1,647607
2010-02-01,104.28,105.24,103.27,105.24,350518
2010-02-02,105.93,107.27,105.07,107.73,381053
2010-02-03,107.42,105.91,105.26,108.1,387837
2010-02-04,105.59,102.56,101.8,106.32,876585
2010-02-05,102.66,103.54,101.0,103.9,665381
2010-02-08,103.78,103.21,102.62,105.06,566043
2010-02-09,101.62,100.79,98.83,102.38,1827045
2010-02-10,102.77,100.75,98.56,102.82,879487
2010-02-11,100.85,101.44,99.34,101.49,487155
2010-02-12,99.18,100.71,98.48,100.82,585470
2010-02-16,101.12,104.09,100.68,104.42,574791
2010-02-17,104.58,103.9,103.01,105.42,372367
2010-02-18,103.61,104.27,103.05,104.62,267812
2010-02-19,103.51,106.5,103.09,106.76,558675
2010-02-22,107.11,107.36,106.33,108.77,485947
2010-02-23,107.07,105.39,104.53,107.45,582539
2010-02-24,105.41,104.85,103.54,105.62,302315
2010-02-25,103.81,104.26,102.31,104.35,325407
2010-02-26,104.33,101.61,101.13,104.59,683528
2010-03-01,101.92,100.57,99.42,101.92,700339
2010-03-02,100.95,99.74,99.62,101.75,535570
2010-03-03,99.51,101.93,99.26,102.28,543961
