date,open,close,low,high,volume
2010-01-04,99.71,100.34,98.87,100.76,1755628
2010-01-05,99.93,108.18,99.68,108.44,2962388
2010-01-06,107.95,110.53,106.17,111.63,2514312
2010-01-07,110.09,112.29,109.33,113.14,1660071
2010-01-08,111.64,110.92,109.02,112.4,1193495
2010-01-11,112.34,111.27,109.91,113.1,1245967
2010-01-12,119.27,115.35,115.22,121.6,5273261
2010-01-13,114.91,117.49,114.79,118.42,1922512
2010-01-14,116.64,114.83,113.35,116.68,2169679
2010-01-15,114.84,112.94,111.85,115.14,1773704
2010-01-19,112.71,116.22,112.08,116.31,1279146
2010-01-20,114.89,114.38,113.57,116.41,1064430
2010-01-21,113.67,107.77,107.6,114.43,2947015
2010-01-22,107.92,103.95,103.61,108.97,2340095
2010-01-25,106.32,104.33,102.55,107.08,1608742
2010-01-26,104.19,104.02,103.64,107.82,1606726
2010-01-27,103.92,106.44,102.13,106.56,1676373
2010-01-28,108.12,103.58,102.58,108.12,1677094
2010-01-29,104.02,102.03,101.3,106.11,1692852
2010-02-01,102.95,103.42,101.89,103.84,1050583
2010-02-02,104.04,107.82,103.37,108.25,1822040
2010-02-03,107.98,105.16,104.09,108.02,1440517
2010-02-04,104.16,99.24,99.16,104.64,1785561
2010-02-05,99.13,100.67,94.98,101.82,2035514
2010-02-08,101.94,100.4,99.71,103.99,2625613
2010-02-09,99.81,95.33,93.75,101.64,5159233
2010-02-10,95.29,98.45,92.18,99.35,4289758
2010-02-11,98.18,97.72,95.94,98.31,1525643
2010-02-12,96.53,99.67,95.25,99.89,1372539
2010-02-16,101.68,102.24,100.36,102.45,1355009
2010-02-17,101.97,102.44,101.21,103.38,1472865
2010-02-18,102.27,103.08,101.41,103.98,1149796
2010-02-19,102.45,103.6,101.09,103.98,1007476
2010-02-22,105.28,106.14,103.78,106.31,1210560
2010-02-23,105.13,101.63,100.78,105.3,1741344
2010-02-24,101.99,103.65,101.52,103.69,1243029
2010-02-25,101.56,103.39,100.71,103.56,1039836
2010-02-26,103.64,103.98,102.74,104.49,1075808
2010-03-01,104.81,105.88,104.26,105.88,1079815
2010-03-02,106.79,109.78,105.51,110.76,3316049
2010-03-03,109.94,108.11,107.51,110.41,1531474
