date,open,close,low,high,volume
2010-01-04,144.57,143.48,142.31,144.57,597776
2010-01-05,143.57,140.35,138.81,144.2,1312302
2010-01-06,140.37,138.11,136.95,141.83,973683
2010-01-07,138.52,139.75,138.52,140.95,535125
2010-01-08,139.39,140.59,139.01,140.62,371830
2010-01-11,144.06,138.62,136.09,144.06,632661
2010-01-12,137.99,137.99,137.6,140.13,595268
2010-01-13,138.91,140.24,138.91,140.66,283940
2010-01-14,140.19,140.81,139.88,141.23,477990
2010-01-15,140.28,137.77,137.72,140.28,690399
2010-01-19,136.84,137.98,135.5,138.1,490350
2010-01-20,136.9,136.32,135.51,136.9,414953
2010-01-21,136.3,136.09,135.53,138.2,657019
2010-01-22,135.52,134.06,133.74,136.81,835382
2010-01-25,134.94,135.86,134.34,136.94,938829
2010-01-26,144.82,144.88,144.26,148.27,2765358
2010-01-27,144.72,147.12,143.46,147.56,1014766
2010-01-28,147.47,146.32,145.28,147.47,684211
2010-01-29,147.03,146.32,145.69,149.27,823395
2010-02-01,147.71,149.68,147.08,149.98,553958
2010-02-02,150.39,152.04,147.95,152.18,686713
2010-02-03,151.63,149.12,148.43,151.63,701292
2010-02-04,148.8,148.15,147.31,148.89,655053
2010-02-05,149.29,149.01,146.59,149.83,605174
2010-02-08,149.1,147.28,147.07,149.38,552828
2010-02-09,148.71,149.01,148.31,150.51,670059
2010-02-10,149.09,147.64,146.75,149.21,770055
2010-02-11,147.21,148.94,147.0,149.05,447703
2010-02-12,147.75,149.59,146.55,149.8,425672
2010-02-16,149.89,150.56,149.72,151.17,336760
2010-02-17,150.72,151.02,150.53,151.9,328157
2010-02-18,151.69,152.02,149.87,152.27,296141
2010-02-19,151.45,152.43,151.1,153.06,298796
2010-02-22,152.64,150.98,150.66,153.15,418446
2010-02-23,149.69,148.9,148.74,150.99,343475
2010-02-24,148.53,149.2,147.97,149.61,281248
2010-02-25,147.68,148.91,146.58,149.04,388444
2010-02-26,148.76,146.38,146.26,148.85,456091
2010-03-01,146.57,146.9,145.28,147.45,356270
2010-03-02,148.48,148.27,147.28,148.62,272740
2010-03-03,149.07,148.42,148.05,149.35,428265
2010-03-04,148.2,149.43,148.04,150.4,484410
2010-03-05,150.17,150.28,149.38,150.68,297545
2010-03-08,150.8,150.66,150.01,151.36,404744
2010-03-09,149.54,150.9,149.54,152.03,316533
2010-03-10,150.19,148.6,147.91,150.19,546901
2010-03-11,149.82,149.77,146.65,149.82,524907
2010-03-12,150.03,150.26,149.11,150.55,332473
