date,open,close,low,high,volume
2010-01-04,74.03,73.27,72.69,74.05,1212033
2010-01-05,73.55,74.93,73.34,74.97,1206816
2010-01-06,74.57,75.96,74.53,76.7,1839057
2010-01-07,76.23,77.47,75.89,77.56,1160739
2010-01-08,77.2,77.44,76.67,78.05,1137780
2010-01-11,77.09,78.48,76.57,78.86,1282164
2010-01-12,77.91,78.29,77.02,78.64,1141013
2010-01-13,78.53,78.57,77.28,78.83,1279388
2010-01-14,78.05,78.39,77.78,78.77,1040173
2010-01-15,78.4,76.54,76.34,78.82,1952050
2010-01-19,75.97,77.07,75.39,77.63,979598
2010-01-20,76.65,76.17,74.21,76.78,1061295
2010-01-21,75.42,74.3,73.52,76.36,1493527
2010-01-22,74.25,72.31,72.17,74.51,1567585
2010-01-25,73.08,71.9,71.71,73.4,1809282
2010-01-26,71.76,70.89,70.67,72.12,1247553
2010-01-27,70.55,71.57,69.77,71.71,1585953
2010-01-28,71.94,70.4,69.76,72.74,2260720
2010-01-29,71.9,71.92,71.5,73.99,2772822
2010-02-01,72.02,71.92,70.96,72.3,1670434
2010-02-02,72.54,71.76,70.49,72.81,1754263
2010-02-03,71.08,71.12,70.88,72.75,1202253
2010-02-04,70.77,68.69,68.53,70.81,1713860
2010-02-05,68.79,67.74,66.33,68.95,2673842
2010-02-08,66.92,67.38,66.77,68.67,1534735
2010-02-09,68.2,69.19,67.96,70.26,1430544
2010-02-10,69.11,68.92,68.2,69.45,1312986
2010-02-11,68.68,70.64,68.52,70.8,1449217
2010-02-12,69.48,70.23,68.79,70.74,1596004
2010-02-16,71.33,71.75,70.32,71.83,1045354
2010-02-17,72.58,71.68,70.91,72.76,768313
2010-02-18,72.12,71.74,71.52,72.56,1080232
2010-02-19,71.49,71.89,71.37,72.39,1513890
2010-02-22,72.16,70.78,70.32,72.52,1136888
2010-02-23,70.57,69.51,69.27,71.22,1332003
2010-02-24,69.98,71.03,69.92,71.39,1404388
2010-02-25,69.67,71.04,69.05,71.22,1409900
2010-02-26,71.25,70.55,70.19,71.61,1467129
2010-03-01,70.74,71.94,70.66,72.38,1047900
2010-03-02,71.94,73.96,71.94,75.03,2739584
2010-03-03,74.13,76.43,73.79,76.75,2582188
2010-03-04,76.58,76.86,76.26,77.2,1794264
2010-03-05,77.39,78.74,77.09,78.78,1564631
2010-03-08,78.68,78.42,78.12,79.27,1177189
2010-03-09,77.94,79.52,77.7,79.81,1740018
2010-03-10,79.44,80.01,78.76,80.41,1287165
2010-03-11,79.83,80.49,79.2,80.55,1256451
2010-03-12,80.93,83.66,80.59,84.65,3415412
2010-03-15,83.33,83.92,82.4,83.92,1208547
2010-03-16,84.53,84.43,83.88,84.79,1287318
2010-03-17,84.37,85.89,83.64,86.09,1560606
2010-03-18,85.34,84.98,84.56,85.75,1540105
2010-03-19,85.84,85.55,84.42,86.04,2069752
2010-03-22,84.7,87.12,84.26,87.4,1417555
2010-03-23,87.35,87.37,86.18,87.39,1503978
2010-03-24,87.56,87.22,87.04,88.31,1284809
2010-03-25,87.61,87.57,86.78,89.79,2068183
2010-03-26,88.16,88.37,87.58,89.05,1231955
2010-03-29,88.7,88.91,88.24,89.39,805576
2010-03-30,89.02,88.94,88.2,89.44,899073
2010-03-31,89.4,88.84,88.43,89.83,1401869
2010-04-01,89.14,89.8,88.81,90.66,978110
2010-04-05,90.0,91.51,89.61,91.96,1561144
2010-04-06,91.22,91.21,90.78,91.82,1104596
2010-04-07,91.27,90.84,90.15,91.53,1008949
2010-04-08,90.73,91.08,89.46,91.32,1038101
2010-04-09,90.82,92.78,90.82,92.9,1135314
2010-04-12,92.92,92.69,92.16,93.14,672561
2010-04-13,92.86,93.56,92.29,93.6,996737
2010-04-14,93.28,95.06,93.05,95.12,851716
2010-04-15,95.56,96.39,95.33,96.72,1138228
2010-04-16,96.21,94.66,94.19,96.89,1462793
2010-04-19,94.51,96.2,94.2,96.64,1744864
2010-04-20,96.32,92.68,91.66,96.57,2906355
2010-04-21,92.38,93.69,92.18,94.27,1613941
2010-04-22,92.86,95.18,92.27,95.49,1387833
2010-04-23,95.21,98.43,95.21,98.59,1876022
2010-04-26,98.39,98.48,97.9,99.71,982156
2010-04-27,98.65,95.55,95.28,99.91,1745748
2010-04-28,96.45,95.72,95.31,97.29,1209717
2010-04-29,96.31,98.47,95.65,98.86,1089665
2010-04-30,99.17,96.21,96.19,99.91,1045709
2010-05-03,96.64,99.31,96.38,99.5,959054
2010-05-04,97.6,95.35,93.07,97.97,2418936
2010-05-05,94.61,93.19,92.75,95.89,1919708
2010-05-06,92.29,88.63,82.22,93.8,3056428
2010-05-07,86.82,85.71,85.44,90.41,3072588
2010-05-10,91.03,92.2,90.64,93.17,1927614
2010-05-11,91.68,91.68,90.46,93.2,1395419
2010-05-12,92.54,93.76,91.11,93.82,2624317
2010-05-13,93.74,93.59,93.37,97.02,1698256
2010-05-14,93.54,92.03,90.03,93.62,1718031
2010-05-17,92.73,91.24,89.0,93.27,1610996
2010-05-18,91.99,90.17,89.83,93.65,977239
2010-05-19,89.65,88.29,86.81,91.12,1710859
2010-05-20,86.03,82.25,82.16,86.07,2884480
2010-05-21,80.82,84.11,80.3,84.13,2793052
2010-05-24,82.76,82.61,81.61,84.14,1474342
2010-05-25,80.77,82.16,79.12,82.3,1768049
2010-05-26,82.57,83.58,82.24,86.57,3019669
2010-05-27,85.48,86.96,85.15,87.17,1938070
2010-05-28,87.64,86.07,85.14,87.87,1311084
2010-06-01,85.29,84.18,83.97,87.47,1758990
2010-06-02,84.06,86.26,82.95,86.31,1261111
2010-06-03,86.96,88.72,86.59,89.13,2091692
2010-06-04,85.22,82.59,82.23,86.17,1618351
2010-06-07,82.5,80.31,80.11,83.12,1876091
2010-06-08,80.86,81.53,79.74,81.84,1348289
2010-06-09,81.58,80.88,80.57,83.79,1135096
2010-06-10,82.66,86.42,82.31,86.56,2653082
2010-06-11,85.42,86.95,84.7,88.25,1852364
2010-06-14,88.18,86.7,86.43,89.01,1447140
2010-06-15,87.33,90.87,87.29,90.97,1583973
2010-06-16,90.24,90.15,89.82,90.86,894564
2010-06-17,91.23,91.05,89.38,91.63,1063511
2010-06-18,91.09,91.07,90.7,92.57,1367934
2010-06-21,92.52,93.06,91.72,95.01,1714798
2010-06-22,92.98,89.64,89.35,93.73,1466200
2010-06-23,89.73,89.83,88.33,90.69,1200629
2010-06-24,89.03,88.72,87.41,90.2,1310940
2010-06-25,89.6,90.06,88.46,90.59,1589999
2010-06-28,89.84,88.78,88.3,90.59,1046468
2010-06-29,87.28,85.32,84.63,87.78,1523080
2010-06-30,85.87,84.54,84.31,87.27,1725697
2010-07-01,84.86,84.5,82.16,85.22,1605227
2010-07-02,85.12,83.88,83.09,85.31,1719909
2010-07-06,85.06,83.67,82.79,86.06,1604526
2010-07-07,83.57,86.98,82.6,87.13,1215925
2010-07-08,88.41,88.77,87.31,88.95,1121494
2010-07-09,89.16,90.04,88.62,90.71,873600
2010-07-12,89.56,89.28,88.23,90.01,893803
2010-07-13,90.06,93.59,90.06,94.04,2052280
2010-07-14,94.07,94.5,93.38,94.52,1287596
2010-07-15,94.54,94.74,92.95,95.12,1010605
2010-07-16,94.86,90.59,90.29,94.97,1529793
2010-07-19,90.73,91.16,89.74,91.95,981396
2010-07-20,89.61,94.51,89.4,94.58,1827993
2010-07-21,94.55,94.61,94.12,96.41,2710932
2010-07-22,95.03,98.01,94.9,98.83,2287900
2010-07-23,97.72,98.83,96.18,99.41,2546476
2010-07-26,99.34,100.91,98.66,101.94,2179892
2010-07-27,101.97,97.94,96.37,102.15,2611082
2010-07-28,99.14,98.19,97.12,100.03,1269280
2010-07-29,98.94,98.36,96.81,99.85,1670128
2010-07-30,96.67,98.87,96.67,99.39,971218
2010-08-02,100.24,100.5,99.55,101.54,958611
2010-08-03,100.71,98.59,98.2,101.17,1585259
2010-08-04,99.05,98.9,98.79,100.32,1248127
2010-08-05,97.72,97.74,97.18,98.47,977949
2010-08-06,96.42,97.37,94.88,97.58,1415413
2010-08-09,97.97,97.88,97.05,98.29,617561
2010-08-10,96.55,96.47,95.33,97.24,1355722
