date,open,close,low,high,volume
2010-01-04,160.85,164.24,160.4,164.24,199744
2010-01-05,163.38,163.53,160.95,164.06,221866
2010-01-06,163.2,163.38,162.61,164.18,370005
2010-01-07,161.49,159.75,158.16,162.62,302543
2010-01-08,158.47,162.29,157.97,162.29,211492
2010-01-11,162.62,160.23,156.67,164.88,226795
2010-01-12,158.8,158.21,157.44,161.25,192880
2010-01-13,159.49,164.45,157.02,164.74,183999
2010-01-14,163.81,166.71,163.12,172.53,296467
2010-01-15,166.13,161.88,161.68,168.03,202918
2010-01-19,160.97,161.53,157.85,161.89,185248
2010-01-20,159.92,160.61,157.28,161.14,237238
2010-01-21,161.47,160.11,159.63,164.53,285080
2010-01-22,159.37,157.0,156.11,160.35,234317
2010-01-25,159.33,160.61,159.18,162.07,201323
2010-01-26,157.33,157.07,154.69,160.38,185467
2010-01-27,155.74,153.78,150.24,158.02,189803
2010-01-28,154.39,150.37,147.78,154.42,180747
2010-01-29,152.57,144.33,144.15,152.71,377714
2010-02-01,145.82,149.92,145.64,149.92,118593
2010-02-02,151.32,153.48,149.11,153.8,127914
2010-02-03,152.53,152.62,150.94,153.73,278379
2010-02-04,151.93,146.51,145.06,151.93,324303
2010-02-05,148.26,149.53,143.97,149.59,413880
2010-02-08,150.1,153.9,150.07,157.72,440422
2010-02-09,156.32,159.67,156.32,161.55,737016
2010-02-10,158.49,158.81,155.34,160.43,273605
2010-02-11,158.56,162.88,157.86,163.82,305361
2010-02-12,159.16,163.46,158.87,164.49,378945
2010-02-16,168.27,167.65,166.24,169.13,295146
2010-02-17,170.7,167.35,165.42,174.4,1037900
2010-02-18,168.56,173.1,167.12,173.63,388793
2010-02-19,172.52,175.89,171.99,176.98,467041
2010-02-22,175.06,171.13,170.25,176.13,436171
2010-02-23,170.2,167.37,166.15,171.32,323489
2010-02-24,168.83,169.18,166.91,170.25,298031
2010-02-25,165.92,171.25,163.83,171.28,306764
2010-02-26,171.49,175.72,171.08,175.96,354423
2010-03-01,177.01,180.54,176.12,181.19,470868
2010-03-02,181.34,179.02,178.34,183.99,527238
2010-03-03,180.04,177.59,177.0,180.04,271053
2010-03-04,177.99,176.99,175.3,180.18,369278
2010-03-05,177.63,179.34,177.63,179.64,340813
2010-03-08,181.25,181.73,180.18,183.55,306049
2010-03-09,180.41,179.46,177.82,182.59,366145
2010-03-10,179.16,184.2,179.16,185.13,326864
2010-03-11,183.27,185.15,182.25,185.15,344173
2010-03-12,184.82,185.32,182.06,185.35,247306
2010-03-15,184.4,181.52,178.11,185.17,380583
2010-03-16,182.22,184.05,180.71,186.74,432969
2010-03-17,184.93,181.53,180.58,186.21,281018
2010-03-18,180.64,174.29,172.41,181.23,491378
