date,open,close,low,high,volume
2010-01-04,91.85,92.87,91.17,93.42,11680676
2010-01-05,92.66,95.38,92.56,95.95,15760853
2010-01-06,95.28,95.56,94.47,96.3,10031273
2010-01-07,95.06,98.47,94.38,99.49,18286916
2010-01-08,97.74,97.61,96.73,99.26,10366238
2010-01-11,98.57,97.59,96.84,98.84,6990764
2010-01-12,96.47,95.14,93.18,96.74,11742560
2010-01-13,94.95,96.95,94.3,97.56,10894035
2010-01-14,96.61,98.27,96.61,99.02,10326811
2010-01-15,97.17,94.68,94.0,97.44,14739651
2010-01-19,94.3,95.48,93.22,96.12,11857630
2010-01-20,94.38,93.71,93.3,96.5,23599980
2010-01-21,94.26,94.33,91.57,96.01,25869193
2010-01-22,94.23,91.84,91.54,95.72,21243677
2010-01-25,92.31,93.01,91.43,94.32,14492900
2010-01-26,92.27,90.73,90.49,95.3,19010896
2010-01-27,90.46,94.84,90.4,94.97,19272314
2010-01-28,95.03,95.6,93.14,96.67,18893486
2010-01-29,95.55,95.51,95.35,98.0,27484400
2010-02-01,95.69,96.8,95.39,97.33,12893152
2010-02-02,97.26,96.69,95.75,97.84,15366957
2010-02-03,96.03,94.58,94.05,96.74,13410190
2010-02-04,93.67,90.69,90.49,94.11,19810991
2010-02-05,91.53,91.93,89.25,92.9,20667623
2010-02-08,91.43,88.74,88.64,92.03,13554313
2010-02-09,89.97,89.37,88.23,90.81,13262887
2010-02-10,89.03,90.94,88.83,92.21,12986883
2010-02-11,90.9,90.66,89.42,91.2,11435063
2010-02-12,89.53,89.83,88.46,90.37,13340514
2010-02-16,91.02,91.69,90.18,91.69,10369281
2010-02-17,92.4,91.53,90.73,92.57,15440380
2010-02-18,91.08,91.21,90.61,91.98,9148970
2010-02-19,90.33,91.29,90.29,91.66,10121088
2010-02-22,91.76,93.53,91.42,93.99,12777985
2010-02-23,93.63,91.42,91.06,93.8,11983639
2010-02-24,92.59,93.3,91.68,93.67,9853870
2010-02-25,91.87,92.78,91.43,92.92,10450494
2010-02-26,92.81,92.31,90.92,92.85,15098370
2010-03-01,92.09,92.12,91.45,92.93,9836442
2010-03-02,92.24,93.82,92.14,94.97,14181055
2010-03-03,93.88,94.72,93.85,95.56,10232068
2010-03-04,94.98,95.25,94.51,95.72,10031694
2010-03-05,95.68,97.42,95.41,97.82,12471094
2010-03-08,97.13,96.33,96.1,97.87,9838950
2010-03-09,95.81,96.47,94.78,97.27,9706183
2010-03-10,97.07,98.54,96.97,99.41,12723671
2010-03-11,98.56,99.32,97.59,99.32,10287313
2010-03-12,99.55,98.89,98.42,99.92,10381753
2010-03-15,98.51,99.88,97.78,99.88,8335296
2010-03-16,100.02,101.19,99.39,101.32,13031678
2010-03-17,101.45,101.91,100.95,102.31,9633238
2010-03-18,101.6,101.0,99.53,101.92,10000625
2010-03-19,100.93,100.53,99.14,101.05,15652140
2010-03-22,99.68,100.74,99.55,101.34,8973322
2010-03-23,101.44,103.48,101.14,103.61,11524139
2010-03-24,102.72,102.79,102.16,104.19,11360596
2010-03-25,103.68,103.78,103.25,106.89,13879688
2010-03-26,104.58,104.61,103.88,106.46,11117867
2010-03-29,105.08,104.25,103.58,105.42,7171101
2010-03-30,104.38,103.51,103.38,105.05,7605477
2010-03-31,102.69,104.5,102.69,104.64,7886614
2010-04-01,104.95,104.85,104.05,105.62,8889809
2010-04-05,104.74,104.8,103.97,105.6,8372652
2010-04-06,104.1,107.16,104.07,107.52,12330872
2010-04-07,107.31,106.34,105.61,108.01,10758443
2010-04-08,105.56,107.02,104.8,107.62,9711376
2010-04-09,107.82,107.48,106.22,108.65,8195268
2010-04-12,107.79,107.85,107.35,108.78,7187023
2010-04-13,107.25,107.22,105.82,107.52,11253406
2010-04-14,108.19,110.92,107.82,111.39,17092247
2010-04-15,110.49,111.42,110.12,112.68,15273467
2010-04-16,111.1,108.93,105.92,111.24,29628504
2010-04-19,109.01,110.35,107.38,111.14,15327868
2010-04-20,110.95,112.62,110.32,113.29,14708869
2010-04-21,108.85,110.25,108.58,114.39,27910142
2010-04-22,108.79,111.71,108.32,112.18,14058501
2010-04-23,112.13,111.4,110.47,112.43,9257295
2010-04-26,111.01,108.88,108.44,111.31,10325877
2010-04-27,106.67,105.08,104.85,109.55,15758186
2010-04-28,106.02,107.28,105.69,107.94,11405611
2010-04-29,108.91,110.38,108.72,110.94,8956847
2010-04-30,109.86,109.39,108.96,111.74,16509629
2010-05-03,109.22,111.39,109.19,112.07,12667296
2010-05-04,109.61,107.9,107.35,111.45,15527260
2010-05-05,106.93,107.02,103.94,108.71,13416236
2010-05-06,106.3,102.17,96.04,107.32,24137309
2010-05-07,101.2,101.0,98.97,104.05,19620685
2010-05-10,105.85,108.22,105.56,108.58,19835794
2010-05-11,106.33,107.64,106.04,110.13,14100416
2010-05-12,108.52,110.09,108.13,110.58,11277017
2010-05-13,108.61,107.25,107.25,109.68,9953554
2010-05-14,106.76,104.41,103.5,107.15,17210795
2010-05-17,104.44,104.08,101.38,104.94,15604398
2010-05-18,105.02,99.52,98.74,105.25,16726797
2010-05-19,97.38,97.8,94.59,98.45,22234111
2010-05-20,96.28,93.83,93.7,98.11,22391581
2010-05-21,91.18,97.88,91.18,98.49,27480235
2010-05-24,96.34,93.54,92.95,96.92,20217606
2010-05-25,90.59,94.48,89.71,94.51,16358818
2010-05-26,95.7,91.8,90.69,96.06,18895434
2010-05-27,94.08,96.37,93.39,96.6,13938268
2010-05-28,96.4,93.85,93.36,96.5,12535021
2010-06-01,94.29,92.81,92.67,96.0,12296284
2010-06-02,94.01,96.05,93.22,96.12,9987344
2010-06-03,96.52,94.87,93.75,96.91,8890495
2010-06-04,92.41,90.77,90.35,92.96,15294480
2010-06-07,90.97,88.63,88.53,91.31,12036205
2010-06-08,89.62,90.6,87.01,90.77,14369810
2010-06-09,91.31,88.3,87.88,91.34,10882076
2010-06-10,89.34,91.32,88.95,91.66,13332881
2010-06-11,89.94,90.27,88.68,90.62,11856400
2010-06-14,89.79,88.49,88.2,90.33,14950509
2010-06-15,89.57,90.61,89.28,90.67,14675441
2010-06-16,89.92,91.12,89.66,91.54,8168991
2010-06-17,91.07,90.52,89.23,91.36,9215469
2010-06-18,91.17,91.27,90.2,91.79,12147627
2010-06-21,92.51,90.88,90.39,92.7,9461209
2010-06-22,90.69,88.85,88.75,91.66,9979013
2010-06-23,88.19,88.0,87.45,89.41,12322349
2010-06-24,86.92,86.31,84.44,87.08,21828907
2010-06-25,87.48,87.16,86.51,88.96,25370880
2010-06-28,87.59,86.91,86.24,87.91,10909297
2010-06-29,85.76,83.7,83.24,86.05,17584204
2010-06-30,84.08,82.63,82.37,85.38,12014155
2010-07-01,82.52,81.36,79.49,83.82,19231891
2010-07-02,82.26,80.58,80.19,83.17,10217743
2010-07-06,82.35,81.35,80.18,82.92,12249353
2010-07-07,82.18,86.67,81.73,86.9,15831311
2010-07-08,88.0,86.64,84.88,88.0,11869031
2010-07-09,85.77,87.39,85.45,87.52,8439593
2010-07-12,87.3,87.72,86.1,87.95,5903188
2010-07-13,88.6,90.44,88.43,90.89,9914008
2010-07-14,89.7,89.57,88.24,89.96,9826349
2010-07-15,90.41,90.28,87.71,91.42,15895954
2010-07-16,88.87,84.98,84.72,88.96,16625642
2010-07-19,84.87,84.06,82.78,85.29,10640084
2010-07-20,82.0,83.42,81.45,83.45,14686022
2010-07-21,89.16,84.4,84.11,89.39,21809416
2010-07-22,86.29,88.78,86.06,89.11,15176111
2010-07-23,88.16,88.46,87.1,88.87,7693494
2010-07-26,89.01,90.5,88.29,90.53,6808667
2010-07-27,92.14,92.08,91.59,93.31,10938432
2010-07-28,91.51,90.93,90.44,92.43,7363847
2010-07-29,91.48,89.45,88.77,92.03,9550241
2010-07-30,88.11,89.6,88.05,90.44,8824788
2010-08-02,91.15,92.05,90.05,92.08,7947179
2010-08-03,91.05,90.0,89.42,91.18,9225690
2010-08-04,90.31,89.54,88.81,90.57,8702936
2010-08-05,88.66,89.2,88.18,89.46,6532075
2010-08-06,87.83,88.66,87.03,88.73,12902386
2010-08-09,89.05,90.1,87.84,90.23,9130498
2010-08-10,89.42,88.87,88.04,89.83,8609966
2010-08-11,87.34,84.27,84.14,87.76,12334172
2010-08-12,83.25,83.25,82.83,84.5,9040071
2010-08-13,83.48,82.99,82.9,84.47,7770392
2010-08-16,82.53,82.56,82.05,83.3,8058768
2010-08-17,83.27,81.28,80.86,83.43,15963465
2010-08-18,80.85,81.1,80.18,82.03,12200999
2010-08-19,79.73,77.6,77.1,80.56,14869146
2010-08-20,77.91,78.45,77.4,78.8,11834486
2010-08-23,79.18,77.18,77.05,79.25,9889835
2010-08-24,76.15,75.14,74.82,76.44,17412104
2010-08-25,74.31,74.92,73.08,75.08,17965630
2010-08-26,75.3,74.53,74.25,76.47,12312083
2010-08-27,74.85,75.99,74.31,75.99,13863913
2010-08-30,75.87,73.72,73.65,76.03,12001022
2010-08-31,73.44,74.61,72.97,75.03,11670310
2010-09-01,75.79,78.17,75.31,78.45,16248106
2010-09-02,77.89,79.21,77.68,79.24,12341131
2010-09-03,81.56,81.85,81.06,82.77,13104083
2010-09-07,80.91,78.85,78.82,81.26,11254839
2010-09-08,79.44,80.05,79.44,80.62,7514377
2010-09-09,81.38,81.31,79.83,82.33,8846381
2010-09-10,82.05,81.79,81.54,82.48,6175484
2010-09-13,83.77,84.18,83.39,85.1,12056040
2010-09-14,83.21,82.45,81.92,83.31,8963497
2010-09-15,80.95,82.9,80.61,83.22,10488123
2010-09-16,82.38,82.07,81.57,82.76,8827591
2010-09-17,82.76,81.63,81.19,82.76,11034259
2010-09-20,81.85,83.33,81.32,83.61,9624675
2010-09-21,83.89,83.1,82.82,84.93,10721751
2010-09-22,82.78,81.02,80.74,83.13,10598816
2010-09-23,79.17,78.36,78.36,80.33,20213092
2010-09-24,79.65,80.06,79.23,80.5,14698298
2010-09-27,80.23,79.63,79.51,80.85,9269893
2010-09-28,79.97,79.26,78.51,80.88,12035521
2010-09-29,78.78,78.25,77.85,79.28,13100259
2010-09-30,79.14,78.75,78.45,80.36,12878643
2010-10-01,79.78,80.6,79.22,81.01,9892943
2010-10-04,80.94,80.52,80.01,81.82,7557802
2010-10-05,81.38,83.23,80.53,83.54,13190952
2010-10-06,83.17,83.42,82.88,84.03,10058088
2010-10-07,83.88,82.39,81.88,84.23,8709528
2010-10-08,82.95,82.19,81.46,83.14,9514318
2010-10-11,82.41,81.43,80.82,82.86,8021341
2010-10-12,80.4,82.11,79.96,82.3,12207889
2010-10-13,82.51,81.19,80.62,82.86,13183640
2010-10-14,80.0,77.7,76.07,80.12,39046231
2010-10-15,78.89,74.41,73.75,78.89,46328544
2010-10-18,74.89,78.62,74.73,78.65,20777805
2010-10-19,78.03,77.65,77.13,80.08,23184439
2010-10-20,76.68,80.88,76.36,82.05,33871621
2010-10-21,81.25,82.07,75.26,83.26,16312154
2010-10-22,81.84,82.09,80.96,82.53,8126647
2010-10-25,83.11,81.06,80.43,83.27,12129079
2010-10-26,80.91,81.89,80.53,82.14,9825560
2010-10-27,81.5,81.69,81.22,82.48,12264744
2010-10-28,81.85,82.17,81.12,82.24,8200562
2010-10-29,82.05,82.81,81.57,83.03,7674727
2010-11-01,82.49,82.18,81.13,82.72,6978073
2010-11-02,82.53,82.44,81.83,82.69,8566313
2010-11-03,81.54,83.82,81.38,83.95,10482349
2010-11-04,85.03,87.09,84.46,87.22,16521776
2010-11-05,87.45,92.71,87.41,93.16,25945846
