date,open,close,low,high,volume
2010-01-04,156.56,158.46,154.51,159.88,102293
2010-01-05,158.33,156.59,154.54,158.33,85858
2010-01-06,155.86,156.33,152.55,156.96,64774
2010-01-07,154.17,153.08,151.98,155.89,132406
2010-01-08,152.44,149.32,148.38,153.53,82893
2010-01-11,149.04,144.23,144.08,149.66,84972
2010-01-12,145.9,143.39,140.72,146.21,110704
2010-01-13,144.29,141.14,139.41,145.08,232898
2010-01-14,141.14,141.3,139.57,141.62,68672
2010-01-15,142.86,144.6,140.96,144.76,113325
2010-01-19,145.26,146.68,143.84,147.47,124457
2010-01-20,143.95,144.73,140.82,145.2,102154
2010-01-21,145.94,138.39,137.29,145.94,157759
2010-01-22,138.42,134.62,133.98,140.64,259959
2010-01-25,135.66,136.61,132.49,138.67,222084
2010-01-26,137.03,135.6,134.48,139.91,64099
2010-01-27,135.08,132.69,131.42,135.39,161310
2010-01-28,133.29,133.13,130.73,134.89,152429
2010-01-29,133.33,128.67,128.67,135.42,106951
2010-02-01,128.93,134.04,128.77,135.0,90510
2010-02-02,133.1,134.53,131.19,136.91,114094
2010-02-03,134.62,132.86,130.3,135.9,89280
2010-02-04,130.39,117.64,116.21,130.71,267977
2010-02-05,115.82,116.61,112.66,117.4,182161
2010-02-08,116.57,117.04,114.51,118.94,158877
2010-02-09,119.22,119.22,116.06,123.49,120563
2010-02-10,118.29,114.82,113.24,119.86,110706
2010-02-11,113.17,110.51,109.73,113.95,135618
2010-02-12,110.13,110.76,109.51,111.23,102678
2010-02-16,112.85,112.85,111.11,113.8,66450
2010-02-17,112.32,112.48,110.28,113.26,60596
2010-02-18,112.73,110.83,109.41,113.2,72800
2010-02-19,109.39,110.49,107.97,110.96,188042
2010-02-22,111.87,117.39,110.29,117.7,132205
2010-02-23,117.49,115.12,114.33,117.96,57768
2010-02-24,114.51,115.45,113.73,117.02,101423
2010-02-25,112.0,112.77,108.9,113.39,86373
2010-02-26,113.07,117.42,112.13,118.2,74625
2010-03-01,118.15,121.74,117.99,124.39,112105
2010-03-02,122.39,124.88,121.46,126.91,148527
2010-03-03,124.31,119.98,118.58,126.62,97758
2010-03-04,119.37,121.53,118.6,122.46,49808
2010-03-05,123.42,127.74,122.19,128.2,91797
2010-03-08,127.81,126.11,125.03,128.73,40029
2010-03-09,124.64,128.95,124.64,130.48,61978
2010-03-10,128.9,130.74,127.51,132.9,77439
2010-03-11,127.45,130.22,124.69,130.99,35486
2010-03-12,130.88,129.95,127.48,131.19,35176
2010-03-15,128.74,127.35,125.5,129.97,44593
2010-03-16,128.06,127.44,126.21,128.37,21539
