date,open,close,low,high,volume
2010-01-04,200.74,200.6,199.77,202.59,625678
2010-01-05,200.89,204.03,200.42,204.35,586115
2010-01-06,204.38,205.17,202.21,205.86,704107
2010-01-07,205.58,204.93,203.64,206.23,565955
2010-01-08,206.44,206.44,204.72,207.33,423131
2010-01-11,209.32,205.17,203.67,209.46,777949
2010-01-12,203.77,202.33,200.33,204.66,604493
2010-01-13,202.71,206.19,202.71,206.71,583551
2010-01-14,204.95,206.15,203.52,206.38,930326
2010-01-15,206.49,204.22,203.29,208.86,610119
2010-01-19,204.27,204.87,202.92,205.75,422412
2010-01-20,204.13,205.56,203.01,206.03,699890
2010-01-21,206.69,204.64,203.71,207.06,718048
2010-01-22,203.33,195.68,195.17,206.86,900472
2010-01-25,196.87,199.83,196.87,201.22,777738
2010-01-26,200.73,197.8,195.99,200.73,855090
2010-01-27,197.95,198.32,194.37,199.02,688396
2010-01-28,198.15,196.21,194.12,200.8,721111
2010-01-29,197.32,197.6,196.62,199.27,861626
2010-02-01,200.57,201.18,197.44,201.51,602171
2010-02-02,202.16,201.97,198.45,202.25,511193
2010-02-03,201.69,200.94,200.33,203.66,693677
2010-02-04,200.15,192.59,192.5,200.15,822480
2010-02-05,191.47,187.45,184.46,191.94,1481921
2010-02-08,187.53,190.53,187.39,192.92,1114677
2010-02-09,193.49,194.29,191.39,195.14,952626
2010-02-10,195.22,195.65,194.05,197.2,647092
2010-02-11,195.34,199.66,193.74,200.78,656285
2010-02-12,197.94,199.63,196.86,200.84,574323
2010-02-16,200.46,202.51,200.46,202.75,594244
2010-02-17,203.12,204.1,202.26,204.57,506348
2010-02-18,203.92,202.84,201.95,204.9,636695
2010-02-19,203.4,206.56,202.75,208.25,605070
2010-02-22,207.81,206.4,204.37,207.81,555911
2010-02-23,206.88,202.62,201.06,206.88,933023
2010-02-24,202.26,201.08,196.51,203.35,1192468
2010-02-25,199.2,201.37,196.66,201.93,1017554
2010-02-26,201.53,200.82,198.52,202.24,811474
2010-03-01,200.54,201.24,200.49,203.02,562996
2010-03-02,202.19,200.83,200.45,203.25,767132
2010-03-03,200.89,201.68,199.76,203.8,609602
2010-03-04,201.35,201.25,199.24,202.14,554223
2010-03-05,202.11,203.23,201.55,203.89,385098
2010-03-08,202.95,199.19,198.86,203.89,884511
2010-03-09,197.26,200.39,196.84,202.17,1000512
2010-03-10,200.24,201.41,199.68,202.06,461141
2010-03-11,201.64,203.99,200.71,203.99,528695
2010-03-12,204.83,204.08,203.84,206.05,779602
2010-03-15,202.17,203.2,201.28,204.28,554233
2010-03-16,202.99,207.44,202.95,208.29,969817
2010-03-17,207.65,207.55,206.19,207.74,701273
2010-03-18,207.02,205.9,204.64,208.19,694918
