date,open,close,low,high,volume
2010-01-04,122.95,123.34,122.4,123.74,697046
2010-01-05,122.78,121.73,120.19,123.28,1123808
2010-01-06,121.7,122.89,120.97,123.15,1272214
2010-01-07,122.58,121.21,121.03,123.03,874193
2010-01-08,121.18,120.81,120.07,121.55,921614
2010-01-11,121.69,123.09,121.4,123.59,802938
2010-01-12,123.76,123.02,122.2,123.76,1011547
2010-01-13,123.14,123.87,122.4,124.24,621182
2010-01-14,123.42,123.5,122.66,123.71,816351
2010-01-15,123.77,123.37,121.28,123.77,815559
2010-01-19,123.38,124.57,122.85,124.65,606135
2010-01-20,124.19,122.84,121.6,124.19,829159
2010-01-21,122.35,119.54,119.22,123.17,911818
2010-01-22,119.36,116.72,116.66,119.36,922942
2010-01-25,117.89,117.1,116.33,118.12,743694
2010-01-26,117.11,117.82,116.5,118.51,896801
2010-01-27,116.89,116.31,114.53,116.89,886758
2010-01-28,116.96,115.32,115.01,117.44,562461
2010-01-29,115.12,114.67,114.46,116.09,705134
2010-02-01,113.22,114.96,112.7,115.46,642244
2010-02-02,114.7,115.75,113.26,115.86,881953
2010-02-03,114.56,112.69,112.43,114.56,630916
2010-02-04,112.24,110.16,110.0,112.97,922379
2010-02-05,109.38,108.65,107.18,110.16,917268
2010-02-08,109.02,106.9,106.9,109.02,494156
2010-02-09,107.8,108.97,107.77,110.43,1025720
2010-02-10,108.73,108.1,107.27,108.78,675244
2010-02-11,102.93,103.56,101.26,104.27,6612235
2010-02-12,103.38,102.18,100.81,103.56,3424222
2010-02-16,102.96,102.46,101.68,104.24,1853624
2010-02-17,103.46,101.02,100.76,103.46,1634513
2010-02-18,100.97,101.44,100.42,101.65,1537261
2010-02-19,101.21,103.96,101.08,104.41,1302045
2010-02-22,104.93,104.4,104.06,105.09,1579220
2010-02-23,104.65,103.34,102.99,104.65,1130537
2010-02-24,103.59,103.3,102.38,104.07,1088638
2010-02-25,102.51,103.3,101.53,103.54,1221748
2010-02-26,103.22,102.08,101.92,103.48,1138929
2010-03-01,102.53,103.27,102.42,103.77,1079176
2010-03-02,104.02,104.1,103.44,104.26,1252910
2010-03-03,104.62,103.22,102.76,104.62,1273050
2010-03-04,103.01,103.01,102.03,103.35,794260
2010-03-05,103.69,104.86,102.9,104.86,1003909
2010-03-08,104.93,104.45,104.03,104.93,956739
2010-03-09,104.73,104.49,103.72,104.73,1114513
2010-03-10,104.27,105.06,103.98,105.32,1074746
2010-03-11,105.46,105.39,105.01,105.7,1209163
2010-03-12,105.87,104.86,104.72,106.17,920961
2010-03-15,104.55,105.14,104.13,105.43,1171091
2010-03-16,105.51,105.51,104.61,105.72,868601
2010-03-17,105.27,105.38,104.8,105.72,1005548
2010-03-18,105.65,104.25,103.88,105.78,1158985
2010-03-19,104.24,104.58,103.58,105.1,1589406
2010-03-22,104.25,104.36,103.44,104.91,1599074
2010-03-23,104.4,105.79,104.19,106.18,1424591
2010-03-24,105.27,105.14,104.7,105.51,1615225
2010-03-25,104.05,101.47,101.34,104.85,1718666
2010-03-26,101.45,100.62,100.2,101.45,973060
2010-03-29,100.81,101.07,99.31,101.22,1161437
2010-03-30,101.06,100.9,100.62,101.42,1217771
2010-03-31,100.84,101.57,100.03,102.01,1347683
2010-04-01,101.83,102.53,101.7,102.82,1060587
2010-04-05,102.47,102.49,101.87,102.72,881741
2010-04-06,102.73,103.35,102.26,103.46,1017626
2010-04-07,103.23,102.27,102.04,103.24,1203830
2010-04-08,102.41,102.36,101.97,102.49,740157
2010-04-09,103.19,103.27,102.33,103.29,957564
2010-04-12,102.94,103.02,102.78,103.85,870930
2010-04-13,102.84,101.9,101.85,103.12,2121312
2010-04-14,101.08,100.05,99.8,101.42,1908950
2010-04-15,99.6,99.12,98.99,99.78,1962107
2010-04-16,98.43,96.74,96.33,98.67,2923944
2010-04-19,96.86,95.89,95.79,96.86,2062484
2010-04-20,96.83,97.01,96.24,97.19,2165666
2010-04-21,97.84,97.05,96.92,97.92,1664943
2010-04-22,96.42,96.06,94.82,96.47,2048285
2010-04-23,96.35,96.64,95.55,96.68,1341576
2010-04-26,96.64,96.2,95.12,97.05,2163011
2010-04-27,96.08,95.12,95.12,97.44,1477760
2010-04-28,95.59,96.7,95.34,97.45,1683353
2010-04-29,96.86,96.09,95.73,98.05,1586494
2010-04-30,96.32,97.35,96.13,97.5,2098873
2010-05-03,97.67,97.28,96.41,97.82,1562821
2010-05-04,97.86,95.04,94.78,97.94,2025771
2010-05-05,94.53,91.93,91.75,94.53,1948133
2010-05-06,91.93,89.74,86.4,92.29,3131452
2010-05-07,89.56,90.04,88.48,90.94,2534072
2010-05-10,92.78,92.35,91.4,93.48,1611083
2010-05-11,92.28,92.59,91.66,93.7,1300538
2010-05-12,92.57,94.04,92.39,94.38,1393825
2010-05-13,94.38,95.05,93.99,96.86,1516385
2010-05-14,95.96,94.95,94.3,96.11,1634491
2010-05-17,94.97,94.35,92.85,94.97,1653391
2010-05-18,94.6,92.74,92.58,94.73,1715026
2010-05-19,92.15,92.07,91.48,93.02,1585314
2010-05-20,91.49,89.5,89.45,91.49,1622461
2010-05-21,87.64,89.62,87.54,89.62,1565945
2010-05-24,89.17,88.76,88.66,90.4,1576028
2010-05-25,87.13,87.87,85.87,87.98,1690662
2010-05-26,88.14,87.6,87.02,88.72,1307720
2010-05-27,88.67,89.51,87.84,89.51,968132
2010-05-28,89.74,89.44,89.26,90.48,1325232
2010-06-01,88.64,86.21,86.21,88.69,1324505
2010-06-02,86.82,88.31,86.36,88.31,1064544
