date,open,close,low,high,volume
2010-01-04,137.34,137.98,137.34,139.21,231259
2010-01-05,138.59,137.36,136.39,138.59,400275
2010-01-06,138.08,139.37,137.97,140.06,332722
2010-01-07,139.79,139.42,138.56,140.44,157852
2010-01-08,138.84,139.75,138.3,140.82,192198
2010-01-11,138.21,140.85,138.21,141.11,283571
2010-01-12,140.69,140.64,139.94,141.98,206175
2010-01-13,141.26,141.91,140.46,142.55,209870
2010-01-14,141.74,142.12,141.44,142.55,118824
2010-01-15,142.4,139.5,138.91,142.83,510636
2010-01-19,139.75,142.34,139.75,142.5,229533
2010-01-20,141.06,141.38,140.19,141.81,246309
2010-01-21,142.26,140.0,139.3,143.56,316490
2010-01-22,140.18,137.21,137.16,141.63,206818
2010-01-25,138.25,137.82,136.63,138.68,212288
2010-01-26,136.91,137.45,136.86,138.21,166535
2010-01-27,136.9,137.44,134.96,137.65,349675
2010-01-28,138.04,137.23,136.37,138.42,234684
2010-01-29,137.77,136.21,136.0,138.15,333564
2010-02-01,136.77,137.63,134.62,137.68,248756
2010-02-02,137.63,139.89,136.44,139.94,260616
2010-02-03,138.9,139.87,138.74,140.19,277810
2010-02-04,138.99,135.97,135.87,139.37,350408
2010-02-05,136.09,135.49,133.38,136.3,250250
2010-02-08,134.83,133.11,133.0,134.93,174671
2010-02-09,133.93,134.31,133.34,135.38,185844
2010-02-10,134.37,134.12,132.46,134.93,183078
2010-02-11,133.82,135.0,132.59,135.0,191525
2010-02-12,134.3,134.41,133.18,134.84,210282
2010-02-16,135.77,138.18,135.61,138.18,181690
2010-02-17,138.77,138.4,138.02,139.36,229296
2010-02-18,138.27,139.93,138.27,140.57,376232
2010-02-19,140.04,142.88,139.77,143.15,249663
2010-02-22,143.25,142.87,142.55,143.68,125028
2010-02-23,142.6,141.0,140.73,142.76,219374
2010-02-24,141.47,140.61,139.28,142.33,294754
2010-02-25,134.77,137.02,134.77,137.23,366509
2010-02-26,137.57,137.14,136.01,138.1,289612
2010-03-01,137.75,139.84,137.75,140.05,191817
2010-03-02,140.42,140.42,140.1,141.23,213735
2010-03-03,139.91,139.54,139.38,140.76,215256
2010-03-04,140.11,140.64,139.68,140.69,172192
2010-03-05,141.98,142.04,140.8,142.09,179414
2010-03-08,142.66,142.34,142.13,143.25,138132
2010-03-09,141.93,141.6,140.96,142.25,173666
2010-03-10,141.2,142.53,140.45,142.53,195659
2010-03-11,140.22,141.87,140.22,142.56,202120
2010-03-12,143.08,142.5,141.7,143.29,182014
2010-03-15,142.0,143.27,141.89,143.27,117983
2010-03-16,143.08,144.35,142.02,144.35,189081
2010-03-17,144.12,143.49,142.75,144.12,257690
2010-03-18,143.72,143.77,143.19,144.3,225461
2010-03-19,144.74,144.16,143.57,145.86,243543
2010-03-22,143.34,143.44,142.62,144.08,232302
2010-03-23,143.18,143.82,142.39,143.98,151217
2010-03-24,143.58,142.26,142.21,143.85,134692
2010-03-25,142.73,143.05,142.63,143.63,339116
2010-03-26,143.64,143.16,142.47,144.22,253411
2010-03-29,143.54,145.82,143.54,145.87,137879
2010-03-30,145.8,147.12,145.69,148.02,326906
2010-03-31,146.78,145.99,145.41,147.26,182344
2010-04-01,146.78,147.94,146.78,148.63,190796
2010-04-05,147.84,148.05,147.52,148.44,142054
2010-04-06,147.66,148.83,147.4,148.88,126337
2010-04-07,148.4,147.24,146.39,148.66,368240
2010-04-08,146.08,145.98,144.5,146.08,235361
2010-04-09,146.33,146.91,145.01,147.07,162167
2010-04-12,147.08,146.81,146.08,147.83,280344
2010-04-13,146.99,146.83,145.14,147.09,173771
2010-04-14,147.05,147.68,146.2,147.74,102953
2010-04-15,146.49,147.65,146.38,148.08,162115
2010-04-16,147.61,145.33,145.23,148.52,279766
2010-04-19,145.46,145.88,144.13,145.88,232942
2010-04-20,147.19,146.97,146.44,147.24,179524
2010-04-21,147.07,147.44,146.32,147.5,156705
2010-04-22,146.61,147.89,146.19,148.1,199111
2010-04-23,147.68,147.57,146.99,148.16,311651
2010-04-26,147.94,147.46,146.98,148.79,280787
2010-04-27,146.81,144.35,144.25,147.35,267152
2010-04-28,145.19,145.99,143.96,146.37,468636
2010-04-29,147.11,147.54,145.85,147.63,248144
2010-04-30,147.92,148.67,147.6,149.93,271258
2010-05-03,149.71,148.58,147.78,149.92,494121
2010-05-04,146.6,146.07,145.27,147.14,287362
2010-05-05,145.35,145.03,144.12,146.85,250179
2010-05-06,144.56,139.31,133.95,144.56,397201
2010-05-07,139.36,137.1,135.17,140.06,570992
2010-05-10,141.79,141.57,139.74,142.06,232064
2010-05-11,140.33,142.26,139.69,143.61,295037
2010-05-12,142.17,144.37,141.26,144.37,229437
2010-05-13,144.38,142.93,142.77,145.08,196653
2010-05-14,141.79,142.33,140.88,143.29,320427
2010-05-17,142.83,142.14,140.42,143.42,171307
2010-05-18,143.69,142.35,142.13,144.71,279120
2010-05-19,142.32,143.67,141.62,144.83,610734
2010-05-20,140.99,140.23,140.23,142.98,549683
2010-05-21,138.47,140.9,137.88,141.93,394628
2010-05-24,140.01,139.2,138.6,141.25,225923
2010-05-25,136.44,137.73,134.01,137.89,351978
2010-05-26,138.7,138.86,138.1,141.15,399013
2010-05-27,140.48,139.56,138.59,140.48,269077
2010-05-28,139.7,140.24,139.27,141.59,425039
2010-06-01,139.48,136.62,136.51,140.77,254476
2010-06-02,137.18,139.77,136.37,139.93,277093
2010-06-03,140.71,142.6,140.6,143.12,282774
2010-06-04,139.79,137.09,136.71,140.39,327595
2010-06-07,137.2,136.88,136.72,139.04,224072
2010-06-08,136.73,138.09,135.87,138.25,216980
2010-06-09,138.68,137.0,136.45,139.33,228721
2010-06-10,138.9,140.91,138.85,140.91,159560
2010-06-11,140.51,141.22,139.75,141.49,168096
2010-06-14,141.98,141.76,140.94,142.85,372836
2010-06-15,141.85,143.64,141.85,143.64,302919
2010-06-16,143.33,144.74,142.95,145.17,328528
2010-06-17,144.78,146.4,143.91,146.46,361097
2010-06-18,146.76,145.94,145.78,146.97,219525
2010-06-21,147.49,145.15,144.38,148.03,261569
2010-06-22,144.9,141.42,141.21,145.11,229847
2010-06-23,141.27,138.94,138.34,141.27,198912
2010-06-24,138.41,138.95,137.87,140.46,198549
2010-06-25,140.18,139.97,138.12,141.16,203704
2010-06-28,139.41,140.77,138.66,141.35,124390
2010-06-29,139.68,138.32,137.02,139.68,288975
2010-06-30,138.09,138.04,137.49,140.31,223347
2010-07-01,138.31,138.42,136.85,138.8,265187
2010-07-02,138.25,139.39,138.25,140.42,210605
2010-07-06,140.91,141.78,140.09,142.4,254413
2010-07-07,141.45,145.64,140.96,145.7,211674
2010-07-08,146.86,147.24,145.55,148.76,387362
2010-07-09,146.7,145.84,144.53,146.7,265893
2010-07-12,144.77,145.96,144.56,146.51,158830
2010-07-13,149.01,147.82,147.28,149.01,325114
2010-07-14,146.96,147.39,145.72,147.45,287502
2010-07-15,147.47,148.98,146.34,149.31,279469
2010-07-16,148.15,145.29,144.97,148.63,227914
2010-07-19,145.32,146.61,145.05,147.36,161088
2010-07-20,145.93,148.78,145.39,148.84,204660
2010-07-21,149.21,147.0,146.3,149.21,185073
2010-07-22,148.87,150.27,148.76,150.81,180434
2010-07-23,149.61,150.96,148.15,150.98,202984
2010-07-26,150.62,151.56,150.43,151.67,226427
2010-07-27,151.57,154.09,151.57,154.25,285052
2010-07-28,154.85,152.75,152.21,154.85,264775
2010-07-29,153.91,150.89,150.3,154.18,205028
2010-07-30,150.26,149.78,149.18,151.28,252519
2010-08-02,151.57,153.34,151.57,153.83,226050
2010-08-03,153.36,152.93,152.55,153.8,213222
2010-08-04,154.39,155.96,153.69,157.37,418496
2010-08-05,155.74,158.02,154.93,158.29,276044
2010-08-06,156.55,156.6,155.03,157.63,346074
2010-08-09,157.3,157.08,156.59,158.92,234299
2010-08-10,156.26,158.49,156.05,159.63,195496
2010-08-11,157.21,157.37,156.12,157.92,402213
2010-08-12,155.35,155.68,153.94,156.06,218819
2010-08-13,154.69,156.27,154.69,157.63,167332
2010-08-16,155.1,156.4,154.0,156.72,171175
2010-08-17,157.58,158.61,156.06,159.53,216201
2010-08-18,157.86,156.78,156.02,158.51,287530
2010-08-19,156.23,154.93,153.25,156.39,256067
2010-08-20,153.14,153.84,152.71,154.16,195675
2010-08-23,154.82,154.49,154.12,155.95,119369
2010-08-24,153.23,155.18,152.53,156.47,258153
2010-08-25,154.81,156.05,154.06,156.49,270568
2010-08-26,154.99,153.81,153.0,155.47,371483
2010-08-27,154.37,157.16,153.13,157.38,397744
2010-08-30,155.21,153.81,153.17,155.75,320334
2010-08-31,153.28,155.75,152.15,156.31,409245
2010-09-01,157.24,159.18,156.81,160.33,359098
2010-09-02,159.69,157.11,157.06,160.45,423821
2010-09-03,158.17,158.5,157.31,159.2,246608
2010-09-07,157.83,156.92,156.81,157.99,175745
2010-09-08,156.82,156.23,155.75,157.15,221164
2010-09-09,157.82,158.03,157.12,158.83,214954
2010-09-10,157.55,158.36,155.88,158.84,241128
2010-09-13,159.49,160.35,158.09,160.67,250788
2010-09-14,160.43,161.08,159.3,162.32,265713
2010-09-15,161.42,159.59,159.16,161.42,252635
2010-09-16,159.22,157.45,156.86,159.82,255964
2010-09-17,157.94,156.44,155.79,158.1,258243
2010-09-20,156.91,158.2,156.32,158.47,218706
2010-09-21,158.05,156.34,156.02,158.16,367550
2010-09-22,155.81,156.19,155.81,157.36,310719
2010-09-23,155.48,154.57,154.31,155.91,289150
2010-09-24,156.59,158.2,156.38,158.2,185836
2010-09-27,157.69,158.49,156.89,159.24,303275
2010-09-28,158.09,158.89,157.24,159.26,206254
2010-09-29,159.29,159.45,157.64,160.04,153053
2010-09-30,161.49,158.7,158.59,162.35,478245
2010-10-01,160.07,159.91,158.19,160.39,183328
2010-10-04,159.13,159.56,158.92,161.0,220105
2010-10-05,161.08,161.99,159.95,161.99,298929
2010-10-06,162.59,162.32,161.73,162.8,261840
2010-10-07,162.86,162.49,161.95,163.32,146248
2010-10-08,163.14,163.14,161.85,163.68,192585
2010-10-11,163.39,164.15,163.02,164.69,130479
2010-10-12,164.16,163.73,162.65,164.49,249748
2010-10-13,164.76,164.92,164.08,165.73,212486
2010-10-14,165.03,164.87,164.05,165.73,207651
2010-10-15,165.54,165.86,164.0,166.02,243724
2010-10-18,166.18,164.4,163.26,167.8,915674
2010-10-19,162.29,165.57,161.91,166.32,772508
2010-10-20,165.59,166.07,165.21,166.66,316270
2010-10-21,166.92,165.25,164.12,167.35,280110
2010-10-22,165.66,166.47,164.59,166.47,278563
2010-10-25,167.93,168.69,167.6,169.61,398443
2010-10-26,168.52,167.6,167.28,169.23,541445
2010-10-27,167.17,168.26,166.09,168.36,297359
2010-10-28,169.09,169.09,168.17,169.78,367137
2010-10-29,168.7,169.4,167.89,170.38,254296
2010-11-01,173.3,169.9,168.11,174.11,337746
2010-11-02,171.33,172.41,170.84,172.41,224173
2010-11-03,173.01,171.06,169.65,173.01,292157
2010-11-04,172.5,172.28,172.01,173.69,414756
2010-11-05,172.26,171.5,170.69,172.74,236178
2010-11-08,170.96,170.31,169.29,171.34,219586
2010-11-09,170.75,169.39,168.53,171.24,257335
2010-11-10,170.09,170.52,168.56,170.63,270101
2010-11-11,169.54,171.12,169.54,171.29,250358
2010-11-12,170.13,170.13,168.93,170.51,258157
2010-11-15,172.2,172.64,171.0,173.45,260674
2010-11-16,171.78,169.93,168.84,172.0,400761
2010-11-17,170.85,170.14,169.24,171.07,160487
2010-11-18,171.38,171.87,170.4,171.98,631155
2010-11-19,171.04,170.06,169.09,171.52,656005
2010-11-22,169.26,171.26,168.34,171.74,745578
2010-11-23,170.51,170.51,168.78,171.11,258859
2010-11-24,171.13,172.32,170.32,172.32,284490
2010-11-26,171.79,171.74,171.09,173.25,180231
2010-11-29,170.3,169.54,167.59,170.63,261166
2010-11-30,168.34,169.11,167.94,169.98,262987
2010-12-01,171.34,171.61,169.82,172.31,257315
2010-12-02,172.41,173.12,171.65,173.28,279128
2010-12-03,173.23,172.74,171.59,173.83,269406
2010-12-06,172.17,172.01,171.68,172.88,143833
2010-12-07,173.56,171.26,170.77,173.67,193851
2010-12-08,171.91,170.65,170.11,172.24,141808
2010-12-09,171.8,171.75,170.11,171.91,194204
2010-12-10,172.56,173.27,172.01,173.27,153028
2010-12-13,173.67,172.64,172.35,174.38,202249
2010-12-14,172.78,173.33,172.51,174.2,197446
2010-12-15,173.35,170.95,170.79,173.84,214809
2010-12-16,170.92,173.32,170.32,173.32,137014
2010-12-17,173.07,173.45,172.31,173.61,308510
2010-12-20,174.62,173.91,172.77,174.99,262687
2010-12-21,174.03,173.22,172.78,174.3,285354
2010-12-22,173.66,173.5,173.01,174.2,190209
2010-12-23,173.6,173.49,173.0,174.25,181516
2010-12-27,172.25,172.36,171.19,172.58,195706
2010-12-28,172.29,172.78,171.05,173.1,182682
2010-12-29,173.02,173.34,172.37,174.05,202230
2010-12-30,173.22,173.17,172.9,173.93,151154
2010-12-31,173.51,172.43,172.29,174.21,174173
2011-01-03,173.09,172.55,172.28,173.95,275711
2011-01-04,173.33,172.58,171.17,173.33,379652
2011-01-05,172.67,170.93,170.5,172.88,469723
2011-01-06,170.44,170.49,169.46,170.98,303900
2011-01-07,170.59,171.35,169.78,171.73,228467
2011-01-10,170.48,170.86,168.85,171.24,263441
2011-01-11,170.69,170.48,170.15,171.56,203218
2011-01-12,170.44,170.01,169.74,170.92,322346
2011-01-13,169.91,170.61,169.48,170.88,186608
2011-01-14,170.03,171.69,169.54,171.69,289694
2011-01-18,171.59,174.1,170.89,174.69,503649
2011-01-19,174.54,173.15,172.89,175.29,195463
2011-01-20,173.56,174.74,173.51,175.6,261316
2011-01-21,176.59,175.03,174.44,176.59,208466
2011-01-24,175.41,176.37,175.24,177.23,237198
2011-01-25,176.82,178.22,176.71,178.28,254420
2011-01-26,178.45,176.34,175.96,178.45,491401
2011-01-27,176.26,177.13,175.45,177.34,328678
2011-01-28,178.14,177.01,176.52,179.92,679702
2011-01-31,177.88,177.94,176.64,179.34,414244
2011-02-01,178.83,182.02,177.86,183.1,494288
2011-02-02,181.17,181.87,180.63,182.57,338477
2011-02-03,181.85,182.12,180.53,182.72,431850
2011-02-04,182.09,181.93,180.37,182.58,301676
2011-02-07,181.74,182.17,181.2,183.25,355553
2011-02-08,182.55,181.79,181.25,182.76,177267
2011-02-09,181.82,182.2,180.69,182.2,311455
2011-02-10,181.41,182.6,181.19,182.87,360819
2011-02-11,181.02,181.72,179.99,181.99,337597
2011-02-14,182.14,181.16,179.75,182.19,185791
2011-02-15,180.79,181.71,180.08,181.98,172496
2011-02-16,182.12,182.01,180.71,183.54,181681
2011-02-17,182.29,183.0,181.91,183.87,176179
2011-02-18,182.04,181.98,181.17,182.8,218956
