date,open,close,low,high,volume
2010-01-04,114.63,114.06,113.57,115.63,1191152
2010-01-05,113.71,112.94,112.79,114.17,767736
2010-01-06,112.86,112.38,111.83,112.99,916367
2010-01-07,112.3,112.58,111.68,112.94,1573340
2010-01-08,112.72,113.07,112.3,113.65,834675
2010-01-11,113.5,113.59,112.66,113.86,1103093
2010-01-12,113.17,111.68,111.52,113.17,960519
2010-01-13,111.74,112.0,111.74,112.71,994289
2010-01-14,110.6,111.38,110.04,111.68,1475490
2010-01-15,110.76,110.08,109.2,111.02,944263
2010-01-19,110.39,111.64,110.3,112.19,1047714
2010-01-20,111.8,110.92,109.79,112.09,947438
2010-01-21,111.83,110.31,110.21,111.99,822542
2010-01-22,108.64,108.61,108.15,110.52,966803
2010-01-25,108.84,109.6,108.64,110.48,614156
2010-01-26,109.22,109.36,108.58,109.7,495844
2010-01-27,109.27,110.28,108.47,110.78,792133
2010-01-28,114.55,111.41,110.13,114.55,1038948
2010-01-29,112.17,110.17,109.79,112.28,737210
2010-02-01,110.41,110.82,109.5,111.42,586493
2010-02-02,111.47,113.07,110.66,113.13,1002153
2010-02-03,112.86,112.42,111.65,112.86,1001902
2010-02-04,111.57,109.52,109.47,111.96,1005479
2010-02-05,109.75,110.24,108.7,110.29,1311342
2010-02-08,110.4,110.38,109.48,111.07,903219
2010-02-09,111.56,111.25,109.87,111.84,822393
2010-02-10,111.0,110.3,109.77,111.2,780570
2010-02-11,110.62,111.37,109.97,111.48,1239360
2010-02-12,110.35,111.96,109.45,112.1,1205508
2010-02-16,112.28,113.73,111.39,113.8,983778
2010-02-17,114.85,115.06,114.42,115.62,835285
2010-02-18,115.59,116.07,114.58,116.13,708764
2010-02-19,115.38,115.56,114.28,116.1,1044324
2010-02-22,115.64,115.23,114.64,115.83,644398
2010-02-23,115.23,115.91,114.24,116.19,923742
2010-02-24,116.0,117.37,115.52,117.43,1182225
2010-02-25,116.6,116.75,115.58,116.9,1004346
2010-02-26,117.34,116.05,115.87,117.59,859620
2010-03-01,116.01,117.36,115.67,117.36,1102174
2010-03-02,117.91,118.09,117.48,118.82,877494
2010-03-03,117.36,117.31,117.23,118.1,650405
2010-03-04,117.88,117.61,117.17,118.39,1120982
2010-03-05,117.9,117.81,117.27,117.93,1005155
2010-03-08,117.69,116.62,116.36,117.69,657271
2010-03-09,116.51,117.38,116.3,117.63,717242
2010-03-10,117.09,117.76,116.82,118.03,898861
2010-03-11,117.37,116.54,115.19,117.37,676307
2010-03-12,116.81,116.33,115.47,116.81,615634
2010-03-15,115.82,116.79,115.4,116.81,472228
2010-03-16,117.26,117.06,116.67,117.86,557632
2010-03-17,117.57,117.12,116.54,117.59,502260
2010-03-18,116.55,117.13,116.43,117.41,480821
2010-03-19,117.45,116.61,116.04,117.45,962515
2010-03-22,116.75,118.32,116.64,118.94,1008624
2010-03-23,118.24,117.56,116.97,118.65,597619
2010-03-24,116.88,116.26,115.94,117.23,984497
2010-03-25,117.08,116.24,116.05,117.41,657886
2010-03-26,116.25,115.69,115.29,116.39,602826
2010-03-29,115.32,116.12,115.23,116.35,555925
2010-03-30,116.45,116.28,116.06,116.45,744574
2010-03-31,116.23,115.86,115.38,116.85,589926
2010-04-01,116.13,116.17,115.38,116.58,676235
2010-04-05,116.56,115.53,115.39,116.57,849860
2010-04-06,115.42,115.43,114.96,116.04,709329
2010-04-07,114.67,115.39,114.67,116.4,874938
2010-04-08,114.94,115.04,114.43,115.48,510024
2010-04-09,115.6,115.82,115.03,115.92,513278
2010-04-12,116.24,116.21,115.8,116.61,418493
2010-04-13,116.15,115.84,115.09,116.25,629708
2010-04-14,115.91,115.84,115.31,116.26,770962
2010-04-15,115.32,115.04,114.92,116.07,1066099
2010-04-16,115.4,115.05,114.63,116.02,1739857
2010-04-19,115.72,116.68,115.72,116.99,1130500
2010-04-20,117.1,118.53,116.95,118.81,1101819
2010-04-21,118.87,117.06,116.76,119.09,1135526
2010-04-22,115.73,115.3,113.45,116.13,1650469
2010-04-23,116.36,116.36,115.75,117.58,1063850
2010-04-26,116.54,114.77,114.74,117.29,1041908
2010-04-27,114.97,113.98,113.33,114.97,932120
2010-04-28,113.65,114.56,113.52,115.07,1079369
2010-04-29,112.48,114.45,112.48,117.09,1850004
2010-04-30,114.98,114.43,113.95,115.6,1324004
2010-05-03,114.16,113.93,112.33,114.39,1305022
2010-05-04,112.62,112.49,111.79,113.17,912451
2010-05-05,112.11,112.4,111.14,113.25,977743
2010-05-06,112.36,111.61,108.04,113.12,1904887
2010-05-07,111.53,109.56,108.75,111.62,1905585
2010-05-10,112.05,112.01,110.72,113.68,1150348
2010-05-11,111.61,110.73,109.98,111.61,1020186
2010-05-12,111.06,111.19,109.95,111.49,899259
2010-05-13,111.29,110.16,110.06,111.97,1001129
2010-05-14,110.07,108.53,107.88,110.07,1460234
2010-05-17,108.18,109.17,108.18,109.57,964992
2010-05-18,110.33,109.87,109.63,111.07,1421942
2010-05-19,109.77,109.1,108.42,110.33,1552628
2010-05-20,107.64,106.02,106.02,107.73,1712897
2010-05-21,105.33,105.73,103.45,106.2,1473704
2010-05-24,105.37,105.26,105.13,106.45,669284
2010-05-25,104.02,105.39,102.65,105.54,1201577
2010-05-26,105.63,104.27,104.21,106.67,1015880
2010-05-27,105.31,106.27,104.62,106.33,1025697
2010-05-28,106.13,104.77,104.58,106.13,1043597
2010-06-01,104.36,103.8,103.76,105.51,819971
2010-06-02,104.0,106.59,103.43,106.69,776883
2010-06-03,106.2,106.49,105.54,107.21,697647
2010-06-04,105.44,103.21,103.02,105.44,1100986
2010-06-07,103.6,102.02,102.0,103.88,1057628
2010-06-08,101.27,101.05,99.86,101.72,1792621
2010-06-09,101.02,100.39,100.18,101.91,1114295
2010-06-10,101.62,102.13,101.33,102.19,1034747
2010-06-11,102.05,102.26,101.49,102.45,976532
2010-06-14,104.2,102.95,102.82,104.2,1088878
2010-06-15,103.44,104.4,103.06,104.4,953840
2010-06-16,104.64,106.34,104.02,106.34,918677
2010-06-17,106.69,106.44,105.77,106.88,846605
2010-06-18,106.74,105.78,105.7,106.83,1363383
2010-06-21,106.39,106.02,105.68,107.02,1125760
2010-06-22,105.91,105.43,105.42,107.51,999400
2010-06-23,105.51,103.8,103.57,105.59,1475601
2010-06-24,103.82,102.94,102.81,104.25,1046718
2010-06-25,102.99,102.57,102.11,103.86,1683486
2010-06-28,103.08,102.85,101.87,103.52,802341
2010-06-29,101.12,100.21,99.54,101.51,1600503
2010-06-30,99.62,100.19,99.34,100.96,1364149
2010-07-01,100.21,99.56,98.59,100.21,1524595
2010-07-02,99.78,100.72,99.71,101.29,998896
2010-07-06,101.74,101.07,100.2,102.04,982651
2010-07-07,101.03,104.21,100.68,104.24,1393059
2010-07-08,104.47,103.64,102.87,105.21,1132240
2010-07-09,103.38,102.72,102.11,103.65,695215
2010-07-12,103.0,102.51,102.14,103.08,820387
2010-07-13,103.12,103.08,102.9,103.91,939816
2010-07-14,102.93,103.39,101.8,103.39,884569
2010-07-15,102.75,102.84,102.11,103.33,652766
2010-07-16,102.54,100.45,100.26,102.8,793491
2010-07-19,100.74,100.86,100.48,101.33,531246
2010-07-20,99.91,100.8,99.34,100.86,1163391
2010-07-21,100.74,98.76,98.35,100.74,1288263
2010-07-22,99.38,99.59,99.15,100.83,1663696
2010-07-23,99.18,98.91,98.29,99.18,1973439
2010-07-26,99.27,101.48,98.77,101.61,1196753
2010-07-27,102.94,101.52,101.25,102.99,1193703
2010-07-28,101.43,101.78,100.38,102.48,1624157
2010-07-29,103.2,100.55,99.94,104.11,1292833
2010-07-30,100.24,102.7,99.82,103.23,1338896
2010-08-02,103.79,105.06,103.27,105.21,1630614
2010-08-03,105.26,105.41,104.89,106.05,919427
2010-08-04,105.83,106.67,105.26,106.79,776288
