date,open,close,low,high,volume
2010-01-04,173.35,177.67,173.35,177.67,37588
2010-01-05,178.26,173.54,170.55,178.26,42710
2010-01-06,172.9,168.19,167.13,172.9,72981
2010-01-07,167.75,167.18,162.58,167.75,43151
2010-01-08,166.65,169.05,163.21,170.39,71146
2010-01-11,165.37,168.05,165.37,170.16,42735
2010-01-12,166.48,165.05,163.9,168.69,31144
2010-01-13,164.84,168.19,163.79,169.33,30599
2010-01-14,164.89,161.59,160.83,165.17,44746
2010-01-15,161.82,159.09,154.77,161.82,77331
2010-01-19,158.36,162.0,158.36,162.1,47136
2010-01-20,160.9,165.58,160.53,166.61,71347
2010-01-21,167.23,159.2,159.01,167.7,91447
2010-01-22,159.08,156.89,156.33,160.69,71718
2010-01-25,157.98,158.45,154.18,160.25,59003
2010-01-26,158.3,156.97,156.4,162.5,52716
2010-01-27,156.59,159.26,153.72,160.12,64097
2010-01-28,178.61,171.85,171.47,183.48,267755
2010-01-29,173.77,179.22,173.39,182.47,111250
2010-02-01,180.16,178.72,177.95,180.35,60648
2010-02-02,173.87,175.03,173.58,178.89,119693
2010-02-03,175.69,175.79,173.07,179.38,57624
2010-02-04,173.55,169.2,167.65,173.55,89847
2010-02-05,169.01,170.85,166.89,172.59,53515
2010-02-08,170.81,167.52,167.23,172.65,30604
2010-02-09,169.66,166.75,165.68,170.63,40809
2010-02-10,165.0,166.84,163.65,167.23,44148
2010-02-11,167.05,168.99,166.38,171.8,40267
2010-02-12,168.11,170.34,167.33,170.44,36899
2010-02-16,171.68,174.11,168.77,174.11,26395
2010-02-17,174.27,173.5,172.63,174.27,19547
2010-02-18,171.55,172.89,171.16,172.99,19486
2010-02-19,172.72,172.15,171.76,172.91,32338
2010-02-22,170.51,170.79,168.41,171.56,51238
2010-02-23,163.58,170.43,163.3,171.19,72024
2010-02-24,171.26,172.41,171.17,174.81,62375
2010-02-25,167.8,173.25,166.37,173.64,74689
2010-02-26,171.81,174.31,171.81,175.27,84202
2010-03-01,175.28,181.26,174.5,181.26,82823
2010-03-02,180.92,182.75,179.09,183.23,87585
2010-03-03,182.55,179.39,177.96,182.55,53337
2010-03-04,178.66,179.52,177.33,179.9,25745
2010-03-05,180.84,184.01,180.45,185.64,61772
2010-03-08,184.87,185.84,184.01,187.38,36042
2010-03-09,187.31,189.66,186.14,191.22,51633
2010-03-10,189.68,190.07,188.9,192.42,25609
2010-03-11,191.55,191.95,190.17,192.74,17350
2010-03-12,192.03,188.88,187.99,192.32,39312
2010-03-15,186.96,181.96,177.84,187.06,69781
2010-03-16,181.68,184.41,179.24,186.66,50754
2010-03-17,184.64,187.85,182.89,190.38,65959
2010-03-18,187.35,185.99,184.73,188.31,27707
2010-03-19,186.95,185.21,184.05,186.95,55648
2010-03-22,182.67,188.23,182.67,191.11,59076
2010-03-23,187.99,190.29,186.94,190.38,42225
2010-03-24,190.05,188.71,186.98,191.78,30868
2010-03-25,189.52,185.96,185.96,192.21,26297
2010-03-26,185.86,185.96,184.43,189.97,89325
2010-03-29,185.82,185.44,183.44,186.67,46933
2010-03-30,186.03,185.65,184.7,189.75,37337
2010-03-31,185.73,184.21,183.83,189.06,25615
2010-04-01,185.56,186.9,184.61,188.9,27777
2010-04-05,186.69,194.89,185.55,196.04,45275
2010-04-06,190.42,176.45,173.96,191.66,428605
2010-04-07,176.66,174.74,172.72,181.66,150281
2010-04-08,175.94,170.01,169.92,176.43,194811
2010-04-09,170.92,171.21,168.88,176.67,99808
2010-04-12,171.02,171.79,170.05,173.64,97077
2010-04-13,172.26,175.96,172.07,176.84,61613
2010-04-14,179.06,180.24,176.21,180.64,82057
2010-04-15,182.73,184.51,180.75,185.5,61906
2010-04-16,184.81,185.31,178.76,187.29,75366
2010-04-19,184.17,184.57,179.02,184.86,51584
2010-04-20,182.52,184.09,180.66,184.09,38489
2010-04-21,183.49,183.68,180.85,184.56,68205
2010-04-22,189.52,171.95,167.66,189.52,595203
2010-04-23,174.4,165.94,161.42,174.89,419718
2010-04-26,166.3,168.46,162.17,169.54,245026
2010-04-27,169.3,168.9,166.22,170.2,340999
2010-04-28,170.52,164.94,164.44,170.92,108819
2010-04-29,166.01,178.24,164.82,180.93,332644
2010-04-30,178.1,169.24,168.14,178.49,143795
2010-05-03,167.95,171.91,167.26,173.78,123582
2010-05-04,170.35,172.92,167.0,172.92,141315
2010-05-05,171.33,171.72,169.36,172.7,135340
2010-05-06,167.73,170.4,163.58,173.56,164579
2010-05-07,166.63,160.88,159.32,166.63,294124
2010-05-10,166.53,168.78,166.53,170.74,115882
2010-05-11,164.4,165.36,163.73,167.58,120175
2010-05-12,164.71,167.49,163.94,167.49,69120
2010-05-13,167.03,166.45,165.1,168.08,92091
2010-05-14,164.25,162.81,158.98,164.25,113709
2010-05-17,162.29,165.15,161.62,165.73,82527
2010-05-18,165.58,165.49,164.72,171.32,116251
2010-05-19,164.32,161.45,159.16,165.84,85112
2010-05-20,160.48,154.5,152.47,160.58,151951
2010-05-21,151.43,152.29,148.83,154.79,137270
2010-05-24,151.26,151.55,151.26,155.19,108746
2010-05-25,149.75,146.96,143.29,150.42,170440
2010-05-26,146.24,141.07,140.88,147.77,173809
2010-05-27,142.73,144.35,141.31,144.63,114390
2010-05-28,143.56,141.1,140.72,144.03,102729
2010-06-01,138.97,134.57,132.98,138.97,182849
2010-06-02,134.63,137.9,133.6,138.09,100002
2010-06-03,140.03,135.88,134.19,142.01,136099
2010-06-04,130.96,129.0,125.16,131.43,301301
2010-06-07,128.48,131.54,128.29,133.57,197979
2010-06-08,131.39,125.09,124.44,131.39,132481
2010-06-09,126.25,123.18,122.35,128.1,111996
2010-06-10,124.74,126.68,123.26,129.27,150645
