date,open,close,low,high,volume
2010-01-04,157.75,160.89,157.02,161.26,508146
2010-01-05,160.35,164.55,160.19,164.55,695166
2010-01-06,166.58,166.62,164.53,167.31,895197
2010-01-07,167.16,168.74,166.35,169.79,789523
2010-01-08,168.29,170.16,168.13,170.4,337667
2010-01-11,170.42,172.04,170.14,174.48,873144
2010-01-12,171.44,169.97,168.43,172.95,742102
2010-01-13,171.13,172.35,169.13,172.64,645257
2010-01-14,170.93,171.05,169.3,171.74,378076
2010-01-15,171.83,171.09,170.39,172.04,513312
2010-01-19,171.78,174.14,170.95,174.72,525326
2010-01-20,172.25,172.87,170.48,173.08,414171
2010-01-21,172.24,167.6,165.91,173.35,654607
2010-01-22,168.08,164.28,163.91,169.07,690911
2010-01-25,166.15,166.77,165.29,168.96,406571
2010-01-26,165.94,165.61,164.74,168.83,498055
2010-01-27,166.36,169.55,165.29,169.64,495660
2010-01-28,170.75,165.73,162.62,171.16,495823
2010-01-29,166.39,158.67,157.72,166.6,980695
2010-02-01,159.71,164.94,159.34,165.23,528021
2010-02-02,166.12,166.17,164.46,168.41,509716
2010-02-03,165.11,162.79,162.12,166.15,598275
2010-02-04,162.72,155.53,155.53,163.51,999383
2010-02-05,154.93,156.63,149.23,157.33,869614
2010-02-08,154.28,152.68,152.68,155.92,688906
2010-02-09,153.05,154.19,150.37,154.76,897685
2010-02-10,153.27,157.31,153.27,158.21,714006
2010-02-11,156.31,154.88,154.27,156.67,683908
2010-02-12,153.74,156.03,151.46,156.27,605389
2010-02-16,156.91,159.56,155.74,159.6,477917
2010-02-17,160.59,162.1,159.62,162.71,495028
2010-02-18,161.93,162.01,160.99,162.46,384570
2010-02-19,161.89,164.06,161.69,165.04,622284
2010-02-22,164.33,165.51,164.0,166.7,361461
2010-02-23,165.16,162.94,162.21,165.89,447160
2010-02-24,163.52,166.51,162.82,166.67,548368
2010-02-25,162.41,163.51,161.11,163.88,1150827
2010-02-26,164.33,162.98,162.21,164.33,556653
2010-03-01,163.9,164.35,162.43,165.21,427894
2010-03-02,164.09,164.42,163.52,164.95,578166
2010-03-03,164.74,164.41,163.65,165.75,350009
2010-03-04,165.13,167.57,165.09,167.73,572987
2010-03-05,169.29,174.62,169.25,175.03,985272
2010-03-08,174.21,174.33,171.9,174.69,568419
2010-03-09,174.69,174.69,172.98,175.63,600638
2010-03-10,175.24,174.96,173.9,176.51,752484
2010-03-11,173.53,174.1,171.62,174.1,424234
2010-03-12,174.1,175.32,173.98,176.33,462678
2010-03-15,174.75,175.89,173.3,176.25,491723
2010-03-16,176.33,177.99,175.52,178.27,395329
2010-03-17,179.47,181.9,178.53,182.59,406093
2010-03-18,180.26,180.71,179.58,181.84,345593
2010-03-19,182.13,178.58,178.09,182.78,606800
2010-03-22,176.66,179.25,174.28,179.49,428157
2010-03-23,178.85,180.5,177.92,181.11,408474
2010-03-24,179.2,180.17,178.43,181.1,420227
2010-03-25,181.45,180.24,180.16,185.0,575927
2010-03-26,179.44,177.03,176.07,180.25,613154
2010-03-29,177.78,179.07,176.86,179.27,438966
2010-03-30,179.79,182.9,179.14,183.63,552116
2010-03-31,181.09,182.71,180.85,183.79,597178
2010-04-01,184.42,185.46,182.97,185.46,587857
2010-04-05,185.73,185.61,183.92,187.05,729672
2010-04-06,184.08,183.96,182.2,184.36,730436
2010-04-07,183.48,181.72,180.75,184.44,828442
2010-04-08,182.07,185.41,181.46,185.65,413448
2010-04-09,186.19,185.55,184.3,186.19,376183
2010-04-12,185.48,187.89,185.48,188.17,557137
2010-04-13,185.69,189.93,185.26,190.24,648625
2010-04-14,191.38,193.13,190.22,193.41,532003
2010-04-15,192.51,192.47,191.31,192.97,659511
2010-04-16,190.51,187.29,184.87,191.83,564354
2010-04-19,185.84,189.25,184.76,190.22,526128
2010-04-20,191.02,192.7,189.23,192.73,331037
2010-04-21,192.48,192.4,190.05,193.19,441015
2010-04-22,190.3,192.84,188.31,193.35,444956
2010-04-23,192.58,195.17,191.86,196.2,718537
2010-04-26,194.33,192.39,192.16,196.48,720289
2010-04-27,186.66,178.86,177.86,188.13,1225595
2010-04-28,182.25,186.38,182.25,188.1,998935
2010-04-29,187.93,192.58,187.37,193.18,597070
2010-04-30,191.58,185.34,185.3,192.41,648715
2010-05-03,186.59,189.91,186.39,190.37,414033
2010-05-04,184.72,182.03,180.76,186.62,482737
2010-05-05,177.57,179.66,177.1,183.15,544416
2010-05-06,178.5,172.19,159.89,181.41,1149054
2010-05-07,173.12,168.64,166.78,174.86,647385
2010-05-10,177.51,182.38,176.51,182.5,738301
2010-05-11,181.12,185.58,181.12,189.54,1169942
2010-05-12,185.41,185.33,183.01,185.89,600659
2010-05-13,184.14,180.78,180.78,184.34,376979
2010-05-14,178.9,173.46,171.27,178.9,866953
2010-05-17,174.23,173.35,169.56,176.72,736921
2010-05-18,175.18,166.15,164.99,176.3,1126362
2010-05-19,164.0,164.92,162.16,167.16,1058183
2010-05-20,159.53,153.05,151.58,160.6,1990431
2010-05-21,149.86,160.08,148.11,160.31,1365048
2010-05-24,160.25,154.54,154.18,160.25,801765
2010-05-25,150.33,152.72,146.24,153.03,2186409
2010-05-26,156.12,154.68,154.44,159.11,1158627
2010-05-27,157.29,163.07,155.86,163.27,832650
2010-05-28,162.63,158.65,157.65,162.91,500405
2010-06-01,157.29,154.94,154.66,158.49,604241
2010-06-02,155.47,160.2,152.88,160.36,718030
2010-06-03,159.96,159.68,157.18,160.99,539972
2010-06-04,154.93,151.73,151.14,156.08,778502
2010-06-07,152.8,148.61,148.49,154.35,709346
2010-06-08,149.11,150.81,145.31,151.25,967974
2010-06-09,152.4,150.3,149.75,155.97,630390
2010-06-10,152.53,155.19,151.46,155.51,536664
2010-06-11,153.4,156.7,153.32,156.93,389532
2010-06-14,158.44,157.25,157.09,161.11,542105
2010-06-15,158.64,161.23,157.65,161.54,470330
2010-06-16,160.07,162.06,159.23,163.33,528822
2010-06-17,162.65,158.56,156.5,162.65,501914
2010-06-18,159.26,157.95,157.12,159.26,472485
2010-06-21,160.3,157.88,157.21,161.73,377939
2010-06-22,157.62,155.12,154.88,159.76,443508
2010-06-23,155.89,153.55,152.76,156.33,422101
2010-06-24,152.57,149.99,149.56,153.17,458236
2010-06-25,151.79,153.1,149.12,154.01,786857
2010-06-28,152.68,150.58,150.14,152.91,284595
2010-06-29,149.41,141.43,140.88,149.41,1356110
2010-06-30,141.93,142.05,141.66,144.96,961335
2010-07-01,141.54,140.68,136.16,142.84,888398
2010-07-02,142.06,142.1,140.21,143.47,1037355
2010-07-06,144.27,142.62,140.98,146.34,764664
2010-07-07,143.53,149.32,143.37,149.4,836348
2010-07-08,151.45,149.61,147.66,153.96,629914
2010-07-09,148.99,151.99,147.86,152.34,358017
2010-07-12,151.76,150.82,148.98,151.76,385582
2010-07-13,152.69,154.72,152.53,155.35,582361
2010-07-14,153.33,153.76,151.65,154.54,567918
2010-07-15,154.24,153.22,150.4,154.98,584994
2010-07-16,151.49,147.1,146.55,152.47,876050
2010-07-19,146.65,146.8,143.92,147.23,436436
2010-07-20,143.66,149.42,143.31,149.54,506600
2010-07-21,151.48,144.88,144.34,151.48,629824
2010-07-22,146.51,150.39,146.24,151.05,575516
2010-07-23,149.13,149.13,147.58,150.86,716277
2010-07-26,149.26,148.53,147.18,149.53,1115705
2010-07-27,149.84,149.38,147.91,150.77,731974
2010-07-28,148.1,147.33,146.9,149.37,621823
2010-07-29,164.28,165.51,158.35,168.74,2405328
2010-07-30,163.71,164.14,162.82,165.72,1104945
2010-08-02,166.67,168.37,164.55,168.49,785434
2010-08-03,167.96,165.3,164.3,168.06,835313
2010-08-04,165.73,167.39,164.45,167.59,457923
2010-08-05,166.48,168.46,165.24,168.66,454085
2010-08-06,167.34,167.97,165.27,169.02,607542
2010-08-09,169.91,172.15,168.89,172.89,533749
2010-08-10,169.75,172.52,167.37,173.49,763381
2010-08-11,168.65,167.45,167.25,170.01,1454534
2010-08-12,164.94,166.89,164.59,168.06,878394
2010-08-13,166.65,164.74,164.62,168.84,579001
2010-08-16,163.96,166.38,163.25,167.63,498784
2010-08-17,167.98,173.59,167.2,173.94,830926
2010-08-18,173.53,174.59,171.97,175.91,729143
2010-08-19,172.68,168.84,168.72,173.97,690446
2010-08-20,166.78,167.13,163.84,168.06,790037
2010-08-23,166.3,166.53,165.86,168.09,497557
2010-08-24,164.08,162.77,162.73,166.82,1086703
2010-08-25,161.26,163.53,156.73,164.34,942563
2010-08-26,164.75,162.17,161.44,165.63,697389
2010-08-27,164.15,168.62,161.41,168.66,743182
2010-08-30,167.19,166.27,166.04,168.5,829393
2010-08-31,165.54,169.11,165.5,169.62,848720
2010-09-01,172.01,178.01,172.01,178.24,1053520
2010-09-02,176.82,178.87,176.78,179.06,783505
2010-09-03,180.47,182.71,179.61,182.9,735106
2010-09-07,180.13,179.12,177.62,181.01,612334
2010-09-08,179.8,181.58,179.61,184.01,477681
2010-09-09,184.21,182.09,180.8,184.63,542230
2010-09-10,183.36,182.77,180.97,183.36,463376
2010-09-13,185.77,186.62,185.07,186.66,599116
