date,open,close,low,high,volume
2017-07-05,73.79,67.37,67.37,73.83,3319265
2017-07-06,69.16,67.2,66.31,69.16,3115440
2017-07-07,69.2,68.79,65.54,70.02,3498893
2017-07-10,68.36,67.64,66.86,69.34,2649436
2017-07-11,67.35,67.42,66.59,68.19,1498284
2017-07-12,68.62,67.89,67.67,69.02,1791866
2017-07-13,68.33,67.22,66.94,68.7,2074835
2017-07-14,67.16,67.8,67.0,68.06,1598386
2017-07-17,68.42,68.29,68.29,69.61,2201358
2017-07-18,68.29,66.89,66.86,68.77,1783121
2017-07-19,66.63,66.54,66.22,67.54,2225288
2017-07-20,66.47,63.52,63.33,67.03,3569483
2017-07-21,63.61,62.49,61.25,63.89,4347414
2017-07-24,62.35,62.54,61.66,62.72,1608433
2017-07-25,63.8,64.61,63.73,64.66,1620195
2017-07-26,65.03,65.89,64.37,66.13,2093542
2017-07-27,65.79,66.14,65.3,67.75,2536367
2017-07-28,63.93,68.05,62.78,68.79,2432842
2017-07-31,67.33,66.88,66.04,67.39,1856205
2017-08-01,66.62,64.59,64.07,66.64,1625058
2017-08-02,64.13,64.12,63.55,64.48,1871751
2017-08-03,64.13,64.22,63.78,64.58,1805061
2017-08-04,64.47,64.13,63.82,64.69,1936002
2017-08-07,63.99,63.01,62.71,64.3,1216137
2017-08-08,63.19,63.53,62.99,64.5,1092664
2017-08-09,62.94,63.36,62.89,63.85,1197035
2017-08-10,62.96,62.41,62.17,63.47,1026074
2017-08-11,61.85,61.46,61.44,62.53,632589
2017-08-14,62.32,61.87,61.64,62.37,1118802
2017-08-15,61.48,61.98,61.48,62.18,1150353
2017-08-16,62.07,61.09,60.97,62.32,746556
2017-08-17,61.16,59.36,59.27,61.7,1281423
2017-08-18,58.91,58.96,58.35,59.61,1757458
2017-08-21,59.22,58.8,58.66,59.62,1267831
2017-08-22,58.73,58.86,58.39,59.32,978868
2017-08-23,58.63,59.58,58.63,59.94,848796
2017-08-24,59.63,59.15,58.64,59.63,949334
2017-08-25,59.17,59.85,59.15,60.12,1151446
2017-08-28,59.82,59.78,59.01,60.05,1371167
2017-08-29,59.56,60.73,59.56,60.84,1304924
2017-08-30,60.58,60.41,59.92,60.81,984217
2017-08-31,61.48,61.31,60.52,62.13,2091604
2017-09-01,61.26,61.86,60.83,62.11,997569
2017-09-05,62.39,62.64,61.78,63.5,2417748
2017-09-06,63.55,62.38,62.34,64.17,1777032
2017-09-07,62.22,62.18,61.36,63.08,1182934
2017-09-08,62.55,61.92,61.28,62.93,1734403
2017-09-11,61.95,63.67,61.68,63.88,1552896
2017-09-12,63.16,64.2,62.91,64.99,1949069
2017-09-13,64.19,64.45,64.11,65.6,2294583
2017-09-14,65.2,65.25,64.93,66.62,2659766
2017-09-15,65.36,66.31,65.36,66.33,4515815
2017-09-18,66.32,67.13,66.09,67.37,1864875
2017-09-19,67.16,67.31,66.71,67.42,1593999
2017-09-20,67.98,67.89,67.42,68.22,1199576
2017-09-21,67.39,66.32,65.93,67.55,1375291
2017-09-22,66.21,66.47,65.76,66.59,1994168
2017-09-25,67.16,68.38,66.76,69.44,2561006
2017-09-26,67.86,67.32,66.63,67.86,1366953
2017-09-27,67.38,67.07,66.64,67.56,1227439
2017-09-28,67.37,67.2,66.35,67.58,1154062
2017-09-29,66.91,66.58,66.04,67.36,1635101
2017-10-02,65.38,67.02,65.31,67.11,1056408
2017-10-03,67.16,66.85,66.34,67.64,1426749
2017-10-04,67.26,67.18,66.85,67.88,1138632
2017-10-05,67.25,66.59,66.56,67.4,1145458
2017-10-06,66.55,67.23,66.33,67.57,1044170
2017-10-09,67.31,65.93,65.85,67.45,1752892
2017-10-10,66.45,64.45,64.35,66.77,2266931
2017-10-11,64.39,63.61,63.31,64.55,2494536
2017-10-12,62.89,62.49,62.23,63.19,2399392
2017-10-13,62.85,61.87,61.84,63.47,1505090
2017-10-16,62.75,62.12,62.01,63.09,1585383
2017-10-17,62.01,62.29,61.39,62.81,2732129
2017-10-18,62.52,62.45,62.36,63.3,1367108
2017-10-19,62.22,61.48,61.3,62.85,2426237
2017-10-20,59.88,62.22,58.82,62.54,4201148
2017-10-23,61.74,58.7,58.57,62.04,2897106
2017-10-24,58.38,56.77,56.66,58.56,2311694
2017-10-25,56.84,55.63,55.54,57.13,2265446
2017-10-26,56.07,55.74,55.35,56.48,1362412
2017-10-27,55.47,58.28,55.15,58.3,2013836
2017-10-30,58.37,58.97,58.2,59.48,2397185
2017-10-31,58.8,59.06,58.35,59.25,1803179
2017-11-01,59.34,59.53,58.99,60.45,1743841
2017-11-02,59.59,58.63,58.29,60.3,2061863
2017-11-03,58.09,58.6,57.98,59.13,2276971
2017-11-06,59.35,63.81,59.33,63.92,4274256
2017-11-07,63.95,62.74,62.57,64.02,2428387
2017-11-08,62.65,61.9,61.81,63.56,1718990
2017-11-09,61.73,61.82,60.78,62.22,1997487
2017-11-10,61.64,62.21,61.17,62.57,1355456
2017-11-13,62.07,60.43,60.36,62.16,1857502
2017-11-14,59.14,57.36,56.3,59.69,3514680
2017-11-15,56.11,57.52,55.68,57.95,2492546
2017-11-16,57.31,56.45,56.37,58.32,2002076
