date,open,close,low,high,volume
2010-01-04,108.08,108.38,106.33,109.52,900557
2010-01-05,108.13,108.13,107.14,109.66,712019
2010-01-06,107.13,104.99,104.53,108.88,1902477
2010-01-07,104.96,106.64,103.51,108.54,1154917
2010-01-08,106.35,107.56,105.51,109.84,864125
2010-01-11,107.61,107.3,105.47,108.29,735467
2010-01-12,105.55,103.04,101.75,105.86,1137326
2010-01-13,104.14,106.42,102.69,106.95,873360
2010-01-14,105.74,104.53,104.3,106.65,901036
2010-01-15,103.96,100.18,98.67,104.79,1870075
2010-01-19,100.77,101.98,99.93,103.05,818549
2010-01-20,103.89,102.9,101.01,104.65,1388560
2010-01-21,103.18,100.29,100.14,105.76,1472207
2010-01-22,99.51,100.8,99.2,103.9,2111988
2010-01-25,102.45,100.71,99.28,102.45,824614
2010-01-26,99.4,100.16,98.8,101.44,1344698
2010-01-27,99.23,99.75,96.83,100.95,1057325
2010-01-28,100.53,98.59,95.44,100.76,1387088
2010-01-29,99.07,96.53,95.93,100.12,1249202
2010-02-01,97.11,99.27,95.84,99.27,1024161
2010-02-02,99.55,98.43,96.64,100.15,2499014
2010-02-03,99.78,102.93,99.48,103.67,2084631
2010-02-04,100.64,98.23,97.56,102.15,2215190
2010-02-05,97.97,97.45,93.46,98.88,1819175
2010-02-08,98.0,96.26,94.45,98.31,1627667
2010-02-09,99.17,99.55,97.11,100.85,1278559
2010-02-10,99.94,97.33,94.71,100.25,1246425
2010-02-11,97.43,98.35,96.04,100.12,1137129
2010-02-12,99.2,99.67,98.2,100.21,1311099
2010-02-16,101.15,102.23,100.07,102.46,802359
2010-02-17,103.57,104.65,103.26,105.58,1027374
2010-02-18,103.86,106.18,103.08,106.72,1442870
2010-02-19,100.89,106.35,100.66,107.66,2749110
2010-02-22,105.85,102.18,101.87,107.0,1470935
2010-02-23,101.94,99.42,98.97,102.71,1408018
2010-02-24,99.87,100.71,99.1,101.24,776327
2010-02-25,97.51,99.56,95.62,99.94,1652591
2010-02-26,99.66,98.68,98.3,100.96,895452
2010-03-01,98.96,101.69,98.51,102.9,823690
2010-03-02,102.13,101.68,101.16,102.74,882013
2010-03-03,102.33,104.9,101.35,105.36,1832723
2010-03-04,105.5,108.09,105.35,108.32,2133093
2010-03-05,108.73,111.63,108.58,112.09,1895266
2010-03-08,112.07,111.92,110.55,112.98,1183112
2010-03-09,110.84,109.55,108.41,110.91,944480
2010-03-10,109.22,111.48,108.76,111.48,1071412
2010-03-11,110.5,111.78,108.76,111.78,940199
2010-03-12,111.75,110.31,108.95,112.2,828592
2010-03-15,109.97,109.36,107.7,110.08,902584
2010-03-16,108.88,111.44,107.9,111.44,1454355
2010-03-17,111.71,109.22,108.92,112.58,1072772
2010-03-18,109.06,108.01,107.03,110.15,795649
2010-03-19,108.04,104.74,104.74,109.61,1369832
2010-03-22,104.38,105.2,102.44,105.72,750601
2010-03-23,105.68,106.57,105.08,106.72,963530
2010-03-24,105.49,106.31,104.74,107.73,1182502
2010-03-25,107.79,103.67,103.53,107.94,1471262
2010-03-26,105.66,104.76,103.78,105.96,1103052
2010-03-29,105.06,106.03,104.68,106.26,1090733
2010-03-30,105.94,105.64,104.52,106.31,783260
2010-03-31,104.74,104.14,103.85,106.09,842218
2010-04-01,105.49,105.79,103.85,105.94,1183792
2010-04-05,106.0,109.44,105.4,109.96,1661705
2010-04-06,108.58,108.58,106.87,111.18,1458971
2010-04-07,108.37,108.0,107.1,109.56,968545
2010-04-08,106.39,111.2,105.64,112.54,2090355
2010-04-09,110.63,112.03,110.26,112.99,1149409
2010-04-12,111.99,111.99,110.89,112.88,990531
2010-04-13,112.01,114.37,110.9,114.74,1077576
2010-04-14,114.48,114.41,112.79,115.07,1423159
2010-04-15,113.74,116.52,113.08,116.74,1104458
2010-04-16,115.35,113.3,113.15,117.61,1555518
2010-04-19,113.31,113.61,111.63,114.63,1095907
2010-04-20,114.3,116.57,114.3,118.03,909479
2010-04-21,116.07,117.83,115.27,117.9,897813
2010-04-22,116.79,120.46,115.32,120.97,1253107
2010-04-23,121.11,121.26,119.57,121.63,755019
2010-04-26,121.07,119.89,119.27,122.24,621834
2010-04-27,117.65,115.6,114.29,118.52,1406264
2010-04-28,117.87,116.92,115.69,118.6,1398954
2010-04-29,119.18,120.5,119.11,122.48,1027583
2010-04-30,120.51,118.47,117.96,121.39,1327804
2010-05-03,119.81,122.68,119.81,124.66,1490364
2010-05-04,120.24,118.7,116.06,120.31,2382933
2010-05-05,115.03,114.01,111.23,117.96,2793116
2010-05-06,111.61,109.78,100.9,113.74,4016891
2010-05-07,110.65,104.97,102.31,110.8,3706658
2010-05-10,111.95,114.11,108.15,115.44,1752839
2010-05-11,111.27,112.01,111.27,115.06,1643611
2010-05-12,112.52,114.37,111.11,115.41,1503927
2010-05-13,113.31,110.87,110.43,114.71,1318714
2010-05-14,109.03,108.44,107.0,110.17,1366944
2010-05-17,108.44,112.19,107.26,113.0,2145897
2010-05-18,113.14,109.47,108.96,113.77,1668064
2010-05-19,108.83,110.02,106.33,111.38,1791215
2010-05-20,105.08,102.14,101.84,107.07,1989051
2010-05-21,99.13,104.84,98.54,104.84,2163269
2010-05-24,104.13,101.94,101.65,106.9,2915809
2010-05-25,97.92,101.88,96.6,102.24,2259097
2010-05-26,103.44,103.88,102.26,106.81,1856480
2010-05-27,106.8,108.78,105.92,108.92,1714462
2010-05-28,108.91,106.49,105.83,109.27,1164418
2010-06-01,104.33,102.79,102.72,107.43,1433726
2010-06-02,103.4,106.68,103.03,106.68,1025497
2010-06-03,107.95,108.09,106.81,109.05,1262398
2010-06-04,104.31,101.69,100.74,106.58,2035763
2010-06-07,102.78,98.38,98.23,104.4,1452143
2010-06-08,98.21,97.69,96.15,99.82,1839504
2010-06-09,98.99,100.16,98.11,104.68,2440402
2010-06-10,101.96,104.87,101.52,105.45,1274851
2010-06-11,103.15,104.97,102.93,106.36,1199451
2010-06-14,107.49,107.2,106.98,111.3,1279656
2010-06-15,108.87,112.37,107.91,112.59,1137509
2010-06-16,110.46,110.6,109.07,111.26,1588007
2010-06-17,111.37,110.56,108.59,111.8,723492
2010-06-18,110.13,108.24,107.81,110.56,1039408
2010-06-21,110.49,106.94,106.44,110.63,829405
2010-06-22,107.05,103.94,103.47,108.43,1053650
2010-06-23,104.69,104.98,102.74,106.87,1342661
2010-06-24,103.83,99.78,98.91,104.12,1609821
