date,open,close,low,high,volume
2010-01-04,134.99,136.5,131.06,138.11,193546
2010-01-05,136.54,138.61,136.31,138.86,349042
2010-01-06,145.08,145.43,143.0,149.99,581532
2010-01-07,146.2,149.52,145.63,149.52,416249
2010-01-08,146.66,149.74,146.25,150.04,314710
2010-01-11,149.53,150.4,149.48,151.73,337866
2010-01-12,149.81,145.59,144.41,151.51,325138
2010-01-13,146.44,147.06,145.72,147.43,263916
2010-01-14,147.56,149.85,146.94,150.42,246267
2010-01-15,149.11,147.71,146.99,150.5,335827
2010-01-19,147.13,149.25,146.92,149.46,171545
2010-01-20,147.92,145.39,144.15,147.92,183173
2010-01-21,144.45,140.59,138.89,145.69,383659
2010-01-22,139.42,137.0,136.69,140.81,231434
2010-01-25,139.85,136.43,134.67,139.85,289237
2010-01-26,135.68,136.82,135.01,137.6,190156
2010-01-27,136.55,139.51,135.57,139.82,355262
2010-01-28,140.35,139.78,137.69,140.87,336656
2010-01-29,143.67,140.99,140.42,145.55,578484
2010-02-01,140.89,140.57,137.88,141.46,347643
2010-02-02,140.9,142.67,140.17,143.04,449044
2010-02-03,141.61,140.72,140.05,142.65,251396
2010-02-04,139.15,136.5,135.36,139.15,390276
2010-02-05,135.7,136.43,133.64,136.89,454225
2010-02-08,136.73,136.89,134.24,137.35,498463
2010-02-09,139.42,139.16,137.9,140.67,388638
2010-02-10,137.72,138.75,134.89,139.37,468017
2010-02-11,138.43,141.29,136.77,141.6,235109
2010-02-12,140.35,140.51,138.69,141.65,258503
2010-02-16,142.01,145.39,141.48,145.75,323482
2010-02-17,145.38,146.05,144.5,146.36,231645
2010-02-18,145.65,146.84,145.39,147.1,168228
2010-02-19,145.83,148.75,145.83,150.15,294397
2010-02-22,147.44,144.77,144.35,147.7,239000
2010-02-23,144.34,140.73,140.06,144.34,398135
2010-02-24,142.15,143.34,141.63,143.5,337028
2010-02-25,141.45,143.68,140.1,144.04,253382
2010-02-26,143.79,143.9,142.07,144.21,346979
2010-03-01,143.87,148.08,143.25,148.39,394664
2010-03-02,148.84,148.69,148.02,150.03,294344
2010-03-03,148.89,148.73,148.63,150.54,150285
2010-03-04,148.55,148.6,148.4,149.79,142456
2010-03-05,149.56,154.1,149.56,154.76,591754
2010-03-08,154.84,153.49,153.49,155.67,333776
2010-03-09,153.39,154.79,153.19,155.26,244876
2010-03-10,154.54,155.83,153.92,156.96,249839
2010-03-11,154.84,156.34,153.91,156.54,233412
2010-03-12,156.21,155.08,153.66,156.21,195512
2010-03-15,155.16,156.45,154.49,156.51,162095
2010-03-16,155.92,158.39,155.26,159.06,222845
2010-03-17,158.74,160.84,158.38,162.68,306860
2010-03-18,161.68,161.12,160.45,162.55,162515
2010-03-19,161.14,159.45,158.48,162.22,363888
2010-03-22,159.67,161.88,158.9,162.3,190819
2010-03-23,161.76,163.05,160.78,163.05,163657
2010-03-24,162.5,159.04,158.22,162.5,197747
2010-03-25,160.48,158.32,158.27,161.31,194338
2010-03-26,158.81,159.27,158.76,161.23,174380
2010-03-29,160.37,160.99,159.49,161.88,164234
2010-03-30,162.2,161.58,160.28,162.83,127796
2010-03-31,161.63,159.12,158.75,161.63,259698
2010-04-01,160.47,160.21,159.06,162.37,157350
2010-04-05,162.32,164.7,160.63,165.23,227485
2010-04-06,163.89,166.11,163.58,166.63,133945
2010-04-07,165.74,164.0,163.37,165.96,289907
2010-04-08,163.14,163.2,161.4,163.41,244073
2010-04-09,163.75,164.44,162.59,164.76,217996
2010-04-12,165.15,164.68,162.77,165.21,216547
2010-04-13,164.14,164.94,163.4,165.57,200351
2010-04-14,164.61,165.51,163.87,165.51,230763
2010-04-15,164.68,165.96,164.68,167.34,266322
2010-04-16,164.17,161.74,161.05,164.53,241272
2010-04-19,161.31,161.04,158.67,162.1,189848
2010-04-20,162.3,161.83,160.77,163.15,153239
2010-04-21,161.1,162.94,161.1,165.83,384575
2010-04-22,161.67,167.23,160.89,167.49,498292
2010-04-23,168.6,169.44,166.96,169.54,326081
2010-04-26,170.05,168.57,168.36,170.37,294871
2010-04-27,167.86,165.69,165.01,170.18,493064
2010-04-28,148.8,148.38,143.49,149.47,1729388
2010-04-29,152.1,146.63,145.06,154.93,745862
2010-04-30,146.64,144.01,141.8,148.06,663891
2010-05-03,145.32,147.06,144.54,147.74,408401
2010-05-04,144.45,142.19,140.77,144.6,552741
