date,open,close,low,high,volume
2010-04-28,158.63,156.85,154.71,158.63,716084
2010-04-29,156.06,163.15,155.35,164.93,1284105
2010-04-30,163.1,158.48,158.13,163.46,229917
2010-05-03,161.64,162.0,160.93,163.06,441665
2010-05-04,160.91,151.74,151.74,160.91,332756
2010-05-05,155.12,145.18,141.02,155.12,1018273
2010-05-06,144.63,137.23,130.17,144.99,1085946
2010-05-07,138.56,132.16,127.19,138.91,519140
2010-05-10,139.64,134.41,132.22,140.35,596886
2010-05-11,133.06,134.13,133.06,136.83,376051
2010-05-12,135.99,140.24,135.99,141.94,742689
2010-05-13,140.95,139.53,139.17,142.72,375783
2010-05-14,136.52,132.63,132.63,137.23,426429
2010-05-17,134.12,133.06,132.01,135.53,1450899
2010-05-18,135.19,133.34,129.51,137.11,909419
2010-05-19,134.16,125.64,124.58,134.37,886158
2010-05-20,121.61,119.9,114.94,121.61,1386420
2010-05-21,115.47,116.89,114.77,120.91,659701
2010-05-24,117.98,119.39,117.84,121.16,290223
2010-05-25,118.97,117.41,114.79,118.97,684794
2010-05-26,120.15,121.29,118.81,123.05,298762
2010-05-27,125.04,126.81,125.04,127.52,473397
2010-05-28,126.98,126.06,115.28,126.98,30170
2010-06-01,125.44,124.37,122.24,126.5,130365
2010-06-02,124.96,122.97,122.19,125.31,126460
2010-06-03,124.54,123.69,122.4,124.9,305521
2010-06-04,121.12,121.12,118.99,121.47,466172
2010-06-07,122.1,120.25,119.18,122.46,382070
2010-06-08,120.65,118.66,116.89,120.65,297616
2010-06-09,119.56,119.56,118.92,121.76,196662
2010-06-10,120.9,120.9,120.04,121.61,195802
2010-06-11,120.91,122.34,120.91,122.69,61787
2010-06-14,123.12,125.26,123.12,125.91,139987
2010-06-15,125.34,128.86,124.41,129.07,306693
2010-06-16,127.98,125.91,125.84,128.26,149890
2010-06-17,127.6,124.86,123.71,128.11,160363
2010-06-18,125.21,124.35,123.91,125.36,179557
2010-06-21,125.8,123.28,123.2,126.38,71224
2010-06-22,123.96,122.15,121.86,124.04,203090
2010-06-23,122.71,120.89,120.53,123.07,169092
2010-06-24,121.3,122.1,118.83,122.97,308224
2010-06-25,123.05,122.47,121.6,123.2,84581
2010-06-28,122.73,122.73,121.49,122.73,52430
2010-06-29,121.63,118.07,118.07,121.63,353006
2010-06-30,118.53,117.65,117.65,120.2,196803
2010-07-01,117.8,112.79,111.7,118.23,554467
2010-07-02,113.45,112.72,112.14,114.25,29899
2010-07-06,112.68,109.48,108.32,113.34,105986
2010-07-07,109.1,108.74,107.73,109.83,262718
2010-07-08,108.7,109.42,108.7,110.15,326033
2010-07-09,109.78,114.86,109.05,116.46,196311
2010-07-12,115.07,115.07,114.92,116.52,109348
2010-07-13,114.86,118.99,114.86,119.72,241847
2010-07-14,118.53,118.53,117.45,118.89,232871
2010-07-15,118.69,118.26,115.58,118.69,112543
2010-07-16,117.59,116.87,115.42,117.59,91547
2010-07-19,116.31,118.25,115.8,120.04,68616
2010-07-20,118.53,116.72,116.43,118.53,150194
2010-07-21,116.9,117.26,116.9,117.69,253939
2010-07-22,117.33,119.42,117.33,119.71,162105
2010-07-23,119.61,121.27,119.39,121.34,195922
2010-07-26,122.45,127.14,122.45,127.5,451119
2010-07-27,129.57,131.81,124.73,132.61,820935
2010-07-28,132.1,130.0,129.2,132.1,345499
2010-07-29,131.84,130.68,129.95,132.21,219182
2010-07-30,130.14,130.72,128.4,131.23,285519
2010-08-02,132.17,131.52,131.45,132.97,214885
2010-08-03,132.37,130.98,129.52,132.59,222436
2010-08-04,131.35,134.29,131.35,135.46,581697
2010-08-05,133.97,133.53,133.24,133.97,32989
2010-08-06,132.84,131.23,130.65,133.06,63424
2010-08-09,131.83,132.2,131.76,132.93,180429
2010-08-10,133.03,132.59,131.93,133.03,141477
2010-08-11,131.29,129.89,129.82,131.29,272240
2010-08-12,129.97,129.01,128.28,129.97,451032
2010-08-13,128.31,132.05,128.31,132.12,401022
2010-08-16,138.49,137.39,137.02,141.8,1466009
2010-08-17,139.68,140.56,139.68,141.52,679705
2010-08-18,140.64,145.79,140.64,147.63,467803
2010-08-19,146.59,145.93,140.03,148.06,676486
2010-08-20,146.12,146.78,145.82,147.74,462685
2010-08-23,146.72,147.9,146.72,149.3,314175
2010-08-24,145.58,146.97,144.84,147.41,701747
2010-08-25,145.16,145.08,144.65,145.96,532425
2010-08-26,145.09,145.45,145.09,149.09,418614
2010-08-27,147.03,149.22,145.86,149.22,281492
2010-08-30,149.74,148.42,148.42,152.68,245522
2010-08-31,149.05,151.11,149.05,151.18,299354
2010-09-01,151.63,155.47,151.55,157.55,781894
2010-09-02,155.32,154.58,153.18,155.32,199458
2010-09-03,154.92,155.95,154.92,157.21,140036
2010-09-07,155.25,154.07,152.89,155.25,199589
2010-09-08,155.08,155.37,155.08,156.41,308845
2010-09-09,155.35,153.13,152.91,156.46,413391
2010-09-10,152.53,153.11,152.38,153.34,114209
2010-09-13,152.05,156.44,152.05,156.66,442597
2010-09-14,156.76,157.64,156.17,158.08,312263
2010-09-15,157.31,157.67,156.87,158.26,190427
2010-09-16,159.13,159.86,159.13,163.01,573332
2010-09-17,162.56,163.0,161.24,163.0,410121
2010-09-20,162.97,162.6,162.53,163.12,218666
2010-09-21,161.97,161.97,161.68,162.41,420242
2010-09-22,161.83,159.65,158.99,162.12,235508
2010-09-23,158.24,158.24,156.43,158.96,193877
2010-09-24,159.25,162.58,159.25,162.65,355871
2010-09-27,165.48,168.47,165.48,168.55,551567
2010-09-28,168.71,171.26,168.2,172.65,381849
2010-09-29,170.09,171.84,170.02,174.24,575327
2010-09-30,172.01,173.83,169.17,174.19,579666
2010-10-01,173.88,173.52,172.35,174.9,941578
2010-10-04,174.93,175.37,174.2,177.62,491427
2010-10-05,175.27,180.74,175.2,182.27,991545
2010-10-06,182.76,178.13,176.14,182.98,259285
2010-10-07,177.49,178.88,176.98,179.54,292580
2010-10-08,180.79,184.81,180.79,185.03,914899
2010-10-11,185.32,192.46,184.88,195.69,1065082
2010-10-12,190.06,191.51,185.32,191.88,883368
2010-10-13,193.71,197.9,192.91,199.0,1573157
2010-10-14,197.33,197.7,178.9,202.31,1255267
