date,open,close,low,high,volume
2014-10-20,52.48,53.14,51.39,62.07,681773
2014-10-21,53.32,52.98,52.96,55.19,380061
2014-10-22,53.34,53.86,52.46,54.16,387702
2014-10-23,53.72,54.65,53.44,55.85,660932
2014-10-24,54.56,55.76,54.56,56.39,805976
2014-10-27,56.08,56.55,55.18,56.9,416771
2014-10-28,56.9,57.56,56.23,58.76,301739
2014-10-29,57.41,56.19,56.08,58.07,333348
2014-10-30,56.45,56.63,55.7,57.46,221974
2014-10-31,56.46,58.79,56.46,59.69,15300247
2014-11-03,57.06,58.06,56.63,59.44,4773913
2014-11-04,57.43,56.33,56.18,57.58,3337931
2014-11-05,57.08,56.17,55.83,57.69,2100392
2014-11-06,56.26,55.98,55.66,56.74,1731268
2014-11-07,55.14,55.64,54.24,56.82,5121457
2014-11-10,54.29,55.7,53.41,56.54,2995169
2014-11-11,55.06,56.22,54.39,57.51,2481450
2014-11-12,56.94,57.74,56.19,58.49,2627501
2014-11-13,57.88,57.26,56.54,58.94,1245725
2014-11-14,56.89,57.66,56.75,58.05,777919
2014-11-17,57.85,58.51,57.57,59.21,1326745
2014-11-18,57.88,58.66,57.16,58.91,1640180
2014-11-19,58.49,58.96,58.24,59.29,1466969
2014-11-20,58.41,59.62,58.18,59.79,1149244
2014-11-21,59.99,61.23,59.62,61.61,2579531
2014-11-24,62.28,62.51,61.26,62.58,1269633
2014-11-25,62.18,61.95,61.44,62.44,934881
2014-11-26,62.4,64.66,62.4,66.14,820420
2014-11-28,64.33,66.72,64.22,67.06,222880
2014-12-01,66.05,65.84,65.58,66.37,721624
2014-12-02,65.46,65.56,64.65,65.85,985144
2014-12-03,64.71,64.33,64.22,64.97,654506
2014-12-04,63.64,64.11,63.3,64.41,704347
2014-12-05,64.51,64.24,64.06,64.96,395688
2014-12-08,64.15,64.32,63.96,64.6,495732
2014-12-09,62.28,63.31,62.28,64.23,495563
2014-12-10,63.34,62.59,62.46,63.54,808682
2014-12-11,62.93,62.92,62.84,63.67,304884
2014-12-12,63.24,62.07,61.54,63.47,647621
2014-12-15,61.86,61.8,61.54,62.72,549737
2014-12-16,60.93,61.62,60.89,62.45,1104971
2014-12-17,61.35,63.24,60.55,63.95,524009
2014-12-18,63.6,63.81,62.52,64.48,472166
2014-12-19,63.84,63.6,62.85,64.7,974402
2014-12-22,63.92,63.99,63.78,64.46,429736
2014-12-23,63.96,63.39,63.22,64.47,369367
2014-12-24,63.69,63.98,63.43,65.07,771556
2014-12-26,63.97,63.57,63.23,64.08,236364
2014-12-29,63.21,63.85,61.65,64.12,272880
2014-12-30,63.5,63.65,63.28,64.42,211825
2014-12-31,63.73,63.54,63.3,64.3,181970
2015-01-02,63.7,62.96,62.42,64.22,430775
2015-01-05,61.83,62.74,61.83,62.86,370655
2015-01-06,63.05,62.98,62.77,63.44,789892
2015-01-07,63.39,63.79,63.39,64.82,1128590
2015-01-08,63.9,64.12,63.56,64.63,663413
2015-01-09,64.07,63.92,63.56,64.44,412801
2015-01-12,63.9,64.96,63.9,65.18,457365
2015-01-13,64.98,65.46,64.36,65.85,446946
2015-01-14,64.99,66.2,64.76,66.22,261074
2015-01-15,66.18,65.32,64.81,66.31,499475
2015-01-16,64.89,66.22,64.81,66.29,684265
2015-01-20,65.75,66.21,65.31,66.74,538692
2015-01-21,65.75,67.8,65.48,68.1,818740
2015-01-22,67.81,68.02,67.26,69.06,755504
2015-01-23,67.75,66.12,65.57,67.85,723103
2015-01-26,66.35,65.53,64.94,66.64,688443
2015-01-27,64.74,64.08,63.93,65.03,435741
2015-01-28,63.76,62.97,62.8,64.22,487559
2015-01-29,63.86,64.24,63.42,64.33,434854
2015-01-30,63.93,63.91,63.39,64.29,420035
2015-02-02,64.74,66.46,64.6,66.56,295629
2015-02-03,65.98,65.46,65.27,66.79,360547
2015-02-04,65.63,65.94,64.99,66.09,344689
2015-02-05,66.05,66.86,65.59,67.19,155297
2015-02-06,66.57,67.55,66.17,67.55,390351
2015-02-09,67.24,67.19,66.88,68.2,850009
2015-02-10,66.94,68.25,66.66,68.33,399071
2015-02-11,68.31,67.96,67.52,68.38,360622
2015-02-12,68.13,68.93,67.7,69.08,363243
2015-02-13,68.57,69.22,68.56,69.45,227597
2015-02-17,68.94,68.98,68.62,69.43,493989
2015-02-18,68.82,69.09,67.99,69.26,465837
2015-02-19,68.67,70.42,67.67,70.61,371298
2015-02-20,69.65,70.05,67.19,70.61,571640
2015-02-23,69.81,68.93,68.38,69.81,862662
2015-02-24,68.77,70.49,68.72,71.13,242945
2015-02-25,70.49,69.85,69.44,70.51,147664
2015-02-26,69.68,70.02,69.29,70.49,128467
2015-02-27,69.8,70.19,69.3,70.47,296776
2015-03-02,69.35,70.85,69.0,71.26,258088
2015-03-03,70.57,70.16,69.93,70.96,257027
2015-03-04,70.04,70.6,69.33,70.75,348413
2015-03-05,70.88,70.41,70.28,71.07,208937
2015-03-06,70.43,70.32,70.04,71.53,239093
2015-03-09,70.52,70.94,70.26,71.3,224242
2015-03-10,70.57,69.96,69.93,71.19,411177
2015-03-11,70.23,71.2,69.92,71.38,282099
2015-03-12,71.37,71.58,70.99,71.79,200043
2015-03-13,70.8,70.93,70.04,71.3,124506
2015-03-16,71.01,72.17,70.78,72.25,242117
2015-03-17,71.7,72.5,71.42,72.65,271109
2015-03-18,72.12,73.43,72.07,73.93,265616
2015-03-19,73.16,73.71,72.84,73.86,140731
2015-03-20,74.11,74.09,73.38,74.57,737389
2015-03-23,73.73,74.15,73.41,74.34,239038
2015-03-24,74.51,74.01,73.28,74.6,333374
2015-03-25,74.02,71.39,71.3,74.31,237164
2015-03-26,71.52,70.8,70.57,71.83,248882
2015-03-27,70.69,69.81,69.71,70.69,211408
2015-03-30,69.82,69.36,69.22,70.47,296866
2015-03-31,69.44,71.48,69.15,71.81,405920
2015-04-01,71.59,70.49,70.15,72.17,311952
2015-04-02,70.55,70.66,70.34,71.97,191048
2015-04-06,70.7,70.76,70.22,71.07,491331
2015-04-07,70.55,69.98,69.8,70.94,298077
2015-04-08,70.25,70.19,69.91,70.64,262244
2015-04-09,70.04,71.54,70.04,71.65,188136
2015-04-10,71.37,71.14,70.56,71.79,247619
2015-04-13,70.85,70.11,70.09,71.75,122326
2015-04-14,69.84,69.25,69.06,70.42,182980
2015-04-15,69.47,69.35,69.2,70.03,203387
2015-04-16,69.63,69.17,69.03,69.63,194415
2015-04-17,68.98,67.89,67.73,69.35,341708
2015-04-20,68.0,69.26,68.0,69.61,319725
2015-04-21,69.54,69.6,68.79,69.89,257866
2015-04-22,69.8,69.43,69.2,69.86,256617
2015-04-23,68.98,68.38,68.21,68.98,279404
2015-04-24,68.27,67.39,67.35,68.27,232527
2015-04-27,67.31,66.0,65.64,67.71,638320
2015-04-28,65.86,65.32,65.26,66.24,871842
2015-04-29,65.3,65.07,64.68,65.39,613597
2015-04-30,64.7,64.41,64.23,65.41,422692
2015-05-01,64.5,64.53,64.19,65.03,439053
