date,open,close,low,high,volume
2013-06-19,117.27,119.74,115.34,123.59,1009372
2013-06-20,125.5,119.25,118.63,125.89,267490
2013-06-21,123.41,122.02,119.4,123.41,78031
2013-06-24,122.17,120.08,117.53,122.17,98399
2013-06-25,119.76,120.99,118.6,121.07,71883
2013-06-26,120.28,119.74,118.5,120.36,122196
2013-06-27,113.97,118.52,113.04,121.37,415559
2013-06-28,117.71,118.4,117.4,120.71,249251
2013-07-01,119.16,114.46,114.23,119.31,577361
2013-07-02,113.87,116.27,113.79,117.83,1201491
2013-07-03,114.85,115.85,114.85,117.01,289876
2013-07-05,115.85,120.88,115.85,123.43,437062
2013-07-08,122.09,123.56,119.93,124.02,514187
2013-07-09,122.22,121.6,121.09,123.84,444780
2013-07-10,119.92,119.54,117.76,120.7,404609
2013-07-11,122.37,117.81,116.64,122.37,451095
2013-07-12,116.08,116.0,115.85,117.47,395993
2013-07-15,116.13,114.58,112.41,116.75,712133
2013-07-16,114.01,119.28,113.94,119.9,361403
2013-07-17,118.3,124.03,118.3,124.8,439705
2013-07-18,124.91,121.48,120.39,126.55,358363
2013-07-19,119.99,125.84,119.99,126.93,483358
2013-07-22,125.62,123.67,122.51,126.47,271876
2013-07-23,122.93,122.93,121.84,124.48,265886
2013-07-24,122.94,123.95,121.61,124.96,269469
2013-07-25,123.73,122.56,121.63,124.78,285294
2013-07-26,122.55,125.12,120.53,125.66,118633
2013-07-29,123.41,121.33,120.55,124.1,409338
2013-07-30,121.25,124.41,120.79,124.72,465081
2013-07-31,123.88,123.88,123.5,126.04,324996
2013-08-01,124.19,126.35,124.04,126.58,257309
2013-08-02,125.5,127.12,125.19,128.2,262836
2013-08-05,126.72,125.18,124.17,127.26,128591
2013-08-06,124.59,126.59,123.81,127.06,178887
2013-08-07,125.54,124.92,123.99,126.0,143149
2013-08-08,126.19,126.66,124.88,127.66,280028
2013-08-09,126.34,125.03,124.87,126.34,180240
2013-08-12,124.07,124.14,123.1,125.61,257016
2013-08-13,125.49,124.1,123.71,125.49,207328
2013-08-14,123.91,125.3,122.9,125.53,286890
2013-08-15,124.02,126.03,123.06,126.57,176654
2013-08-16,125.55,125.01,124.78,127.02,249600
2013-08-19,125.65,123.17,123.05,125.73,71799
2013-08-20,123.03,122.8,121.53,123.58,118722
2013-08-21,122.66,123.51,121.66,123.98,242150
2013-08-22,123.97,123.12,122.65,124.28,216762
