date,open,close,low,high,volume
2010-01-04,77.99,78.11,77.51,78.53,136208
2010-01-05,77.15,75.88,74.63,77.15,457139
2010-01-06,75.95,75.63,75.12,77.15,328842
2010-01-07,75.4,74.24,74.19,75.8,288486
2010-01-08,73.69,75.34,73.42,75.46,167297
2010-01-11,75.51,76.21,75.32,76.44,153720
2010-01-12,76.29,75.33,75.01,76.47,141336
2010-01-13,75.03,76.21,74.78,76.65,230665
2010-01-14,76.38,76.84,76.24,77.37,183790
2010-01-15,76.47,74.29,74.21,76.68,133654
2010-01-19,74.28,75.0,74.16,75.25,198424
2010-01-20,74.86,74.58,73.91,75.19,193320
2010-01-21,75.28,74.32,73.96,75.77,429303
2010-01-22,74.08,72.83,72.77,74.51,213835
2010-01-25,72.96,72.98,72.61,73.35,189068
2010-01-26,72.7,72.9,72.18,73.71,104262
2010-01-27,72.78,72.44,71.53,72.82,243645
2010-01-28,72.34,71.85,71.85,73.36,247342
2010-01-29,72.15,72.24,72.09,73.37,289236
2010-02-01,72.02,72.05,71.59,72.62,322702
2010-02-02,72.22,72.31,71.69,72.94,386025
2010-02-03,71.74,73.75,71.74,73.79,408443
2010-02-04,73.2,70.88,70.77,73.57,534942
2010-02-05,70.8,71.48,69.28,72.6,860934
2010-02-08,71.34,69.94,69.94,71.81,401104
2010-02-09,70.6,70.68,70.43,71.11,193831
2010-02-10,70.58,69.72,69.64,70.89,144016
2010-02-11,69.07,69.89,69.01,70.02,293869
2010-02-12,69.19,69.47,68.81,69.72,507690
2010-02-16,70.04,70.75,69.61,70.75,285608
2010-02-17,70.7,71.02,70.62,71.17,229680
2010-02-18,71.14,70.91,70.79,71.31,241063
2010-02-19,70.86,72.2,70.46,72.25,306885
2010-02-22,73.08,73.12,72.43,73.17,334612
2010-02-23,73.38,73.31,72.89,73.54,319215
2010-02-24,73.17,73.42,73.01,74.02,232074
2010-02-25,73.05,73.63,72.38,73.73,180184
2010-02-26,73.28,74.02,73.28,74.27,178134
2010-03-01,74.54,76.6,74.22,76.87,274442
2010-03-02,77.19,77.9,76.93,78.07,206122
2010-03-03,78.11,78.17,77.73,78.69,126404
2010-03-04,78.21,77.6,76.31,78.36,312580
2010-03-05,78.24,79.21,78.08,79.29,204749
2010-03-08,78.36,78.55,78.19,78.9,214409
2010-03-09,78.61,78.39,78.0,78.77,109875
2010-03-10,77.9,78.64,77.87,78.97,379189
2010-03-11,78.66,78.37,77.87,79.02,263525
2010-03-12,78.52,78.96,78.06,78.97,152777
2010-03-15,79.14,79.95,78.9,80.09,187511
2010-03-16,80.04,81.47,80.04,81.54,414110
2010-03-17,81.76,81.43,81.25,82.14,200729
2010-03-18,81.25,80.63,80.36,81.38,121509
2010-03-19,79.52,79.52,79.39,80.3,253976
2010-03-22,79.4,80.54,78.93,80.66,204004
2010-03-23,80.67,81.27,80.26,81.43,143673
2010-03-24,80.5,80.19,80.11,80.92,150405
2010-03-25,80.86,81.06,80.49,82.05,166859
2010-03-26,81.2,81.03,80.65,81.48,119070
2010-03-29,80.89,80.93,80.83,82.7,343054
2010-03-30,81.59,82.24,81.22,82.81,184020
2010-03-31,81.99,81.17,81.17,82.34,159858
2010-04-01,81.64,81.94,81.48,82.48,138998
2010-04-05,82.06,82.7,82.04,82.84,206921
2010-04-06,82.06,83.69,81.7,83.81,257216
2010-04-07,84.01,83.72,83.02,84.17,164905
2010-04-08,83.07,83.14,81.84,83.3,234347
2010-04-09,83.66,84.52,83.38,84.52,126245
2010-04-12,84.23,84.77,84.12,84.97,175717
2010-04-13,84.78,85.6,84.54,85.76,314849
2010-04-14,85.95,86.84,85.9,87.07,218609
2010-04-15,86.3,86.56,86.3,87.42,135591
2010-04-16,86.69,87.21,85.99,87.53,404150
2010-04-19,86.6,87.12,86.31,87.35,201713
2010-04-20,87.54,87.22,87.03,87.86,212892
2010-04-21,86.86,86.66,86.31,87.44,225335
2010-04-22,86.32,86.29,85.86,86.76,302793
2010-04-23,86.19,87.49,85.53,87.5,335411
2010-04-26,86.9,87.14,86.83,88.03,244162
2010-04-27,87.37,87.01,86.75,89.86,365154
2010-04-28,87.45,88.6,86.96,88.94,364540
2010-04-29,89.08,89.78,89.07,90.63,376755
2010-04-30,94.51,93.04,93.02,96.51,640590
2010-05-03,94.23,94.32,92.93,95.0,346481
2010-05-04,93.28,92.1,91.47,93.41,485406
2010-05-05,91.39,89.57,89.18,91.39,336912
2010-05-06,89.31,87.46,83.06,89.31,460396
2010-05-07,86.66,83.89,83.42,86.85,385419
2010-05-10,86.88,87.96,86.81,88.84,407249
2010-05-11,87.6,89.81,87.14,90.07,384285
2010-05-12,90.2,91.73,90.17,91.73,295746
2010-05-13,91.38,90.61,90.2,91.47,287318
2010-05-14,90.29,88.82,88.24,90.29,653629
2010-05-17,88.63,88.81,87.29,89.31,273346
2010-05-18,89.66,86.95,86.7,89.66,436469
2010-05-19,86.54,86.95,86.02,87.26,451287
2010-05-20,85.93,83.01,82.46,85.93,509128
2010-05-21,81.73,83.32,81.43,84.3,465700
2010-05-24,83.08,83.44,82.99,84.59,296694
2010-05-25,81.48,81.51,79.93,82.28,503190
2010-05-26,82.04,82.56,81.84,83.77,503149
2010-05-27,84.5,87.07,84.23,87.23,394963
2010-05-28,86.93,85.65,85.25,87.35,260184
2010-06-01,85.17,84.19,84.15,86.16,194464
2010-06-02,84.44,85.43,82.9,85.5,253154
2010-06-03,85.91,86.57,85.42,87.08,276477
2010-06-04,85.72,83.1,82.9,85.86,295556
2010-06-07,82.86,81.2,81.05,83.33,279390
2010-06-08,81.06,80.68,79.78,81.3,363110
2010-06-09,81.62,83.19,81.29,84.08,413343
2010-06-10,83.96,85.16,83.8,85.33,300964
2010-06-11,84.54,85.21,84.45,86.17,265462
2010-06-14,85.14,86.59,85.14,87.75,220092
2010-06-15,86.82,88.08,86.82,88.25,133855
2010-06-16,87.58,88.66,87.21,89.21,218177
2010-06-17,88.93,88.44,87.39,89.44,118969
2010-06-18,88.27,87.61,87.35,88.84,144251
2010-06-21,88.68,87.62,87.25,89.83,160621
2010-06-22,87.05,85.82,85.73,88.0,158006
2010-06-23,85.77,85.52,84.73,86.26,115900
2010-06-24,84.95,84.77,84.45,85.51,138854
2010-06-25,84.76,85.51,84.31,86.43,257777
2010-06-28,85.74,85.49,84.8,86.49,96652
2010-06-29,84.9,82.21,81.79,84.9,295577
2010-06-30,81.94,83.12,81.89,83.73,295731
2010-07-01,82.53,81.02,79.67,82.58,294690
2010-07-02,81.5,80.4,80.16,81.79,160479
2010-07-06,80.86,82.5,80.86,82.89,388548
2010-07-07,82.8,83.98,82.01,84.15,405369
2010-07-08,84.47,84.91,84.02,85.44,404791
2010-07-09,85.17,86.11,84.95,86.14,139061
2010-07-12,86.05,86.29,85.68,86.77,261557
2010-07-13,87.23,87.7,87.02,88.32,211030
2010-07-14,87.79,88.47,87.41,88.53,184439
2010-07-15,89.1,88.87,88.08,89.47,206882
2010-07-16,88.59,87.38,87.22,88.71,235346
2010-07-19,86.84,87.5,86.84,87.97,266780
2010-07-20,86.13,87.11,86.13,87.17,605393
2010-07-21,87.85,87.85,87.08,88.71,483579
2010-07-22,88.3,90.33,87.94,90.44,426880
2010-07-23,90.85,90.43,88.94,91.81,535792
2010-07-26,91.11,91.67,90.48,92.31,258982
2010-07-27,91.79,88.68,88.63,91.79,375153
2010-07-28,88.94,88.73,88.61,90.22,316264
2010-07-29,89.05,87.39,86.57,89.44,271122
2010-07-30,86.99,87.72,86.55,88.28,215575
2010-08-02,88.69,88.81,88.3,88.86,249739
2010-08-03,88.88,89.22,88.47,90.38,214341
2010-08-04,89.37,91.25,89.31,91.38,244838
2010-08-05,91.19,91.3,90.55,91.58,124728
2010-08-06,91.06,92.07,90.28,92.14,170634
2010-08-09,92.87,92.96,92.13,93.09,140415
2010-08-10,91.84,91.53,91.09,92.62,126921
2010-08-11,90.1,88.35,88.07,90.54,195463
2010-08-12,87.39,87.05,86.62,87.78,216392
2010-08-13,87.2,86.74,86.54,87.59,164022
2010-08-16,86.03,87.07,85.77,87.53,97527
2010-08-17,87.19,89.65,87.07,90.42,191581
2010-08-18,89.55,88.3,88.3,89.57,205809
2010-08-19,87.38,86.18,85.74,87.97,228727
2010-08-20,85.68,85.81,84.22,85.98,224170
2010-08-23,86.42,85.28,85.12,87.19,122659
2010-08-24,84.0,83.11,82.15,84.06,226913
2010-08-25,82.42,83.14,81.33,83.44,343264
2010-08-26,83.11,82.96,82.28,85.41,253773
2010-08-27,83.18,83.76,82.3,83.96,192023
2010-08-30,83.47,82.45,82.44,84.5,109862
