date,open,close,low,high,volume
2010-01-04,98.31,97.71,97.64,98.31,1403605
2010-01-05,99.58,97.14,96.45,100.09,2702976
2010-01-06,96.78,97.38,96.23,97.87,3074841
2010-01-07,97.09,96.65,95.69,97.58,2175621
2010-01-08,96.31,98.28,95.97,98.73,1654523
2010-01-11,98.17,97.81,97.14,98.62,905877
2010-01-12,97.51,96.77,96.2,98.18,1794977
2010-01-13,96.55,97.9,95.88,98.36,1133721
2010-01-14,97.18,98.17,96.78,98.17,982015
2010-01-15,97.18,97.39,96.67,98.6,1713144
2010-01-19,98.05,99.74,98.05,99.89,1679055
2010-01-20,100.19,99.61,98.32,100.8,1444122
2010-01-21,99.39,96.98,96.0,99.39,2629363
2010-01-22,96.92,96.68,95.84,97.86,1585272
2010-01-25,97.28,96.27,95.36,97.79,1141523
2010-01-26,95.72,96.6,95.06,96.8,1293760
2010-01-27,95.46,97.48,95.28,97.56,1694655
2010-01-28,98.85,97.01,95.79,99.27,1965266
2010-01-29,97.7,98.49,97.15,98.8,1632550
2010-02-01,97.72,98.63,96.93,98.67,1305795
2010-02-02,98.9,101.07,97.94,101.09,1154026
2010-02-03,99.73,99.88,98.84,100.26,1251192
2010-02-04,99.16,97.2,97.0,99.69,1458338
2010-02-05,96.86,97.57,95.2,97.88,1873744
2010-02-08,98.33,97.05,96.37,98.37,1378585
2010-02-09,98.21,98.6,97.21,100.04,1760283
2010-02-10,99.38,99.73,99.15,100.69,1332552
2010-02-11,99.13,102.01,98.77,102.43,1534847
2010-02-12,100.83,101.07,100.17,102.15,1619917
2010-02-16,101.56,100.78,100.41,101.97,1675807
2010-02-17,101.36,103.05,101.36,103.1,1282426
2010-02-18,102.75,102.66,102.33,103.38,1510086
2010-02-19,102.48,103.82,101.76,104.51,1693947
2010-02-22,103.93,102.35,102.09,104.17,1078714
2010-02-23,102.32,101.62,100.89,103.22,1686813
2010-02-24,101.17,101.15,100.14,102.36,2905265
2010-02-25,99.61,100.69,99.11,100.84,1604994
2010-02-26,100.2,100.57,99.71,100.9,1524247
2010-03-01,102.17,104.56,101.91,104.78,1480524
2010-03-02,103.37,104.78,103.33,105.07,1434054
2010-03-03,104.96,104.1,103.94,105.56,1151715
2010-03-04,104.24,104.0,103.41,104.44,702426
2010-03-05,103.57,104.56,103.47,104.56,800668
2010-03-08,103.89,105.13,103.74,106.61,1694679
2010-03-09,105.19,105.55,104.99,106.41,1225060
2010-03-10,105.72,107.18,105.7,107.63,1221517
2010-03-11,107.07,107.49,105.56,107.64,1107172
2010-03-12,107.14,107.05,105.81,107.35,817382
2010-03-15,106.54,106.62,105.56,106.78,826319
2010-03-16,106.83,107.74,105.77,107.95,1890757
2010-03-17,107.39,106.9,106.67,107.57,1159723
2010-03-18,105.75,105.9,104.32,106.17,1351115
2010-03-19,106.65,106.31,104.46,107.28,2692844
2010-03-22,106.22,106.29,105.85,107.11,1193437
2010-03-23,106.62,106.92,106.15,107.1,667528
2010-03-24,107.29,105.66,105.43,107.37,1037234
2010-03-25,105.69,104.24,104.24,106.03,1405065
2010-03-26,104.85,104.1,103.51,105.19,801968
2010-03-29,103.1,103.99,103.05,104.49,1048496
2010-03-30,103.61,102.7,102.33,104.02,1194457
2010-03-31,102.4,102.2,101.94,103.18,901900
2010-04-01,104.13,103.62,102.74,104.47,926421
2010-04-05,103.37,103.32,102.6,104.09,607098
2010-04-06,103.03,103.17,102.76,103.87,781083
2010-04-07,103.27,102.84,102.34,103.74,928258
2010-04-08,103.71,102.13,101.7,103.71,1464567
2010-04-09,101.77,102.1,101.7,102.79,1529800
2010-04-12,102.18,101.24,100.68,102.18,1296430
2010-04-13,101.27,99.98,99.67,101.79,2240655
2010-04-14,100.23,100.5,98.84,101.0,2695958
2010-04-15,99.02,98.46,97.59,99.58,1498564
2010-04-16,97.93,96.92,95.98,98.07,2321903
2010-04-19,97.04,99.12,96.78,99.59,1706023
2010-04-20,97.84,96.96,95.79,98.87,1995934
2010-04-21,95.76,94.54,93.96,96.47,2402063
2010-04-22,94.87,93.83,93.09,94.87,2550360
2010-04-23,93.64,94.46,93.19,94.53,1440120
2010-04-26,94.72,94.54,94.26,95.51,1230520
2010-04-27,93.85,93.76,93.61,95.61,2145888
2010-04-28,94.0,93.87,93.76,94.88,1392571
2010-04-29,93.75,95.69,92.98,96.39,2030420
2010-04-30,95.42,95.03,94.74,96.37,1749480
2010-05-03,94.95,95.13,94.53,95.7,1125068
2010-05-04,93.9,92.66,91.77,94.06,1326670
2010-05-05,91.82,92.47,91.28,92.84,1455915
2010-05-06,91.93,88.64,86.42,91.93,2440813
2010-05-07,87.22,88.25,86.45,89.35,2630557
2010-05-10,90.09,89.82,89.13,90.99,1784360
2010-05-11,89.61,90.4,89.24,90.98,1601824
2010-05-12,89.89,91.16,89.07,91.19,1390130
2010-05-13,90.11,89.51,89.39,90.37,996270
2010-05-14,89.9,88.02,87.16,90.18,2393026
2010-05-17,87.42,88.77,86.52,88.96,1360650
2010-05-18,88.81,88.82,88.38,89.79,1391284
2010-05-19,89.13,89.04,88.25,90.07,1324994
2010-05-20,87.11,86.53,86.53,88.4,2335951
2010-05-21,86.68,86.8,86.36,88.63,3226381
2010-05-24,86.62,85.73,85.66,86.97,2256588
2010-05-25,84.96,85.99,83.77,86.13,1593748
2010-05-26,85.03,83.74,83.67,86.18,2066073
2010-05-27,84.79,85.39,83.83,85.42,2057367
2010-05-28,85.58,84.31,84.31,86.11,2761517
2010-06-01,83.37,83.31,82.89,84.87,2275616
2010-06-02,83.49,85.53,83.1,85.67,1662063
2010-06-03,85.5,87.27,85.22,87.43,1539079
2010-06-04,86.17,84.99,84.87,86.77,2245827
2010-06-07,85.17,84.44,84.42,85.56,1533158
2010-06-08,85.35,82.97,82.45,85.41,2123856
2010-06-09,83.89,83.85,82.59,85.14,1645523
2010-06-10,84.92,85.67,84.16,85.88,1673913
2010-06-11,84.49,82.4,81.94,84.9,3416978
2010-06-14,83.07,83.71,82.98,84.95,1728814
2010-06-15,83.49,85.26,83.15,85.37,1817477
2010-06-16,84.51,85.27,84.25,85.48,1154178
2010-06-17,84.7,86.09,84.7,86.23,1577602
2010-06-18,86.53,87.84,86.5,88.35,3241508
2010-06-21,87.65,86.72,86.55,88.1,1454725
2010-06-22,88.0,87.66,87.52,89.45,1368656
2010-06-23,87.08,87.52,86.69,87.85,981488
2010-06-24,87.58,87.44,86.89,88.33,1083678
2010-06-25,87.19,87.31,86.62,88.56,4509909
2010-06-28,87.13,87.12,85.78,87.76,914284
2010-06-29,85.9,85.3,84.23,85.99,1494821
2010-06-30,85.27,83.4,83.37,86.22,2170232
2010-07-01,83.4,81.7,80.69,83.5,2193916
2010-07-02,83.14,86.5,83.14,89.11,5436216
2010-07-06,86.28,84.02,83.52,86.28,2367681
2010-07-07,83.62,86.2,83.33,86.32,1707740
2010-07-08,86.13,87.67,85.94,87.92,1644209
2010-07-09,87.42,88.48,86.84,88.58,1661841
2010-07-12,87.23,88.21,87.17,88.79,1058615
2010-07-13,87.81,89.18,87.79,89.66,1368734
2010-07-14,88.93,89.9,88.74,89.95,1039008
2010-07-15,89.97,90.72,89.34,90.97,1347746
2010-07-16,90.25,87.82,87.79,91.08,1914269
2010-07-19,88.14,90.03,87.65,90.27,1772970
2010-07-20,89.14,91.45,87.59,91.64,2644293
2010-07-21,91.42,92.8,90.47,95.22,3869965
2010-07-22,93.39,95.07,93.27,95.61,2135102
2010-07-23,95.19,91.08,89.26,96.21,4358902
2010-07-26,91.78,98.55,91.78,99.01,4620175
2010-07-27,98.3,98.54,96.63,99.07,3446330
2010-07-28,98.16,95.33,95.28,98.45,4645172
2010-07-29,96.3,96.59,94.76,97.4,2135940
2010-07-30,93.33,95.48,92.62,96.2,3192075
2010-08-02,96.8,97.82,96.56,98.05,1557170
2010-08-03,97.94,98.09,97.44,99.0,1839458
2010-08-04,97.53,97.8,96.88,98.67,1433168
2010-08-05,97.77,97.34,96.68,98.0,1081042
2010-08-06,95.93,97.69,94.93,97.81,1237029
2010-08-09,97.84,97.33,96.71,97.84,828130
2010-08-10,96.66,97.78,95.11,98.29,1056688
2010-08-11,96.87,94.59,94.21,97.25,1798620
2010-08-12,92.58,95.04,92.58,95.8,1348044
2010-08-13,93.82,93.58,93.15,94.4,1197746
2010-08-16,93.09,93.19,92.04,93.49,1061167
2010-08-17,94.02,95.13,93.4,95.91,1257488
2010-08-18,93.82,94.24,93.12,95.25,1008943
2010-08-19,93.62,91.71,91.07,93.74,1413743
2010-08-20,91.64,91.98,90.56,92.46,1439824
2010-08-23,92.2,91.27,91.01,93.23,655867
2010-08-24,92.13,90.73,90.33,92.16,1084364
2010-08-25,90.83,93.69,90.68,94.3,1825911
2010-08-26,93.78,91.09,90.94,93.78,1396697
2010-08-27,91.43,92.45,89.97,92.99,993086
2010-08-30,91.74,91.06,90.79,92.6,766860
2010-08-31,91.13,91.13,90.18,91.98,1186940
