date,open,close,low,high,volume
2012-06-29,191.2,198.05,183.8,199.25,1320144
2012-07-02,198.39,198.55,193.18,202.0,85191
2012-07-03,198.93,202.61,196.92,202.69,52528
2012-07-05,207.37,211.12,204.45,213.56,67250
2012-07-06,207.91,208.63,202.66,210.9,46899
2012-07-09,210.36,204.77,204.04,213.11,19822
2012-07-10,203.16,201.79,201.79,206.94,41203
2012-07-11,202.74,192.37,190.34,205.41,38079
2012-07-12,188.32,194.62,182.82,197.77,37486
2012-07-13,198.63,194.53,192.92,200.48,10740
2012-07-16,194.27,196.69,192.01,198.14,16699
2012-07-17,196.1,194.42,191.7,196.1,30700
2012-07-18,194.9,193.3,191.47,196.97,12931
2012-07-19,196.79,191.44,190.65,196.79,31059
2012-07-20,191.87,201.37,190.75,201.37,34514
2012-07-23,201.25,195.94,192.4,201.25,79394
2012-07-24,200.54,200.62,198.69,209.67,38001
2012-07-25,202.14,201.09,200.36,205.44,14303
2012-07-26,201.5,197.38,193.98,204.89,19800
2012-07-27,198.94,205.85,197.64,206.75,12892
2012-07-30,206.36,207.51,204.73,208.0,10370
2012-07-31,209.74,222.6,209.49,227.22,29629
2012-08-01,226.25,229.48,221.62,231.72,12794
2012-08-02,226.7,239.72,222.58,241.54,69586
2012-08-03,240.87,234.65,233.91,257.24,56381
2012-08-06,239.68,231.58,225.05,241.0,69175
2012-08-07,231.36,228.91,227.19,235.04,25577
2012-08-08,226.85,224.09,219.53,226.85,34555
2012-08-09,222.03,238.43,220.58,242.55,17671
2012-08-10,236.81,255.2,236.81,258.02,25803
2012-08-13,257.14,260.35,254.65,261.32,26384
2012-08-14,263.7,260.71,260.07,274.28,72655
2012-08-15,261.62,241.82,240.11,261.62,59730
2012-08-16,246.3,243.76,242.53,250.48,35470
2012-08-17,245.78,242.5,241.19,246.11,44649
2012-08-20,239.03,241.78,239.03,242.26,34062
2012-08-21,246.22,246.79,244.26,249.64,25514
2012-08-22,248.0,244.56,244.4,250.05,72918
2012-08-23,246.36,238.96,237.15,252.46,38001
2012-08-24,240.07,247.65,240.07,249.66,16324
2012-08-27,248.15,244.56,243.39,261.6,32154
2012-08-28,246.67,247.09,244.82,250.3,19702
2012-08-29,246.93,247.77,245.75,250.29,14711
2012-08-30,243.75,248.25,241.99,258.42,21260
2012-08-31,251.36,258.51,248.7,261.83,37564
2012-09-04,259.54,280.9,259.54,282.31,38953
2012-09-05,283.0,287.46,277.54,288.63,37387
2012-09-06,285.01,300.51,284.26,300.67,46627
2012-09-07,303.91,304.32,296.58,310.65,51302
2012-09-10,308.32,286.57,285.32,308.32,54896
2012-09-11,292.91,277.84,276.41,296.02,34359
2012-09-12,281.08,293.73,278.73,297.0,40607
2012-09-13,294.4,314.34,290.88,321.13,56349
2012-09-14,318.06,327.97,316.72,330.24,82829
2012-09-17,327.38,320.58,319.24,333.85,95842
2012-09-18,323.55,308.06,304.55,323.55,76554
2012-09-19,306.82,321.54,306.49,322.21,50677
2012-09-20,319.85,315.7,308.89,320.93,91094
2012-09-21,321.04,330.63,317.87,332.3,45219
2012-09-24,332.47,336.39,321.47,339.14,50546
2012-09-25,339.42,331.87,328.71,346.64,66749
2012-09-26,331.57,316.84,305.95,331.57,92570
2012-09-27,316.87,330.4,316.87,332.8,54012
2012-09-28,329.42,318.63,297.87,329.42,193161
2012-10-01,312.75,300.4,285.08,314.07,106935
2012-10-02,296.73,300.26,292.78,302.32,72110
2012-10-03,301.2,305.33,301.12,310.69,34720
2012-10-04,302.79,306.5,302.79,306.92,19459
2012-10-05,305.9,304.26,300.15,307.96,51792
2012-10-08,299.0,298.43,293.85,299.49,29020
2012-10-09,298.8,293.83,292.03,300.35,58068
2012-10-10,290.77,281.31,280.01,291.66,55206
2012-10-11,278.31,274.26,273.15,280.54,37408
2012-10-12,277.87,265.82,262.39,277.87,73322
2012-10-15,262.12,275.12,261.48,278.3,101812
2012-10-16,275.13,272.51,267.67,275.13,62672
2012-10-17,274.59,278.11,272.11,283.63,89329
2012-10-18,274.66,274.82,272.53,275.53,33210
2012-10-19,275.56,271.99,268.43,280.94,73181
2012-10-22,270.83,262.89,255.82,271.23,91973
2012-10-23,263.2,272.99,257.59,275.36,55771
2012-10-24,273.68,282.32,269.57,283.27,82799
2012-10-25,281.91,248.22,242.85,297.25,213274
2012-10-26,250.15,251.81,247.86,260.42,79102
2012-10-31,249.55,238.2,234.08,254.44,75573
2012-11-01,242.61,240.37,228.83,245.01,98580
2012-11-02,242.48,249.55,237.67,254.13,56335
2012-11-05,250.02,251.03,242.32,253.37,41572
2012-11-06,251.54,255.73,249.75,260.23,56382
2012-11-07,251.46,241.56,239.63,253.0,72029
2012-11-08,236.94,237.17,235.49,242.47,38086
2012-11-09,238.04,231.57,228.8,242.97,56485
2012-11-12,232.18,229.55,228.46,239.84,74202
2012-11-13,235.31,227.52,219.03,235.31,75699
2012-11-14,232.85,219.97,215.68,234.46,66314
2012-11-15,217.74,244.24,217.27,245.7,899307
2012-11-16,256.89,233.22,226.3,265.11,239852
2012-11-19,232.8,236.92,219.83,239.82,154565
2012-11-20,236.68,242.34,235.0,258.26,126040
2012-11-21,236.78,237.92,228.0,245.48,206573
2012-11-23,238.37,235.23,233.25,238.52,24428
2012-11-26,219.13,233.61,219.13,236.37,100828
2012-11-27,232.12,230.37,222.01,234.18,162563
2012-11-28,231.74,236.98,227.64,238.27,54207
2012-11-29,240.28,245.99,236.93,249.95,91159
2012-11-30,245.2,248.25,236.45,251.21,360984
2012-12-03,237.83,242.84,236.17,247.46,140486
2012-12-04,239.42,226.02,222.72,242.49,165590
2012-12-05,229.53,221.4,214.7,229.53,170200
2012-12-06,222.29,222.9,220.02,224.26,84597
2012-12-07,222.52,221.01,217.76,223.42,50389
2012-12-10,223.18,223.41,221.89,225.68,23056
2012-12-11,225.01,226.3,222.88,229.41,59462
2012-12-12,226.53,231.06,221.86,235.96,104868
2012-12-13,229.74,229.59,225.73,234.36,52920
2012-12-14,228.42,230.31,226.38,233.32,48831
2012-12-17,229.88,234.4,226.11,234.63,50838
2012-12-18,233.4,245.59,233.4,248.38,118211
2012-12-19,246.87,243.72,240.19,246.87,61201
2012-12-20,241.35,245.46,241.13,245.61,46006
2012-12-21,244.42,244.49,242.54,246.37,91541
2012-12-24,242.53,238.17,232.45,245.02,93774
2012-12-26,229.85,223.22,219.05,230.6,447190
2012-12-27,220.25,220.47,218.45,223.98,167288
2012-12-28,219.07,218.24,217.11,221.47,153156
2012-12-31,217.99,226.2,217.69,227.86,161374
2013-01-02,231.04,226.9,219.24,231.04,202639
2013-01-03,228.96,225.84,223.71,231.24,120678
2013-01-04,227.75,221.79,221.33,228.05,139310
2013-01-07,218.94,209.88,207.28,223.23,329368
2013-01-08,207.31,198.52,194.05,209.2,385219
2013-01-09,198.65,198.8,192.54,201.06,183800
2013-01-10,200.66,200.73,198.38,201.95,84739
2013-01-11,202.43,208.98,201.37,209.28,140634
2013-01-14,207.23,198.47,197.48,207.68,138860
2013-01-15,198.74,207.75,195.31,209.73,148168
2013-01-16,207.52,208.36,204.62,209.43,104225
2013-01-17,208.79,210.16,207.49,211.53,122116
2013-01-18,208.93,207.94,206.12,210.6,47940
2013-01-22,205.64,209.12,203.14,209.88,118257
2013-01-23,208.78,211.58,207.94,212.18,88805
2013-01-24,211.06,225.42,206.17,225.95,219348
2013-01-25,224.48,236.34,223.34,239.38,200057
2013-01-28,234.97,237.79,233.76,239.46,125402
2013-01-29,234.99,229.82,227.53,237.65,141072
2013-01-30,227.95,219.61,216.58,231.21,345924
2013-01-31,211.76,211.54,211.0,232.75,466900
2013-02-01,202.22,215.59,197.46,221.5,988082
2013-02-04,215.5,222.89,213.19,224.35,205169
2013-02-05,222.59,229.37,220.36,230.45,242631
2013-02-06,225.47,228.23,225.47,228.77,89548
2013-02-07,226.54,226.54,220.07,226.77,136875
2013-02-08,227.08,230.79,226.23,230.79,128769
2013-02-11,228.99,227.45,224.37,228.99,100729
2013-02-12,227.25,225.33,223.71,229.18,90942
2013-02-13,221.99,227.57,219.32,228.41,317334
2013-02-14,234.35,251.57,232.59,254.09,786328
2013-02-15,252.77,259.36,247.71,261.35,442558
2013-02-19,259.78,258.24,253.61,264.95,418239
2013-02-20,258.35,254.95,254.02,262.37,172128
2013-02-21,249.08,244.5,241.4,255.05,323836
2013-02-22,244.34,260.12,241.7,263.07,258943
2013-02-25,261.52,251.29,249.96,263.63,175600
2013-02-26,248.47,243.56,240.75,250.26,262368
2013-02-27,247.88,252.66,245.29,263.88,237135
2013-02-28,252.06,254.65,249.24,255.27,119389
2013-03-01,250.09,255.78,247.2,257.5,190159
2013-03-04,253.34,262.62,253.27,263.4,164680
2013-03-05,260.83,283.46,258.35,285.4,483746
2013-03-06,282.68,286.88,277.33,290.91,321310
2013-03-07,287.84,287.45,284.95,289.25,79267
2013-03-08,290.11,287.83,285.24,290.11,75839
2013-03-11,290.18,290.89,280.83,291.99,151364
2013-03-12,289.28,295.77,289.28,298.82,242050
2013-03-13,293.25,291.16,286.52,295.57,119457
2013-03-14,293.63,290.68,283.85,293.94,161855
2013-03-15,293.61,289.86,289.78,294.94,189363
2013-03-18,287.66,279.73,277.93,287.66,211186
2013-03-19,281.4,271.09,270.54,283.45,142032
2013-03-20,275.63,270.95,268.46,276.25,123272
2013-03-21,268.14,278.99,266.9,280.31,186580
2013-03-22,280.51,280.2,276.8,281.9,94335
2013-03-25,283.82,281.25,278.83,284.84,55628
2013-03-26,282.16,280.53,276.95,282.39,76008
2013-03-27,282.74,283.44,281.25,287.2,78568
2013-03-28,286.3,282.09,279.91,290.2,91887
2013-04-01,282.84,275.26,271.74,285.1,180294
2013-04-02,283.21,280.62,277.56,283.37,107179
2013-04-03,278.44,269.77,265.23,279.77,146472
2013-04-04,270.11,274.82,267.76,275.52,98231
2013-04-05,268.58,275.55,268.58,275.79,67108
2013-04-08,278.87,281.32,277.52,281.64,84562
2013-04-09,281.01,282.99,279.27,285.92,76919
2013-04-10,281.38,282.64,277.91,283.58,95183
2013-04-11,283.05,277.65,276.62,284.08,104946
2013-04-12,277.38,278.49,275.08,281.5,141641
2013-04-15,276.82,276.5,274.13,281.25,98312
2013-04-16,280.82,291.31,280.1,296.04,185549
2013-04-17,286.33,284.73,279.53,288.4,86630
2013-04-18,285.77,287.84,282.98,291.36,163797
2013-04-19,290.97,290.81,289.37,303.31,206729
2013-04-22,289.01,292.19,286.77,293.79,114708
2013-04-23,294.32,296.95,293.13,305.3,240913
2013-04-24,300.21,301.09,299.49,305.82,142487
2013-04-25,323.93,347.39,318.33,352.2,710047
2013-04-26,345.48,340.75,335.46,347.08,371173
2013-04-29,342.0,339.5,339.34,346.92,118623
2013-04-30,337.69,329.64,324.09,337.77,228665
2013-05-01,325.82,310.23,309.03,325.98,359208
2013-05-02,315.96,311.43,307.93,319.62,171517
2013-05-03,314.46,324.12,306.23,324.51,192321
2013-05-06,322.98,318.25,314.7,322.98,86637
2013-05-07,320.1,311.74,307.71,320.1,219868
2013-05-08,311.01,310.7,308.42,315.96,185539
2013-05-09,308.17,304.95,302.36,310.84,246176
2013-05-10,303.71,307.26,301.9,316.95,329420
2013-05-13,307.94,309.9,306.61,315.16,207974
2013-05-14,310.42,316.64,310.27,317.43,305993
2013-05-15,316.53,320.09,316.14,323.64,252670
2013-05-16,320.64,315.11,313.14,324.43,234529
2013-05-17,312.67,317.71,310.23,318.41,176109
2013-05-20,318.17,316.83,314.08,322.26,236590
2013-05-21,313.0,312.3,306.22,315.03,159840
2013-05-22,314.82,301.93,299.42,322.05,167497
2013-05-23,296.85,296.3,287.25,300.95,147131
2013-05-24,296.32,297.5,291.52,297.89,90193
2013-05-28,303.21,293.31,292.83,305.65,72686
2013-05-29,286.37,285.83,274.07,288.55,290575
2013-05-30,285.85,285.31,284.06,292.29,180966
2013-05-31,281.08,283.86,279.15,287.03,142902
2013-06-03,281.15,282.76,276.3,282.92,225477
2013-06-04,285.24,279.06,277.51,288.49,122440
2013-06-05,279.61,278.99,276.74,280.55,100457
2013-06-06,278.44,285.84,276.81,285.91,82656
2013-06-07,288.98,305.85,285.93,306.39,196260
2013-06-10,307.37,309.79,304.32,310.65,188173
2013-06-11,309.31,313.31,305.07,315.58,346818
2013-06-12,319.8,304.18,303.07,320.99,362980
2013-06-13,301.75,298.6,282.62,301.75,253875
2013-06-14,301.45,296.13,296.05,304.47,82834
2013-06-17,300.75,302.98,298.36,304.09,106587
2013-06-18,308.82,303.19,299.65,309.39,169993
2013-06-19,303.52,310.83,303.52,318.23,188578
2013-06-20,306.97,307.13,302.73,308.66,137645
2013-06-21,313.14,316.2,303.07,316.52,195104
2013-06-24,315.82,319.95,309.32,324.74,223194
2013-06-25,325.95,324.72,320.13,328.09,111883
2013-06-26,327.51,334.79,326.03,335.7,200361
2013-06-27,337.17,336.6,330.51,340.46,250161
2013-06-28,337.57,333.68,332.2,341.62,595692
2013-07-01,334.2,339.02,331.04,344.09,177807
2013-07-02,339.55,343.05,337.39,343.71,130114
2013-07-03,339.31,346.03,339.31,346.69,114116
2013-07-05,347.54,360.36,346.8,360.61,162646
2013-07-08,357.52,355.29,354.62,364.65,188655
2013-07-09,356.75,358.74,349.54,360.07,127313
2013-07-10,356.9,360.97,356.16,365.37,110800
2013-07-11,364.47,367.87,363.48,371.02,229175
2013-07-12,371.84,376.98,371.68,385.94,403534
2013-07-15,377.11,375.7,373.21,381.18,119763
2013-07-16,375.83,364.88,364.22,376.41,239188
2013-07-17,365.78,360.58,360.33,367.92,138963
2013-07-18,357.44,366.51,355.8,368.39,155735
2013-07-19,366.2,360.77,360.36,366.2,91877
2013-07-22,361.79,360.39,358.66,361.87,94209
