date,open,close,low,high,volume
2010-01-04,55.08,55.23,54.51,55.47,5625653
2010-01-05,55.05,55.05,54.43,55.59,7896818
2010-01-06,55.36,55.7,55.27,55.95,6391598
2010-01-07,55.54,56.51,55.34,56.86,6180721
2010-01-08,56.37,56.63,55.89,57.35,6004017
2010-01-11,56.26,55.9,55.6,56.56,5948717
2010-01-12,55.58,56.59,55.55,57.04,10116646
2010-01-13,56.5,56.9,56.12,57.02,7886912
2010-01-14,56.69,57.55,56.66,57.63,6683495
2010-01-15,57.44,57.27,56.77,57.88,10102865
2010-01-19,57.17,58.15,57.0,58.27,6728958
2010-01-20,57.76,57.83,56.86,58.19,8014380
2010-01-21,57.91,56.79,55.94,58.06,11885151
2010-01-22,55.74,52.01,51.47,55.92,18998607
2010-01-25,52.83,51.06,50.66,53.08,14287036
2010-01-26,50.55,51.3,50.52,52.83,11348372
2010-01-27,51.03,51.99,50.86,52.22,9291052
2010-01-28,51.92,50.25,49.45,51.92,10127436
2010-01-29,50.36,50.44,50.04,51.93,11328400
2010-02-01,50.6,51.1,50.57,51.23,6810393
2010-02-02,51.95,52.4,51.64,52.61,7681347
2010-02-03,52.35,51.57,51.38,52.35,7359371
2010-02-04,51.05,50.38,50.3,51.79,9660256
2010-02-05,50.49,50.74,49.07,50.9,9813372
2010-02-08,50.79,49.48,49.47,50.93,6690265
2010-02-09,49.92,50.28,49.58,50.68,7830476
2010-02-10,50.58,50.81,49.8,51.2,6881296
2010-02-11,50.87,51.52,50.43,51.77,7692581
2010-02-12,50.81,51.66,50.38,51.82,8968690
2010-02-16,52.28,53.37,52.06,53.38,7801498
2010-02-17,53.23,52.58,52.28,53.3,8309989
2010-02-18,52.71,52.82,52.27,52.98,5173207
2010-02-19,52.67,52.91,52.27,53.07,6817161
2010-02-22,52.95,52.72,52.51,53.14,4845788
2010-02-23,52.69,51.58,51.43,52.69,7330802
2010-02-24,51.76,52.18,51.65,52.58,4876724
2010-02-25,51.06,51.56,50.22,51.69,5662515
2010-02-26,51.87,51.92,51.34,52.1,5118375
2010-03-01,51.95,51.86,51.49,52.06,6762081
2010-03-02,51.9,52.27,51.87,53.02,7761217
2010-03-03,52.29,52.04,51.9,52.95,6205355
2010-03-04,52.04,52.87,51.94,53.02,7047801
2010-03-05,53.15,54.65,53.15,54.72,7236171
2010-03-08,54.49,53.8,53.66,54.64,5499951
2010-03-09,53.48,53.7,53.22,54.02,5207316
2010-03-10,54.24,53.94,53.4,54.24,6136886
2010-03-11,53.63,54.36,53.44,54.42,5921859
2010-03-12,54.96,55.34,54.9,55.67,7163723
2010-03-15,55.27,55.37,54.52,55.74,5151380
2010-03-16,55.59,55.66,55.02,55.81,3881320
2010-03-17,55.59,55.36,54.95,55.77,6643441
2010-03-18,55.14,55.27,54.57,55.35,4107941
2010-03-19,55.41,54.2,54.13,55.48,8297443
2010-03-22,53.37,54.94,53.28,55.16,6785981
2010-03-23,54.91,55.1,54.53,55.27,6530361
2010-03-24,55.11,55.07,54.85,55.67,5554685
2010-03-25,55.47,55.54,55.24,56.69,6494238
2010-03-26,55.89,55.29,55.01,56.16,5425790
2010-03-29,55.42,55.7,55.06,55.97,4482944
2010-03-30,55.58,55.55,55.25,55.83,4498092
2010-03-31,55.23,55.57,54.99,56.02,4832199
2010-04-01,56.24,56.27,55.81,56.54,4711436
2010-04-05,56.52,57.65,56.4,57.67,5570065
2010-04-06,57.1,58.08,56.98,58.11,5792039
2010-04-07,57.9,57.21,56.75,58.56,7187514
2010-04-08,56.98,58.96,56.76,59.16,7558824
2010-04-09,59.01,59.27,58.81,59.55,4817882
2010-04-12,59.24,59.96,59.15,60.01,5447961
2010-04-13,59.6,60.41,59.52,60.5,8008749
2010-04-14,61.04,62.38,60.72,62.61,10176013
2010-04-15,62.1,62.7,61.83,62.72,7338726
2010-04-16,62.41,60.55,59.31,62.58,12987052
