date,open,close,low,high,volume
2010-12-09,45.79,46.92,45.35,47.24,6278155
2010-12-10,46.15,46.17,45.58,46.69,710623
2010-12-13,46.34,46.17,45.5,46.71,294623
2010-12-14,46.52,45.87,45.38,46.98,202528
2010-12-15,45.91,46.33,45.89,46.75,156783
2010-12-16,46.77,46.85,46.1,46.85,160529
2010-12-17,46.79,47.66,46.71,47.66,39351
2010-12-20,47.55,47.61,47.11,48.09,39837
2010-12-21,47.39,48.64,47.12,48.85,120393
2010-12-22,48.79,49.55,48.73,51.35,58654
2010-12-23,49.93,48.96,48.61,49.93,37425
2010-12-27,49.3,49.01,48.83,49.66,16467
2010-12-28,49.17,49.28,48.87,49.4,55646
2010-12-29,49.48,49.19,48.78,49.48,52841
2010-12-30,49.37,48.92,48.33,50.59,81168
2010-12-31,48.99,49.19,48.7,49.19,40795
2011-01-03,49.8,48.92,48.5,49.81,132085
2011-01-04,49.35,48.17,48.12,49.35,31164
2011-01-05,48.25,47.8,47.62,48.63,102924
2011-01-06,48.41,49.07,48.27,49.42,119268
2011-01-07,52.59,51.74,51.08,52.86,1310888
2011-01-10,52.23,52.3,52.11,52.98,379540
2011-01-11,52.49,51.45,51.16,52.56,195093
2011-01-12,51.9,51.1,50.94,52.11,130571
2011-01-13,51.28,51.5,51.15,51.92,75450
2011-01-14,51.94,53.09,51.8,53.09,157912
2011-01-18,52.86,52.42,51.42,53.41,28645
2011-01-19,52.12,51.86,51.68,52.39,178901
2011-01-20,51.45,51.96,50.91,52.8,100104
2011-01-21,52.09,51.26,50.87,52.09,90122
2011-01-24,51.17,51.37,50.53,51.61,49874
2011-01-25,51.05,51.23,50.69,51.23,34148
2011-01-26,51.03,51.16,50.69,51.32,36138
2011-01-27,51.98,51.31,51.27,52.47,103528
2011-01-28,51.09,50.29,49.58,51.11,174532
2011-01-31,50.28,50.2,49.91,50.28,31899
2011-02-01,50.12,49.33,49.23,50.3,114380
2011-02-02,49.26,49.25,49.13,49.87,61448
2011-02-03,49.07,48.75,48.71,49.42,86436
2011-02-04,48.48,49.0,47.99,49.03,82263
2011-02-07,49.95,49.54,49.46,49.95,86907
2011-02-08,49.82,50.1,49.03,50.19,64962
2011-02-09,49.92,49.65,49.55,50.14,20119
2011-02-10,49.41,49.4,48.27,49.68,119441
2011-02-11,49.35,49.23,48.74,49.64,53289
2011-02-14,49.18,48.89,48.61,49.35,43645
2011-02-15,48.97,49.38,48.97,49.57,35195
2011-02-16,49.37,49.55,48.97,49.55,43714
2011-02-17,49.56,49.34,49.27,49.87,29746
2011-02-18,49.6,50.87,49.57,50.87,33176
2011-02-22,50.59,50.09,49.73,50.95,91513
2011-02-23,49.72,49.82,49.72,50.75,97065
2011-02-24,49.79,49.83,49.69,50.37,68958
2011-02-25,49.73,50.04,49.73,51.03,62554
2011-02-28,49.89,49.73,49.65,50.8,108593
2011-03-01,49.93,49.35,49.17,50.03,80551
2011-03-02,49.32,48.88,48.47,49.46,108389
2011-03-03,48.67,49.52,48.67,49.55,58725
2011-03-04,49.47,48.96,48.79,49.67,68472
2011-03-07,49.01,47.46,47.39,49.01,109440
2011-03-08,47.45,48.71,47.33,48.93,156381
2011-03-09,48.39,48.84,47.73,49.06,92808
2011-03-10,48.29,48.02,47.44,48.44,74858
2011-03-11,47.11,47.55,46.67,47.8,83102
2011-03-14,47.04,47.37,46.9,47.56,74219
2011-03-15,46.57,48.86,46.38,49.16,165241
2011-03-16,48.8,49.39,47.67,49.52,261797
2011-03-17,49.63,50.48,49.52,50.53,86402
2011-03-18,50.49,51.07,50.33,51.07,122356
2011-03-21,51.07,51.38,50.23,51.54,48873
2011-03-22,50.89,49.67,49.4,50.89,68015
2011-03-23,49.61,50.09,49.61,50.28,15405
2011-03-24,50.38,49.91,49.65,50.65,66376
2011-03-25,50.01,50.45,49.85,51.86,127705
2011-03-28,50.56,51.08,50.28,51.28,102741
2011-03-29,50.89,50.6,50.37,51.06,42030
2011-03-30,50.59,51.33,50.2,51.65,92975
2011-03-31,51.19,52.02,51.19,52.17,60993
2011-04-01,51.86,51.54,50.92,51.89,80249
2011-04-04,51.87,50.65,49.84,51.94,165598
2011-04-05,50.8,50.39,49.87,51.08,117921
2011-04-06,50.35,50.42,50.01,50.91,50486
2011-04-07,50.49,50.43,50.11,50.58,30507
2011-04-08,50.82,49.38,49.19,51.15,70504
2011-04-11,52.08,50.74,49.92,52.08,125821
2011-04-12,50.41,50.5,49.8,50.77,36477
2011-04-13,50.4,50.18,50.03,50.72,35484
2011-04-14,50.34,50.85,50.05,50.9,82463
2011-04-15,51.02,50.95,50.49,51.03,87857
2011-04-18,50.81,50.83,50.03,51.24,27198
2011-04-19,51.06,51.28,51.04,51.47,54466
2011-04-20,51.51,51.97,50.96,52.09,181012
2011-04-21,52.06,52.95,51.96,52.95,255308
2011-04-25,53.4,53.47,53.02,53.59,82280
2011-04-26,53.42,54.83,53.18,55.78,149195
2011-04-27,55.15,54.74,53.32,55.31,91463
2011-04-28,54.95,55.04,54.6,55.04,37612
2011-04-29,55.14,54.58,53.73,55.15,90210
2011-05-02,54.14,54.56,53.42,55.04,151094
2011-05-03,54.83,54.29,53.76,55.06,34177
2011-05-04,54.49,54.35,53.69,54.61,67536
2011-05-05,54.66,54.55,54.11,55.3,67698
2011-05-06,55.22,54.78,54.46,55.22,52472
2011-05-09,54.79,55.21,54.48,55.67,70774
2011-05-10,55.42,56.57,55.06,56.69,123814
2011-05-11,56.27,54.6,54.58,56.27,130032
2011-05-12,54.6,55.73,54.42,56.28,78669
2011-05-13,55.65,55.59,54.71,57.28,166209
2011-05-16,55.36,56.52,54.75,56.59,101999
2011-05-17,56.31,56.02,54.87,56.45,82677
2011-05-18,55.55,55.85,54.62,56.59,136695
2011-05-19,55.97,55.44,54.86,55.97,48757
2011-05-20,55.62,55.45,54.35,55.8,64474
2011-05-23,54.41,53.97,53.05,54.55,116369
2011-05-24,54.06,55.96,52.91,55.96,101822
2011-05-25,55.93,55.22,54.69,56.36,104247
2011-05-26,55.33,56.58,54.37,56.63,98345
2011-05-27,56.47,61.4,56.47,61.47,1207243
2011-05-31,61.11,57.22,57.08,61.11,728995
2011-06-01,57.07,56.41,56.29,57.37,186543
