date,open,close,low,high,volume
2010-01-04,120.78,122.67,120.22,122.9,5425341
2010-01-05,121.98,121.93,120.96,122.26,4305296
2010-01-06,121.38,122.16,120.59,122.3,5225778
2010-01-07,121.41,121.62,120.93,122.29,3200473
2010-01-08,121.23,122.73,120.81,122.77,2999240
2010-01-11,123.36,123.43,122.25,123.82,4192538
2010-01-12,121.79,120.48,120.13,121.81,5044252
2010-01-13,119.63,120.89,119.1,121.34,4043774
2010-01-14,120.07,120.8,119.7,121.18,3805983
2010-01-15,120.8,121.24,119.96,121.33,4881688
2010-01-19,120.02,122.91,120.02,123.11,4845588
2010-01-20,122.05,122.62,121.35,122.85,5446944
2010-01-21,123.08,121.25,120.83,123.65,9018271
2010-01-22,120.64,117.39,117.18,121.08,8760775
2010-01-25,118.17,117.69,117.47,119.61,5004435
2010-01-26,117.09,117.32,116.23,118.7,6142525
2010-01-27,116.94,115.5,113.6,118.35,6231609
2010-01-28,116.12,112.2,110.85,116.58,7386918
2010-01-29,113.03,111.52,111.01,113.54,10085415
2010-02-01,112.4,113.84,111.96,114.42,6464098
2010-02-02,114.04,115.87,113.21,116.09,6309088
2010-02-03,114.44,114.81,114.19,116.0,5904209
2010-02-04,113.64,110.36,109.79,113.66,7304596
2010-02-05,109.4,109.61,106.52,109.88,8684132
2010-02-08,109.53,108.29,108.13,110.3,4711530
2010-02-09,109.55,110.79,108.3,114.97,8000635
2010-02-10,111.61,111.04,109.98,111.93,5612244
2010-02-11,111.04,112.46,110.3,112.94,4298288
2010-02-12,110.71,111.42,109.75,111.79,6967864
2010-02-16,112.7,114.63,112.7,115.11,6682290
2010-02-17,114.87,113.46,112.75,115.65,7136721
2010-02-18,112.38,112.96,112.18,113.63,5608889
2010-02-19,112.43,112.89,111.87,113.62,5286730
2010-02-22,114.07,112.7,112.31,114.07,4622833
2010-02-23,112.63,111.29,110.61,113.16,5920418
2010-02-24,110.95,112.09,110.42,112.48,4512492
2010-02-25,110.23,111.85,109.19,111.99,5412810
2010-02-26,112.0,111.12,111.0,112.35,4752836
2010-03-01,112.24,113.49,112.01,113.68,5223062
2010-03-02,114.41,115.29,114.11,115.78,5550446
2010-03-03,115.97,114.81,114.71,116.2,7668032
2010-03-04,114.53,114.43,113.85,114.9,6035387
2010-03-05,115.34,116.64,115.06,116.87,6521635
2010-03-08,117.06,117.46,116.71,117.78,3678308
2010-03-09,116.96,117.86,116.73,118.42,5709137
2010-03-10,117.78,119.17,117.73,119.51,7509740
2010-03-11,119.37,118.98,118.17,119.47,4433106
2010-03-12,118.59,118.91,117.74,119.12,4345798
2010-03-15,118.95,119.45,118.32,120.45,5609332
2010-03-16,118.91,119.46,118.52,119.76,6882721
2010-03-17,119.97,121.34,119.81,121.8,7059680
2010-03-18,120.93,120.49,119.26,120.95,4976981
2010-03-19,121.14,119.83,118.3,121.23,6660843
2010-03-22,117.19,118.69,116.96,119.05,4316127
2010-03-23,119.21,120.22,118.41,120.43,4869540
2010-03-24,122.11,121.23,120.49,122.17,8477237
2010-03-25,121.74,118.81,118.72,121.83,5875665
2010-03-26,119.61,117.83,117.0,119.66,9194298
2010-03-29,118.61,118.01,117.34,118.91,7256131
2010-03-30,117.78,118.17,117.38,118.47,5282619
2010-03-31,117.7,117.61,117.15,118.21,7516325
2010-04-01,118.72,119.69,118.49,119.85,5064164
2010-04-05,120.74,122.86,119.96,122.93,5168004
2010-04-06,122.41,122.71,121.79,123.01,4559681
2010-04-07,122.29,121.67,120.54,122.29,5942197
2010-04-08,120.87,123.83,120.57,124.33,8999511
