date,open,close,low,high,volume
2010-01-04,156.06,155.35,153.12,158.01,444225
2010-01-05,155.25,156.64,153.66,156.86,267582
2010-01-06,157.95,155.27,154.49,158.26,319353
2010-01-07,156.29,158.05,155.79,158.81,293007
2010-01-08,157.05,159.18,156.39,159.62,296214
2010-01-11,161.13,159.11,158.51,161.76,184316
2010-01-12,157.81,157.25,155.55,158.95,267779
2010-01-13,157.37,158.0,156.59,158.85,248147
2010-01-14,158.25,159.87,157.43,160.95,276742
2010-01-15,159.18,157.82,156.65,159.9,429646
2010-01-19,158.18,161.21,158.18,162.32,410702
2010-01-20,161.15,160.14,157.95,161.15,247609
2010-01-21,160.69,159.78,159.27,162.56,642549
2010-01-22,160.36,156.23,155.94,162.11,449347
2010-01-25,158.09,155.16,153.48,158.28,220943
2010-01-26,154.79,154.28,153.61,156.73,224177
2010-01-27,153.28,154.17,151.51,154.77,278930
2010-01-28,154.68,152.39,151.5,155.28,206261
2010-01-29,152.46,152.01,150.27,153.38,395095
2010-02-01,153.23,153.61,150.27,154.37,426550
2010-02-02,153.73,156.93,152.97,157.5,488589
2010-02-03,156.63,156.31,154.25,156.75,314289
2010-02-04,155.36,151.71,151.27,155.36,376455
2010-02-05,151.99,155.07,151.38,155.19,443078
2010-02-08,155.35,149.74,149.52,156.18,251523
2010-02-09,152.01,148.92,148.12,152.01,202479
2010-02-10,149.18,148.76,147.23,150.33,240528
2010-02-11,149.26,150.93,148.69,151.02,283381
2010-02-12,148.53,151.94,148.25,151.98,177994
2010-02-16,152.97,154.41,152.3,154.76,234553
2010-02-17,155.48,156.16,154.81,156.99,200904
2010-02-18,155.26,159.25,155.26,159.73,177064
2010-02-19,158.44,160.37,158.19,161.23,225041
2010-02-22,161.57,162.85,159.77,163.65,191997
2010-02-23,162.54,162.15,161.8,163.79,249815
2010-02-24,162.53,163.97,161.79,164.03,280538
2010-02-25,160.53,163.99,160.02,164.63,293545
2010-02-26,164.61,165.61,164.61,167.41,302002
2010-03-01,165.27,167.74,164.6,167.96,347149
2010-03-02,168.34,169.63,167.22,169.69,334355
2010-03-03,169.6,169.41,168.32,170.25,215792
2010-03-04,170.05,170.21,168.77,170.47,326671
2010-03-05,170.92,174.29,170.31,174.68,356643
2010-03-08,172.91,175.92,172.91,176.3,251966
2010-03-09,174.19,175.63,174.19,178.18,157226
2010-03-10,175.74,173.98,172.93,176.16,272828
2010-03-11,172.42,177.03,171.68,177.51,842207
2010-03-12,179.12,177.71,176.5,179.51,378407
2010-03-15,178.25,178.06,175.88,179.28,180731
2010-03-16,178.09,179.31,176.74,179.53,433995
2010-03-17,180.32,179.71,178.49,180.58,220993
2010-03-18,179.74,179.65,179.07,180.61,187628
2010-03-19,179.99,179.99,177.32,180.5,426149
2010-03-22,178.7,181.59,178.02,182.04,294768
2010-03-23,180.95,178.06,176.71,180.95,314779
2010-03-24,177.34,178.01,176.83,180.87,315436
2010-03-25,178.8,177.74,177.64,179.98,319152
2010-03-26,178.21,175.18,174.41,178.75,370369
2010-03-29,176.84,177.42,176.19,178.19,197928
2010-03-30,177.85,175.62,174.75,177.85,230336
2010-03-31,175.04,174.72,173.52,175.88,229004
2010-04-01,175.24,175.15,173.47,176.3,196415
2010-04-05,175.66,178.64,174.57,179.92,237144
