date,open,close,low,high,volume
2010-01-04,49.83,50.33,49.8,50.7,410042
2010-01-05,50.4,52.8,50.33,53.03,945494
2010-01-06,52.72,54.66,52.59,54.78,1452395
2010-01-07,54.04,55.06,53.39,55.18,828001
2010-01-08,54.46,53.77,53.61,54.77,863109
2010-01-11,54.48,53.94,53.62,54.82,1001980
2010-01-12,53.57,52.49,52.34,54.09,1347054
2010-01-13,52.82,53.03,52.49,53.38,1411877
2010-01-14,52.72,55.85,52.63,56.14,1498396
2010-01-15,56.32,55.38,54.7,56.88,1190167
2010-01-19,55.49,55.93,55.01,56.29,928678
2010-01-20,54.91,54.96,54.42,55.15,745110
2010-01-21,55.03,54.34,53.92,55.8,1256763
2010-01-22,54.28,53.6,53.39,55.07,739421
2010-01-25,54.24,54.65,53.62,55.94,736311
2010-01-26,54.38,53.35,53.27,55.01,639134
2010-01-27,52.71,51.68,50.38,53.1,1284792
2010-01-28,51.99,50.59,49.99,52.24,1108409
2010-01-29,50.35,51.29,50.35,52.61,1434419
2010-02-01,51.53,52.42,51.36,52.51,683065
2010-02-02,52.52,53.06,51.79,53.41,689709
2010-02-03,52.99,54.53,52.99,55.09,995605
2010-02-04,54.21,52.3,52.29,54.21,609371
2010-02-05,52.46,51.69,50.44,52.6,1375280
2010-02-08,51.85,52.54,51.38,53.33,964729
2010-02-09,52.97,53.16,52.47,54.23,1933973
2010-02-10,52.81,53.52,52.25,54.06,994409
2010-02-11,54.36,52.61,52.3,54.56,1717026
2010-02-12,51.83,53.87,51.83,53.89,1260714
2010-02-16,54.77,54.62,54.02,54.93,776524
2010-02-17,55.26,55.19,54.97,55.94,820029
2010-02-18,55.36,55.39,55.13,55.84,1002480
2010-02-19,55.47,55.8,55.21,56.1,784013
2010-02-22,55.67,56.68,55.51,57.04,974386
2010-02-23,56.79,55.66,55.32,57.79,1301250
2010-02-24,55.97,56.97,55.97,57.51,817866
2010-02-25,56.03,56.87,55.34,57.03,830739
2010-02-26,56.73,55.71,55.57,56.9,765928
2010-03-01,55.86,56.28,55.52,56.32,805454
2010-03-02,56.26,56.73,56.08,57.53,1747551
2010-03-03,57.12,56.71,56.58,57.24,1480254
2010-03-04,55.7,55.9,55.61,56.5,942732
2010-03-05,56.18,54.92,54.84,56.22,1702241
2010-03-08,54.61,54.97,54.61,55.1,1828974
2010-03-09,54.5,53.9,53.51,54.63,1098362
2010-03-10,53.3,52.75,52.55,53.89,885821
2010-03-11,52.57,53.09,51.35,53.15,1753530
2010-03-12,52.99,52.91,52.74,53.57,501222
2010-03-15,52.8,52.6,52.01,53.23,545188
2010-03-16,52.45,52.87,52.29,53.02,755803
2010-03-17,53.46,52.94,52.84,53.72,802930
