date,open,close,low,high,volume
2010-01-04,162.66,163.61,161.53,163.79,246162
2010-01-05,163.69,167.89,162.6,171.23,817718
2010-01-06,169.1,166.97,166.52,170.05,298037
2010-01-07,167.62,165.22,164.63,167.62,255856
2010-01-08,165.14,164.38,163.56,165.51,186613
2010-01-11,165.0,163.92,162.33,165.0,293615
2010-01-12,164.25,171.28,164.02,171.51,516971
2010-01-13,170.31,166.85,166.16,173.41,1124439
2010-01-14,167.36,168.41,166.36,168.95,401007
2010-01-15,166.98,165.2,163.92,167.98,460200
2010-01-19,169.53,169.94,169.53,172.95,739541
2010-01-20,169.76,168.67,167.03,169.76,435973
2010-01-21,169.84,164.61,164.56,169.84,602340
2010-01-22,166.14,165.0,164.18,167.77,378907
2010-01-25,165.8,166.02,164.66,167.71,467530
2010-01-26,163.71,166.22,163.71,166.45,614516
2010-01-27,165.93,169.85,165.79,170.12,683677
2010-01-28,170.46,169.73,168.36,170.87,456312
2010-01-29,170.27,166.75,166.75,170.41,507790
2010-02-01,167.46,168.47,165.03,168.47,427962
2010-02-02,173.75,170.76,169.62,174.25,578036
2010-02-03,171.11,170.74,169.82,172.67,308220
2010-02-04,170.34,169.83,169.14,171.03,599583
2010-02-05,168.99,171.37,168.71,172.06,499730
2010-02-08,171.91,169.57,169.34,171.91,309539
2010-02-09,170.92,170.74,170.05,171.52,368298
2010-02-10,170.27,170.96,168.8,171.24,277602
2010-02-11,171.19,171.97,169.4,172.2,289595
2010-02-12,171.95,173.57,170.94,174.17,398041
2010-02-16,174.01,177.57,173.64,177.57,368358
2010-02-17,177.5,177.87,177.08,178.28,293610
2010-02-18,175.56,179.77,175.05,179.81,322807
2010-02-19,180.75,185.72,178.89,185.91,705429
2010-02-22,185.04,183.93,183.05,185.6,1009749
2010-02-23,181.78,181.18,180.39,183.07,258834
2010-02-24,182.19,183.58,181.78,183.82,358368
2010-02-25,182.52,184.0,181.77,184.09,494346
2010-02-26,184.05,184.29,183.82,185.35,307813
2010-03-01,184.63,184.63,184.07,186.02,330034
2010-03-02,184.43,185.17,183.97,185.91,251246
2010-03-03,185.72,187.98,184.7,188.21,530829
2010-03-04,188.55,190.12,188.55,190.72,416950
2010-03-05,191.49,192.23,190.0,192.27,344556
2010-03-08,191.5,191.04,189.41,192.43,381661
2010-03-09,190.17,192.76,189.89,193.46,346124
2010-03-10,192.75,192.24,191.13,192.93,304608
2010-03-11,191.68,193.21,191.31,193.21,329228
2010-03-12,193.42,197.59,192.96,197.63,698696
2010-03-15,197.22,199.22,196.44,199.22,543522
2010-03-16,198.96,201.69,197.8,201.88,531757
2010-03-17,203.0,201.0,200.48,203.0,402375
2010-03-18,201.48,200.27,199.34,201.76,388263
2010-03-19,200.98,198.14,197.72,201.4,460849
2010-03-22,197.18,200.26,196.95,200.45,302221
2010-03-23,201.03,201.83,199.63,202.01,284017
2010-03-24,201.82,200.23,199.48,201.82,273678
2010-03-25,201.87,200.65,199.85,201.87,332829
2010-03-26,201.33,200.43,199.82,202.46,215611
2010-03-29,201.18,202.41,200.05,202.83,230412
2010-03-30,202.09,203.09,201.86,203.65,161550
2010-03-31,203.0,202.44,202.34,203.67,200397
2010-04-01,202.87,203.15,201.88,204.24,175162
2010-04-05,203.73,204.06,203.11,204.95,176016
2010-04-06,203.49,204.82,202.88,204.82,173071
2010-04-07,204.84,204.79,203.28,205.12,229993
2010-04-08,205.18,206.13,204.14,206.6,215008
2010-04-09,205.75,209.06,205.04,209.06,269538
2010-04-12,208.77,209.86,208.77,210.81,288204
