date,open,close,low,high,volume
2010-01-04,133.56,131.54,130.44,134.13,358686
2010-01-05,130.38,131.12,128.24,131.28,384993
2010-01-06,130.94,130.49,129.22,132.03,308656
2010-01-07,130.25,130.64,128.94,132.09,388469
2010-01-08,130.27,129.76,128.12,130.58,411277
2010-01-11,130.9,131.41,130.41,131.52,194243
2010-01-12,131.36,130.04,128.66,131.99,361473
2010-01-13,130.71,132.7,130.38,133.11,412108
2010-01-14,132.72,132.24,131.33,133.07,256617
2010-01-15,131.94,133.22,130.83,133.43,490547
2010-01-19,133.09,136.46,132.54,137.13,472406
2010-01-20,134.72,134.33,133.8,135.21,341218
2010-01-21,134.34,131.45,131.16,135.26,399959
2010-01-22,131.31,128.64,128.3,133.16,364769
2010-01-25,129.79,128.88,126.61,130.04,303627
2010-01-26,128.72,128.74,128.13,130.95,221368
2010-01-27,128.36,128.36,126.64,129.45,364002
2010-01-28,128.29,126.97,125.28,128.39,278499
2010-01-29,127.85,126.79,126.51,128.8,312531
2010-02-01,128.23,130.31,127.84,130.47,348962
2010-02-02,130.56,133.71,129.33,133.97,503417
2010-02-03,133.06,131.6,130.7,133.69,222369
2010-02-04,130.47,125.63,125.41,130.93,600940
2010-02-05,125.65,127.89,124.62,128.26,310083
2010-02-08,127.77,124.88,124.57,128.53,353679
2010-02-09,126.81,124.07,122.76,126.81,658558
2010-02-10,123.83,123.97,121.73,125.87,306212
2010-02-11,123.24,125.1,122.53,125.63,373877
2010-02-12,123.13,126.2,122.72,126.44,322578
2010-02-16,127.05,129.37,126.87,129.73,282963
2010-02-17,129.41,130.77,128.98,130.79,300115
2010-02-18,131.31,132.91,130.14,132.97,342758
2010-02-19,132.35,133.38,131.59,134.3,281408
2010-02-22,134.11,133.81,133.11,134.59,247867
2010-02-23,133.52,133.25,132.86,134.14,561826
2010-02-24,133.58,134.27,133.43,134.58,288754
2010-02-25,132.07,134.95,131.6,135.14,206060
2010-02-26,134.89,134.64,133.78,135.94,310463
2010-03-01,135.03,135.85,134.06,135.87,201887
2010-03-02,135.91,136.53,135.42,136.67,203966
2010-03-03,137.14,136.55,135.97,137.14,296826
2010-03-04,136.71,136.85,136.18,137.12,148603
2010-03-05,137.27,139.55,136.04,139.79,527168
2010-03-08,138.61,140.24,137.99,140.55,221415
2010-03-09,139.76,139.47,139.04,140.89,604474
2010-03-10,139.77,140.16,139.24,140.84,254462
2010-03-11,139.5,140.11,138.99,140.32,287030
2010-03-12,140.46,141.24,140.05,141.26,217086
2010-03-15,139.67,139.38,138.78,140.43,317315
2010-03-16,140.13,142.54,139.56,142.76,335004
2010-03-17,143.44,143.91,142.68,144.55,372348
2010-03-18,144.42,144.1,143.58,144.63,347823
2010-03-19,144.34,142.84,142.55,144.4,331698
2010-03-22,141.7,144.14,141.4,144.79,215308
2010-03-23,144.37,144.13,142.74,144.47,213239
2010-03-24,143.69,145.01,143.69,145.97,224086
2010-03-25,146.02,145.71,145.53,148.72,392331
2010-03-26,147.16,144.93,144.47,147.73,217852
2010-03-29,145.2,145.06,143.73,145.2,241978
2010-03-30,145.43,143.78,143.14,145.65,180247
2010-03-31,142.74,142.93,141.83,144.07,356192
2010-04-01,144.22,143.12,141.8,144.56,188403
2010-04-05,143.31,146.73,142.93,146.73,285217
2010-04-06,146.67,149.9,145.8,150.63,288184
2010-04-07,148.92,145.62,145.03,150.22,353621
2010-04-08,145.08,145.69,144.37,145.89,193773
2010-04-09,144.86,147.05,144.35,147.48,270411
2010-04-12,147.74,146.58,146.19,148.08,235320
2010-04-13,145.7,148.8,145.7,149.43,241326
2010-04-14,149.25,146.75,145.8,149.31,285775
2010-04-15,146.34,143.99,143.35,147.2,459835
2010-04-16,142.81,142.95,141.84,144.9,703738
2010-04-19,143.08,143.64,142.37,145.21,281507
2010-04-20,144.17,145.71,142.5,145.75,269851
2010-04-21,145.78,148.69,145.16,149.22,401449
2010-04-22,147.09,151.89,146.66,152.25,253400
2010-04-23,151.32,153.02,150.21,153.75,340501
2010-04-26,153.72,153.74,152.92,154.68,332632
2010-04-27,153.33,149.38,149.17,154.72,301450
