date,open,close,low,high,volume
2010-01-04,69.26,70.92,68.94,72.21,925106
2010-01-05,71.71,72.86,71.18,72.9,867190
2010-01-06,72.67,72.65,71.33,72.81,1023415
2010-01-07,72.39,73.91,72.05,74.38,1432374
2010-01-08,73.68,73.64,72.85,74.0,526102
2010-01-11,73.76,73.82,73.32,74.35,623613
2010-01-12,73.17,71.23,70.85,73.53,619380
2010-01-13,71.72,73.12,71.4,73.28,557460
2010-01-14,72.65,73.29,72.65,74.3,674692
2010-01-15,73.63,73.83,73.33,74.78,737131
2010-01-19,73.88,73.74,73.36,74.3,460992
2010-01-20,73.61,73.07,72.69,73.77,593337
2010-01-21,73.29,72.5,72.12,74.05,919195
2010-01-22,73.02,69.63,69.45,74.16,907179
2010-01-25,70.9,70.03,69.08,71.79,1044315
2010-01-26,69.88,68.85,67.58,69.92,951889
2010-01-27,68.6,69.22,67.22,69.5,882569
2010-01-28,68.82,67.22,66.56,68.96,773950
2010-01-29,67.81,66.04,65.36,68.31,910083
2010-02-01,66.15,67.84,65.33,68.04,727251
2010-02-02,68.24,67.8,66.35,68.24,530606
2010-02-03,67.58,65.99,65.75,68.04,740003
2010-02-04,65.82,63.37,63.23,65.84,1044917
2010-02-05,63.34,63.4,61.1,63.54,1223753
2010-02-08,64.1,64.76,62.83,65.59,635480
2010-02-09,65.47,66.56,64.95,66.94,984056
2010-02-10,66.38,67.29,65.47,67.31,665653
2010-02-11,66.89,68.53,66.48,68.79,843818
2010-02-12,67.87,68.74,67.11,68.9,873723
2010-02-16,68.59,69.38,68.29,69.48,630703
2010-02-17,69.27,69.35,68.99,69.78,597403
2010-02-18,69.35,69.43,68.79,69.49,1028181
2010-02-19,69.51,70.32,69.37,70.73,549966
2010-02-22,70.52,69.44,69.25,70.52,873484
2010-02-23,69.73,69.87,68.87,69.93,868990
2010-02-24,69.81,70.95,69.59,70.95,857674
2010-02-25,70.19,72.29,70.01,72.62,1188660
2010-02-26,72.93,72.46,68.79,72.93,1077393
2010-03-01,73.48,73.17,72.88,74.2,611591
2010-03-02,73.1,72.96,72.65,74.01,808473
2010-03-03,72.76,73.07,72.59,73.68,443372
2010-03-04,73.05,72.93,72.48,73.48,1238125
2010-03-05,73.24,73.18,72.85,73.71,1096311
2010-03-08,72.01,72.13,71.88,73.35,816791
2010-03-09,71.75,73.91,71.75,74.3,753034
2010-03-10,74.22,74.77,73.91,75.28,486397
2010-03-11,74.42,74.2,73.93,74.64,406354
2010-03-12,74.07,73.56,73.5,74.54,532382
2010-03-15,73.28,72.05,71.38,73.57,1096720
2010-03-16,72.31,73.84,72.12,74.09,697544
2010-03-17,73.57,73.66,73.35,73.98,344067
2010-03-18,73.39,72.78,72.41,73.91,613771
2010-03-19,72.93,71.45,71.37,73.01,494794
2010-03-22,70.97,72.44,70.56,72.93,483335
2010-03-23,72.14,73.37,71.98,73.78,771156
2010-03-24,72.79,72.03,71.66,73.09,521503
2010-03-25,72.44,70.35,69.87,73.0,1264292
2010-03-26,70.97,70.55,70.02,71.36,963106
2010-03-29,71.5,72.39,71.5,73.85,870298
2010-03-30,72.83,73.76,72.75,74.31,681454
2010-03-31,73.9,73.45,73.35,74.45,460510
2010-04-01,74.04,74.77,74.04,75.45,600886
2010-04-05,74.77,75.38,74.71,75.51,556029
2010-04-06,74.89,74.89,74.38,75.61,446279
2010-04-07,75.05,73.25,72.76,75.17,617045
2010-04-08,72.69,73.45,72.69,73.69,660623
2010-04-09,73.84,74.15,73.59,74.86,636792
2010-04-12,74.73,74.15,73.17,75.18,1224193
2010-04-13,73.93,72.98,72.1,73.93,945390
2010-04-14,73.43,72.95,71.96,73.57,882004
2010-04-15,72.57,72.49,71.81,72.7,795000
2010-04-16,72.14,72.06,71.29,72.72,522722
2010-04-19,71.24,70.58,69.09,71.5,1070567
2010-04-20,71.01,72.45,70.56,72.7,918066
2010-04-21,72.64,72.84,72.23,73.07,883752
2010-04-22,72.78,74.0,71.85,74.31,786562
2010-04-23,73.67,73.87,73.36,74.57,847257
2010-04-26,73.94,73.92,72.89,74.31,666561
2010-04-27,73.75,72.61,72.19,74.06,748857
2010-04-28,72.95,71.65,71.22,73.36,649018
2010-04-29,72.32,72.81,72.03,73.08,551119
2010-04-30,73.16,72.58,72.52,74.14,452263
2010-05-03,72.65,73.45,72.46,73.84,538595
2010-05-04,72.74,71.27,70.08,72.85,1162273
2010-05-05,70.1,69.0,68.03,70.49,1136576
2010-05-06,68.85,67.11,63.43,69.04,1859576
2010-05-07,66.06,66.57,64.61,67.12,1934309
2010-05-10,70.55,68.88,68.15,70.59,1586335
2010-05-11,68.65,68.16,67.8,69.04,1090248
2010-05-12,68.65,69.94,68.58,70.08,726983
2010-05-13,70.06,70.53,69.65,71.28,557228
2010-05-14,70.27,69.88,68.52,70.33,749898
2010-05-17,69.41,69.65,68.1,70.64,972061
2010-05-18,69.99,68.99,68.82,70.51,578892
2010-05-19,68.5,67.47,66.66,68.91,804463
2010-05-20,66.61,64.99,64.45,66.96,1307202
2010-05-21,64.04,65.73,63.61,66.16,871126
2010-05-24,65.25,64.91,64.86,65.99,478363
2010-05-25,63.4,65.2,62.27,65.54,1156966
2010-05-26,66.15,66.27,65.82,67.28,2203747
2010-05-27,67.53,69.29,66.95,69.32,705934
2010-05-28,69.15,67.82,67.12,69.61,627075
2010-06-01,67.46,65.9,65.86,68.61,619643
2010-06-02,65.84,67.99,65.84,67.99,1164136
2010-06-03,67.8,70.47,67.78,70.51,1230982
2010-06-04,68.95,67.23,66.9,69.96,1228405
2010-06-07,66.95,66.24,66.01,67.77,650641
2010-06-08,66.65,66.26,64.95,67.23,731411
2010-06-09,66.56,66.11,65.92,67.73,441606
2010-06-10,67.2,69.75,66.85,69.75,703634
2010-06-11,69.2,71.87,68.98,71.94,731903
2010-06-14,71.8,70.96,70.88,72.99,547189
2010-06-15,71.13,72.79,70.5,72.87,604587
2010-06-16,72.71,72.67,72.3,73.18,519439
2010-06-17,72.58,72.01,71.17,73.12,565406
2010-06-18,71.68,72.38,71.19,72.46,1138875
2010-06-21,73.07,71.82,71.53,73.45,673059
2010-06-22,71.13,70.28,70.04,72.2,767097
2010-06-23,70.01,70.94,68.6,71.11,722728
2010-06-24,70.59,69.76,69.54,70.83,737157
2010-06-25,69.93,70.35,69.32,71.04,472511
2010-06-28,70.53,71.11,70.37,71.38,638356
2010-06-29,70.38,69.1,68.67,70.39,634448
2010-06-30,69.44,69.14,68.88,70.1,501851
2010-07-01,69.18,68.18,67.51,69.73,889070
2010-07-02,68.2,67.63,67.28,68.6,286411
2010-07-06,68.54,68.11,67.56,69.93,941481
2010-07-07,68.8,71.47,68.05,71.49,934190
2010-07-08,71.93,72.58,71.45,72.81,783824
2010-07-09,72.76,72.0,71.54,73.19,475500
2010-07-12,71.56,70.04,69.91,72.15,511788
2010-07-13,70.54,70.8,70.52,71.35,463498
2010-07-14,70.89,71.54,70.28,71.58,575346
2010-07-15,71.75,71.26,70.67,71.89,584419
2010-07-16,71.01,69.6,69.43,71.05,649960
2010-07-19,70.07,70.19,69.19,70.33,338233
2010-07-20,70.32,73.35,70.32,73.49,1866648
2010-07-21,73.78,72.55,71.92,74.13,593216
2010-07-22,73.22,73.35,72.1,73.74,647949
2010-07-23,72.94,74.76,72.22,74.82,503587
2010-07-26,74.85,74.03,73.47,74.87,389924
2010-07-27,74.65,73.21,72.73,75.06,696633
2010-07-28,72.72,73.03,72.37,73.73,342610
2010-07-29,73.79,72.91,71.34,74.02,519579
2010-07-30,71.85,74.47,71.48,74.67,658255
2010-08-02,75.4,76.76,74.82,76.92,876673
2010-08-03,75.13,74.61,74.36,76.85,936154
2010-08-04,75.33,76.12,75.27,76.43,662356
2010-08-05,75.67,75.86,74.8,76.03,695587
2010-08-06,75.24,74.49,73.69,76.4,534724
2010-08-09,75.04,75.21,74.36,75.52,290696
2010-08-10,74.4,75.52,74.07,75.89,402928
2010-08-11,74.07,73.69,73.15,74.59,644580
2010-08-12,72.69,74.37,72.55,74.8,472015
2010-08-13,74.34,74.74,74.11,75.44,361067
2010-08-16,74.25,75.2,74.25,75.43,306783
2010-08-17,75.61,76.59,75.44,77.15,729311
2010-08-18,77.53,77.32,76.67,78.01,556312
2010-08-19,76.92,76.52,76.04,77.23,294117
2010-08-20,76.44,76.99,75.58,76.99,318537
2010-08-23,77.07,76.94,75.14,77.76,298840
2010-08-24,75.93,75.89,75.63,76.7,664013
2010-08-25,74.98,76.71,74.98,77.0,723929
2010-08-26,76.59,76.16,75.86,77.3,530336
2010-08-27,76.89,76.43,75.49,77.25,607763
2010-08-30,76.07,74.59,74.59,76.8,449363
2010-08-31,74.3,74.95,74.22,75.98,561554
2010-09-01,76.07,75.4,75.22,76.37,666750
2010-09-02,75.59,75.96,75.42,76.17,597215
2010-09-03,76.63,77.45,76.0,77.53,555552
2010-09-07,77.6,78.45,76.97,78.59,445465
2010-09-08,78.09,79.24,77.81,80.29,779546
2010-09-09,80.26,78.87,78.2,80.26,446582
2010-09-10,79.22,80.06,79.01,80.29,773719
2010-09-13,80.85,81.27,80.64,81.91,504986
2010-09-14,81.51,80.56,80.41,82.01,447813
2010-09-15,80.15,81.13,80.05,81.29,312280
2010-09-16,81.15,80.1,79.64,81.58,337013
2010-09-17,80.05,80.64,79.56,80.77,236094
2010-09-20,81.17,82.55,80.96,82.8,439192
2010-09-21,82.66,83.23,81.77,83.35,590944
2010-09-22,82.82,82.4,81.57,83.93,741642
2010-09-23,81.63,82.2,81.25,82.85,335052
2010-09-24,82.5,83.68,81.81,83.87,480985
