date,open,close,low,high,volume
2010-01-04,98.83,100.33,98.16,100.42,360275
2010-01-05,100.09,102.65,100.03,102.74,252841
2010-01-06,102.67,103.68,102.24,104.08,182120
2010-01-07,102.88,103.39,101.94,103.89,249744
2010-01-08,103.07,103.3,102.47,103.57,211661
2010-01-11,103.83,103.03,102.65,104.37,195190
2010-01-12,102.21,103.22,102.21,104.25,237808
2010-01-13,103.98,104.27,102.97,104.65,224986
2010-01-14,103.44,104.08,103.08,104.3,207537
2010-01-15,103.83,103.0,102.55,103.83,235008
2010-01-19,102.87,104.59,102.87,105.55,223106
2010-01-20,103.62,103.71,102.88,104.22,227880
2010-01-21,103.8,101.38,100.89,104.36,315700
2010-01-22,101.26,98.69,97.84,101.75,389082
2010-01-25,99.48,100.76,99.48,101.59,249099
2010-01-26,100.08,99.61,99.35,101.83,208407
2010-01-27,99.58,101.69,99.24,101.93,239639
2010-01-28,101.73,100.37,99.57,102.21,169043
2010-01-29,100.25,99.34,99.21,101.82,194289
2010-02-01,100.23,100.59,99.92,102.07,175136
2010-02-02,100.81,101.94,99.97,101.98,182842
2010-02-03,101.33,100.45,100.07,101.98,170439
2010-02-04,99.92,98.15,98.15,102.78,428751
2010-02-05,98.16,98.01,94.85,98.83,364394
2010-02-08,99.35,97.84,97.44,100.48,419151
2010-02-09,99.39,98.68,96.76,100.37,381133
2010-02-10,98.3,98.97,97.52,100.68,273793
2010-02-11,99.49,99.63,97.7,100.07,549664
2010-02-12,99.23,99.65,97.54,99.65,337299
2010-02-16,99.84,100.53,98.29,100.78,337935
2010-02-17,101.6,102.57,101.35,102.59,260132
2010-02-18,102.41,104.27,102.07,104.8,286468
2010-02-19,104.53,105.78,104.26,106.53,249308
2010-02-22,106.06,106.84,105.34,107.11,250621
2010-02-23,106.32,103.11,103.03,106.32,553379
2010-02-24,103.4,104.98,103.28,105.39,292580
2010-02-25,103.85,106.23,103.09,106.52,321724
2010-02-26,106.4,106.4,105.0,106.76,244282
2010-03-01,107.45,108.07,107.19,108.32,167624
2010-03-02,108.91,108.61,107.6,108.93,225230
2010-03-03,109.31,111.73,108.82,112.33,551442
2010-03-04,111.93,113.06,111.72,113.48,368021
2010-03-05,114.01,115.56,113.43,115.79,322157
2010-03-08,114.62,116.79,114.44,117.13,304043
2010-03-09,115.92,116.5,115.78,117.07,312920
2010-03-10,116.41,117.52,115.88,118.19,338291
2010-03-11,116.88,118.1,116.62,118.1,220195
2010-03-12,118.16,117.67,116.96,118.75,172552
2010-03-15,117.61,118.71,117.44,119.06,313473
2010-03-16,118.81,121.16,118.54,121.21,356218
2010-03-17,121.4,123.84,121.4,125.43,485216
2010-03-18,123.42,123.63,122.64,124.16,183455
2010-03-19,124.07,122.28,122.21,124.6,309847
2010-03-22,122.26,122.26,120.81,123.34,219141
2010-03-23,122.02,122.69,120.69,122.69,260305
2010-03-24,121.96,121.29,120.91,122.19,323875
2010-03-25,122.64,121.14,120.87,123.14,284559
2010-03-26,120.92,120.59,120.11,122.77,294078
2010-03-29,121.25,121.52,119.95,122.01,224749
2010-03-30,121.3,120.96,120.69,122.21,168033
2010-03-31,120.09,122.16,119.7,122.23,477275
2010-04-01,122.87,123.63,122.78,124.11,244387
2010-04-05,124.63,125.45,124.24,125.57,153962
2010-04-06,125.29,125.95,124.96,126.32,300751
2010-04-07,125.95,124.35,123.44,126.06,271738
2010-04-08,123.42,123.63,122.04,123.69,329937
2010-04-09,123.27,123.36,122.26,123.45,150814
2010-04-12,124.08,124.77,123.78,124.83,263490
2010-04-13,124.36,125.6,123.37,125.79,172875
2010-04-14,126.26,128.8,125.98,128.8,288246
2010-04-15,128.25,127.56,126.08,128.25,211443
2010-04-16,127.01,124.58,123.65,127.62,373177
2010-04-19,123.5,125.33,122.7,125.47,183665
2010-04-20,126.75,128.06,126.13,128.06,138944
2010-04-21,127.86,126.78,125.03,128.45,223844
2010-04-22,125.7,126.69,124.1,126.81,188555
2010-04-23,126.66,129.14,125.92,129.36,209108
2010-04-26,129.23,128.26,128.03,129.96,215382
2010-04-27,127.64,122.76,122.37,127.92,269628
2010-04-28,123.81,120.96,120.46,124.82,464774
2010-04-29,122.3,125.68,122.3,126.4,304234
2010-04-30,125.91,123.29,123.21,126.85,299397
2010-05-03,124.03,123.5,122.5,124.42,250919
2010-05-04,121.73,121.27,119.98,123.66,410489
2010-05-05,119.77,121.16,119.24,123.0,337331
2010-05-06,120.58,116.86,110.97,122.7,603488
2010-05-07,116.1,112.72,111.67,117.75,565195
2010-05-10,118.88,122.07,117.66,122.14,513368
2010-05-11,120.21,121.13,119.7,123.59,288210
2010-05-12,122.06,123.64,120.88,123.9,242582
2010-05-13,123.27,121.22,120.94,123.27,233979
2010-05-14,120.22,117.78,116.12,120.41,327385
2010-05-17,118.16,119.53,116.38,119.87,388646
2010-05-18,120.79,117.39,116.93,121.32,394963
